Gene	O442	O443	O444	O445	O447	O448
0610009B22Rik	0.0	0.0	231.65099999999998	0.0	36.6155	0.0
0610010F05Rik	0.0	156.37720000000002	12.6067	0.732043	0.19569	75.972212
0610010K14Rik	0.0	193.45187	269.499	76.03833999999999	67.8271	133.15540000000001
0610012G03Rik	0.29578699999999997	124.73	0.0	289.501	142.884	82.5722
0610030E20Rik	0.0	0.0	0.0	0.0	0.0	0.0
0610037L13Rik	0.809127	0.0	1.78682	263.20075	0.0	861.55132
0610040J01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110002E22Rik	0.0	15.5447	0.0	0.0	0.0	0.0
1110004F10Rik	0.5575100000000001	256.341	54.7903	124.08562196	682.184	333.087
1110008L16Rik	0.0	0.0	0.0	0.979819	0.0	0.0
1110008P14Rik	0.0	214.208	0.0	141.123	508.666	0.0
1110012L19Rik	0.0	192.627	1396.44	113.74	0.0	0.0
1110017D15Rik	0.0	0.0	0.0	0.0	0.0	21.4052
1110025L11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110032A03Rik	0.0	113.59494099999999	0.88275	0.0	229.98228	0.0
1110032F04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110038F14Rik	0.782482	0.252783	63.692330000000005	78.9765	0.0	0.0
1110051M20Rik	2.558923	185.91702	0.0	79.4657	739.7420000000001	300.4485
1110057P08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110059E24Rik	487.31699999999995	0.11163900000000002	0.0	0.0	669.9382999999999	209.825
1110059G10Rik	13.5173	0.06608839999999999	0.11649100000000001	124.83400139999999	0.0	0.298194
1110065P20Rik	299.6419	300.3069315763	0.0	142.905169	296.86152	243.43289999999996
1190002N15Rik	100.27	37.4106	0.0717767	16.2823	7.989669999999999	10.1448
1190005I06Rik	0.0	0.0	0.0	0.0	0.0	0.0
1190007I07Rik	0.0	141.38	0.0	241.06850000000003	0.0	0.0
1300017J02Rik	0.766548	0.0	0.0	0.0	0.0	0.515744
1500009C09Rik	1.3481299999999998	1.05479	8.171380000000001	3.9193800000000003	0.0	46.9302
1500009L16Rik	0.0	0.889959	0.0	106.39200000000001	16.5401	0.0
1500011B03Rik	193.582	189.62220000000002	0.0	367.8089	175.46439	713.934
1500015O10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1520401A03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1600002K03Rik	0.0	0.387214	1480.95	0.0	0.0	269.129
1600012H06Rik	0.0	0.0666342697	0.0	0.34056	0.0	205.55847
1600014C10Rik	4.19278	85.8212	2.39638400232385	44.3666	0.0	128.642
1600014C23Rik	0.0	0.0	0.0	0.0	0.0	0.0
1600015I10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1600029O15Rik	0.234798	8.96042	0.0	0.0	0.0	0.0
1700001C02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001C19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001F09Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001J03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001J11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001K19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001L19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001O22Rik	0.0	0.0	0.0	0.0	215.3178	25.224899999999998
1700001P01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003E16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003F12Rik	0.0	64.14051	0.0	0.0	0.0	0.0
1700003H04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003N22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700006A11Rik	0.0	6.50366	0.0	0.0	0.0	0.0
1700007E05Rik	0.0	0.24197600000000002	0.216273	0.0	0.0	0.0
1700007K13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700008O03Rik	42.3919	0.0	0.30792600000000003	0.0	0.10072	0.0
1700008P02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700009N14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700010B08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700010I14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700010N08Rik	0.0	0.287225	0.0	0.0	0.0	0.0
1700011L22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700011M02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700012A03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700012B07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700012B09Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700012P22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700013F07Rik	0.0	0.0	0.0	0.0	67.0381	0.0
1700013G24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700013H16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700014D04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700015F17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700015G11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700016C15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700016D06Rik	0.0	5.027080000000001	0.0	0.0	6.882610000000001	0.0
1700016H13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700016K19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700017B05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700017D01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700017N19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700018B08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700018F24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700018G05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700018M17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019A02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019D03Rik	0.0	0.0	0.0	87.78617163999999	0.0	0.0
1700019M22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019N19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020A23Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020D05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020L24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020N01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020N15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700021F05Rik	0.0	0.252322	0.242247	496.384	0.148454	650.3609839999999
1700021F07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022A21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022I11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700023F06Rik	0.0	1.24555	0.0	2.259024	4.65451	0.281346
1700024B05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700024G13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700024J04Rik	0.0	0.289475	0.0	0.30090700000000004	0.37454	0.0
1700024P04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700025B11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700025C18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700025F22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700025G04Rik	0.0	8.19978	0.0	34.8502	0.040479	0.0474983
1700028B04Rik	0.0	0.24138800000000002	2.1217	0.23447199999999999	0.0	0.0
1700028J19Rik	0.0	0.0	0.0	0.0	0.215944	0.0
1700028K03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700028P14Rik	0.0	0.0	0.0	50.6015	0.0	0.0
1700029F12Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700029H14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700029I15Rik	6.88939	0.0	0.0	0.0	0.0	0.0
1700029J07Rik	0.0	0.303211	0.0	0.0	0.0	0.0
1700029P11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700030C10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700030J22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700030K09Rik	0.0	45.3425	0.0	0.0754648	0.802161	2.3273
1700031F05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700031M16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700034E13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700034I23Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700034J05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700037C18Rik	0.0	6.4663	1.4626	0.0768652	3.77198	0.10353299999999999
1700037H04Rik	0.0	3.3319199999999998	0.0	390.15406	171.19511999999997	0.0
1700040F15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700042G07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700047I17Rik2	1.58917	0.0	39.3928	0.0	18.492	0.0
1700049E17Rik1	0.0	0.0	0.0	0.0	0.0	0.0
1700049E17Rik2	0.0	33.4104	0.0	0.0	0.0	0.0
1700049L16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700056E22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700057G04Rik	0.0	1.45051	0.0	0.0	0.0	0.0
1700061G19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700063K16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700064H15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700065I16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700066B19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700066M21Rik	0.0	0.0	0.0	50.6219	0.0	0.0
1700067K01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700067P10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700069L16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700071K01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700073E17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700074P13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700080E11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700080O16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700084J12Rik	6.72243	0.259788	2.01445	0.359786	0.224098	0.40007600000000004
1700084M14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700086D15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700086L19Rik	583.21728	340.51505099999997	0.0	2.90925	317.94890000000004	209.57301
1700088E04Rik	0.0	25.4406	0.0	75.66017	0.0	0.0
1700091H14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700092M07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700093K21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700102P08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700109H08Rik	5.19228	4.10398	0.0	0.0	0.0	0.0
1700113H08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700122O11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700123K08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700123L14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700123O20Rik	0.0	6.8397	0.0	0.0	0.0	178.9162
1700125H20Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700128F08Rik	0.0	2.2920599999999998	0.0	0.132036	0.0	0.0
1700129C05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1810009A15Rik	0.0	118.415	0.0	91.8119	0.0	155.61261
1810009J06Rik	0.0	0.0	0.0	0.0	0.0	0.0
1810010D01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1810010H24Rik	0.0	0.0	847.5830000000001	0.0	0.0	0.0
1810013L24Rik	0.0	18.78126	0.0	0.358877	0.0	0.0
1810014B01Rik	0.0	0.0	0.0	73.8261	0.323022	0.0
1810018F18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1810022K09Rik	0.0	308.968	985.707	588.4490000000001	81.062849	0.0
1810024B03Rik	0.0	0.152148	0.0	0.0	0.0	0.0
1810030O07Rik	355.05199999999996	0.49740200000000007	0.0	87.0518	0.264044	0.0
1810032O08Rik	0.0	0.0	0.0	43.3867	0.0	0.0
1810037I17Rik	0.0	178.06599999999997	0.0	44.0948	0.0	156.536
1810043G02Rik	0.197273	157.48637	2.40758	3.296462	0.0	0.0
1810046K07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1810049J17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1810055G02Rik	0.0	130.535	0.0	75.82300000000001	158.70600000000002	0.0
1810062G17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1810065E05Rik	0.0	0.0	0.0	0.0	0.0	0.0
2010003K11Rik	0.0	0.0	0.0	0.0	0.0	0.0
2010005H15Rik	0.0	0.0	0.0	0.0	0.0	0.0
2010010A06Rik	0.0	0.0	0.0	0.0	0.0	0.0
2010106E10Rik	0.0	0.0	0.0	0.0	0.0	0.0
2010109A12Rik	0.0	0.0	0.0	0.0	0.0	0.0
2010109I03Rik	0.46604799999999996	19.46715	0.6704	0.0	0.0	0.56398
2010111I01Rik	0.0	0.177154	0.180365	4.710976	0.0	0.0
2010300C02Rik	0.0	0.0	0.0	44.185900000000004	0.0	0.0
2010315B03Rik	816.9498000000001	0.1673262	2.9868	0.0	0.0	0.0
2200002D01Rik	0.0	0.0	0.0	3.34415	0.0	0.0
2200002J24Rik	0.0	0.0	0.0	0.0	0.0	0.0
2210010C04Rik	0.0	0.0	0.0	0.0	0.0	0.488095
2210011C24Rik	306.509	0.0	0.0	0.0	0.0	0.0
2210016F16Rik	0.0	67.4234	0.0	0.0	0.571591	0.0
2210016L21Rik	386.89084	161.649	0.45009899999999997	71.2998	31.71263	0.0
2210017I01Rik	0.0	1.7768700000000002	0.0	0.0	0.0	8.50875
2210407C18Rik	0.0	0.0	0.0	0.0	0.0	0.0
2210408I21Rik	0.0	6.5823100000000005	0.0	2.433538	0.0	131.26074
2210409E12Rik	0.0	0.0	0.0	0.0	0.0	0.0
2210418O10Rik	3.38835	7.34818	0.0	7.29425	3.9437800000000003	1.5596
2300002M23Rik	0.0	0.0	0.0	0.0	0.0	0.0
2300003K06Rik	0.0	0.0	0.0	0.0	0.0	0.0
2300009A05Rik	239.1224	0.484479	0.0	140.28050000000002	1.30978	163.67172999999997
2310002L09Rik	0.0	0.0	0.0	0.0	0.0	0.0
