Cell	CellType	Age
H2	Htr3a-OLM	-1
H6	Htr3a-OLM	-1
H9	Htr3a-OLM	-1
H11	Htr3a-OLM	-1
H12	Htr3a-OLM	-1
H16	Htr3a-OLM	-1
H20	Htr3a-OLM	-1
H22	Htr3a-OLM	-1
H26	Htr3a-OLM	-1
H30	Htr3a-OLM	-1
H31	Htr3a-OLM	-1
H32	Htr3a-OLM	-1
H33	Htr3a-OLM	-1
H35	Htr3a-OLM	-1
H38	Htr3a-OLM	-1
H39	Htr3a-OLM	-1
H42	Htr3a-OLM	-1
H46	Htr3a-OLM	-1
H48	Htr3a-OLM	-1
H52	Htr3a-OLM	-1
H53	Htr3a-OLM	-1
H57	Htr3a-OLM	-1
H60	Htr3a-OLM	-1
Som5	SST-OLM	30
Som6	SST-OLM	30
Som7	SST-OLM	30
Som9	SST-OLM	33
Som11	SST-OLM	33
Som14	SST-OLM	33
Som17	SST-OLM	33
Som43	SST-OLM	36
Som45	SST-OLM	36
Som47	SST-OLM	36
Som48	SST-OLM	36
Som105	SST-OLM	22
Som109	SST-OLM	22
Som115	SST-OLM	23
Som116	SST-OLM	23
Som124	SST-OLM	23
Som126	SST-OLM	24
Som127	SST-OLM	24
Som128	SST-OLM	24
Som131	SST-OLM	24
Som134	SST-OLM	24
Som137	SST-OLM	24
Som138	SST-OLM	24
