	PCA_X	PCA_Y	tsne_X	tsne_Y	fittsne_X	fittsne_Y	umap_X	umap_Y	nbtsne_X	nbtsne_Y	nbtsne_old_X	nbtsne_old_Y
O24	16.82028265108437	29.81205133991056	-16.72707748413086	24.385360717773438	-1.3359563966091867	1.376226573775269	-4.852363109588623	-0.18521271646022797	170.9872	-3.936728	105.102	23.18522
O26	39.090770934083885	67.57080343439598	-53.34560012817383	-33.85684585571289	-0.9462763428146662	10.67280292488889	-5.619126319885254	-1.5311598777770996	-91.14989	91.1345	-25.611	46.91455
O31	73.72036018732982	3.734550808847005	-59.071598052978516	-44.932952880859375	-2.218595524428932	11.025440491700884	-5.7703399658203125	-1.397982120513916	-83.14497	105.271	-11.88766	48.48597
O32	-57.56738419808079	-10.99777738437642	107.07916259765625	35.03965377807617	-9.986648152486538	-9.453531815016607	-2.2732536792755127	1.773250699043274	173.1204	36.93705	105.4461	57.82968
O34	100.67043399592518	-59.10451165438443	3.0078275203704834	122.14404296875	7.234639635684382	19.580124007080748	-8.295793533325195	-2.4565470218658447	-70.32995	-109.6619	-28.7254	18.60505
O35	92.17860073708867	93.82431266028372	-40.4416618347168	-69.0624771118164	1.1723568097051076	13.677391234680325	-6.8426008224487305	-1.8686155080795288	-233.4801	35.08155	102.7751	-46.26083
O36	-56.837968394914796	-15.11968343354098	-95.39800262451172	51.47454071044922	-1.2685011829881432	-15.450536284872921	-2.423341989517212	-0.3090132772922516	-60.45008000000001	20.336470000000002	-22.95284	-65.34496999999999
O39	84.04197680755277	4.606659829251054	-5.319946765899658	-57.916175842285156	9.390325186378131	0.5265388536826814	-4.467095851898193	1.5368645191192627	-42.96682	67.42318	-53.298680000000004	11.99569
O41	75.75193942408687	32.52189428075074	-79.05766296386719	-27.541963577270508	-1.4172667663310692	7.193745370769217	-5.239349365234375	-0.9507969617843628	-109.7757	70.21503	-22.303160000000002	74.82298
O44	-72.16938149776946	11.077564019519427	-36.81642532348633	12.742111206054688	-3.2210539825905387	-1.4785790047656848	-3.6634387969970703	-1.0509346723556519	84.68511	74.98597	79.0356	9.687362
O46	-73.03207605433838	17.7755188187206	-47.687862396240234	14.704032897949219	-3.8814021932318092	-0.9436941437417884	-3.9703519344329834	-1.5658769607543945	79.63709	49.53468	64.14990999999999	4.334191000000001
O47	-67.64728552665517	-11.113111211423595	-60.626487731933594	55.75745391845703	-4.5710888897681485	-5.1654388747491895	-2.300461769104004	0.3069540858268738	60.741130000000005	-23.49813	42.32141	-22.978189999999998
O48	-49.50841236784289	13.690143065779392	-81.63372802734375	75.0325698852539	-8.643815657787275	2.7033453585638623	-4.490088939666748	-1.3116211891174316	38.25861	-106.1428	15.84066	-71.14537
O49	133.97239760224127	-54.44054128232645	-7.386407375335693	111.1949462890625	6.223116246430874	18.120532447098796	-8.226888656616211	-2.427518367767334	-154.8816	25.06332	-106.3265	10.176639999999999
O54	142.933063963039	33.87840401543114	-25.515195846557617	-22.883237838745117	2.863445906455998	18.158518596187474	-7.519473075866699	-2.6026439666748047	-174.3143	45.74094	-51.78581	40.021159999999995
O55	117.54246788881007	25.639179296054056	-2.3385703563690186	72.4462661743164	1.6108945594323456	17.020861913520168	-7.399057388305664	-2.339522361755371	-160.5433	-42.98663	-96.99322	-21.77061
O56	-16.035083005882868	-24.111590558018705	116.23624420166016	26.38736343383789	-10.242635482316468	-11.052490312204851	-2.2266578674316406	1.667994499206543	89.18692	107.5275	73.11969	34.95302
O58	30.99653315907147	-36.29080275062382	27.736717224121094	-31.391895294189453	7.1064873188658035	-11.15500249369661	-3.7314600944519043	0.746631920337677	-12.44337	-4.258712999999999	-38.21098	-92.98583
O60	113.42434057006672	-11.934307585779157	12.140788078308105	89.38064575195312	4.8128756742990095	16.16334789118551	-7.850554466247559	-2.5483314990997314	-199.9118	80.08189	-69.04115	69.75928
O61	73.95704283256062	-16.617741867879328	63.97917556762695	-67.27498626708984	7.878449932520536	-3.0027242957888673	-4.313021659851074	1.2596372365951538	225.5756	82.00492	47.83121	84.04104
