status	family	pval	qval	gene_short_name	num_cells_expressed	use_for_ordering
0610009B22Rik	OK	negbinomial.size	0.58956982718465	0.978777333254469	0610009B22Rik	32	FALSE
0610010F05Rik	OK	negbinomial.size	0.144998670513724	0.69243195049972	0610010F05Rik	36	FALSE
0610010K14Rik	OK	negbinomial.size	0.717655066608147	0.999999999737279	0610010K14Rik	34	FALSE
0610012G03Rik	OK	negbinomial.size	0.565869972506686	0.974151619980003	0610012G03Rik	39	FALSE
0610030E20Rik	OK	negbinomial.size	0.320431928687164	0.88022035449107	0610030E20Rik	15	FALSE
0610040J01Rik	OK	negbinomial.size	0.116671310083158	0.636827076083329	0610040J01Rik	13	FALSE
1110004F10Rik	OK	negbinomial.size	0.726950776357308	0.999999999737279	1110004F10Rik	36	FALSE
1110008L16Rik	OK	negbinomial.size	0.100089284073177	0.606674122366507	1110008L16Rik	10	FALSE
1110008P14Rik	OK	negbinomial.size	0.337435029948366	0.891113635427022	1110008P14Rik	35	FALSE
1110012L19Rik	OK	negbinomial.size	0.464531609700576	0.948488192162751	1110012L19Rik	24	FALSE
1110017D15Rik	OK	negbinomial.size	0.376920648443625	0.91150068805426	1110017D15Rik	17	FALSE
1110032A03Rik	OK	negbinomial.size	0.677907089095619	0.998146836596522	1110032A03Rik	33	FALSE
1110032F04Rik	OK	negbinomial.size	0.715444575726533	0.999999999737279	1110032F04Rik	8	FALSE
1110038F14Rik	OK	negbinomial.size	0.456003245784854	0.946137991906364	1110038F14Rik	38	FALSE
1110059E24Rik	OK	negbinomial.size	0.714575227818245	0.999999999737279	1110059E24Rik	26	FALSE
1110059G10Rik	OK	negbinomial.size	0.441898126308645	0.935814669425181	1110059G10Rik	38	FALSE
1110065P20Rik	OK	negbinomial.size	0.304478938583403	0.869447473316469	1110065P20Rik	33	FALSE
1190002N15Rik	OK	negbinomial.size	0.428857468219429	0.931058890869125	1190002N15Rik	29	FALSE
1190005I06Rik	OK	negbinomial.size	0.0217643494264422	0.26962888038257	1190005I06Rik	7	FALSE
1190007I07Rik	OK	negbinomial.size	0.512467796812708	0.962800439818941	1190007I07Rik	28	FALSE
1300017J02Rik	OK	negbinomial.size	5.1624106191427e-05	0.00319769854199129	1300017J02Rik	10	TRUE
1500009C09Rik	OK	negbinomial.size	0.900641019072182	0.999999999737279	1500009C09Rik	35	FALSE
1500009L16Rik	OK	negbinomial.size	0.470792162449101	0.949789623237064	1500009L16Rik	23	FALSE
1500011B03Rik	OK	negbinomial.size	0.796563780355307	0.999999999737279	1500011B03Rik	39	FALSE
1600002K03Rik	OK	negbinomial.size	0.7954629843399	0.999999999737279	1600002K03Rik	8	FALSE
1600012H06Rik	OK	negbinomial.size	0.581289932636889	0.976962872519917	1600012H06Rik	27	FALSE
1600014C10Rik	OK	negbinomial.size	0.950946234705913	0.999999999737279	1600014C10Rik	21	FALSE
1600029O15Rik	OK	negbinomial.size	0.303430727155511	0.869316815875019	1600029O15Rik	35	FALSE
1700001C19Rik	OK	negbinomial.size	0.549926104596837	0.969117710226814	1700001C19Rik	7	FALSE
1700001O22Rik	OK	negbinomial.size	0.896340128693994	0.999999999737279	1700001O22Rik	17	FALSE
1700003E16Rik	OK	negbinomial.size	0.548143360791225	0.968989606641373	1700003E16Rik	6	FALSE
1700007E05Rik	OK	negbinomial.size	0.994351260705358	0.999999999737279	1700007E05Rik	10	FALSE
1700008O03Rik	OK	negbinomial.size	0.198571602275868	0.774764341088823	1700008O03Rik	22	FALSE
1700013F07Rik	OK	negbinomial.size	0.100743247210191	0.607916059682382	1700013F07Rik	9	FALSE
1700016D06Rik	OK	negbinomial.size	0.440565744248175	0.935423364934529	1700016D06Rik	25	FALSE
1700017D01Rik	OK	negbinomial.size	0.999999999628456	0.999999999737279	1700017D01Rik	6	FALSE
1700019D03Rik	OK	negbinomial.size	0.421879349836246	0.928012742252907	1700019D03Rik	19	FALSE
1700021F05Rik	OK	negbinomial.size	0.707203133525299	0.999999999737279	1700021F05Rik	39	FALSE
1700022I11Rik	OK	negbinomial.size	8.69072933407494e-05	0.00478507418691626	1700022I11Rik	10	TRUE
1700023F06Rik	OK	negbinomial.size	1.41847338254071e-05	0.00125358714539824	1700023F06Rik	6	TRUE
1700024J04Rik	OK	negbinomial.size	0.510191094711014	0.962800439818941	1700024J04Rik	24	FALSE
1700025G04Rik	OK	negbinomial.size	0.184640361098085	0.760088799683647	1700025G04Rik	37	FALSE
1700028B04Rik	OK	negbinomial.size	0.545285969057053	0.967499081926676	1700028B04Rik	32	FALSE
1700028J19Rik	OK	negbinomial.size	0.308964651386514	0.870610182369594	1700028J19Rik	16	FALSE
1700028K03Rik	OK	negbinomial.size	0.726551493875626	0.999999999737279	1700028K03Rik	8	FALSE
1700029I15Rik	OK	negbinomial.size	0.895489366770645	0.999999999737279	1700029I15Rik	8	FALSE
1700029J07Rik	OK	negbinomial.size	0.00491071662450277	0.0981789526872853	1700029J07Rik	10	FALSE
1700030C10Rik	OK	negbinomial.size	3.50409155030123e-08	1.21548175651074e-05	1700030C10Rik	11	FALSE
1700030J22Rik	OK	negbinomial.size	0.995361487416715	0.999999999737279	1700030J22Rik	6	FALSE
1700030K09Rik	OK	negbinomial.size	0.142450796930028	0.686763310425346	1700030K09Rik	20	FALSE
1700037H04Rik	OK	negbinomial.size	0.676926684767563	0.997807048884515	1700037H04Rik	38	FALSE
1700047I17Rik2	OK	negbinomial.size	0.38484092344921	0.913385776515043	1700047I17Rik2	15	FALSE
1700057G04Rik	OK	negbinomial.size	0.471164106431763	0.949789623237064	1700057G04Rik	13	FALSE
1700064H15Rik	OK	negbinomial.size	0.00022857735859993	0.010197784085447	1700064H15Rik	7	TRUE
1700066M21Rik	OK	negbinomial.size	0.231176860781797	0.805758775230289	1700066M21Rik	25	FALSE
1700084J12Rik	OK	negbinomial.size	0.766403614692715	0.999999999737279	1700084J12Rik	36	FALSE
1700086L19Rik	OK	negbinomial.size	0.548568444051904	0.968989606641373	1700086L19Rik	29	FALSE
1700088E04Rik	OK	negbinomial.size	1.30177048807132e-05	0.00118829378434142	1700088E04Rik	19	TRUE
1700109H08Rik	OK	negbinomial.size	0.0392928087638132	0.374337886237677	1700109H08Rik	17	FALSE
1700123O20Rik	OK	negbinomial.size	0.831159200261724	0.999999999737279	1700123O20Rik	34	FALSE
1700128F08Rik	OK	negbinomial.size	0.0566714048624107	0.470284534967673	1700128F08Rik	31	FALSE
1810009A15Rik	OK	negbinomial.size	0.939522099645532	0.999999999737279	1810009A15Rik	34	FALSE
1810010H24Rik	OK	negbinomial.size	0.187791078382031	0.763501345401442	1810010H24Rik	6	FALSE
1810013L24Rik	OK	negbinomial.size	0.611653990754575	0.984187020677871	1810013L24Rik	27	FALSE
1810014B01Rik	OK	negbinomial.size	0.745213329267501	0.999999999737279	1810014B01Rik	20	FALSE
1810024B03Rik	OK	negbinomial.size	0.296908298122373	0.861325788544022	1810024B03Rik	8	FALSE
1810030O07Rik	OK	negbinomial.size	0.976059555946838	0.999999999737279	1810030O07Rik	33	FALSE
1810032O08Rik	OK	negbinomial.size	0.488991934709045	0.957488162126501	1810032O08Rik	25	FALSE
1810037I17Rik	OK	negbinomial.size	0.698597050182594	0.999999999737279	1810037I17Rik	38	FALSE
1810049J17Rik	OK	negbinomial.size	0.0126858043957632	0.192999491218437	1810049J17Rik	8	FALSE
1810055G02Rik	OK	negbinomial.size	0.593904343783218	0.980264147490807	1810055G02Rik	22	FALSE
