logFC	logCPM	F	PValue	FDR
Gm19220	-4.14830769499584	10.5223540718676	201.481541592224	4.98164630616951e-26	4.27674335384652e-22
Layn	-10.9758456408615	5.62839800644081	182.605334179434	1.38099490145389e-24	5.92792061449081e-21
Dock10	5.65402577474633	11.8266789949098	177.604485156803	3.45567976303218e-24	9.88900358854375e-21
Npas1	-11.0051777030576	6.40990620406615	153.270040223337	3.845562066535e-22	8.25353758530074e-19
Gm15920	-7.38924070543616	4.30848697484136	116.603132831565	1.18091393894995e-18	2.02762923317707e-15
Ubb	-1.44369938950749	12.6322955010714	98.874914208908	9.46368504998867e-17	1.35409560256921e-13
Erbb4	12.4632957729498	7.72542620717384	95.3704894525187	2.35756947959785e-16	2.8913905689068e-13
Ndnf	-8.61317043624655	4.95560715402847	85.3344400363216	3.53548092253636e-15	3.79401296499683e-12
Lars2	3.11651220870087	13.7328984484798	76.1714592175665	4.78021307012754e-14	4.5597921341161e-11
Ngf	12.5099788395391	5.99536783315612	79.8617584327508	1.01444285281529e-13	8.70899189141927e-11
AW551984	-8.02041758405783	4.82781634561272	71.0772074060816	2.15863497069771e-13	1.68471647485817e-10
Gfra1	13.628099803882	7.1235755724844	65.7875683913801	4.38668962819895e-12	3.13831087150733e-09
Pnoc	-7.20501555498537	4.74817265630965	60.9707247133503	4.9391753961862e-12	3.26175544432758e-09
Reln	-6.31587162825957	7.62407419230158	59.7554806175459	7.29350007257708e-12	4.47247843736244e-09
Rtn1	-1.97027503812451	10.1888356277013	58.5487826938123	1.07728635912661e-11	5.8984814962967e-09
Gm7336	2.85608878296086	8.44834774821145	58.4864298522284	1.0993093062405e-11	5.8984814962967e-09
Zfp280d	6.77748289788168	7.59946630060739	57.8246727220613	1.36337052265426e-11	6.88502113940402e-09
Tac1	15.1112623819704	8.78265125882771	62.75754727476	1.88601565723562e-11	8.99524689853766e-09
Coch	-7.63787319665935	5.67576978581808	54.4817754230516	4.10311826005154e-11	1.85396159276539e-08
Plch2	10.681867351589	5.22789514798417	50.6527863599336	1.49422305102306e-10	6.4139524465165e-08
Tll1	9.91492358642831	6.05071282369102	48.6378128957632	2.99036061165002e-10	1.2224878976674e-07
Vmn1r13	4.3168413543642	7.30424360703872	45.9363146925469	7.69814941165614e-10	3.00402784995764e-07
BC002163	6.0677879228236	4.81852230539152	45.2848663971543	9.69605355957315e-10	3.61915738299719e-07
Thg1l	3.14403622109384	7.34650646248612	44.6849745336984	1.20029259063035e-09	4.2935466210673e-07
Ckb	1.38440998368378	11.8067164944294	44.254523394991	1.39973244380653e-09	4.80668121203162e-07
Kcng4	13.0091175305304	6.55016872612162	46.0245408778099	1.71846054877196e-09	5.67422454277202e-07
Ajap1	11.4592280115105	5.06941088551693	45.3781787567194	2.12275028593316e-09	6.74955970545784e-07
Adamtsl5	11.9640150840526	5.49340737583747	45.2142556260359	2.2400012723311e-09	6.86800390105804e-07
Syt2	9.41956282587872	6.67324713981678	42.8263064892032	2.33906411235211e-09	6.9244363463941e-07
Rpl3-ps1	7.60771591160285	5.78207960260116	42.5152250602433	2.61771420063306e-09	7.49102547081161e-07
Tcerg1l	11.3957457551469	5.03826743287819	44.3782507421097	2.95003883827254e-09	8.16970433115154e-07
Cdh12	11.2025216726113	5.2101785079478	41.2140740066146	4.20329159009446e-09	1.12766432190503e-06
Adamts1	12.5809959081858	6.18018492457791	43.1257531013921	4.4726137637209e-09	1.16355724731951e-06
Cacna2d3	-3.13986730651052	8.2234968467902	40.4616611385827	5.53897363353476e-09	1.39859084246753e-06
Pvalb	4.42773079174443	8.74122398501723	39.8295395046531	6.99250424764477e-09	1.71516139902944e-06
Bex2	-2.15187738756883	9.19088540671133	39.5788457786575	7.6718941361425e-09	1.82953364329954e-06
Bhlhe41	2.80163530506454	7.72204764577945	39.2077812703114	8.80335574801387e-09	2.04261646207295e-06
St6gal1	10.5987430629695	4.37988355783047	39.1775195114123	1.71067404495821e-08	3.86477280946481e-06
S100a10	-6.22738801222273	4.02252191828487	35.9537418617273	2.99172788954564e-08	6.58563690557675e-06
Pthlh	11.9568652051467	5.53468912042817	36.7837864868369	3.94810199540623e-08	8.47361390764062e-06
