logFC	logCPM	F	PValue	FDR
Grin2a	6.76716194128623	6.73711854518461	84.3892419698367	1.16263196270938e-19	1.17565344069173e-15
Rxfp3	5.0678504689267	6.43968334634978	77.1350565764139	3.99680447890541e-18	2.02078434453457e-14
Tac1	5.35180827755343	6.72861293394993	71.7195328253148	5.33644746955559e-17	1.79873856040487e-13
Lamp5	4.58961322619154	6.32335339680608	70.8080952914007	8.56269773626925e-17	2.16464998772887e-13
Fxyd7	3.19677076491123	5.9867340085922	69.1921068331225	1.87751640128482e-16	3.79708916995841e-13
Frmd3	4.05587355147982	6.05988670194389	67.4905223510888	4.18128256892954e-16	7.04685488950259e-13
Ptprt	4.91049047412417	6.81539748259153	57.9427912862945	4.47528916329884e-14	6.46487485989685e-11
Col5a2	4.15032555397701	6.15716211310456	51.7996373284214	9.23204813202517e-13	1.16693088388798e-09
Gpr83	-5.5580600085767	7.42709861155504	45.7684295382894	1.84242271115416e-11	2.07006427279899e-08
Fndc3a	3.46310690353241	5.96881556333971	45.3299040825053	2.27894549200189e-11	2.30446968151231e-08
Eps8	3.26242714148613	6.00593819023053	43.4494674020182	5.80938559945015e-11	5.34040974378545e-08
Id2	3.06266605185803	8.41783114158039	43.2400064139035	6.86977446994639e-11	5.42516151023393e-08
Sfrp2	4.26184286314641	6.73503083617478	43.0825596060708	6.9745945048498e-11	5.42516151023393e-08
Evi5l	3.25468784918683	6.0657046307329	40.1785237323823	2.97158932091283e-10	2.12309910468801e-07
Nrp2	3.80511949849913	6.156008380782	40.0622951682729	3.14937564975476e-10	2.12309910468801e-07
Cryab	4.01657189153569	7.20612654200745	39.9061075083324	3.40519013503807e-10	2.14724210724762e-07
Kcnip4	2.78148168360474	6.01089998284811	39.8239476189393	3.60988091606106e-10	2.14724210724762e-07
Gnptab	3.91609468766169	6.43298834585087	38.592473361713	6.5712088995864e-10	3.6915591329232e-07
Parn	2.91127489941518	6.01015560643102	38.2777973842815	7.69310782514663e-10	4.09435296462541e-07
Olfr1150-ps1	2.28593700125117	5.91161192927694	36.4193508688659	1.95402331192737e-09	9.87954186510478e-07
Shisa9	3.89248506363604	6.51466885131836	36.273127516295	2.10291191256043e-09	1.0126021552291e-06
Elfn1	-4.96836661445312	7.2015499764863	36.1656173849098	2.21959017399294e-09	1.02020435633712e-06
Tnnt1	3.76866617332487	6.52496823268944	35.6541713113896	2.8699919493944e-09	1.26179819966418e-06
Fxyd6	3.78085197190347	6.41438414047623	35.1733663833314	3.65484151646101e-09	1.53990655893557e-06
Gm2115	3.04010282452801	6.06055790167788	35.0484609857023	3.89182567670216e-09	1.57416564971249e-06
Rasal2	-4.46922489456624	6.41946236012434	34.4594528413839	5.25459903003739e-09	2.04363482275916e-06
Zfp799	3.67858192168938	6.02891355955411	33.7873669958018	7.34316112623158e-09	2.75014982623903e-06
Snrnp35	2.540613472248	5.98459624377708	33.3073643882143	9.3530874719405e-09	3.37780073272366e-06
Pum3	3.40392489721736	6.18097181064358	33.1985040654731	9.88084248027898e-09	3.44534755726141e-06
Prlr	3.56030772138874	6.23602292709975	32.9816659212309	1.10227346195346e-08	3.71539641575778e-06
Cul2	3.54797166481386	6.171542813706	32.559884581249	1.36369025274855e-08	4.44826962444947e-06
Amn	-4.14547558971294	6.56598721438914	32.0145225198419	1.80081762705853e-08	5.69058370150495e-06
Fam8a1	3.8849953815522	6.38172764036226	31.7328413102214	2.07065966063847e-08	6.2481717159487e-06
Akap17b	-3.96959009360923	6.35167627764141	31.6689106329237	2.14427682521355e-08	6.2481717159487e-06
Pcp4	3.66099887909727	7.04072490541018	31.6468380557064	2.16263854883509e-08	6.2481717159487e-06
Cdk19	3.26688177889344	6.19648966865182	31.5493402838423	2.27187652557435e-08	6.38144872961329e-06
Oxtr	3.31044001430574	6.19986076739806	31.3877786477113	2.46521185733427e-08	6.58390026228839e-06
Hes1	-3.81126991298538	6.28220898802145	31.3857128194451	2.47417138021122e-08	6.58390026228839e-06
E130308A19Rik	-3.37260505211458	6.14601862658263	30.5992610434702	3.68262163182797e-08	9.28441876610985e-06
Tbc1d19	2.66120966138025	5.98529173187561	30.5525848120816	3.76139901278804e-08	9.28441876610985e-06
Aasdh	-3.07696896975812	6.07140884584665	30.5558311254791	3.76444985572096e-08	9.28441876610985e-06
Klhl42	-3.52385716318034	6.16810781498522	30.4331131152883	4.14214061434806e-08	9.97269664102085e-06
Coro6	-3.35620204155203	6.15637939148568	30.2212756495864	4.45909428404833e-08	1.04861305582085e-05
Cnn3	-3.47474884682286	6.18824782631743	29.9676857331917	5.07012239797171e-08	1.1652063110975e-05
Micall1	-2.57087582085977	5.99154305698067	29.7863834237736	5.79524385992761e-08	1.235159091427e-05
Fam76a	-3.69231663058685	6.40149035010199	29.6948400498957	5.8216989667795e-08	1.235159091427e-05
Fkbp15	-2.62107291574368	6.00535725381563	30.1323645871117	5.84092451612336e-08	1.235159091427e-05
Fgf22	-3.43022718385905	6.22231950083814	29.6808565516015	5.86309695297628e-08	1.235159091427e-05
Tmem229b	-4.41454786966158	6.84931325846491	29.6012300759942	6.09044110892739e-08	1.2568681733362e-05
Setdb1	-2.87003480295538	6.07461504089938	29.4208078941401	6.68910556487163e-08	1.35106148110299e-05
Rufy1	-2.78634177162966	6.04467995396786	29.3842895501488	6.81409568198697e-08	1.35106148110299e-05
Sertad2	-3.36334311955155	6.17962986885955	29.3269073502732	7.0152460538333e-08	1.35618262053139e-05
Zfp940	2.67938456265838	6.03506875021737	29.2964926550513	7.10815653561743e-08	1.35618262053139e-05
Smad4	2.99603301786547	6.13765785864398	29.2383633259257	7.32085332360521e-08	1.370897570524e-05
Cd72	-3.52533385151161	6.32690278774049	29.0720190499126	7.9832446736203e-08	1.46775582072088e-05
Plch1	-3.575316356072	6.38554117724462	28.8241806414479	9.05285264015223e-08	1.63468653387892e-05
Zfp14	-2.85981756259501	6.08338090450812	28.7114206821634	9.58599153188385e-08	1.7005885328142e-05
Fbxo17	-3.46844588039518	6.3236621365676	28.6235325964699	1.00232879687383e-07	1.74750841275658e-05
Lrrc3b	2.74670581426579	6.04874751381318	28.5464958407717	1.04005926978063e-07	1.76927268290525e-05
Ass1	-3.03541241940545	6.1375318481426	28.5323662411688	1.04980578495169e-07	1.76927268290525e-05
Thbd	-3.48472401256955	6.35763811959289	28.4642871438522	1.08672539208541e-07	1.78510428855876e-05
Mfap3l	-3.1243583914973	6.15602796434052	28.4502358148661	1.0945061895831e-07	1.78510428855876e-05
Ankrd16	-3.27558666895868	6.21343502902706	28.3348021484807	1.16057927385034e-07	1.8451608093198e-05
Slc9a3r2	-3.35306821893967	6.2930662571132	28.304025869193	1.17886134855174e-07	1.8451608093198e-05
Tmem151b	-3.43205026362436	6.3466320042514	28.2920212780024	1.18607053605406e-07	1.8451608093198e-05
Ppat	-2.65890113892165	6.04517193600902	28.1642892546797	1.26557234832698e-07	1.93594103739793e-05
B430218F22Rik	2.29381532208457	5.94423212637677	31.6253870167379	1.28271409716833e-07	1.93594103739793e-05
Nrep	-3.2686713613714	6.26429108781085	28.0570885984803	1.3364080099357e-07	1.98731732301026e-05
Zfp82	2.32165587693528	5.99986377902554	27.9521229650635	1.40670640655379e-07	2.01909622238212e-05
Ccdc9	-3.15308468855353	6.1871738593313	27.9477612144447	1.41274828676104e-07	2.01909622238212e-05
Armc5	-2.1644029961305	5.96942143710431	27.9409032897835	1.41768029854758e-07	2.01909622238212e-05
Fbxo6	-3.45063652827801	6.3971395157892	27.8677566859663	1.4713721843798e-07	2.0664604900623e-05
Mthfs	-2.98100464609957	6.08455352150722	27.8045031721812	1.51944465259263e-07	2.08261618481225e-05
Polr3e	2.44231699650649	5.98254956972463	27.7760605092866	1.53842307148668e-07	2.08261618481225e-05
Gpr62	-2.86411391064292	6.11713337569978	27.7721207483678	1.54466192504864e-07	2.08261618481225e-05
Lpin1	-3.11413873362601	6.19687225102718	27.6898048658121	1.61067084646475e-07	2.14303994729626e-05
Zfp275	-2.43232429773882	6.02663082178	27.374140715751	1.89113106092596e-07	2.46455399758593e-05
Chtf8	-2.77357336448091	6.02572298298893	30.2274314030716	1.90106024339104e-07	2.46455399758593e-05
Fam13b	-2.34717656920088	6.01252722631404	27.315189365142	1.94870152642252e-07	2.46461951899255e-05
Ch25h	-3.19593204618389	6.27272081273639	27.3140239313906	1.94985721439284e-07	2.46461951899255e-05
Hspbap1	2.63714036006036	6.03174505449679	27.2551044172842	2.00523136704623e-07	2.47572189953831e-05
Nr1h2	-2.62185548132017	6.06923345257207	27.2566530694791	2.00760676188827e-07	2.47572189953831e-05
Vps26c	2.6138429472211	6.02130491138197	27.1953266127985	2.06717434107388e-07	2.51846589601676e-05
Zfp12	3.52318284387057	6.17770219510678	26.9944097865316	2.28978973221923e-07	2.72827964286035e-05
Pdk1	-2.79825849006193	6.11429666731158	26.9951589669941	2.29335215232526e-07	2.72827964286035e-05
Cabyr	-3.05272456413478	6.2112457629977	26.9284509432979	2.37256415572358e-07	2.78969403984615e-05
Rbbp8	2.98522326579664	6.13953802030495	26.8692722457833	2.44044374710678e-07	2.83652496215446e-05
Snca	-1.13983598015891	12.330059482604	26.8080067145407	2.51778955328366e-07	2.84369351751799e-05
Tsga10	2.692636892397	6.03337622231939	26.796631797512	2.53241849966778e-07	2.84369351751799e-05
Ciao1	-2.83597221060721	6.14067334082432	26.7426420784668	2.60797931181776e-07	2.84369351751799e-05
Hmgb1-ps2	2.35121972310567	5.9955337187829	26.734318291273	2.61408484576768e-07	2.84369351751799e-05
Ephx4	-2.70715023448701	6.1055686736764	26.7351228868143	2.6179845355245e-07	2.84369351751799e-05
Creg2	-2.14794848510439	5.98795164644761	26.7275520376157	2.62809741338752e-07	2.84369351751799e-05
Cybc1	-2.43283389058079	6.03910723916405	26.7161030450432	2.6434650973763e-07	2.84369351751799e-05
Npm3	-2.94917350312546	6.18126128590836	26.6389082072176	2.74946229363419e-07	2.92658554876094e-05
Gm13306	2.45430560270352	6.00747663456642	26.601003797025	2.79778894906661e-07	2.93713374403119e-05
N4bp2	-2.0369986120685	5.91604162489523	29.3376900816728	2.817464133416e-07	2.93713374403119e-05
Lix1	-2.03149591970555	5.96957308059339	26.5549683009481	2.86956809904505e-07	2.96092577730036e-05
Htr1a	-2.81218129622237	6.14274298981313	26.5337603689738	2.90073792240075e-07	2.9628547344764e-05
Cdca7	-2.64721017742245	6.08818222684806	26.4839640738158	2.97526689037614e-07	3.00371388895073e-05
Clec11a	-2.58475328712859	6.08090371445994	26.4676172807527	3.00014935506352e-07	3.00371388895073e-05
Tmem25	-2.87177523943735	6.17149729663639	26.4079114469551	3.09281895293348e-07	3.06613580902581e-05
Mcm8	-2.96002743409839	6.16526094003898	26.3716868531284	3.1504378929534e-07	3.09293475471309e-05
Mpst	1.99453907596656	5.92207850139691	26.278449422682	3.29767561967432e-07	3.20635537174487e-05
Fabp5	2.72250650786442	8.43388935938608	27.8453475363758	3.33885182210331e-07	3.21547329762939e-05
Uimc1	-3.10994477282796	6.30224655564962	26.2148343184917	3.41262174053265e-07	3.25551236228926e-05
Ppard	-2.43361025724825	6.04892897920351	26.1954491356079	3.44650964007365e-07	3.25711266172194e-05
Zkscan2	-2.19394020187586	6.01038424576164	25.9580204387646	3.8900221534508e-07	3.61454925276207e-05
Nbn	-2.91871108221094	6.21120300082226	25.9548981325827	3.89622101019646e-07	3.61454925276207e-05
Pmepa1	-2.69276290719049	6.13669403606484	25.8435215992453	4.12394820970388e-07	3.79103311786597e-05
Srpk3	-2.3170800944393	6.03843221889916	25.7903474658249	4.23733639410007e-07	3.86017528082342e-05
Fcor	-2.61793575194852	6.12273098827412	25.6707712773699	4.50388307478494e-07	4.01014783551088e-05
Wdr19	-2.98504607100087	5.97460128282643	25.6658645637274	4.50724243798775e-07	4.01014783551088e-05
Cdh4	-2.89442983807656	6.21853022135247	25.6633655300266	4.52093407088845e-07	4.01014783551088e-05
Pde8b	-2.59704251148862	6.1169844198895	25.6104295677282	4.64471544317723e-07	4.08411848360071e-05
Vgf	-2.47836637589134	6.08059848743625	25.5859850221769	4.70301724009421e-07	4.09973364929592e-05
Sec23a	3.70996356622275	6.69584228345445	25.5389007748309	4.80901255553146e-07	4.15630213346445e-05
Rars2	2.92606224717685	6.14805035783488	25.5219805443675	4.85073165087043e-07	4.15676236484216e-05
Cep162	-2.70981926739114	6.16046133173343	25.5088859196983	4.89175950767619e-07	4.15676236484216e-05
Tspan9	-2.54906997465296	6.10905214923432	25.4170214591255	5.12660120226238e-07	4.32001594643976e-05
1110032F04Rik	-2.8926867245694	6.25205599919118	25.2984970127259	5.4463958478674e-07	4.55156651352357e-05
Sgce	2.86312898079882	6.0494787357618	28.4757718855976	5.58723426281634e-07	4.59848387934836e-05
Lcorl	-2.56898242708322	6.11664524431909	25.2463075982094	5.59348810482445e-07	4.59848387934836e-05
Arap2	-4.45199238030617	7.01805665251891	25.0394455296436	6.23915395255666e-07	5.08792941679459e-05
Slc8a3	-2.60842993534352	6.14005705319834	24.9771860378644	6.41773178560486e-07	5.19168830528291e-05
Aldh9a1	2.25952186911853	5.99255749507345	24.8957509352865	6.67931592185954e-07	5.3604160795114e-05
Aox3	-2.67328779204671	6.06987818347633	27.2839557049284	6.81825931564323e-07	5.42883765352633e-05
Neil1	-2.55965545801637	6.11301525759302	25.3333729922754	7.74705805094351e-07	6.12017586024537e-05
Ccnd2	-3.4965734557283	6.304039459296	24.4874439342533	8.23005974482391e-07	6.45134605733794e-05
