logFC	logCPM	F	PValue	FDR
Crhbp	7.49826133873667	8.23818766609884	274.845491578121	1.38410568284006e-46	1.6347672220024e-42
Slc24a2	5.1382831740619	8.7060572786291	181.81989023269	5.31879730901837e-34	3.1410157508408e-30
Snca	-6.57178216488455	11.7084750436649	281.555490276614	1.42055362766558e-33	5.59271963211938e-30
Tac1	6.9039497880146	7.64816415111613	167.287117632548	7.6572968061435e-32	2.26100831443402e-28
Cdh13	7.25620216285556	7.66221090963732	164.372956583484	2.15808456274835e-30	5.09782735412415e-27
Syt2	7.26784206190281	7.53865155607462	147.022969707352	1.2423058548154e-27	2.44547907520412e-24
Grin2a	6.8859363441304	7.22316911511367	137.641828530297	3.00064977430361e-27	5.06295349775714e-24
Ptprt	6.07383350351398	7.38051836740021	135.860870989962	5.7784778383918e-27	8.5312002186557e-24
Akr1c18	6.587114797078	7.1472847508344	120.08195516638	8.79323988225962e-24	1.15396618054854e-20
Rgs8	6.01798240657914	6.97648079847217	108.837574003166	5.4303293889543e-22	6.41376204129392e-19
Aldoc	5.4789976129276	7.15839044682348	101.877004594686	2.50771142091077e-21	2.69259814476156e-18
Gabra1	3.39537204200697	9.43161746533433	109.061828184231	3.94174867234215e-21	3.87966613075277e-18
Satb1	4.55138991965017	7.98501369323351	98.5670256147746	9.34701097543949e-21	8.49211897160891e-18
Stac2	4.84742320641904	6.27083570687789	87.1470167757788	9.44086647495064e-19	7.96471956683157e-16
Synpr	5.18179537353716	6.90387590508218	86.2995350530763	1.33612222546038e-18	1.03730400041539e-15
C1ql1	-4.09915077129962	8.33248352819791	86.4912197465105	1.40520396297064e-18	1.03730400041539e-15
Cpne5	-5.17887566719339	7.25750286880559	85.5824002614579	1.79354632246456e-18	1.24609268321347e-15
Cfap61	4.59580991660979	5.83334346988468	84.5869075805694	2.70124288537142e-18	1.77246553995122e-15
St6galnac5	4.11043572882081	7.97771619845716	83.9638602267211	3.49208368126025e-18	2.17078949259815e-15
Pvalb	2.74360359577201	11.503912329551	102.067634843819	7.73338776096945e-18	4.56695214224051e-15
Cbln2	-5.26917143731726	6.79960231210101	82.8807415918803	1.02543067126422e-17	5.76731507538177e-15
Gfra2	5.27240889435727	6.34918477467512	82.6859588774805	1.2660587158263e-17	6.79700886028381e-15
Synm	5.04898155384261	6.6790448178029	80.2832007220954	1.60407067850305e-17	8.23725164513021e-15
Kit	-5.14268787222826	6.63670407161306	80.4666345990513	2.70481357823345e-17	1.33110638218814e-14
Mafb	4.37297993757625	7.53380722007617	78.7755286080983	3.00684216391107e-17	1.42055251191814e-14
Egln3	4.56641479786242	6.15080435758327	78.6525211604883	3.16532214427985e-17	1.43790845561882e-14
Rspo3	-4.98981098070708	6.5639632064225	78.3077946160718	3.65568276056139e-17	1.59915811425891e-14
Cbln4	4.90883090037029	6.18874624067735	78.7759876737221	6.05159582993713e-17	2.55269279812098e-14
Marcksl1	-4.72932749587637	7.2973573183344	76.0009028145995	9.61345537236899e-17	3.91532832424311e-14
Krt12	-5.03501732010227	6.57864539265904	77.1211477469763	1.04809455937231e-16	4.12634828024879e-14
Atp1b1	1.40323451260272	11.5839245037366	75.0964456176791	1.4065238180762e-16	5.35885574687032e-14
Npas3	5.50945977001045	6.62999585332768	74.5644802487137	1.7600255081991e-16	6.49614414916863e-14
Cela1	4.51175689877777	6.05850270927701	75.2061680181184	2.56215277055317e-16	9.17017768878895e-14
Rbp4	4.96582330715136	6.28339771499524	74.7277886558329	3.1121887352201e-16	1.08111944563778e-13
4931406P16Rik	4.22940609052355	5.88023116079032	72.4444658167099	4.31336726213082e-16	1.4555765923722e-13
Epha7	4.48302349985643	6.21440023526496	72.2790605612467	4.62672884050594e-16	1.51795262042266e-13
Gng13	4.73100114270618	6.67212422160265	72.1922076338972	4.80033997581206e-16	1.53234636363017e-13
