logFC	logCPM	F	PValue	FDR
Rbp4	8.84813863004265	9.96761602094117	527.43625431271	5.5942136423353e-82	5.92539108996155e-78
Cck	-6.15367572957814	10.166026335467	256.928980806638	1.32962642133805e-43	7.04170152740632e-40
Pthlh	-7.37617936650681	8.85543260313096	197.177342734347	1.48914840340109e-38	5.25768662960811e-35
Tac1	7.00364457590209	8.4766670999429	191.354535721182	5.02003329575776e-38	1.32930481671665e-34
Satb1	5.13670663142132	9.01200914685608	152.058681368306	2.46345369776342e-31	5.21858031334202e-28
C1ql1	-6.69329685851167	8.46237872403935	149.338462112589	7.37590315538262e-31	1.30209277036354e-27
Cdh13	6.74025599834294	8.02693313971496	145.573531499795	7.51608264091057e-30	1.13729067617892e-26
Elmo1	-6.8187982971448	8.37505998435878	140.539309392303	4.6400675126368e-29	6.14344938673112e-26
Tmsb4x	-1.81227359505786	13.6320864202566	138.313607395898	6.55262428619471e-29	7.71171071548604e-26
Nfib	-6.49277900723085	8.15476727191809	120.942524102002	8.87745274472128e-26	9.40299794720878e-23
Ptprk	6.25384782215026	7.44604634184319	110.762996550941	6.60904215894225e-24	6.36390677704694e-21
Pnoc	5.35603337234453	8.12947958786482	107.111327633504	3.15101667161366e-23	2.78129738214432e-20
Epha5	-2.9906316482982	10.2434384760419	96.0450357477314	1.21810071456423e-20	9.92470982204948e-18
Snca	-2.86428218862	11.9357413172274	117.948149629239	3.41710469839074e-20	2.58528378323963e-17
Cpne2	5.39319417970133	6.93439227281566	86.5511458389621	3.36220158373597e-19	2.3741626116621e-16
Serpine2	5.49818699329412	7.47339962250811	85.4825720078393	3.92190509448716e-19	2.5963011725505e-16
Ubash3b	-5.82863627254468	7.68856790092044	83.8620890083731	1.01059817914487e-18	6.06090010631631e-16
Kcnip4	5.06033708455996	7.18420293970057	83.3080107346922	1.02998680054469e-18	6.06090010631631e-16
Th	4.99857608072954	7.03691877113438	83.1902011278151	1.46115106298846e-18	8.14553266272303e-16
Trps1	-4.80803535982267	8.28244516521026	80.885586796486	3.03157539404245e-18	1.60552232868488e-15
Cntnap5a	-4.79278071363897	8.22849816223302	80.1974744087205	4.12265032030475e-18	2.07938629488895e-15
Cpne5	-5.67945193789499	7.50332498569479	76.507355658082	2.15606216621833e-17	1.03804593020839e-14
Nr4a2	4.88995729625857	7.57046505673213	75.8815003237412	2.85722447982787e-17	1.31581398653638e-14
Synm	4.91609700617976	7.25554294877723	74.0301291578611	6.58274059981615e-17	2.90518285138553e-14
Gng13	4.9489518303977	7.34356811766437	73.4119882457399	8.70304985078071e-17	3.68730816077877e-14
Nacc2	-3.90527005080865	8.67680183950272	72.9814529120956	1.05731694381862e-16	4.30734656497185e-14
Gpc4	4.37490479099217	6.72500839624208	73.2602835962102	1.18025811227135e-16	4.63010886117708e-14
Pcdh8	-5.28950906587689	7.543705397387	72.1144192416907	1.56540067681742e-16	5.9216871317322e-14
Marc2	4.18652688697515	6.46544765407359	71.6659129948264	1.91812871638382e-16	7.00579978066809e-14
Ddn	4.5763441867927	6.30669493766807	71.5693584309544	2.00394263230153e-16	7.07525345377928e-14
Pde1a	4.2159805457724	6.71979595653374	69.078817521223	7.67939865396597e-16	2.56309829842104e-13
Nell1	3.49455387434711	6.33851370422054	69.0603289831824	7.74349939100014e-16	2.56309829842104e-13
