logFC	logCPM	F	PValue	FDR
Rbp4	8.23101615288161	9.03106233667159	367.359588322434	2.3255003240547e-54	2.80827419132846e-50
Pthlh	-6.24252311183052	8.49343578728151	252.898232962167	8.01609371778303e-44	4.84011738679739e-40
Tac1	7.37474681790655	8.42642527115196	241.502558682164	2.49499733752251e-42	1.00431959493073e-38
C1ql1	-7.23044785068122	8.07872605729247	255.258941325837	1.15586153378781e-41	3.4895459705054e-38
Snca	-6.60509407898496	11.4444672176705	307.862028878665	4.5868541874677e-38	1.1078170233572e-34
Slc24a2	5.04566565019855	9.05335991971727	186.827368173998	9.42954780156647e-35	1.89785365419528e-31
Syt2	7.55702749837925	8.03314731739386	178.412456691722	2.9117458755362e-32	5.02317759899645e-29
Crhbp	6.49437961577942	7.76671647673373	162.898142251098	3.39291617422302e-31	5.12160696498965e-28
Satb1	4.98402226166889	8.68166031600235	149.733083649554	3.60371269866315e-29	4.8353816165618e-26
Unc5b	-5.28661199906574	6.66331501006048	115.461370781959	6.77801358222226e-23	8.18512920189161e-20
Fras1	-5.00400697351483	6.15388057921577	109.456497001272	1.25165901632089e-22	1.2909149693624e-19
Pcdh8	-5.0646804419185	7.13187728389228	109.393482224445	1.28279062871388e-22	1.2909149693624e-19
Cpne5	-5.28549364418269	7.11655741723256	109.053379662135	1.46476324201398e-22	1.36065237773544e-19
Kit	-4.86792466555962	6.54720522549979	108.318019801157	1.9519933715152e-22	1.68373371102982e-19
Gng13	5.30611527193106	7.32949578849758	105.285501689989	6.41020880606295e-22	5.16064543613441e-19
Cbln2	-5.23303103431211	6.68851489010753	108.408582719596	8.83257672556052e-22	6.6663872836168e-19
Elfn1	-4.83063207823133	6.69853594169718	102.998153417071	1.57992823740824e-21	1.1223066702907e-18
Nectin3	-5.05389220012632	6.19531670261188	102.500819713608	1.92343774578463e-21	1.2904130121164e-18
Hs3st4	-4.27402734147361	6.20122279603593	102.266513228032	2.11039520782382e-21	1.34132276472002e-18
Trib2	-5.55730726246936	6.56262923423975	100.367356482588	4.48399007996305e-21	2.70743321028169e-18
Krt12	-4.99559986849559	6.49200233520594	102.465200940728	7.97271246310762e-21	4.58468931926131e-18
Pde11a	-4.66664058337612	6.36947998567439	99.4055850969303	2.50814488550085e-20	1.37674352896856e-17
Aldoc	5.23411119398038	7.40605300253598	95.1993369888919	3.54266558918819e-20	1.86005346326246e-17
Nfib	-4.31817241494314	7.81466455876698	94.2036444285414	5.29020211437235e-20	2.63517851173333e-17
Pvalb	2.34602399869494	11.4920579436874	104.180082497332	5.45540433863309e-20	2.63517851173333e-17
Chrna3	-4.10906962675184	6.16585346535123	91.8472227612043	1.37138543541949e-19	6.36955789158685e-17
Trpc5	-4.10168352376693	6.21751047460936	91.3504399664774	1.67747186340367e-19	7.50264823054173e-17
As3mt	-4.5210123881353	6.32910392691246	93.2762919966199	2.56331470539762e-19	1.10552101365649e-16
Cacna2d3	-4.95798963122421	6.98744138989288	89.1288682232899	4.14133641658001e-19	1.72450960574552e-16
Gfra2	5.37133330738626	6.70457455040803	90.5576075265076	5.58726786737636e-19	2.24906155888123e-16
Ntm	3.01394643184869	9.04510659105827	87.7538163435427	7.26224166781334e-19	2.82899452840367e-16
