logFC	logCPM	F	PValue	FDR
Crhbp	8.02600530445545	8.67587765617213	159.680862785146	2.1774455631311e-31	2.43460188413688e-27
Cryab	-6.66175910530773	6.96917886628387	110.464958432662	5.13952176113172e-23	2.87324964056069e-19
Gpr83	7.3406949413366	8.1194135769815	104.602135290587	3.8371688548046e-22	1.43011283218567e-18
Cdh13	6.58045578955467	8.05939993341158	89.8561742619114	1.34511124881197e-19	3.75992221824165e-16
Snca	-5.44191926174938	9.90030580244386	128.682140263358	1.0913723304882e-18	2.44052680543771e-15
Gpr149	-5.75833915747283	6.05451047457097	79.2647972168454	1.8283607225048e-17	2.95711786271325e-14
Ephx4	6.74723688073164	7.59896157576736	78.761702643079	1.85133932912913e-17	2.95711786271325e-14
Cbln2	-5.57900112644577	6.28830569152835	77.1109138209167	4.56190692622216e-17	6.37583516776124e-14
Slc24a2	3.52536218654285	9.1910628937224	75.6497693681909	5.97275700234496e-17	7.42015511591323e-14
Hdac9	-6.15846834423969	6.20758765090484	74.4952468474818	9.87721036233801e-17	1.10437089061301e-13
Pvalb	4.0053310319488	11.7865903907925	94.8824339459756	1.74080315350232e-15	1.76944727811904e-12
Trpc5	-5.0030013531581	6.07874655187517	65.6002481972648	4.95713174267819e-15	4.61880750124041e-12
Akr1c18	6.73087298874625	7.48022582195178	66.1531651371295	7.65484069058695e-15	6.58375182780405e-12
Satb1	4.50218352185886	8.36637530742933	62.8542383013483	1.68519876083817e-14	1.3458719532094e-11
Fxyd6	-4.87121120112905	6.03372633972902	62.4818257541675	1.99049849065796e-14	1.48371757493644e-11
Pcp4	-5.00421394559535	6.77735798051958	61.3255684604134	3.34071145746013e-14	2.33453092536636e-11
Krt12	-3.75460179968836	5.495305198086	61.293361478234	4.319435330551e-14	2.84091802534651e-11
Sntb1	-4.23176114575974	5.6756006844585	61.0989034602441	4.70655290061205e-14	2.92355377676352e-11
Cidea	-4.34804949463881	5.7495625329398	60.956613699882	5.01175301929194e-14	2.94928476361596e-11
