logFC	logCPM	F	PValue	FDR
Cck	-6.68110285247103	9.96557854460793	304.053262587429	5.16963156061058e-68	4.89667501421034e-64
Rbp4	8.53361911285438	10.5018981231471	301.122602550133	1.93390811482459e-67	9.15898883180926e-64
Tmsb4x	-2.10369481519093	13.4322833276517	167.268840686854	3.00408954981178e-38	9.48491207193907e-35
Nfib	-7.09567019638486	8.14827414074829	116.83568273514	3.13313852192265e-27	7.41927201991284e-24
Elmo1	-7.12935823734885	8.05432875090555	116.292096545885	4.12093032854148e-27	7.80669041438898e-24
Ptprd	-6.57860199782102	8.22007981316679	108.179001797259	2.46547229383119e-25	3.89215892786151e-22
Satb1	5.05101158663416	9.49289975040342	97.3989197140314	5.69189895211495e-23	7.70195241063326e-20
Epha5	-3.26615864204595	9.89059284445864	95.7350202506009	1.42034591731235e-22	1.68168956609782e-19
Slc24a3	-6.38480637953751	7.82713728851638	87.6437457891628	7.85779186525084e-21	8.269889394184e-18
Cryab	-6.19296751263537	7.33660170116057	78.1081066261773	9.77568764128e-19	9.25953133382042e-16
Ubash3b	-5.98664522178037	7.21138970132398	73.3084760050622	1.11095362246208e-17	9.5663206472371e-15
Cdh13	6.14574421081649	8.46562741409215	71.2852968680216	3.0967077474043e-17	2.44433464861779e-14
Pde11a	-5.92258324521771	7.35309147845596	68.7709448355644	1.10770004629184e-16	8.07087295267409e-14
Cntnap5a	-5.16019239195129	7.91069448458456	64.8991681254042	7.8944747864834e-16	5.3411760841122e-13
Pthlh	-5.15425078798475	6.80460650320093	61.2173320588985	5.11757143525657e-15	3.09373917164021e-12
Cbln2	-5.11965469702735	6.78486608520509	61.1513792040731	5.29189457120434e-15	3.09373917164021e-12
Sfrp2	-5.21277387382118	6.925545586437	61.0567187453005	5.55253018558738e-15	3.09373917164021e-12
Ptprk	6.46924426372134	7.80914264944009	60.5102030622629	7.33040966581575e-15	3.77199540722822e-12
Col5a2	-4.42443492068884	6.34579632185219	60.4474921233263	7.56629146297891e-15	3.77199540722822e-12
Ifi27	-4.85550680694584	6.6440880253143	59.4179823456948	1.27654184607897e-14	6.04570218302999e-12
Ntf3	-4.88411891341669	6.68803204729477	59.1573794238739	1.4572847256414e-14	6.57304805775017e-12
Lin7a	-4.79399690038293	6.66081721025678	58.1997880016345	2.37081851114266e-14	1.0207451335247e-11
Pxdc1	-4.68312283300464	6.56538468374922	58.1038929157832	2.48923976434766e-14	1.02513387164787e-11
Barx2	-4.64752983467838	6.55040835280983	57.8499606884123	2.83219960170848e-14	1.09982487469309e-11
Pcdh17	2.91085780859133	10.0571799952419	58.4713368301455	2.90283170052018e-14	1.09982487469309e-11
Krt12	-3.32537043140955	6.20516598096484	57.5579996470662	3.285344842175e-14	1.19687639788776e-11
C1ql1	-5.34781865330514	7.01833318460272	57.4254202024331	3.51441184570886e-14	1.23290774083534e-11
Fstl5	-4.59728197082105	6.53397514041254	57.0594515956605	4.23310553684259e-14	1.43199913017761e-11
Wnt5a	-4.56607722097941	6.48065821180559	56.5091532138306	5.59991863291863e-14	1.77280953050347e-11
Nr4a2	5.88799278932048	7.93790268916265	56.5039010679026	5.61489505015881e-14	1.77280953050347e-11
Npy	-3.96556019676253	8.61845899591965	58.204323866871	6.89306190687617e-14	2.08229002006715e-11
Slit2	6.04660551431112	8.01174406835639	56.0606033028035	7.03476358130794e-14	2.08229002006715e-11
Ramp1	-4.52199337046914	6.5651538981379	55.9933291965675	7.27962398674426e-14	2.08947267886187e-11
Siah2	-2.92505959120535	6.16570162349718	54.2464475200368	1.77037179905374e-13	4.82010566900775e-11
Tnnt1	-4.59623714536019	6.70977251512978	54.2317659882135	1.78364501272767e-13	4.82010566900775e-11
Unc5b	-4.33876080861042	6.49714488871674	54.179237164169	1.83196583703842e-13	4.82010566900775e-11
Phtf2	-4.12325046830639	6.39829937557359	54.0220726608595	1.98450455857538e-13	5.08033166995296e-11
Oxtr	-3.98086712104811	6.37717429083178	53.1083361716662	3.15958715695424e-13	7.87568672386068e-11
Sntb1	-3.79831606958684	6.33158017227756	52.9945936325916	3.34793413498293e-13	8.13118772475853e-11
Opcml	-3.05594063646965	9.20145108907057	53.9080097749377	3.69661256675609e-13	8.75357855807842e-11
Bambi	-3.94955364350749	6.37530590012187	52.733078101724	3.82469810536988e-13	8.83598547660086e-11
Slc41a1	-3.35916128867263	6.25786774803744	52.4871823757276	4.33479426859661e-13	9.77599316955884e-11
Cacng3	-5.16729318342326	7.25031832863342	51.8796330510546	5.90644581655197e-13	1.29889287865502e-10
Nrp1	-3.38195664867654	6.27052154565163	51.8377736643159	6.03370847348193e-13	1.29889287865502e-10
Olfr624	-3.36962776643642	6.27120718933045	51.4387133607234	7.39352807157511e-13	1.54241639425413e-10
Tsr1	-3.80982374497383	6.28204158086923	56.7746208771385	7.49062015790647e-13	1.54241639425413e-10
Inpp4b	-3.91513234548471	6.39923848041692	51.2620899921996	8.08951735208799e-13	1.6167584566983e-10
Slc30a10	-4.12196886998771	6.50932775959831	51.2371278288833	8.19303271975488e-13	1.6167584566983e-10
Caln1	-4.85045716575903	7.6047343078426	50.983543110328	9.32276888182192e-13	1.802148303033e-10
Flrt3	-3.90929774944818	6.41222079054645	50.8404731643559	1.00276303216092e-12	1.89963428812564e-10
Pcdh15	6.24457654041239	7.28900598084336	50.0440242982343	1.50515570167421e-12	2.79545780514865e-10
Ptprg	-3.68169736804285	6.35912049340584	49.7150940027035	1.77925699551557e-12	3.24098505029297e-10
Kcns1	-2.3867004557169	6.09577965459491	50.3491577336337	2.32994439224517e-12	4.16400627987665e-10
Serpine2	5.66734053685706	7.83061895361846	48.4494195126748	3.3919539588443e-12	5.9497384996617e-10
Trps1	-4.6215092235203	7.68518425287422	48.225245082813	3.80272354102864e-12	6.54898134193151e-10
Lamb1	-4.94919924778408	6.45809507981389	47.5759747945281	5.29546905551114e-12	8.95690765960742e-10
Id2	-3.4316913437937	8.55845003648525	46.8958639990716	7.50019464925265e-12	1.24634813539862e-09
Nrsn1	-1.64594969930882	11.2613027370537	46.0590644079468	1.14825890244595e-11	1.87522557309793e-09
Klf3	-3.1779706134292	6.09391844191322	45.5416249052861	1.49537336215214e-11	2.40070787903475e-09
Cntn5	-4.08323760922064	6.27670941652862	59.6389638333338	2.57361749917814e-11	4.06288415870256e-09
Ppm1h	-3.8578388656306	8.09997273010438	43.6742709127525	3.88095691907217e-11	6.0262990061396e-09
Lamp5	-4.22496040679723	6.55559182248877	43.0373690625558	5.37389902878803e-11	8.08622161182329e-09
Ptprt	-4.67340611789663	7.04825055854533	43.0357697518004	5.37829351293145e-11	8.08622161182329e-09
Map2k1	-4.18032246924543	6.55341400944753	42.9494947118353	5.62076328048849e-11	8.31872965512297e-09
Zfp697	-3.16796056201699	6.19737923623353	42.5188929734156	7.0047031466461e-11	1.02074689546203e-08
Rgs10	-3.45461220260343	8.36878756151892	42.4351904228212	7.31095714642039e-11	1.0492331225893e-08
Rasgrf1	-4.64658114986887	6.47378630738886	42.1446623442488	8.48176702462118e-11	1.19909398891361e-08
