logFC	logCPM	F	PValue	FDR
Xylt1	3.16603237913769	5.73362880153396	90.0952271862221	2.54879418206936e-19	3.17656218911304e-15
Rgs8	-4.92722132454458	6.54865373881304	81.4849862854365	1.80282939590971e-17	1.12343313806113e-13
Pttg1ip	2.52871877644197	5.78319873565476	70.1271421786004	1.0782973884368e-15	4.47960678402927e-12
Mxd1	2.25917402658454	5.67533961029802	79.9489780557718	5.86653055693139e-15	1.8278642582759e-11
Shisa6	-3.82436660580881	6.09445817790425	66.2007148816	9.54588970125561e-15	2.37940846693497e-11
4931406P16Rik	-3.74618627562824	6.08507392312156	62.6809771369796	2.68900733994583e-14	5.2283598375929e-11
Ch25h	2.79181328507966	5.85715673434766	62.4789929774566	2.93657376740354e-14	5.2283598375929e-11
Ptprt	-4.25038073869059	6.62616018105399	60.7506188302743	6.25067687710566e-14	9.16823638299231e-11
Rxfp3	-3.52393008758047	6.00891329508625	61.6101143459668	6.62072754930039e-14	9.16823638299231e-11
Nsun4	-3.79118829137079	5.92807501171451	62.0065554047248	7.56778442408352e-14	9.43172972773528e-11
Asap2	-2.73364621285725	5.74745336589425	59.5524222564849	1.59056499020061e-13	1.8021101338973e-10
Cdh8	3.08773383371421	5.88954820991563	57.9966966698895	2.09723842909675e-13	1.90548705667431e-10
Pex5l	-3.79382758310163	5.94932992927853	57.9103117758036	2.178703657294e-13	1.90548705667431e-10
Rab29	2.39507148082249	5.69269240283804	98.7762373734543	2.22262648641537e-13	1.90548705667431e-10
Lrp12	-2.88654378006675	5.81834007440548	58.6969681371805	2.29337285165005e-13	1.90548705667431e-10
Lamp5	-3.35491863039594	6.03069482587754	58.052895858454	3.02268257478875e-13	2.35448080809951e-10
Cav3	-2.82179549513535	5.80534726850363	57.1895657315627	4.38018053015704e-13	3.2111876439616e-10
Prkg1	-2.91714255021181	5.83134570102428	56.9569991720153	4.8412785465045e-13	3.35204747361587e-10
Polr1a	-2.68557324568889	5.78097634599744	56.7336940548806	5.32997794245344e-13	3.49618500509459e-10
Galnt18	-2.50988149064695	5.7584510009795	56.0066606585968	7.29284693818975e-13	4.22445088026655e-10
Ddx28	-2.47565027890195	5.73979139949496	55.9592385805693	7.44370955691203e-13	4.22445088026655e-10
Plbd2	-2.52656583634863	5.76905688833934	55.8950362877586	7.65297475440094e-13	4.22445088026655e-10
Zfp866	1.99380421741926	5.66187253925224	55.0313708744159	7.79606597497638e-13	4.22445088026655e-10
Fhdc1	-2.79969590876672	5.81035402922351	55.5125308222541	9.02849803445072e-13	4.68842379180664e-10
Cadps2	2.74458222441575	5.74981671454313	72.5663971781376	1.06513221741354e-12	5.24060716791094e-10
Abca7	-2.51437921411976	5.75878289890997	55.0645119125702	1.09597460324979e-12	5.24060716791094e-10
Evi5l	-3.65202505864218	6.15313738343708	54.1866155963164	1.13533173019013e-12	5.24060716791094e-10
Mmp28	2.78805775817781	5.70856379056823	100.435511969841	1.47769970525792e-12	6.18627337552042e-10
Ankrd42	-2.44787093964102	5.74053654008271	56.0411125941005	1.47771846959043e-12	6.18627337552042e-10
Stk35	-2.40345910970458	5.75453515245658	54.3572600195099	1.48911338574671e-12	6.18627337552042e-10
Faxc	-2.09039175387105	5.64657089565897	55.0039035456504	1.59621898960688e-12	6.36432408100019e-10
Tmem200c	-2.64336558326207	5.80260351746724	54.1431841497002	1.63410391231651e-12	6.36432408100019e-10
Nup62	-2.45000570700441	5.73947470660444	54.6112718794714	2.18822229999426e-12	8.26418621964498e-10
Psd3	-3.24119559957622	6.09710892357561	51.7622884228604	3.35452071481247e-12	1.19866888292465e-09
Gmnn	-2.34905860821992	5.73155158244574	53.6079869211513	3.4526097487971e-12	1.19866888292465e-09
Olfr525	-2.15454532663394	5.69643328279185	54.3307782468134	3.48365126892192e-12	1.19866888292465e-09
Mcf2	-2.38601702689661	5.75727456380102	52.3554628517051	3.55859332971292e-12	1.19866888292465e-09
Dbr1	-2.5986699391743	5.76340427797183	54.2653177361136	3.69964404726007e-12	1.21338588844743e-09
Zbtb16	-2.19288680921767	5.65835631376666	55.2495929824853	3.94197517142264e-12	1.25971375798565e-09
Sgpl1	-2.25644697389567	5.73120749031636	51.9300107295656	4.28537592900649e-12	1.30468269871643e-09
Plch1	2.86352930874335	5.9480617454364	51.212939882748	4.29206376052105e-12	1.30468269871643e-09
Plekha8	-2.45424654497871	5.70833919890705	54.6840690123632	5.4449764547022e-12	1.61573194178461e-09
Prdm4	-2.93932479688102	5.87989254947229	50.3087911208937	6.44426002731907e-12	1.86778634233669e-09
Spns2	-2.55080901332483	5.79946676726907	52.8904845407886	7.21758888495133e-12	2.04438205166246e-09
Egln3	-2.69113817921635	5.82822181032638	49.9633122127222	7.5288718083679e-12	2.08516287439309e-09
Spef1	-1.74238805378044	5.63875591622497	50.6405785873001	8.10628343209606e-12	2.19627413943942e-09
Amy1	-2.85252848840063	5.89800375092561	49.525330931026	9.17202780561692e-12	2.43214856471072e-09
Epha7	-3.13127350492298	5.97655554277944	49.4026489153819	9.69390312219471e-12	2.51698155441485e-09
Add3	-3.55767785351791	6.25160493651921	49.2106456090818	1.05712889532912e-11	2.68877498418098e-09
Slc41a2	-2.06655052166121	5.68559826814067	49.1502045182105	1.08636901804014e-11	2.70788341436685e-09
Drd5	-2.07285261126012	5.68929468270767	52.1791824019847	1.15067680731303e-11	2.81193824500828e-09
Smg7	-2.89680836632634	5.91636345299748	48.960756547718	1.18339857296831e-11	2.83628777209694e-09
Lrrk2	-2.31452455216813	5.74657209972204	52.0824379261716	1.67178565398561e-11	3.93121973690994e-09
Tshz1	-2.34968659697132	5.74489737203229	52.5926614006899	1.82575129736546e-11	4.21376637390106e-09
Pm20d1	-2.13294120363175	5.70908903749839	51.7788048896722	2.40913811410026e-11	5.45910696655119e-09
Vars	-2.13068838989012	5.6583150216956	55.6644492311805	3.31834501254459e-11	7.38509533773986e-09
Fpgt	-2.49452389196441	5.73145972717974	46.6341595189452	3.39607926963508e-11	7.42549753288806e-09
Tyro3	-2.14476580144559	5.69735989659398	53.8984770985887	4.1396154815823e-11	8.89517719775175e-09
Pvalb	-1.74809374981283	11.0707096902521	48.8842016761142	5.01810121918823e-11	1.06001009313124e-08
Ccdc92b	-2.529508201103	5.81765238719751	45.7032364088125	5.18791980377009e-11	1.07761740857311e-08
Tnpo1	-2.14675607603723	5.75062493731363	50.3106381541642	5.44435301983016e-11	1.1123437981335e-08
Galnt9	-3.0820057935825	6.01818493912895	45.472301075318	5.76389093792312e-11	1.15863504450542e-08
Ar	-2.30170868143159	5.73349887027215	54.0344209410719	5.99642440164585e-11	1.18624503678908e-08
Trpc3	-2.81685806807271	5.6806017776739	49.5555089954845	6.23498400297098e-11	1.21416571295355e-08
Pbxip1	-1.93269832957232	5.66435170617277	51.8890300454357	7.93582380085843e-11	1.5216026466169e-08
Gm49395	-2.53051429270369	5.80611210544315	44.1335228416879	1.06257532625012e-10	2.00649640773564e-08
Cyp4f16	-1.72475928138775	5.62032593289272	52.7377445852761	1.10048005314083e-10	2.04705714959614e-08
Cenpu	-2.59522556101846	5.71832161082459	53.0588549142031	1.13772957240612e-10	2.08522406777905e-08
Nop9	-2.43728176069719	5.78668644475854	43.6761531805315	1.31021134271372e-10	2.36654550206392e-08
Gna12	-2.04033395507185	5.6764060303718	52.8506119086965	1.37018421417476e-10	2.38301906817456e-08
Asb2	-2.33472737268544	5.64689061261033	47.5633989162726	1.37396137097411e-10	2.38301906817456e-08
Ddn	-2.73299312878927	5.92197518866131	43.5681775093263	1.37669399750115e-10	2.38301906817456e-08
Tmem38b	-2.65703921166771	5.80533719836865	43.4694780391031	1.44043113791206e-10	2.44162416516655e-08
Ngfr	-2.40000898195714	5.80354363048242	43.4554427763493	1.44973271461385e-10	2.44162416516655e-08
Capn12	-2.068759172538	5.68124568739857	55.1191275535619	1.47290522538611e-10	2.44757570986494e-08
Prpf3	-2.48652512310163	5.69524747901896	56.2800772319878	1.87517679285623e-10	3.07504320649568e-08
Tac1	-2.58550287201003	5.80855690506075	42.6054667246665	2.14184332509133e-10	3.46672641046925e-08
Mal2	-2.89186253569635	5.96352073709742	42.2144143469206	2.56394282741064e-10	4.09672044333575e-08
Sec14l2	-2.27514815935719	5.70319833189678	56.1705352061275	2.99663821001909e-10	4.72748126727441e-08
Mapkapk2	-1.54667719222897	5.60508349784964	49.5978688392423	3.13308418860858e-10	4.74023900368548e-08
Zfp956	-2.16525855338545	5.69385400467728	53.5939133243038	3.13308511886178e-10	4.74023900368548e-08
Gal3st1	-2.32855565745578	5.7483285648	52.8907353713076	3.14571334093523e-10	4.74023900368548e-08
Tns3	-1.98633014269769	5.68148539246779	51.0948121933471	3.15686301296554e-10	4.74023900368548e-08
Slc25a37	-2.10771646763968	5.71845167664392	47.8616479901725	3.45600876164818e-10	5.12764728528825e-08
Ap5m1	-3.59226028916966	6.02042407702216	41.0863063820735	4.3128401732341e-10	6.3236384798843e-08
Map3k9	-2.26905573140265	5.76207885358524	40.8971106496904	4.70667084831788e-10	6.71630711617523e-08
Ints1	-2.1586325667891	5.75859765108801	40.8808919495526	4.74207131376456e-10	6.71630711617523e-08
Slc24a2	-2.91234745100168	7.371220717477	40.8807796005194	4.74231746949708e-10	6.71630711617523e-08
Zfp955a	-2.0357347642586	5.71245407548604	40.8276931606202	4.86007978595472e-10	6.80574992947794e-08
Slc25a40	-2.72330794390873	5.86388233512027	40.8011368813647	4.92008973853209e-10	6.81323093459172e-08
Pex11a	-3.40550108083552	6.26911192829118	40.6530180261001	5.2687404605696e-10	7.15721100685031e-08
Slc25a26	-2.02695114608987	5.72114317680597	40.6470303710759	5.28334600521727e-10	7.15721100685031e-08
Zswim4	-2.32547397462297	5.80684468110158	40.4040949718535	5.91160234475489e-10	7.92218279813766e-08
Rab33b	-2.9196374378473	5.97701906970992	40.1199803377266	6.74243250571255e-10	8.93946131049952e-08
Pdf	-2.37637405370709	5.77028118776902	39.8034185344948	7.80739953900127e-10	1.02424863636392e-07
Rps6ka2	-3.61262025770283	5.95173151241774	39.6605212774634	8.34210482668126e-10	1.08299637973884e-07
Ddo	-1.97971890041857	5.7063421191731	40.8866277647353	8.47578530268785e-10	1.0890073425505e-07
Nrp2	-3.22283679188097	6.08183196628732	39.5016933974731	8.97979396998849e-10	1.14199155355068e-07
B3galt5	-1.90011995308455	5.67640446590606	39.235616644909	1.01599722720438e-09	1.27902762046952e-07
Sufu	-2.06749758202647	5.69786857605083	53.1116615172197	1.07115535123099e-09	1.33498091423919e-07
Tacc3	-2.03097451733472	5.67602149688791	52.9564331186565	1.08994116040212e-09	1.34494422594966e-07
Oprd1	-1.96947126001985	5.70252579953269	39.0542047838537	1.10529748727394e-09	1.35052182195051e-07
Usp27x	-1.99022787612445	5.73655373412058	38.7423335774081	1.27768139119487e-09	1.53131365493046e-07
Fmn1	-2.34900751063405	5.80282376427214	38.7420744138834	1.27783535354864e-09	1.53131365493046e-07
Fancm	-3.03285852812739	5.8605584103862	38.7059218404766	1.29949666883949e-09	1.54244066511872e-07
Rcc1l	-1.90949528659999	5.68809311162684	38.5921053731851	1.3701345097966e-09	1.61094211279199e-07
Apold1	-1.90808852539906	5.68993601116343	38.5328024924019	1.40845822497486e-09	1.64052475307118e-07
Lin28b	-1.81850065950251	5.62254643440828	50.5118009828637	1.42265828889878e-09	1.64172131986532e-07
Aldoc	-3.30513601092445	6.3315478337813	38.2934138430748	1.57444840601613e-09	1.78689486005245e-07
Wdr27	-2.75728325609761	5.81165808657881	38.2897506774306	1.57713579881064e-09	1.78689486005245e-07
Plekhm1	-2.05453264992765	5.69311876380457	51.4665343930543	1.64202329199577e-09	1.84365191785075e-07
Fam135a	-2.710383142161	5.92675032996848	38.1835955663579	1.65705200842202e-09	1.84391421258604e-07
Zfp715	-1.57749242977411	5.63151383194446	49.2555797022502	1.67852197710704e-09	1.85127605315796e-07
Gm3512	-1.7978227324068	5.66978939825972	38.0847553656035	1.73512225393736e-09	1.8969147939317e-07
Fosl2	-2.55958743589896	5.94858443502955	37.7701236927246	2.00916226786675e-09	2.16708098612966e-07
Marc2	-2.96973796592658	5.76069421204352	55.6509793052121	2.01702153888342e-09	2.16708098612966e-07
Mrap2	-1.83455105770519	5.65914837603838	45.0401906656951	2.07961606568812e-09	2.21523547236505e-07
Cntrob	-2.97427762462708	5.66414920752571	55.3722891564751	2.24555361106022e-09	2.37172327581725e-07
Pon2	-2.61871301098949	5.87262143752807	37.5111684675199	2.26712610011377e-09	2.37438593157294e-07
Lhpp	-1.87216177337546	5.70642286772244	37.4595509262687	2.32240287422203e-09	2.41200891845243e-07
Rnf24	-3.32173198071854	5.97209083483135	37.4199217831739	2.36576026574571e-09	2.41834850316888e-07
Fbxo42	-3.5046145561125	5.90319037012439	37.4185139949149	2.36731539265509e-09	2.41834850316888e-07
Rsph9	2.45928547467362	5.66719547385012	85.2812652478758	2.43309177792336e-09	2.46533518928933e-07
Synm	-2.95765773956915	6.03898651891087	37.0304831878447	2.83768791402441e-09	2.85210519939406e-07
Cul2	-3.18462531029002	6.39893018974293	36.8769605455027	3.04881378165447e-09	3.03978929286077e-07
Med12	-2.58231673439559	5.70047517925686	57.4568846713167	3.19400367605724e-09	3.159275223389e-07
Oscp1	-3.54946380880095	6.3035384736806	36.5284140516367	3.58874530175945e-09	3.52177422801796e-07
Hhatl	-2.25687668756111	5.67256598090638	53.2586100083892	3.64702731144735e-09	3.55100792051315e-07
Ccdc36	-1.72800383954175	5.63692809571134	53.8240142949781	3.68981176369653e-09	3.56481581480232e-07
Zswim3	-2.19923716582473	5.71322604791618	52.1429269675265	3.76402129131666e-09	3.60853825797535e-07
Mknk2	-1.82800283321358	5.69456886359252	36.403529452939	3.80480947702335e-09	3.61979698565969e-07
B3gntl1	-1.67879905976371	5.6604998715952	36.1664757586334	4.25162563695661e-09	4.01424320555987e-07
Parn	-2.54170581929348	5.87509619139062	36.0808841381128	4.42562815852236e-09	4.14711306313264e-07
Panx2	-3.27660519054436	5.96487843433809	36.0460243743874	4.49853409354437e-09	4.18397241849578e-07
Alg13	-1.82487435396598	5.65712182360253	50.4733071872307	4.73870408281007e-09	4.34343079808851e-07
2700049A03Rik	-2.97966073823647	5.6600694078481	51.4992615724723	4.73968216753621e-09	4.34343079808851e-07
Kcnab3	-2.9318433253808	6.9856861474368	35.8935413134002	4.83191851466562e-09	4.39563506921735e-07
Rps6ka4	-2.39598977597309	5.82081689817434	35.775224644653	5.10765187908743e-09	4.61280183833816e-07
Etv5	-2.80777697739222	5.79128984321179	35.721373115477	5.23834414823084e-09	4.68012680307938e-07
Lmln	-1.8222772215219	5.69411447033073	35.7134085468362	5.2579570644687e-09	4.68012680307938e-07
Anks1	-3.0785578445392	6.36350399887622	35.698505138034	5.29485580706244e-09	4.68012680307938e-07
Slc16a6	-1.81457094768623	5.68160335282165	48.9278385999575	5.36765632732859e-09	4.71106343714762e-07
Pelp1	-1.97915253731512	5.66419684258073	52.7146209735047	5.92985895916939e-09	5.16810015441455e-07
Grm5	-2.00465881216142	9.29069157476086	36.7549813091314	6.01390112414538e-09	5.20494789654332e-07
AC117188.2	-1.60984245725362	5.64899826896839	39.6820508173178	6.74756036572418e-09	5.7681307499102e-07
Rassf6	-1.54407552105758	5.63454961855934	35.1792167172099	6.7571779626646e-09	5.7681307499102e-07
Syce2	2.17546503290879	5.7658355913679	36.7036406570083	6.97818994191361e-09	5.91627083306594e-07
Sptlc2	-3.2050284079378	5.95038664989383	34.8970499940032	7.7158951402942e-09	6.49751359010045e-07
Adarb1	-2.75473110003002	7.53553356642134	34.802072093533	8.06850512892871e-09	6.74884425649923e-07
Zbed3	2.15869931399251	5.79137139510117	34.635316090928	8.72730545804399e-09	7.25122719490682e-07
Plec	-2.62414729595225	5.83181419971133	34.5813881179187	8.95174232085797e-09	7.38844798310284e-07
Pcdhga12	-2.30241142170274	5.79625173053381	34.5288824997463	9.17584173923966e-09	7.52358655237789e-07
Gm3435	1.22536527500979	5.59255448988683	34.4854741572608	9.36537213001022e-09	7.59149813650229e-07
Tiam2	-2.18821083201217	5.77890622460262	34.4820494224533	9.38049196037353e-09	7.59149813650229e-07
Zfp882	-2.01817449124745	5.69427429892187	51.8795437650724	9.69999226714537e-09	7.7994195887376e-07
Efnb1	-2.07829560626863	5.7502467842643	38.6788490832034	1.04424636965755e-08	8.34259134938589e-07
Mios	-1.70288395303626	5.63075171624792	50.9453548044164	1.2257548744749e-08	9.72510499954303e-07
Zbtb7b	-2.30388241523724	5.81905352298094	33.9023085862412	1.23290266382717e-08	9.72510499954303e-07
Zfp777	-1.95729832395825	5.67503891901177	51.5661584325437	1.36645825846149e-08	1.07107982862928e-06
Gng13	-2.93304587660953	6.09597769341699	33.5689412086824	1.44306302146096e-08	1.12405590227925e-06
Soat1	-2.88323226073051	5.83577934409205	36.6441555568077	1.70183750381599e-08	1.31739135466203e-06
mt-Atp6	-0.664388013179547	13.4813628170652	32.955137905603	1.92901375328333e-08	1.4840307658747e-06
Slc51a	-2.66074291089257	5.98883173590999	32.9314526968454	1.95076193745244e-08	1.49155497094906e-06
Wnt5b	-1.92686260280755	5.66900139892233	52.5387277266995	1.97313840074793e-08	1.49623720447323e-06
Sox12	-1.67912842144791	5.62840411373185	50.7174258286377	1.98089656373332e-08	1.49623720447323e-06
Gm47860	-1.56554960309942	5.62417559867032	48.8678466209308	2.04919693253987e-08	1.5385024921834e-06
Caln1	-2.00182425439507	8.47911185419819	32.6554463713832	2.34800601034246e-08	1.75228735969449e-06
Snx13	-3.05971564739595	6.10347101427052	32.5170050737913	2.37389887020447e-08	1.75705121461377e-06
Ss18	-1.99806394605045	5.70772299407833	35.948720946721	2.38258569581743e-08	1.75705121461377e-06
Zscan22	-2.09852236802083	5.76040968295415	32.424488398116	2.48033231472051e-08	1.81837539049186e-06
Esrrg	-2.76896562011666	6.05065315322869	32.3422719691676	2.57894263645603e-08	1.87098217177058e-06
Cpne5	2.55119908225835	7.19638922801768	32.3396802420947	2.5821145273573e-08	1.87098217177058e-06
Ccdc177	-2.57229169597121	5.91120120261763	32.1713982082977	2.79670237070332e-08	2.01475732058239e-06
Kif1c	-1.83767559835157	5.73201388176499	32.1559739267583	2.81724768200479e-08	2.01789412993251e-06
Limd1	-1.60395366643009	5.62009067215349	49.3904174856797	3.00804703131636e-08	2.11803937582584e-06
Zadh2	-1.75994696712147	5.63923597676662	51.5772842834627	3.00804727108541e-08	2.11803937582584e-06
Kcnd1	-1.91556118056921	5.66806585129817	51.5103978993952	3.00804757699731e-08	2.11803937582584e-06
Gm5176	-1.54904639284784	5.63682273622898	33.4412178129568	3.22361484706112e-08	2.25707369881589e-06
mt-Co3	-1.05874501493506	11.9108316589774	32.8385906820567	3.45761555662987e-08	2.40738897666358e-06
Crlf1	-1.26452707059216	5.59274481159665	46.2524478026761	3.71982564936739e-08	2.57556594822588e-06
Abca8b	1.94547090601621	5.75803398300249	31.3428981334766	4.14590156326247e-08	2.85471663994144e-06
Stk3	-1.74191291249707	5.68411154524362	36.0811618515458	4.20656475984532e-08	2.88057234076661e-06
Ptgds	-2.29422149355176	5.8341987157504	31.2990390449248	4.23333796434771e-08	2.88306508468118e-06
Usp31	-2.80643001564106	6.18511434104624	31.1929861420759	4.45251471737756e-08	3.01585276753677e-06
Smarcd2	-1.87490011251448	5.64872926569025	52.486085700576	4.53000923487983e-08	3.03638482037476e-06
Dixdc1	-4.01861827613474	5.82579886736629	53.4819415531108	4.53155401259493e-08	3.03638482037476e-06
Rftn1	-1.95588306028257	5.69159500397068	49.6929950901891	4.56925720973831e-08	3.04420529421711e-06
Smo	-1.72018191628957	5.63863912502063	51.543083197013	4.59207731134412e-08	3.04420529421711e-06
Arhgap27	-2.27472160496471	5.74083532867933	38.3411283543221	4.65453376323913e-08	3.0692832958333e-06
Galnt13	-1.90491192905396	5.67618129803285	50.0926755690893	4.89308791418605e-08	3.2096081407632e-06
Tmem64	-1.96205713078147	5.7327733530884	30.7580529319839	5.47762412489315e-08	3.57422143814363e-06
Srebf1	-1.7695098585516	5.69127852641007	36.0212917339074	5.54175178844526e-08	3.5972319030934e-06
Epha4	-3.10122171007923	6.82043370901755	30.660311953781	5.73895254066974e-08	3.70593603701383e-06
E130309D02Rik	-2.35511882956164	5.82379552578833	30.5371819660122	6.08611403054784e-08	3.90985768879988e-06
Ryr1	-2.4659087050907	5.7199470640062	42.6840359126456	6.14817415198241e-08	3.9150629398065e-06
Fam160a2	-3.14653294199081	6.21337617534269	30.5128967475135	6.15704353849052e-08	3.9150629398065e-06
Gnptab	-2.70438622397276	6.03984962187665	30.3011620252232	6.81182040905017e-08	4.30942729736002e-06
Rab6a	-0.927365842744648	10.6123676675278	30.2773113364095	6.88984123406088e-08	4.33677228788388e-06
Arhgef33	-1.49259577988412	5.6100879823106	48.7506755132387	7.01986519778182e-08	4.39641105326406e-06
Zdhhc13	-1.76807261817292	5.62735190159975	48.6740179870389	7.31234792185852e-08	4.55477436516188e-06
Pgap2	-2.52322796645899	5.90713367150039	30.1431401161444	7.34582080877427e-08	4.55477436516188e-06
Syde1	-1.49373720711083	5.62520873392521	34.9703977829541	7.52029998726926e-08	4.6398761753137e-06
Kcng4	-2.66692189520788	6.13332557764931	29.9841260830553	7.92576062197563e-08	4.86594850402376e-06
Nqo2	2.54364032251203	5.95689418219409	29.7591398251408	8.82598969279314e-08	5.39207399712161e-06
H2afy2	-2.53447804058212	5.96838541476292	29.7368764282457	8.92049098548879e-08	5.42322337327545e-06
Togaram1	-2.89204549862032	5.99547138022654	29.6985346771498	9.0856351064755e-08	5.49680923941768e-06
Pigm	-1.95863352926501	5.75036908793417	29.6532967340738	9.28444682843348e-08	5.58995462911915e-06
Frmd3	-2.19103131960176	5.6976305974634	48.3465854960995	1.0810079984507e-07	6.47721282917841e-06
March4	-2.66696722504592	6.12409101617584	29.2241957370703	1.14024585315819e-07	6.79946606120119e-06
Rab37	-1.7690351992286	5.68342553409359	29.1671073695752	1.17187530217048e-07	6.95480090045273e-06
Fndc3a	-2.52850707251966	5.9761093251182	29.1367159269914	1.18907243410346e-07	7.02341694134192e-06
Fryl	-2.74303087591469	7.17315584906953	29.0935638460487	1.21392786037669e-07	7.13640703956355e-06
Tead1	-2.99067082744498	5.96829174551914	28.9585534228128	1.29512491628263e-07	7.5780008599204e-06
Cryl1	1.97186868383782	5.77736224437346	28.9416113926272	1.3056931424566e-07	7.60413721235357e-06
Ncoa3	2.74744683026758	6.20128399664707	28.8532259984324	1.36225200805197e-07	7.89662640760544e-06
Dhrs7b	-2.64350547790049	5.98828196804831	28.7985562399376	1.39846465416673e-07	8.06901156707404e-06
