logFC	logCPM	F	PValue	FDR
Pou6f2	5.81671714255035	5.59158512882281	131.833294797387	3.39352457080004e-26	4.11600595192337e-22
Prlr	4.02626067103618	5.77328773737579	77.2789987970713	6.30013106216616e-17	3.82071448265067e-13
Col5a2	3.98506635208837	5.72983016567341	72.146323231526	5.41434456974935e-16	2.18901950954966e-12
Serac1	3.75955255777455	5.65307041079962	62.821351925253	2.89726995720287e-14	8.7852468277284e-11
Elfn1	-5.72674620131579	7.45867402167112	61.8008636375776	4.50480107807853e-14	1.09277464552029e-10
Fxyd6	3.80196296702044	6.00178153607861	57.3816010661926	3.08861507494843e-13	6.24363537400825e-10
Pvalb	-3.00909443738222	11.1825830889922	57.394586378892	4.1004394548292e-12	7.10489002108905e-09
Grin2a	4.33655953562809	6.44401570113075	49.8847924310422	8.53369573115382e-12	1.29381494403956e-08
Pcp4	3.74476364137482	6.5589221676509	49.3144736890315	1.10159138320445e-11	1.48457798743186e-08
Pnoc	3.24052435097387	5.78793060540233	48.0052255795933	1.98265719679705e-11	2.40476491399514e-08
Fxyd7	2.69758098338228	5.61028022830342	46.8305530245588	3.3655287713565e-11	3.7109544061621e-08
Slc16a10	2.69903532446404	5.59186401645106	45.3615796295283	6.53930380950355e-11	6.60960132545572e-08
Cryab	3.40555258566086	6.80151800965445	43.6592095755904	1.41708104776864e-10	1.32213661756814e-07
Cep72	2.55316651107785	5.50272394218412	68.5644432682473	2.44045007471916e-10	2.11430135401919e-07
Clmn	4.26561166108217	5.68732861305232	59.5816923547992	3.16608771247446e-10	2.56009852430685e-07
Fam126a	3.0442838050103	5.82687313919754	41.0470474541593	4.67803004159689e-10	3.54623914840804e-07
Sfrp2	3.33989066655045	6.34832849714308	39.5942293120747	9.12662971801727e-10	6.5115818735195e-07
Parm1	-3.76291468466084	8.71612585728224	41.7887620200821	1.02603794916963e-09	6.91378571415469e-07
Gpr83	-5.08091560085536	6.98029021878477	38.1256363846727	1.94634977029127e-09	1.24248822967699e-06
Kcnip4	2.9011444671932	5.59053149964717	59.2529089428788	2.17239503996387e-09	1.31744897198609e-06
mt-Atp6	-0.930007663700202	13.4850256413565	37.1202459821712	2.86800598284205e-09	1.65647831266149e-06
Eps8	2.90496044373313	5.6884482160364	36.8907742176935	3.19080295462039e-09	1.7591476834814e-06
Itih5	-4.65454740673848	6.75569301337748	35.204667405806	7.00314735845054e-09	3.54111312891332e-06
Ccdc63	2.48741051507673	5.54647825651485	35.2035208401727	7.00690206067439e-09	3.54111312891332e-06
Rasal2	-4.95928589522276	6.49033951077728	35.1882422567474	7.55395988815064e-09	3.66487917933516e-06
Olfr1150-ps1	2.08402614097107	5.52482426013204	34.770578989032	8.57998581910625e-09	4.00256338461307e-06
Limk1	-4.47848228488665	6.88110641732777	34.3160178706045	1.06163096149531e-08	4.64309131939438e-06
Nacc2	-2.01822720278041	9.24964601458742	34.2955551437638	1.07186542124695e-08	4.64309131939438e-06
Cyren	2.48486731910727	5.59443611931484	33.924628928228	1.27561078166232e-08	5.33513212785597e-06
Lpin1	-4.43680150943645	6.37991056278579	32.5404796124924	2.59528651583742e-08	1.02170267844457e-05
Cdh4	-4.27186529951295	6.29792554463068	32.5273231379586	2.61132682263845e-08	1.02170267844457e-05
Commd10	2.31666333949034	5.58689883844165	32.1425819942465	2.95205339359832e-08	1.11892048784231e-05
Kcng4	-3.92822008409507	6.14128300473369	32.1349790600186	3.13847626602371e-08	1.1535326857758e-05
Slc9a3r2	-4.15176827977629	6.30443595610416	31.9547711679653	3.41535696875994e-08	1.21837837276733e-05
Id2	2.5752811865821	8.08347841858823	32.9702273047257	3.8226214376834e-08	1.32470215479034e-05
Id4	-4.3707042666771	6.42717123014231	31.6264245849047	3.98472205214961e-08	1.34251927140341e-05
Ippk	2.70263846273627	5.68206768197537	31.2562412522968	4.48942032561081e-08	1.47168051700901e-05
Cnn3	-4.26911917076228	6.08335533485269	31.312084269563	4.61932360859715e-08	1.47441515917565e-05
Npas2	2.30537479206022	5.54994761076627	31.0620734044962	4.92208469653634e-08	1.5307683406228e-05
Cd72	-4.20589676535518	6.28907250762486	31.0414151322375	5.24688071442351e-08	1.59098540463107e-05
Tmem25	-3.89807241569772	6.16808091695041	30.9295486159628	5.53072307090185e-08	1.63614975919435e-05
Vhl	-4.5318324283527	6.03221557023757	31.1367506721752	5.76735815654253e-08	1.66553064477867e-05
Tmem229b	-4.22052894776628	6.43167930005268	30.6269700786495	6.05046975907008e-08	1.6903013689767e-05
Zfp266	-5.01448301335304	6.51915118385521	30.5988269496408	6.13185425302784e-08	1.6903013689767e-05
Uimc1	-4.25418163954357	6.14512374155812	30.6103141283477	6.42878066999462e-08	1.71479019116635e-05
Gm10025	1.7953373651551	5.5080660844997	30.474933138725	6.50345030865301e-08	1.71479019116635e-05
Dhrs3	-4.11073379923656	6.26281222304469	30.3662308484347	7.21346556099708e-08	1.86153454870922e-05
Zfp93	3.51236642959998	5.6040639022314	30.4771938355609	7.46176122133639e-08	1.88549378861644e-05
Sertad2	-4.16661862574798	6.17019522491159	30.0618385975702	8.32876824097504e-08	2.04585910008158e-05
Syt5	2.06197765113346	5.5431167066114	29.9030435140691	8.53562248816232e-08	2.04585910008158e-05
Shisa6	-3.8915554629917	6.13387796807616	29.9934376090895	8.60242510546299e-08	2.04585910008158e-05
Rab3gap2	-4.01776180877265	6.3099770107966	29.8351741874947	9.27086206428881e-08	2.15889864311678e-05
Amn	-3.92810903383194	6.17889270497396	29.798357587714	9.43372314990429e-08	2.15889864311678e-05
Nrep	-3.79461793730196	6.152259417847	29.7334412789185	9.72794320790844e-08	2.1850041327541e-05
Aasdh	-3.81664380836805	5.7616175000806	29.8164668658611	1.0042075780238e-07	2.21455158433649e-05
Nfrkb	-3.64838813958265	5.95351653019057	29.2378247092197	1.23015348095389e-07	2.66438063758746e-05
Gm20517	2.92095705268131	5.6716735699271	31.2154921789659	1.25811057904769e-07	2.67712687952096e-05
Pitpnm3	-3.62714887303106	5.97400089422923	29.002765274668	1.37522277788812e-07	2.87587535741465e-05
Tmem132b	2.52016542899413	5.72922744419059	28.8249256817832	1.42729109286901e-07	2.9341718076963e-05
Adssl1	-3.65073852918369	6.01427464611726	28.8687902402803	1.46550206070455e-07	2.96251241571424e-05
Jph2	1.68926728169348	5.48288588895356	28.5156490406125	1.65471601779049e-07	3.21851456865043e-05
Lrp8	-3.52053513575471	6.01727044779614	28.5965760091629	1.66776774336859e-07	3.21851456865043e-05
Mcm8	-3.72122253746102	5.83506197965913	28.5915586874004	1.67174884842095e-07	3.21851456865043e-05
Atg9b	2.71433256274649	5.82340199217471	28.4359986778758	1.71898417898336e-07	3.25774361045144e-05
Rbm41	2.03245446900567	5.49589550994484	37.0006632729593	1.78763935657098e-07	3.28951770858114e-05
Akap17b	-3.72944483963391	5.99945299234377	28.4477850353775	1.78999232225538e-07	3.28951770858114e-05
Zfp629	-3.62649047045314	5.8115342645389	28.29461378845	1.92525990606843e-07	3.48529513443342e-05
Uhrf1bp1	-3.83162866079355	5.82707163206936	28.3118886097485	1.9954142070474e-07	3.53748832229609e-05
Men1	-3.30064179700794	5.90413289667837	28.174145649511	2.03885210406579e-07	3.53748832229609e-05
Tmem151b	-3.4740848096143	5.99749806959675	28.1713285254568	2.0415877859735e-07	3.53748832229609e-05
Fam76a	-3.70606405708084	6.12481160880728	28.1308848921954	2.08127260603702e-07	3.54242402832122e-05
Aqr	-3.5145044218821	5.82130266664633	28.1092211716575	2.10284879247364e-07	3.54242402832122e-05
Mthfs	-3.71528137977845	5.94011789986258	27.9574884543062	2.26042471927058e-07	3.75571115342916e-05
Sipa1	-3.28233357885812	5.89568866530455	27.8755983047485	2.35036112831789e-07	3.79301570499387e-05
Tspan12	-3.64207873291728	5.71698999383584	28.1505334417369	2.39798266352692e-07	3.79301570499387e-05
Morc2a	-3.78959314823436	5.73328847485601	28.1507899728269	2.39956850821062e-07	3.79301570499387e-05
E130308A19Rik	-3.65591027480334	6.02377115032769	27.8247904493923	2.40796610837273e-07	3.79301570499387e-05
Nkain3	2.82480031289973	6.01255988260288	27.6449708351649	2.51119593951199e-07	3.89482157094304e-05
Prdm4	-3.28133824502019	5.86233801335319	27.7105750145642	2.54271275395356e-07	3.89482157094304e-05
Ankrd16	-3.38548797067589	5.82417993585413	27.6890616808287	2.56893169820631e-07	3.89482157094304e-05
Aox3	-3.61676096961663	5.9756265155617	27.5276732989721	2.77451372502774e-07	4.12429080532031e-05
Pcdhb17	-3.47310142442768	5.99575055688409	27.5172926041333	2.78829125266935e-07	4.12429080532031e-05
Apol8	-3.42755108855946	5.80495426803571	27.2746028672932	3.1308142308052e-07	4.57513804884774e-05
Crh	-3.39609378034716	5.94527362024227	27.1947987346517	3.25247786319266e-07	4.69634571460283e-05
Zdhhc7	-3.29991034851404	5.95135787797177	27.0528213373049	3.48083515216977e-07	4.96694700713731e-05
Ciao1	-3.3993708162805	5.95125981847732	27.0252350223317	3.52704699623081e-07	4.97436662991669e-05
Aars2	-3.25883055074406	5.89227148666721	26.9902265124222	3.58658411222632e-07	5.00019295370035e-05
Creg2	-3.20737532822679	5.87105180243195	26.9116928878194	3.72385511970037e-07	5.08416334137737e-05
Klhl42	-3.42169244072426	5.8245667272673	26.9078816961816	3.73064999078726e-07	5.08416334137737e-05
Hivep1	-3.50292236791115	5.92074424350577	26.8715151669094	3.79611901876297e-07	5.11590306428624e-05
Smg7	-3.22853178710932	5.90701056470594	26.8219424734359	3.88723267384569e-07	5.1811258352829e-05
Fam189b	-3.4004759766908	5.97426840919827	26.78332148056	3.95974305599351e-07	5.21426195578008e-05
Setdb1	-3.22133253256882	5.89722195700651	26.7161328328277	4.08915466527307e-07	5.21426195578008e-05
Pmepa1	-3.07537660763059	5.88781376318394	26.7141718369269	4.09299511698214e-07	5.21426195578008e-05
Wdr60	-3.1211449302218	5.77784674203199	26.7136645356844	4.09398921738733e-07	5.21426195578008e-05
Ephx4	-3.29729481825563	5.92837152934517	26.6968667192693	4.12704384330849e-07	5.21426195578008e-05
Hes1	-3.2894282794132	5.92928446618222	26.635955012356	4.24917907187971e-07	5.28881085005915e-05
Olfr394	2.05108006006351	5.59296091127673	26.5393862373333	4.27325800400525e-07	5.28881085005915e-05
Lcorl	-3.31503663137124	5.82566165946568	26.589758282587	4.34423405564259e-07	5.30940104951678e-05
Selenom	-1.34006318357113	9.90267775056062	26.4748683410186	4.40820817358316e-07	5.30940104951678e-05
mt-Cytb	-0.835723623393818	12.3040005643511	26.4530096091129	4.45489704674622e-07	5.30940104951678e-05
Rufy1	-3.34971755771051	5.86861857416321	26.5277312229725	4.47524326125795e-07	5.30940104951678e-05
Capn15	-3.06538937035817	5.8099085464561	26.5121535488779	4.50876665924832e-07	5.30940104951678e-05
Zkscan2	-2.98134027887486	5.76202366472062	26.4806532053664	4.57733168941696e-07	5.33416184405079e-05
Gas2	-3.31042661129495	5.92818674363704	26.4623059022396	4.6177507925248e-07	5.33416184405079e-05
Coro6	-3.00379285244056	5.85535612930018	26.4118909019078	4.73067805794811e-07	5.41161636912442e-05
Egln3	-2.94245269432169	5.79641153003766	26.3928555552522	4.77403703105213e-07	5.41161636912442e-05
Pdik1l	-3.35809975326217	5.93496350833211	26.3450552801277	4.88469223424437e-07	5.46562387182939e-05
Kctd1	-3.15577327247227	5.8329772223315	26.3335091969928	4.91180643111059e-07	5.46562387182939e-05
