logFC	logCPM	F	PValue	FDR
Crhbp	6.96502463763708	7.82485215436434	399.163136360173	2.903333359751e-59	3.72236370053676e-55
Akr1c18	6.55467763645874	6.76383826515028	271.945915874331	2.74201935137045e-45	1.22212979557284e-41
Cdh13	6.41674410736115	7.26030948029284	271.795137324688	2.8596750539884e-45	1.22212979557284e-41
Snca	-5.89334795069196	11.0180079599385	286.218489990263	2.4606286814711e-38	7.88693008128525e-35
Syt2	5.60543834097785	7.16564827351923	176.065907395841	1.16901756183491e-32	2.99759483205706e-29
Gfra2	5.12775069410832	6.03823175414809	161.317610342732	1.65887076023571e-30	3.54473033616368e-27
C1ql1	-4.47108526190609	8.61496525902885	150.566919723897	6.75410278594198e-29	1.2370621688366e-25
Synpr	5.20697909620617	6.53583458727044	147.254131748292	2.15217736907133e-28	3.44913325610794e-25
Mmp17	4.57809884153235	5.94953805485363	129.56867065527	1.20375646161272e-25	1.7148179549263e-22
Stac2	4.51580072255416	5.97240912940222	127.67062127347	2.40832391037671e-25	3.08771208549398e-22
1190002N15Rik	3.88496742187349	5.59939623890997	126.567775891403	3.60818524545099e-25	4.09875899533037e-22
Slc30a3	3.82586537902785	5.61603319840638	126.400781304124	3.83629264050889e-25	4.09875899533037e-22
Prkg2	3.70727908830546	5.42193802466375	122.8228097165	1.43448275253374e-24	1.41473102847962e-21
Etl4	4.33556498965664	7.11392553444089	116.333814353227	1.61152834037012e-23	1.47581463227752e-20
Plcl1	4.55973945960983	5.34483744972962	171.677049739513	2.24875376177421e-23	1.8589807147863e-20
Stk32a	4.70017377264936	5.78172821319329	124.890978826648	2.31991977510184e-23	1.8589807147863e-20
Mansc1	3.33812038444245	5.50609759973785	112.667582934691	6.42140788601447e-23	4.84287473568185e-20
Gpx3	4.38860643653029	5.7370863191095	121.106117343897	7.9699276675414e-23	5.67680236808602e-20
Cryba2	4.23313151096892	5.63325522500163	119.677004108781	1.27465239721094e-22	8.60122020244286e-20
Filip1	2.63416917864356	5.38163097849668	107.122385636605	5.31328633964833e-22	3.40608220803156e-19
Tshz2	4.21091620995035	5.68698087968464	113.341789313562	1.04706028551817e-21	6.39255234315639e-19
Brinp3	3.7943439568787	5.55195204201949	111.474092301583	1.96312314754206e-21	1.14405463066531e-18
Chn2	3.85103933862294	5.56120036854689	110.254518334423	2.96507044402847e-21	1.65283339838648e-18
Gna14	3.39579523633611	5.45937443809803	108.572990561678	5.24874937895834e-21	2.8039256578177e-18
Trhde	3.12922045269405	5.43029880940807	107.155019333941	8.5153259710165e-21	4.3669997709761e-18
Scn4b	2.98668504750274	5.41121969037243	104.177794026867	2.36833303213819e-20	1.16786145404014e-17
Ifit3	3.15127252295412	5.42829870538237	104.754134787446	2.85534217373939e-20	1.35586451887084e-17
Sertad4	3.16585024719714	5.48000453591454	96.4712147133915	3.32509935253023e-20	1.52253924281393e-17
Cbln4	4.15380830082535	5.91591439356914	96.0502403021931	3.92412830530185e-20	1.73487065525086e-17
Tac1	4.06741707633688	7.32769860908562	95.641117074483	4.6102684406619e-20	1.97027505592421e-17
Kirrel3	3.38505345669931	5.43526957598757	95.4507156530732	4.96957198382856e-20	2.05531878724729e-17
Cd36	2.78025070777768	5.37056065287266	101.579429120669	1.89515352403999e-19	7.59305104116148e-17
Eya1	2.93773648655526	5.43561443305751	91.757767315363	2.14508627873049e-19	8.3339852059405e-17
Iqcj	3.12575700362148	5.42487433692095	100.977231308085	3.59221353094792e-19	1.3545814611848e-16
Cfap61	4.02143839626888	5.62379844379089	90.3168239048268	3.80899307663656e-19	1.39528857815878e-16
Epn3	2.91276349732423	5.40578888557673	98.7330329637965	6.0654537056309e-19	2.10524167400548e-16
Grin2a	4.57303119198009	6.94859215216793	89.1488462484842	6.07549660230894e-19	2.10524167400548e-16
