logFC	logCPM	F	PValue	FDR
Rbp4	7.84340469937193	9.47345687433366	744.483243557705	1.73419712556122e-88	2.13965241351743e-84
C1ql1	-7.21537213680833	8.67638635739845	283.111610826756	6.48237150149889e-47	3.99897497927467e-43
Pnoc	6.10397072276783	7.63581452199829	254.073594473993	2.42879314496885e-43	8.87835923776179e-40
Cck	-6.28678051014772	10.2002356948327	289.232019768132	2.87837874461397e-43	8.87835923776179e-40
Cdh13	6.16366659844591	7.5308520917742	244.619349811193	3.85935186864169e-42	9.52333667106024e-39
Tmsb4x	-1.9020611047144	13.5973239248329	205.490214315671	5.9226672029495e-37	1.21789779916652e-33
Cntnap5a	-5.69243101177743	8.8277224103653	203.386326392131	1.15283824471878e-36	2.03195975190575e-33
Th	5.09846834708953	6.53829821121068	187.723126061347	1.78244318661441e-34	2.74897300455607e-31
Kirrel3	5.62672175869397	6.67085928391185	180.894071684807	1.68231703367829e-33	2.30626972905808e-30
Nr4a2	5.38798058388961	7.07212334721253	174.599151434015	1.36752272380333e-32	1.68724953662855e-29
Elmo1	-6.99939891399085	8.25576221171531	180.943627425066	1.5323139688914e-32	1.71869906801656e-29
Pthlh	-7.09843236688346	8.33861625196787	178.699345721186	3.0949596939344e-32	3.18213439198021e-29
Ptprk	6.62871999293179	6.94227275510085	187.445286447212	9.68774211368791e-32	9.19441247682164e-29
Ptprd	-5.89685097313243	8.34471451272384	164.726999882325	3.85286822759479e-31	3.39547772800461e-28
Cacng3	-6.07651622684343	8.22852868296578	160.647937203741	1.56011499471878e-30	1.28324658698935e-27
Kcnip4	5.07833944899963	6.69143397653015	159.85280686242	2.05177171010603e-30	1.58217245995552e-27
Epha5	-3.26092238295826	10.4119474055843	155.775106750157	8.4189549242709e-30	6.11018034445026e-27
Nacc2	-4.40728377346714	9.00620743289339	153.146434543212	2.10473371045934e-29	1.44267802886929e-26
Clstn2	-5.50508379662832	8.3795833635789	151.498026338579	3.74824092961127e-29	2.43398929418652e-26
Nfib	-6.58775531601929	8.01508545124427	149.824170602623	6.7482654821005e-29	4.1630049759078e-26
Ubash3b	-6.94502532702976	8.12865608750664	152.036427798432	1.71393678354053e-28	1.00697866834872e-25
Pde1a	4.32130815804692	6.23335244545897	145.929669584734	2.67146204697462e-28	1.49820448798059e-25
Trps1	-5.10758111815225	8.3668707111202	142.899792305257	7.85200320616279e-28	4.21208763294072e-25
