logFC	logCPM	F	PValue	FDR
Rbp4	7.59114604863357	9.29318702051139	597.517718762902	5.78820751332193e-79	7.42106085283005e-75
Crhbp	6.47147930032588	7.94601041083085	306.244056844552	2.8520767508873e-50	1.8283238011563e-46
Cort	6.19020767253955	8.26374855674787	297.590214256113	3.0817367016998e-49	1.31703154174977e-45
Sst	8.06878834660706	9.74933653724565	399.621533768297	1.3961253945868e-48	4.47493092099935e-45
C1ql1	-4.68147132003932	8.51218555269499	170.172240947249	3.27449977218357e-32	8.39647231583311e-29
Clstn2	-4.92360291483101	8.20256418236296	169.116206582744	4.70757879662564e-32	1.00593112919229e-28
Tac1	5.47060367978592	9.07231052578481	196.047574834404	4.63004934300152e-31	8.4802660895175e-28
Cdh13	5.56847381695298	6.7429691604371	157.241730761878	2.93517704292943e-30	4.70398810842478e-27
Filip1	3.76149983356701	5.78514862453823	131.580785150091	3.10923280002884e-26	4.42927485879664e-23
Gpx3	4.71499177186232	6.17917880091642	138.863709838222	7.87382970044579e-26	9.88858630598447e-23
Slc30a3	4.08703259381979	5.85012256705948	128.879928527127	8.48408465531777e-26	9.88858630598447e-23
Pde11a	-5.1187212838862	7.27315977209709	128.362288366079	1.02905276833473e-25	1.0994571285683e-22
Fxyd6	4.76508216547393	6.99024620801247	122.014074406643	1.11673040351862e-24	1.10135388488556e-21
Etl4	4.12838684537088	7.43978805023132	115.919793087152	1.13548466442664e-23	1.03986063447242e-20
Synpr	4.71716662285753	6.6288532528001	114.621281903401	1.86849644528005e-23	1.5970661949957e-20
Mmp17	3.98768808453713	6.10268964871409	109.27546859372	1.47378391744825e-22	1.18081585885977e-19
Gfra2	3.633522447115	5.88025632608489	109.119798051089	1.56570233215943e-22	1.18081585885977e-19
Gm9945	2.54490546206277	5.61086137669157	108.613350539182	1.90657325536544e-22	1.35800976150224e-19
Trhde	3.8661054243012	5.89362627009604	113.177592240892	4.43470981494457e-22	2.99249550196865e-19
AW551984	4.03994435564516	5.82419653931535	111.64020650637	7.58308437300273e-22	4.8611362373134e-19
Stac2	3.91661105455531	6.06349216118595	104.518155153923	9.45096793702235e-22	5.77004094859826e-19
Unc5b	-4.62074507793563	7.07656681262871	103.571573983029	1.37109625570248e-21	7.99037504289161e-19
Fras1	-5.30669429641141	6.44722067698423	103.341075147301	1.50130147208931e-21	8.36877659724222e-19
Calca	3.91597681836868	5.87760051206954	109.145484721863	1.81997390012932e-21	9.63022927919653e-19
Itga9	3.71189972831292	5.84483797634551	109.056645971084	1.87782335215594e-21	9.63022927919653e-19
Trps1	-3.63383987765116	8.22553745193681	102.390877537125	2.18323982076043e-21	1.0765891439219e-18
Nnmt	2.50480088561106	5.63209358705635	100.846410777536	4.01960503651705e-21	1.85321253717018e-18
Fam114a1	3.43199184890337	5.76237392094252	106.883449127081	4.04726238520904e-21	1.85321253717018e-18
Ddit4l	3.45808068062826	5.78324389446073	105.332626241429	7.02148244067355e-21	3.10422159903019e-18
Penk	3.35129037871821	5.77006858827169	101.828410732001	2.46056734522371e-20	1.05156446443711e-17
Chn2	2.53681661570271	5.60804392332639	101.69862334448	2.57817697859613e-20	1.06628409814777e-17
Xylt1	3.47011947233685	5.75946423781839	91.4217619540262	1.74537626578678e-19	6.99295909489134e-17
Entpd2	2.68846881402881	5.66521253056663	96.2402658929304	1.86694647438187e-19	7.25336992365149e-17
Ndst3	3.39833469624734	5.90448753881683	89.9683433917503	3.14479404642926e-19	1.18586483733146e-16
Pthlh	-3.66591702622123	8.21365483455645	89.6157063328632	3.62878865589661e-19	1.32927712449287e-16
Zdbf2	4.1010459190991	5.64040150663719	111.933382601102	4.86371196262149e-19	1.72260104314205e-16
Cdh6	-4.625414302153	6.61882891614502	88.7841026057486	5.08830555830314e-19	1.72260104314205e-16
Eya1	2.71360583801442	5.64639144417457	88.775765763785	5.10559547924482e-19	1.72260104314205e-16
1190002N15Rik	2.782538406026	5.65792793414725	96.6629340319611	6.05311710316481e-19	1.98992344563272e-16
Epha5	-1.79751411938743	10.3997623162245	88.1835178060883	6.4979525784022e-19	2.08275625019236e-16
Rgs10	-3.52979652695792	8.16656658280475	87.6935030095198	7.93482156431823e-19	2.48127676283229e-16
Klf5	3.4607828641624	5.90881273206562	87.0110090775155	1.04843725748379e-18	3.20047954242851e-16
Tmem132b	3.9428622791232	6.3891687188229	86.8690547349293	1.11105339976987e-18	3.31274782289524e-16
Ch25h	3.56680966569326	6.00164934801097	86.7780545893008	1.15315853371131e-18	3.36014671834379e-16
Sstr1	2.42573266544074	5.59871305595085	97.0348251379489	1.75513694595678e-18	5.00058017424709e-16
Tmem91	4.22291225468977	6.76913274792564	84.7683817956157	2.62734639466465e-18	7.32287133173814e-16
Piezo2	2.58368308839677	5.6556826086051	84.3186131709439	3.16072082692902e-18	8.62204291958659e-16
Kirrel3	2.96910001900963	5.78845707534163	83.647940874724	4.16520828115628e-18	1.11254448693135e-15
Gm15666	2.42986626398307	5.63577898827152	83.2104673071709	4.98788342778147e-18	1.30509496790992e-15
Thsd7a	-3.35525602713618	8.40325479344192	82.3937619441966	7.75813576469455e-18	1.90872307074286e-15
Nacc2	-2.68962364550523	8.91390603338492	82.1287443364341	7.79511569870726e-18	1.90872307074286e-15
Snca	-2.72137959078563	11.008870866984	90.7528963925369	7.88639639905944e-18	1.90872307074286e-15
Kcnk12	2.29516367766891	5.58763781584962	97.6964827184042	7.89036134072002e-18	1.90872307074286e-15
Ntng1	3.64700821527039	6.18720460661803	81.0208540291895	1.2329209346031e-17	2.927273944916e-15
Nptx1	3.00633361988399	5.76441256729493	80.5593162570715	1.49292736282446e-17	3.48014940341316e-15
Cbfb	2.36865876902393	5.61922543091785	80.2960704544738	1.66524847567298e-17	3.81252691189344e-15
Dscam	3.65508576384515	5.89754408170923	80.202496085541	1.73120920813447e-17	3.89400583464772e-15
Itpr1	-3.42933982046138	7.92140628811475	79.3998565191678	2.41664136335374e-17	5.34202739992385e-15
Sntb1	-4.32455477575062	6.3498381767451	79.2082214147353	2.61721960086624e-17	5.68735127164509e-15
Mxra7	-2.69545807157924	8.78646005938845	78.473579789011	3.55414649497607e-17	7.5946187020147e-15
Adgrg1	1.96709597928082	5.53870296224095	93.8946856396727	3.84738554354191e-17	7.9982452141912e-15
Satb1	3.27878644856615	7.87457936946856	78.2707697659636	3.86780440901532e-17	7.9982452141912e-15
Rbm24	2.67690572535695	5.69406101059034	77.6046773972955	5.10764596179866e-17	1.03944649009874e-14
Chrna3	-4.41762525800441	6.37767439442397	79.4149411949598	5.60449750232553e-17	1.12273847620806e-14
Vipr2	-3.9583113450892	5.92173589925136	78.3714171869174	8.49279213359004e-17	1.67517058376551e-14
Zfp524	2.39349692039115	5.61078665835528	100.620234793879	1.25203966707485e-16	2.43218190478283e-14
Caln1	-3.24178286945407	8.28874533005705	75.1689023550648	1.41729481296167e-16	2.71210996969874e-14
Plekhd1	-3.8391252849945	6.06201394720822	77.0499707233413	1.44017242665589e-16	2.71536039443457e-14
Tnfrsf19	-4.07370728020992	5.94063351487744	76.9002895530714	1.52914808773281e-16	2.84133443953947e-14
Wnt5a	-4.21492781060092	6.46119615356232	74.4800581549199	1.89358647551649e-16	3.46823888608528e-14
Camk1g	2.95019147157684	5.75887980005939	73.6250616813231	2.71489922296734e-16	4.90249618840342e-14
Cdcp1	3.36546172309879	6.11306001877935	73.2087661673851	3.23635571472793e-16	5.76296064146205e-14
Tmem132c	3.48058440071005	5.93789251763563	72.6423639434599	4.11146661179288e-16	7.22097444243787e-14
Zbtb7c	-3.56452330072556	5.87917457890181	74.1473644787222	4.62693532849206e-16	8.01647808737793e-14
Kcng4	-3.61105368779592	6.01999641677112	72.0646135377991	5.25011441840108e-16	8.97489559444269e-14
Pde3a	-4.21760361204171	6.65434869651013	71.8959022416016	5.63898524701109e-16	9.51281971735911e-14
Pnoc	3.5574715268247	6.15960388198314	71.5867199106229	6.42842218264913e-16	1.07037403641227e-13
Cdc42ep5	2.33134757680918	5.62766288274455	70.0236783182512	1.24864830196972e-15	2.05242562558382e-13
Lhfpl3	-3.5758848904512	5.95088488779306	71.2272563368616	1.51203037646075e-15	2.45389132362066e-13
Cygb	-2.13761324429619	9.12879877254043	69.0123254368841	1.92132841175464e-15	3.07916894588829e-13
A330070K13Rik	-3.09150207257068	5.7887960967437	69.8815648446885	2.61842923153249e-15	4.14455323178741e-13
Padi2	3.4945157546556	5.65969764113595	67.931450310395	3.04895543798722e-15	4.76715337444319e-13
Mcur1	-4.07034320713615	6.72517107299677	67.8960819393172	3.0954415835928e-15	4.78152488472811e-13
Kcnip4	2.82463249941512	5.76450976986971	67.8179868356395	3.20062614093518e-15	4.88514616106309e-13
Hs3st2	-2.98964743913401	5.75365341989837	68.9638178687365	3.81264921903741e-15	5.75082066320925e-13
Gpr149	-3.26205677732556	5.72959110071891	68.7537935100297	4.15560374667628e-15	6.19523205071356e-13
Crip2	2.4860393075839	5.68930472296965	69.3020281871898	4.79872964634126e-15	7.07178307997026e-13
Ppp4r1	-3.22062825326954	5.74778053119809	68.3289768713787	4.9473126971243e-15	7.19836782772712e-13
Ptpn21	-2.88646838212532	5.71680828110189	68.3046895318517	4.99691706315977e-15	7.19836782772712e-13
Necab2	2.1504173632949	5.57883590468371	93.9447957734646	5.63771858188391e-15	8.03124332648151e-13
Tnnt1	-3.34250875075511	6.01850694716544	66.3893538735695	5.90498784076477e-15	8.31954385785111e-13
Dpf3	-2.90522648637196	5.68959914385066	67.6681908462441	6.49177281933353e-15	9.04684992572556e-13
Gpnmb	2.69672523849817	5.64650530303218	77.891153788951	8.30128154174543e-15	1.14441645856686e-12
Gstm7	-2.81428829273347	5.74412162525206	67.0006716404325	8.54665801041262e-15	1.16570959948404e-12
Nyap2	-3.92398281758454	6.8192388598184	65.3153352337747	9.37156458121228e-15	1.26476662627076e-12
Serpinf1	2.36364458147083	5.58047816558097	96.5197015237245	9.7674468971335e-15	1.30446288195988e-12
Syce2	3.26543392073061	6.00204308465331	65.1890400833332	9.89545846287692e-15	1.30793477270665e-12
Galnt14	-2.95815355947097	5.78034108018366	66.032792169769	1.27466216987134e-14	1.66706158199587e-12
Kcnc4	2.27128646857459	5.62744058224008	64.5789312462196	1.28725603788777e-14	1.66706158199587e-12
Gda	3.4006549075357	6.06067716127121	64.5123594805955	1.32476761638248e-14	1.69848456096398e-12
Vgf	3.37650032011786	7.06918751373346	64.4333834956543	1.37069747615405e-14	1.73422204056142e-12
Kit	-2.99930558211836	5.81583404873424	64.4182251589028	1.37969462707484e-14	1.73422204056142e-12
A730009L09Rik	-2.29130904465167	5.6137235848471	65.681581266572	1.47405366795353e-14	1.82995295862218e-12
Egfl6	-2.79303321686854	5.74842985369837	65.6646858002938	1.48440143277986e-14	1.82995295862218e-12
Clec11a	-2.71731879883473	5.69335479300896	65.575151392752	1.54047138514828e-14	1.86892141820752e-12
Il1r1	-2.6992707649428	5.68553109302668	65.5678051705254	1.54516551228451e-14	1.86892141820752e-12
Vwc2l	-2.52410880436147	5.66363349379607	65.4513832545445	1.62151069341896e-14	1.94293351404901e-12
Elfn1	-3.5503417974857	7.21238846181603	64.0083058913512	1.6468802776661e-14	1.9550603740701e-12
Fgf13	-2.84084441495411	8.31581185549756	63.7316996671312	1.85602597614598e-14	2.18312926974015e-12
Rora	-2.37443704919517	9.37355091135896	66.0620325699349	1.98233415744048e-14	2.31050056659494e-12
Cntn6	-2.70607308485727	5.70004634106916	64.8294190009784	2.09864399745207e-14	2.40520938758003e-12
Col4a1	-2.9611252138943	5.69464586736821	64.8265886680937	2.10111107876892e-14	2.40520938758003e-12
Rnf169	-2.75152941120002	5.72061105449056	64.4709534130749	2.43554467461687e-14	2.76337329851884e-12
Sstr2	-2.3732678992666	5.63411584707633	64.4290761426453	2.47830179207346e-14	2.78721993650647e-12
Kat2b	-3.80677835854342	5.69165687646766	63.0258502768459	2.51910397178133e-14	2.80847234975726e-12
Ngfr	-2.64781866907246	5.7110985363482	63.9900204981002	2.97477183546024e-14	3.28789221572721e-12
Cwf19l1	-2.66809927857266	5.6891354978847	63.9594067186577	3.01291496423038e-14	3.30158826977758e-12
Dach1	-2.63767691664643	5.68800924708159	63.9174453324267	3.06599837412488e-14	3.33128518259789e-12
Rgs16	-2.44478169512321	5.65352071167506	66.8475362243129	3.24909755813018e-14	3.50056132712496e-12
Oprd1	-2.22777027560783	5.60982063236374	63.6068791502088	3.48931964037622e-14	3.72804725910529e-12
Rxrg	2.2566165799105	5.61249497539703	62.0078883729467	3.91734419600182e-14	4.15076611049085e-12
Prkg1	-2.83619888749166	5.74504418980175	61.7512003247123	4.37946804287238e-14	4.60239014571039e-12
Eps8	3.446278032508	5.87189029064356	61.5372249938654	4.80636588180525e-14	5.00995259923782e-12
R3hcc1l	-2.14057355784302	5.58999174238732	62.661502893417	5.17664838720817e-14	5.35240394938677e-12
Cadps2	2.50093179001608	5.62048052896547	67.8009315995909	5.25483512549057e-14	5.38977929151317e-12
Gm49028	-2.00470995268121	5.58158605594043	63.7883052515397	5.38248667832587e-14	5.47689378593777e-12
Rab6a	-1.40895520437014	10.4279155410162	61.2377823395731	5.47500805664709e-14	5.51559671820045e-12
Hist1h4d	-2.20496185691659	5.61475886772101	62.5136759310166	5.5065625140758e-14	5.51559671820045e-12
Abhd4	-1.75136021524498	5.5378081313543	62.2736668040441	6.08793824274853e-14	6.05065552017666e-12
Syt5	2.93978291344638	5.90339543678948	60.7412581133647	6.79641807787038e-14	6.70283662895201e-12
Rnf180	-1.93621387634418	5.57411054974137	61.2907925785662	9.18992501075259e-14	8.99420065365335e-12
Il4ra	-2.00021363373402	5.59506983198599	60.6468838014843	1.20439796397212e-13	1.16981714364292e-11
Adamts8	-3.72630866487602	6.27936536278732	58.0027580676492	2.25076090665274e-13	2.16969966798457e-11
Tgfb2	-2.09510311138644	5.5865252907514	64.1907395726186	2.48654361368079e-13	2.37910266201503e-11
Slc30a10	-3.79557742322	6.59110251011541	57.7322453984792	2.53456317745308e-13	2.40708403689822e-11
Fat1	-2.22354796003037	5.63920169530858	60.488681573005	3.17567005561202e-13	2.98102169825841e-11
Lrrn1	-3.08185285605067	5.8705408165217	57.2121490944494	3.18539874160676e-13	2.98102169825841e-11
Tpbgl	-3.5697385205054	6.65866185954312	57.0388064322714	3.43776858267841e-13	3.19388630424057e-11
Smpx	-2.20428229402333	5.59370520661713	64.2457031584717	4.05988179520065e-13	3.74472981987536e-11
March1	3.18514461134887	6.00430645318085	56.6078513131174	4.15590671732322e-13	3.80592000162864e-11
Sgcz	-2.27252862100127	5.61574640562011	63.6698284818827	4.46966712177002e-13	4.06422710412861e-11
Cck	-2.62248815521299	10.1502953786653	60.4711461610085	4.62589721002357e-13	4.17666395279663e-11
