logFC	logCPM	F	PValue	FDR
Rbp4	6.98635733050896	8.65431973175766	530.474421705002	1.87421024049425e-72	2.45109215251838e-68
C1ql1	-7.66134979530153	8.42240326125241	448.771864204292	1.39215459683318e-59	9.10329890869217e-56
Snca	-5.92861357924922	10.8274448722473	321.066424656548	3.30269569770228e-43	1.43975514448501e-39
Crhbp	5.9438138967949	7.42930073564409	234.988633422281	4.60582813207088e-41	1.50587550778057e-37
Syt2	5.92420327690616	7.68323605578989	229.738687379714	2.26631883228983e-40	5.92778353773729e-37
Pthlh	-5.79989138852902	8.0961792918278	226.8648513632	5.45500601635925e-40	1.18900947803244e-36
Gfra2	5.22733527393866	6.39602170527854	182.014312112252	8.92766602445344e-34	1.66794308954003e-30
Pde11a	-6.24475425933651	7.19009802515398	180.207758653132	6.77488386606878e-32	1.10752414000559e-28
Elfn1	-5.51209568908314	7.098949199042	167.967264731162	1.0131184685604e-31	1.47217370353699e-28
Unc5b	-5.87634481612551	6.99100723719732	170.239817478381	1.43499698235417e-30	1.87668905352278e-27
Necab2	4.2793588953724	5.92265787116391	147.275981280415	1.3717373605554e-28	1.63087101830396e-25
Cdh7	4.13268571796898	5.57787107686879	139.361656176082	2.34461407734986e-27	2.55523857529845e-24
Tac1	4.51543242174524	8.09492584059237	146.49163709653	2.66982519529364e-27	2.6858441464654e-24
Slc30a3	4.01754532256013	5.87095522034503	135.34234661792	1.00904861699531e-26	9.42595558076045e-24
Satb1	3.85669695349905	8.34604598244602	137.441175841123	2.29222391239381e-26	1.99851362175242e-23
Etl4	4.23748705354948	7.50188162609958	131.43811482635	4.21431944236943e-26	3.30627871912605e-23
Gpx3	4.77843176733611	6.11789064851262	142.331150138731	4.29780839770171e-26	3.30627871912605e-23
Epha4	-5.76798351165188	6.54710980927503	130.624152904199	5.68591632993971e-26	4.13113409794175e-23
Fras1	-5.49604463694062	6.3595068503979	129.386575960274	8.97424359836811e-26	6.1771135673399e-23
Mmp17	4.46929121643021	6.17666221282758	128.97122683422	1.04624274073813e-25	6.84138128168661e-23
Thsd7a	-4.0332321763728	8.31165818170627	126.759168815975	2.37414272013772e-25	1.47852564256957e-22
Cdh13	4.7402143045179	6.52609950664993	125.000063549515	4.56785349452102e-25	2.71538127278845e-22
1190002N15Rik	3.89701561997504	5.80921163806951	123.108830550423	9.25683874255978e-25	5.26351900326943e-22
Tmsb4x	-1.19706226414576	13.5274943359872	122.298129545331	1.25411696003327e-24	6.83389233471463e-22
Pcdh8	-4.84002975162936	6.96891833718284	119.158266576246	4.08584522829727e-24	2.13738735582687e-21
Npy	-5.26151300205551	6.92495947016871	118.614891577913	5.0165583909335e-24	2.52332887063955e-21
Dscam	4.59970140075017	6.14245607043205	114.719131756781	2.20036196886454e-23	1.06579014180779e-20
Myl1	4.68025228426494	6.34684674390047	114.498955158582	2.39302444873845e-23	1.11771334787862e-20
Clstn2	-3.7585698099413	8.1666633130817	114.233620801625	2.64789079294324e-23	1.19410744103834e-20
Trps1	-3.67596754565234	8.14718081475664	113.771192275022	3.15909976367098e-23	1.37715689030963e-20
Trib2	-5.42491568664564	6.63433494415538	113.579154727148	3.39956298471049e-23	1.43417692625948e-20
Kirrel3	3.96115584087691	5.88729491109172	111.965472154031	6.30483970741097e-23	2.57670917792252e-20
Ddit4l	4.37517351226072	5.94629182004656	119.641572624835	7.08935810252931e-23	2.80953409893571e-20
Ptprk	4.82048853980134	5.74072508367058	121.432418207537	8.18332960436981e-23	3.14769366370436e-20
Plcl1	3.30375268220008	5.71399230240996	110.791826239481	9.89415917813053e-23	3.69702324947403e-20
Nfib	-4.20667483679183	7.79842558478723	110.330125082629	1.18170031148489e-22	4.29285463155539e-20
Epha5	-1.81620196436551	10.3408052270467	110.097121361357	1.29259174828986e-22	4.5687878065229e-20
Tmem132c	4.33113513334247	6.29373975314873	109.414154145568	1.68173609677237e-22	5.78782754568132e-20
Krt12	-5.33552950673317	6.63685174226161	111.337715796786	4.68361157933656e-22	1.57057108293753e-19
Stac2	3.94539374011833	5.95815845794139	106.356209235795	5.49111329543729e-22	1.79531949194322e-19
Chn2	3.79396019685698	5.79341658218879	111.177831363408	1.27079059880581e-21	4.05351206126399e-19
Slc30a10	-5.06257673596817	6.48914507753069	107.285063626095	2.01677675329273e-21	6.27985866180054e-19
Peli2	3.40414881385987	5.69814907590069	102.867995333597	2.13899294497879e-21	6.50552319405409e-19
Rora	-2.83860779981669	9.29655360231687	105.195752176025	4.21722424481582e-21	1.25347406076594e-18
Rab6a	-1.84883764992462	10.2807406545312	100.847998752403	4.72428248870776e-21	1.37298147527378e-18
Ntm	2.56476457772248	8.78058323658191	100.732085999098	4.94459725519956e-21	1.40577049790217e-18
Kcnip4	3.89090335821602	6.05600958076353	99.8418087691891	7.02010698933928e-21	1.91545686291795e-18
Eya1	3.23398207353103	5.6564986794792	99.8381362112501	7.03027446246076e-21	1.91545686291795e-18
Cbln2	-4.97134861280025	6.41930589549172	103.109735843565	9.23120340672496e-21	2.41899643400316e-18
Chrna3	-4.34573309942798	6.2905122381921	99.1428522648222	9.24834238416866e-21	2.41899643400316e-18
Stxbp6	4.14398758492947	6.54706433053834	98.7091008961002	1.09762845865277e-20	2.81466372201196e-18
Fam114a1	3.4985428055756	5.68135405499431	104.882357233219	1.13932453017305e-20	2.86540119338522e-18
Mybpc1	3.34717281270418	5.63549866998792	103.830588862489	1.65017048830408e-20	4.0718735181209e-18
Xylt1	3.65161071198178	5.63993703121575	97.5399963744536	1.74315315663836e-20	4.22165870046602e-18
Sntb1	-4.82999553610664	6.25348398550991	101.309194278839	1.78843214519529e-20	4.25256647179346e-18
Fibin	3.29742615425719	5.62818675465281	101.715587200513	3.48803893111632e-20	8.1458166323463e-18
