logFC	logCPM	F	PValue	FDR
Ubash3b	-7.38918447162585	8.0321544361341	165.441666371301	9.44470822576363e-31	1.0859525517983e-26
Ptprk	6.6985768869601	7.32222984085305	117.34754262523	7.88965163522617e-23	4.53576072509152e-19
Ptprt	-5.83884313487769	7.53724411923014	102.952977827942	1.71317551910437e-21	6.56603070622066e-18
Serpine2	5.65741443600597	7.35550622760864	96.0838075837732	2.62633883837254e-20	7.22570631691923e-17
Gabra1	-3.05863705213984	9.6302683311072	97.0529210344522	3.14215790438303e-20	7.22570631691923e-17
Kcnip4	5.61794328928806	7.00835002530414	97.0902702884714	4.05400832748296e-20	7.7688312915665e-17
Akr1c18	-6.52484118127213	7.30003312308214	96.0915536524068	5.48188300209205e-20	9.00438439400778e-17
Ptprd	-5.54167757540566	7.5519818531492	93.5054140681872	7.39781579897225e-20	1.06325107570729e-16
Fxyd6	5.3010664396445	6.97550397145857	91.7748843688527	1.48745661152574e-19	1.90030845770255e-16
Gfra1	-5.8342534749117	7.0681908047666	87.279221473608	9.24978134712178e-19	1.06353985929206e-15
Rgs8	-5.97979772170457	7.12602165453369	86.4050837865096	2.45211947218436e-18	2.56313360828871e-15
Kcna1	-4.91014158997949	7.64399105950386	84.4980597120024	2.89258867971135e-18	2.77158205327676e-15
Nr4a2	4.92794640740532	7.46889880117612	84.141841181618	3.34919317157995e-18	2.96223254514048e-15
Slc24a3	-5.48896607937081	7.09496874309747	83.8552310802759	3.76871969599328e-18	3.09519564746648e-15
Th	5.27125057444301	6.82708763357205	85.0234696989386	4.54837085014783e-18	3.48647786899999e-15
Cpne2	5.64433074143457	6.70476018477331	84.7407170768702	5.08945362266849e-18	3.65740860959014e-15
Kcnc1	-3.18829302663796	10.3894354752508	99.6714416169436	7.63188579143425e-18	5.16184840175947e-15
Igfbp4	-3.14032363861693	8.9752081858045	80.4211083681096	1.55957848634917e-17	9.96224079780155e-15
Cald1	4.54525195224898	5.98241061497421	74.4166336572916	1.92174420362153e-16	1.16295867648633e-13
Rgs12	5.37002016868643	6.74929964506506	73.4551608601476	2.88281293994842e-16	1.65732915917635e-13
Epha4	-5.88790760080773	6.80993321048054	74.1342578440624	3.47919414848817e-16	1.90494163425319e-13
Elmo1	-5.60743738999678	6.74703178629395	73.9633736068351	3.73207316461202e-16	1.91543241060762e-13
Mafb	-4.55762888888328	7.67510351272725	72.7819915985308	3.83153117446297e-16	1.91543241060762e-13
Syt1	-2.03603066616834	10.6560463651309	72.0262152351832	5.65369775859954e-16	2.70859236784906e-13
Ppfibp1	4.36133095257863	6.07696303912899	70.8628469368888	8.64449401145709e-16	3.97577568574934e-13
Gpc4	4.6427053692317	6.43515344001765	71.4645672256124	1.09925239283789e-15	4.86123231263464e-13
Cntnap5a	-4.57594334399538	7.41924441312921	70.074843746686	1.20869472025653e-15	5.14724884944799e-13
Il7	4.7028498639026	6.28747158920817	70.6965731145592	1.50924356369609e-15	6.19760089120631e-13
Rasgrp1	4.53554393922421	6.37530361935433	68.9959881204877	1.91463980205254e-15	7.59121670482763e-13
Camk2a	-4.53177002964138	7.47278993660266	68.0820190887769	2.82973029909316e-15	1.08454129929911e-12
Rspo3	4.41500641875688	6.22703932060211	67.6432314034514	3.41455110126877e-15	1.26646801814156e-12
Fras1	4.4669545986891	5.89493515882014	69.6089561066508	3.93904885050249e-15	1.41534949009618e-12
Pvalb	-3.79798841659675	11.5233769220696	83.6459521097543	4.1148326022998e-15	1.43370743215888e-12
Gria3	-3.99031127087343	7.87165807043059	65.9146428952397	7.17170642626016e-15	2.42530236732763e-12
Cacng3	-4.8802920583253	6.90812706754754	63.7169656593291	1.85099006622434e-14	5.99209701687336e-12
Rbp4	4.21801942434998	10.1010622278904	78.3113442093805	1.92227328492493e-14	5.99209701687336e-12
Cox15	-5.1958489113795	6.50855141562102	64.4833170175994	1.92822742759014e-14	5.99209701687336e-12
Sstr1	3.91917179495147	6.09182243753209	62.9178305139095	3.89114941663061e-14	1.17737989453733e-11
Kcnc4	3.77493562833513	6.01642206294274	62.631940786698	4.39086247795576e-14	1.29451632747527e-11
Nsg2	-2.04562025895867	9.98565871361241	61.2478152078938	5.40516686393187e-14	1.55371521503722e-11
Laptm4b	-3.0589165581458	8.5568206924792	60.4010763830273	7.81790232677649e-14	2.19244490129942e-11
Map2k1	-4.68697463622302	6.46337255521956	59.8610188436167	9.8969745889845e-14	2.70175336370096e-11
Cbln4	-4.84826450907219	6.30826493585118	60.5772443050165	1.01039654408716e-13	2.70175336370096e-11
Caln1	-4.31983869291625	7.34148185633721	59.1655686443569	1.34150949292658e-13	3.50560821583405e-11
Cadps2	4.25063216362852	6.46467853926758	59.016944329121	1.43170628002671e-13	3.65816862394381e-11
Igsf21	3.59533570762269	5.96929195717429	58.7737379649973	2.26457512516927e-13	5.66045321504266e-11
Kcng4	-4.56077487972515	6.18197367243366	58.5736914884329	2.38026883185177e-13	5.82304915502801e-11
Pde4dip	-4.99723099223845	6.69041098772122	57.3807096502572	2.93563948401275e-13	7.03207974732887e-11
Cfap61	-4.4554341771966	5.9311885553524	57.6776132431372	3.71864809050783e-13	8.65684452572919e-11
Etv5	-4.4845818045037	6.07509032448505	57.5066512410334	3.76450014164602e-13	8.65684452572919e-11
Hs3st2	-4.58634966893392	6.19620106778611	57.0671823724888	4.54865075519869e-13	1.02549777222107e-10
Homer2	-4.59170372934311	6.0431617382036	56.9969399209161	4.68842484513766e-13	1.03668286287294e-10
Wscd1	-4.28945961425947	6.09170267486407	56.716992104907	5.28981302740782e-13	1.12898052293392e-10
Marcksl1	4.32195448570748	6.9754915419681	56.0388082873612	5.30222197238055e-13	1.12898052293392e-10
Sox1	-4.46437205140808	6.1716716215704	56.5828389420586	5.6049612513626e-13	1.17035359019705e-10
Stk32a	-4.56947817597639	6.18072305870098	56.5438279832882	5.7001044573869e-13	1.17035359019705e-10
Pnoc	3.6682652947574	8.14990471994049	57.7301016799976	6.15187051356313e-13	1.22232610664962e-10
Col25a1	-4.04963375292356	7.48758560849447	55.6970597069241	6.16584746787946e-13	1.22232610664962e-10
Mdn1	-5.25312557748708	6.84863065748999	55.5871417986507	6.47267276550738e-13	1.26140324504752e-10
Slit2	3.86689525177747	7.5961478024338	55.2867951292349	7.3917137489672e-13	1.41649874476041e-10
Ppfia2	-4.73706791476658	6.53732466146452	55.2435287180389	7.5345159966041e-13	1.42019450703203e-10
Atp1b1	-1.26646163103069	11.7111543483906	55.0410490984563	8.2405944167714e-13	1.52823152587157e-10
Cidea	2.94492076593465	5.78867506354037	55.6172393408742	8.78888926794271e-13	1.60404204448897e-10
Baiap2l2	3.23141199196323	5.89409930795895	55.542067128613	9.07878854479963e-13	1.63106110450166e-10
Rasgrf1	-4.79330508575506	6.27189338862353	54.7688563377012	9.29584958043428e-13	1.64436428424359e-10
Pdzk1ip1	3.05100094331041	5.8109952752476	55.3726477451729	9.76795789758894e-13	1.70169666524966e-10
Cdkn1a	3.83627209264593	6.12644783828452	54.6181583171264	9.93751898032192e-13	1.70539691396629e-10
Syt2	-4.16422549433601	7.75761924198582	55.2800488943637	1.02730103199446e-12	1.73655271311931e-10
Hist1h2bc	-4.57250777382892	6.21557869553729	55.1484706171749	1.04211286489157e-12	1.73655271311931e-10
Nlgn1	-4.65165500136438	6.61810494678301	54.4358835550148	1.0773497055317e-12	1.76962384488621e-10
Pth2r	3.176357273098	5.86044178532744	55.1067102163952	1.09575934815269e-12	1.77451281479713e-10
Zcchc12	3.96940116937546	7.34685360007954	53.8439498004693	1.4008524317438e-12	2.18768199633825e-10
Cdh4	-4.27055438504288	5.91852726461764	54.4653549351613	1.40150429161448e-12	2.18768199633825e-10
Vwc2	-4.33316261448783	7.14140887943855	53.8325330051915	1.40797067080388e-12	2.18768199633825e-10
Dpp10	-3.83904182662008	7.51127616325517	53.7065896072142	1.48895186614535e-12	2.28266247425857e-10
mt-Atp6	-1.13064094019358	13.414796841601	55.7025573953681	1.52960247943422e-12	2.31412754059667e-10
Clstn2	-4.34247593938976	7.09369772589004	53.6011750961681	1.56032555470429e-12	2.32995106857012e-10
Ptprg	-4.42601096092496	6.15682008289259	54.1704793034381	1.59302344616137e-12	2.34732094978513e-10
Paqr8	-4.28290894449587	6.11498164202033	54.1421064057872	1.61278791992543e-12	2.34732094978513e-10
Cthrc1	-4.26358015955796	6.01562059844802	53.9367374436236	1.76340546186267e-12	2.53445450006213e-10
Kdm2b	3.30953359988793	5.92009400212183	52.711476453983	2.31776450305778e-12	3.29008101927881e-10
Fam84a	-3.06951146789672	8.19104847821191	52.3638410060607	2.70601935241698e-12	3.79436713586469e-10
Tmem158	3.30065592489365	5.95084441569547	52.243113316661	2.85564686858414e-12	3.92439425232563e-10
Cryba2	-4.10459804420199	5.99998333354731	52.8210047912922	2.86701267346802e-12	3.92439425232563e-10
Ptpn9	-4.13087342870039	5.89640712017742	52.7635754900718	2.93977126256295e-12	3.97664587964103e-10
Trmt6	-4.25566252806935	5.88362236430091	52.697642750656	3.41985838693519e-12	4.57227113174195e-10
Snx13	-3.99876280266741	5.96897665283908	52.2852717423487	3.62272026891016e-12	4.78782041976196e-10
Tmem132d	-4.11377091965697	6.0503236686336	52.1336233473719	3.87102473494868e-12	5.05784572754999e-10
Nacc2	-3.57126812225822	7.81857907141535	51.5061478416782	3.96781910604024e-12	5.12606562710682e-10
Egr1	-4.32262136648156	6.18747993542757	51.8186697762441	4.44287244135431e-12	5.62019548852984e-10
Tmsb4x	-1.17701974574982	12.76851207179	51.8816001701035	4.49029516086882e-12	5.62019548852984e-10
Snca	3.71768468966258	8.96810162611894	60.35389983137	4.49693846707901e-12	5.62019548852984e-10
Pcdh17	3.48954385745848	9.58502941626104	60.4361028737482	4.7921176787101e-12	5.92470635159234e-10
Mme	-4.35457490834068	6.36431013935786	50.9770324968182	5.02676314789509e-12	6.14869390154232e-10
Tiparp	-4.07500672004932	6.02052697950195	51.2453708455174	5.71126717109376e-12	6.91243683507748e-10
Tbc1d4	-4.21634203273815	5.98474328473064	51.3337031094253	6.54554874019993e-12	7.83965827237696e-10
Pthlh	-4.23091754466289	6.07631279109493	51.1970400373456	6.83115427121479e-12	8.09738266086883e-10
Pxdc1	-3.91031959816743	5.98037809690208	50.7673672134206	7.04397698705792e-12	8.26445381603999e-10
Ephb6	-3.63790999400699	5.85934459064308	50.7104487777518	7.22225579408883e-12	8.38803001216499e-10
Cmtm4	-3.82613559563047	5.93315529174422	50.6312871912886	7.47778478524521e-12	8.59795694607494e-10
Mrps22	-3.82215931143848	5.89064056802702	50.3558816939477	8.43986126076281e-12	9.60807176002483e-10
Ttc28	-4.37941334320778	6.37446475509666	49.7497248323173	8.71295187046137e-12	9.82171770652596e-10
Sgms1	-3.37860730875364	5.71593518158538	49.6370587620111	1.2138120384538e-11	1.35499134156716e-09
Sez6	-4.18917517627498	6.3229325788483	48.9665045497632	1.23888385700216e-11	1.36968140267412e-09
Focad	-3.48586508858058	5.73228703371574	48.799208340903	1.33575172287967e-11	1.44563152832735e-09
Syp	-2.25204717794824	9.04700766263656	48.7718083596134	1.35232801309403e-11	1.44563152832735e-09
Shisa6	-3.71522031351986	5.89527669818093	49.2815670799896	1.35456751501992e-11	1.44563152832735e-09
4930503L19Rik	-3.10268088995265	5.75948086172548	48.7515321346339	1.36472773263676e-11	1.44563152832735e-09
Sptlc2	-4.42459455149164	5.85855168883089	48.7422445291324	1.37044561304298e-11	1.44563152832735e-09
Lin7a	-3.68856488141501	5.87345922285184	49.19700221751	1.40605704956283e-11	1.46971308689759e-09
Gm2115	-3.54751620469769	5.83544160632629	48.7355978276835	1.72377759001898e-11	1.78558511081426e-09
Hlf	-3.99160993094294	7.27041110780885	48.190933989947	1.75683449833356e-11	1.80357884480708e-09
