logFC	logCPM	F	PValue	FDR
Tac1	-8.29475643981028	9.46259167363	366.679881598059	5.16533740630696e-60	6.00470473483184e-56
Rbp4	-8.75583613109885	9.70159495309358	394.450604440049	2.98873907533744e-55	1.73720458753989e-51
Crhbp	-6.96357246153005	8.33040593354371	203.915657654311	2.47116678017499e-38	9.57577127317807e-35
Cort	-5.38232302274992	8.68307591198044	142.054335530471	3.87538280197132e-28	1.12628312682291e-24
Gng13	-5.62903920964674	7.79034874183745	121.374398902859	4.08083934867665e-25	9.48795148567321e-22
Sst	-7.37771062815847	10.1688269570084	159.609420964275	5.38144670806546e-25	1.04265529968768e-21
Pthlh	4.12647410785609	8.63675607183012	103.593701207281	8.2719951725025e-22	1.37374205543345e-18
Cdh13	-6.2558566375951	7.09813916115552	102.367828457209	1.88228110375738e-21	2.73518972889745e-18
Kit	4.87615757329983	6.67794957836345	98.1891403164301	4.82499091964454e-21	6.2322799378742e-18
C1ql1	4.30027102434246	8.2201738697284	94.7782916942922	1.98619413099442e-20	2.30895067728101e-17
Fras1	4.81216485654392	6.31192627450221	85.3670182504068	1.03573771165904e-18	1.09458644527604e-15
Satb1	-4.34805375751357	8.20665041459653	84.6770832854554	1.38808399205326e-18	1.3447063673016e-15
Snca	3.40099321400166	11.6285024568746	102.880243463736	1.60380427001886e-18	1.43417112607456e-15
Plekhd1	4.59379382096677	6.26400665279324	83.6191260832068	4.11845546806132e-18	3.41978891544377e-15
Chrna3	4.1424399649582	6.3130510102203	79.1926577985537	2.57929254721245e-17	1.99895172408965e-14
Hs3st2	3.59419191609698	6.11564217181192	76.0671691611361	9.53156742477894e-17	6.92527945706595e-14
Slc24a2	-3.91327678005452	8.04486142994793	74.2857596482624	1.20109552308824e-16	8.21337379758871e-14
Lhfpl3	3.75573739724281	6.24566724901097	74.9650814702923	1.51477867979519e-16	9.78294564034395e-14
Stac2	-4.200115215966	6.38356258492129	73.0278744350246	2.07454477911318e-16	1.2692938451153e-13
St6galnac5	-3.75448767788592	8.28934933074844	72.6508680307077	2.4444507173358e-16	1.42083697945144e-13
Trpc5	3.91707598481052	6.36983316442926	72.1290533337705	3.06834302556395e-16	1.69854703200861e-13
Egfl6	3.10963870045296	5.97780565957414	72.456085025452	4.36891673688748e-16	2.30857532119623e-13
Ptprt	-4.78854858165659	6.93642385688002	71.2093454108546	4.58321599168259e-16	2.31651677840479e-13
Fxyd6	-4.70775893473146	7.35282461585033	70.4136019365749	6.48967692113681e-16	3.12510738290996e-13
Myo10	3.86854154823796	5.95326224052257	70.203537646105	7.11445253472129e-16	3.12510738290996e-13
Slc30a3	-4.14473632234723	6.16165968738702	71.121461922362	7.19973926769945e-16	3.12510738290996e-13
Tmem132c	-4.1789050957879	6.23565827883468	71.102464222067	7.25831392159732e-16	3.12510738290996e-13
Vipr2	3.39964898788508	6.14533965869741	71.1169222957563	7.71018447040061e-16	3.20110337387168e-13
Cntn6	3.15069950386733	6.0298802751633	70.6264201229729	9.49783684970923e-16	3.80732253027137e-13
Marc2	-4.17153887322404	6.26720146895115	68.9535956243001	1.2303775980857e-15	4.76771319258208e-13
Dpf3	2.50846337724225	5.89297980177956	69.7615945493729	1.37265600992426e-15	4.99653551058974e-13
Clec11a	2.62378011645005	5.91652264508352	69.7569261550298	1.37539042011933e-15	4.99653551058974e-13
Ildr2	-4.15721680200995	6.41774489166432	68.0264661556458	2.70863196221912e-15	9.54177168509008e-13
Galnt14	2.76429784149065	5.95165812012629	67.6577624196145	3.37340283308004e-15	1.15340611572222e-12
4931406P16Rik	-3.9998601546095	6.26060411702547	66.5600078092832	3.52687042320607e-15	1.1714248191363e-12
Clstn2	4.04169599605822	7.53159414706247	66.1034965229451	4.31405708045337e-15	1.39308093222973e-12
Klf5	-3.82857740834417	6.20799584052817	66.5381657650746	5.14056262908336e-15	1.61510920440795e-12
