logFC	logCPM	F	PValue	FDR
Rbp4	-8.44350648000772	10.1215523466722	210.153413754341	2.93804644084254e-37	3.20717149482372e-33
Crhbp	-7.39969880421347	8.69710733751917	108.259722170327	8.33889122695927e-23	4.55136683167437e-19
Id2	4.93898129817525	8.03854671983186	100.633180356425	3.49856735500046e-22	1.27301204157283e-18
Gpr149	5.56852123223904	6.19397114115808	96.38242099006	3.26072758240693e-21	8.89852557238851e-18
Pde11a	5.41829644919367	6.96230410551081	80.7957494789812	2.43730399735753e-18	5.32112208703095e-15
Trpc5	4.87594955512621	6.21439002715072	79.5370358392816	4.30967704054782e-18	7.29867138253953e-15
Cryab	5.40095849275456	6.96095978884642	79.3550138492224	4.68034991551637e-18	7.29867138253953e-15
Tnnt1	4.57979567995926	6.3012369872467	71.7127362092741	1.52579915505336e-16	2.08195294707031e-13
Hdac9	5.58211357860692	6.34185693868704	69.4619480146725	4.29021972239676e-16	5.203559832187e-13
Rgs10	4.01900299362989	7.93148240890867	63.455940945481	6.88906136212884e-15	7.52009938289984e-12
Pcp4	4.74107885958185	6.79069875073095	59.0518955222583	5.36412275939677e-14	5.32316036741593e-11
Mlip	4.18735088279767	5.82529738609536	58.2178567276433	7.92520008742853e-14	7.16529695758761e-11
Gng13	-5.42290322606687	8.12201953312603	58.0600250627002	8.53324115506037e-14	7.16529695758761e-11
Vgf	-6.08625914466094	7.6425808065576	55.7981713147157	2.58150250232991e-13	2.01283437967381e-10
Lamp5	4.1672537915936	6.14279047358903	55.1621871330041	3.32678324624103e-13	2.42101106106447e-10
Wnt5a	4.19367381426733	6.0828939133868	52.5972093951642	1.11540745922668e-12	7.60986739057405e-10
Ephx4	-5.87160773062323	7.47135097072465	51.6686950520777	1.8002163734669e-12	1.14965752985218e-09
Sst	-7.52891035593497	10.5935682899498	63.8895993145279	1.89573429253748e-12	1.14965752985218e-09
Sntb1	3.60194430332383	5.9371209125267	48.9686945502485	6.231836152994e-12	3.58035386558329e-09
Cbln2	4.20359542181201	6.41728565404186	47.1371008558767	1.49132004225732e-11	8.13962479064045e-09
Nfib	3.61476115598333	7.91374630088478	47.4913010393693	1.66872178514458e-11	8.67417476506585e-09
