logFC	logCPM	F	PValue	FDR
Fxyd6	-5.69523947654978	7.2767027722911	100.932911751376	2.93977410370771e-21	3.57388337787746e-17
Hs3st2	4.72311411534259	5.97067762029498	85.7086033978272	3.44209354532778e-18	1.98771586402987e-14
Stk32a	4.7047520786761	5.95669443426017	84.816990150252	4.90511441316906e-18	1.98771586402987e-14
Prkg2	3.79440224391968	5.52818424656098	79.8620454567348	1.65506548702026e-17	5.03015778142634e-14
Cfap61	4.40029737231545	5.73628084932932	78.7490469202658	2.6416990615385e-17	5.60430546398649e-14
Kcng4	4.36636080740752	5.96477494793898	78.3868648540861	3.07663441128378e-17	5.60430546398649e-14
Cryba2	4.23767712310717	5.78576307171199	80.1100583508741	3.22695880956695e-17	5.60430546398649e-14
Gfm1	4.02774551091444	5.80216341647339	76.9501782339439	5.63884127086675e-17	8.56892416624089e-14
Abcc8	3.66143827255791	5.58234620753191	75.4702886828296	1.05470593025327e-16	1.42467333267656e-13
Kcnc1	1.997105284898	10.3894894022987	75.8304021517789	1.54132560187689e-16	1.87378953420173e-13
Ednra	3.62972741937278	5.64260852053797	74.0302358687163	3.81128458834001e-16	4.21216243094995e-13
Nudt7	3.35798789342373	5.53438232381431	73.6930758350253	5.30336843485107e-16	5.37275417187371e-13
Clec11a	3.53042701371792	5.61166554969365	71.9265791041074	9.04215437107759e-16	8.45580543763002e-13
Ifit3	3.15494634967842	5.54463940784976	69.7794640264139	2.19530652570939e-15	1.85246344279105e-12
Scn4b	2.99036404097836	5.52422085543379	69.4331503257039	2.5342301786162e-15	1.85246344279105e-12
Thbs2	3.52371182819972	5.66589046638844	67.9885087186527	2.58522616056284e-15	1.85246344279105e-12
Sepsecs	2.92275973914499	5.50595362268181	69.4912626352957	2.79835723737878e-15	1.85246344279105e-12
Rasgef1c	3.56765535392934	5.63657449141426	67.7556064874763	2.85854891458959e-15	1.85246344279105e-12
Rspo3	-4.6432283404061	6.35887353716398	67.7261011052053	2.89518840281565e-15	1.85246344279105e-12
Cd36	2.78390257465171	5.47491653003205	69.8812825740044	3.42158304589587e-15	2.07980925444781e-12
Ppfibp1	-4.06909223940834	5.63846734973566	66.1309517889533	5.77158786985293e-15	3.34119970160962e-12
Zbtb7c	2.92713264396872	5.49780546014055	68.7975541967023	6.44205106248896e-15	3.55729913971765e-12
Kat2b	4.04769702682658	5.59600537779919	65.6916655906806	6.98247865382483e-15	3.55729913971765e-12
Rnf169	3.93218051472141	5.51324675873021	75.9003349885375	7.23717092490061e-15	3.55729913971765e-12
Epn3	2.91658853314061	5.51738680199561	67.5157076661253	7.31533096100528e-15	3.55729913971765e-12
Marcksl1	-4.54285202956192	7.06394143773842	64.8552028622019	1.00404458725336e-14	4.69468078739963e-12
Usp35	3.27063881587486	5.62375493672057	63.3901830662495	1.90023439721952e-14	8.55598132111027e-12
Rad18	3.21540741781527	5.57567629209579	62.9019084726186	2.35161882300551e-14	1.02102250111707e-11
Il1r1	2.66330186004008	5.44651323093289	67.5901837611339	2.59227167609886e-14	1.08669816435634e-11
Elmsan1	2.56975755742895	5.44411210852739	65.7566885041978	3.32752090051684e-14	1.34842238625277e-11
Mtmr14	2.71609107519739	5.44374628313978	69.2464543154506	3.85944035707895e-14	1.51352311035512e-11
Zbtb43	2.77099846907469	5.54789184807403	61.3193948745614	4.70025086946165e-14	1.78565468187642e-11
Kdm2b	-4.08573710554948	5.69287333372353	60.6930385214184	6.18705804748383e-14	2.27927468737154e-11
Eya2	2.62577291391804	5.45518167561159	68.4040568407037	7.56245484982715e-14	2.70402245909849e-11
Akr1c18	4.02055047227038	7.11519855415961	60.0896639758438	8.06572454607878e-14	2.80157180876228e-11
Tsga10	2.67405588169656	5.47937392768122	67.671778041879	8.95093372857789e-14	3.02268059273115e-11
Syt2	3.93254352877518	7.54035888300295	61.6187627879694	9.49760044726097e-14	3.12060347668518e-11
Ankrd55	2.63830186124571	5.44770433285088	71.4825744994284	1.19228300454764e-13	3.81436433849624e-11
Cartpt	-5.93479074379397	7.10855441093373	70.7715946998404	1.43244049723151e-13	4.46517413457524e-11
Zdbf2	-4.23974905654987	5.59219072832223	58.5997197295584	1.5550897927995e-13	4.72630665276587e-11
Cpne2	-3.61711023018799	5.68403617211819	58.7772610934756	1.97644371013114e-13	5.86039663025958e-11
Rbp4	-3.92475787281071	9.82563905453136	66.0346007785701	2.81105480136311e-13	8.13666505242175e-11
AW551984	-3.95461252634174	5.87054202514326	56.7558391313833	3.5162251154592e-13	9.9411043554971e-11
Pvalb	2.81445759204465	11.3915477815484	65.2283207471233	3.69371031030541e-13	1.02055536914506e-10
Rgs8	3.8380131156915	6.92800114854834	56.3919218397661	4.13240349608879e-13	1.11639176226559e-10
Mospd2	-3.0804718387368	5.56422867898252	56.9851885958319	4.29209243366418e-13	1.13432538513164e-10
Kiz	2.67169001943689	5.45846669497698	57.8790676841517	5.19822390734989e-13	1.33742171871384e-10
Kcnip4	-3.36969245050393	5.76550971236361	56.5077587542826	5.28059903744876e-13	1.33742171871384e-10
Acan	2.90260947813246	5.56083631166071	55.7796566812091	5.42414645731466e-13	1.34574180574641e-10
Zfp866	2.62416407004551	5.4728513948609	62.7224613578151	6.60109830398393e-13	1.60499104163065e-10
Cald1	-3.0525375388398	5.57652734295025	54.5305540643159	9.46026791024852e-13	2.25506817617434e-10
Clstn2	3.77872219403488	6.88580452490162	54.4150296545651	9.96057871732982e-13	2.32866837435728e-10
Penk	-3.45013939682387	5.7918257886216	54.9340522528497	1.04776404044734e-12	2.40333347919214e-10
Myadm	2.23659253068801	5.44466459366621	54.1312734221348	1.13054115194905e-12	2.54518310819343e-10
Pdzk1	2.40172518868091	5.44963283027862	65.0217356411938	1.35849991240442e-12	3.00277880638191e-10
Usp51	-3.30356071958993	5.74722293779737	54.0906891762261	1.51459610582849e-12	3.28802586759945e-10
Kcnc4	-2.70483211552998	5.56953347563357	53.8219060136726	1.70365832652131e-12	3.5883320327245e-10
Ndnf	-2.33821634054527	5.48937715582455	53.7996888147682	1.72031093596937e-12	3.5883320327245e-10
Kif11	2.35649258286096	5.46465448858036	53.1648348752996	1.741478900475e-12	3.5883320327245e-10
Cidea	-2.96055302361894	5.65748711566783	53.3511711757661	2.09386208615219e-12	4.24251356355869e-10
Igsf21	-2.85432321985055	5.62036421852184	52.6364941117853	2.86525735077338e-12	5.71031698579541e-10
Cbfb	-2.67769634619173	5.56493177189303	52.4808342400906	3.06810234776098e-12	6.01595487769843e-10
