logFC	logCPM	F	PValue	FDR
Ptprk	5.20515096585244	7.32937484914584	85.384563946754	5.0661977146616e-19	5.69491285105111e-15
Tmsb4x	-1.48047017706908	13.337339376259	80.6620298813747	4.05803531596355e-18	2.28081874933731e-14
Fras1	4.21180369149377	6.12949463904616	78.6889895349805	9.72748272529465e-18	3.64488777716791e-14
Mybpc1	3.69240902092678	6.1590390679168	78.6599918110492	1.41594590634645e-17	3.97916198331012e-14
Il7	4.31809121916241	6.4366774013668	71.4872079331637	2.42617489027424e-16	4.57601355599861e-13
Elmo1	-5.52440588014848	7.26767059445322	71.918955696539	2.44249455884634e-16	4.57601355599861e-13
Pth2r	3.04105816819313	6.09777784512183	70.3816206394385	5.36724121655638e-16	8.46816695358429e-13
Pdzk1ip1	2.92036344993482	6.06122039503857	70.1199398972005	6.02662891456937e-16	8.46816695358429e-13
Ubash3b	-5.22125378207161	6.93811494131716	66.0829064357109	3.30837450834997e-15	4.13215976092911e-12
Pde1a	4.03231883502136	6.54203132968514	65.0069479360852	4.54102638752865e-15	5.10456776222095e-12
Zbtb43	2.57694625419511	6.04662171706985	60.0289165791658	4.41240587916999e-14	4.50907768070453e-11
Pcdh15	4.643652484721	6.92742723909869	58.8679366350438	7.52142598373284e-14	7.04569579026174e-11
Mipol1	3.36863812083219	6.0450039995124	59.1711115668043	8.26781285029989e-14	7.14911417309393e-11
Trpc5	2.77547778038975	6.09608823335646	53.3362405889082	9.70410978905163e-13	7.79170700990924e-10
Gabrb2	1.96854360819271	5.94327984047049	53.1712137435108	1.04778470481883e-12	7.85209857791228e-10
Trp53bp2	3.13646238688655	6.20487140444293	51.6237829433241	2.15376907172854e-12	1.45803989682308e-09
Vwc2	-4.31852243961191	7.58804675049453	51.573352660954	2.20502430797903e-12	1.45803989682308e-09
Ptprt	-4.57517904389627	7.07671178653089	50.6302764730959	3.42463265299743e-12	2.00310117278536e-09
Ntng1	-4.15971893127561	6.64651663167298	50.5926742410099	3.87269958475435e-12	2.00310117278536e-09
Cthrc1	-3.93974388637185	6.40384692858056	50.5758067365844	3.90309301100852e-12	2.00310117278536e-09
Gm11353	2.52277655688979	6.0455281208024	50.3221954384652	3.95505500766608e-12	2.00310117278536e-09
Nog	-3.85033145976032	6.37949999465348	50.5364225621312	3.97499535891317e-12	2.00310117278536e-09
Ch25h	-3.90041830409382	6.44855518049674	50.4704108133341	4.0985078706577e-12	2.00310117278536e-09
Homer2	-2.98455445856132	6.01435746309908	50.0302892746358	6.61192906821616e-12	3.03957609854739e-09
Trmt6	-4.11310090077145	6.20925753327193	51.5932240772875	6.76002156958321e-12	3.03957609854739e-09
Cartpt	-4.53725203993923	7.34416087181175	48.9673470459446	7.45824762364395e-12	3.22454467451468e-09
Egr1	-3.54731098754765	6.26108380764261	49.010946329087	8.07087077078444e-12	3.33744725626829e-09
Shisa8	3.74543138412216	6.68306880847734	48.7359252284454	8.31318594213255e-12	3.33744725626829e-09
9330182L06Rik	-3.62450106615838	6.2955818785192	48.6460683405253	9.5640468869531e-12	3.70511731015023e-09
Grm7	2.88256758272066	6.11935098215657	48.2592107231246	1.03973686816466e-11	3.70511731015023e-09
Nnat	-4.10981124824178	6.58264954010817	48.23724497965	1.05051534193573e-11	3.70511731015023e-09
Barx2	-3.6433758827932	6.34203480528678	48.4358231194226	1.05474382995114e-11	3.70511731015023e-09
Kcnk2	-3.65938759234578	7.98157786097609	47.431903375137	1.53375219090652e-11	5.22451769029703e-09
Id4	-3.36569949365377	6.23818455079782	47.5320753910655	1.60723792565825e-11	5.31381221244834e-09
Ptpn9	-3.19241728581293	6.15873699973052	47.2611894846407	1.82382226475011e-11	5.85759602230172e-09
Rcor1	-3.07509691891095	6.0777558788453	47.4173756970627	1.96533093040075e-11	6.13674583017634e-09
Pthlh	-3.40549686839501	6.2497726209848	46.9178251998946	2.1410245309515e-11	6.5046639871421e-09
Etv5	-3.50823100530494	6.34060788796102	46.8001832329118	2.26200332205011e-11	6.69136298504349e-09
Rab30	-4.47580299379924	6.2556552936587	48.5319657767595	2.47339059075156e-11	7.04737516435186e-09
Pim2	-3.02172271737449	6.12282372078749	46.5795394787101	2.5077395834363e-11	7.04737516435186e-09
Stxbp3	2.35710289050887	5.99228847645862	54.1387791547369	2.77587214406592e-11	7.61062896864512e-09
Ephb6	-3.14922261989988	6.1679627812503	46.2854686079959	2.87747060971531e-11	7.67531040053894e-09
Syt12	-2.31802033992421	5.98858904200486	46.2152775073497	2.97353538494724e-11	7.67531040053894e-09
4930503L19Rik	-3.07025307044826	6.16225100818002	46.0044112488323	3.00430262097423e-11	7.67531040053894e-09
Pde4b	3.56109107473047	6.43937789648745	45.7610721423404	3.36979814532708e-11	8.41775576702704e-09
Cemip	-2.93889629320102	6.09347937306172	45.8575541556026	3.55641936303025e-11	8.54115992914534e-09
Abca1	-3.17822355987009	6.20582315697242	45.7837913487259	3.6391190611394e-11	8.54115992914534e-09
Mb21d2	-3.18988259312169	6.2064099501918	45.7790870113163	3.6471459531979e-11	8.54115992914534e-09
Qser1	-2.85221094935504	6.08484312416218	45.3371058123298	4.4864060085856e-11	1.02921816209206e-08
Tmem35b	-3.12720470867488	6.19115066499698	45.2880221003779	4.59084734072878e-11	1.03211429914265e-08
Fads3	-2.90795576616703	6.10750411536921	45.2169843981767	4.74634478721812e-11	1.04615023045331e-08
Cox15	-2.7594572208504	6.05408668204166	45.2204523905919	4.9167894292492e-11	1.04878829878259e-08
Ldhd	-3.01559697210086	6.15075100118077	45.129595275049	4.94491413890913e-11	1.04878829878259e-08
Galnt7	-3.1347780107155	6.19680616956157	44.9766188677535	5.3128248738957e-11	1.08966045008892e-08
Polr3b	-3.56582983641162	6.07275440335485	47.8679482976338	5.33149406235128e-11	1.08966045008892e-08
Zdhhc4	-2.47155577631254	6.02429463835616	44.6823122742455	6.09981170683644e-11	1.22442827493837e-08
Lin54	-2.97813579640086	6.14586551417124	44.6355984091968	6.23508186761542e-11	1.22962377673447e-08
Klhl40	-2.13066280024291	5.95904593292307	44.8352066246277	6.48605655345976e-11	1.25130542209799e-08
Coq10b	-2.63628134158462	6.04350354912521	44.494980605336	6.73394176212685e-11	1.25130542209799e-08
Htr2a	-2.74740746984797	6.08152406545773	44.4624638584775	6.76325758897711e-11	1.25130542209799e-08
Pxdc1	-2.79959133784586	6.10174010578989	44.4539726416128	6.79028829712459e-11	1.25130542209799e-08
Zfp608	-2.49307694490829	6.02552360378494	44.1693404191593	8.09012185811025e-11	1.46679128720996e-08
Olfr624	-2.48016898301632	6.03104199719814	44.0470239856636	8.22145122934364e-11	1.46694179792146e-08
Hrh1	2.80237397863048	6.08240857895286	43.8084764028567	8.48421775658177e-11	1.48771129330826e-08
Nudt10	-2.52123959416398	6.03285706396493	43.9672748996087	8.83999745797526e-11	1.48771129330826e-08
Mepce	2.94170305157167	6.217802203849	43.6909583032527	8.97014473640215e-11	1.48771129330826e-08
Cdh4	-3.23109353591664	6.29758499929595	43.8543934186584	9.0010278729611e-11	1.48771129330826e-08
B3galt1	-2.10481799408438	5.96544258211503	43.9985197483113	9.00667508609841e-11	1.48771129330826e-08
Alkal2	-2.48415117086804	6.03495518301912	43.8085682233648	9.19716889555822e-11	1.48771129330826e-08
Adamts15	-2.23560391833937	5.94694334185877	45.5283650404538	9.26428169482949e-11	1.48771129330826e-08
A430078G23Rik	-2.17818828630291	5.98784645673966	43.6869450724889	9.73882189911587e-11	1.5418886896896e-08
Tmem176a	-2.11323359722542	5.96279725730264	43.9515725824499	1.01105232074612e-10	1.56642864260076e-08
Gys1	-2.74435109041947	6.09921893252754	43.5943657996746	1.01725194297532e-10	1.56642864260076e-08
Herc4	-2.48769931953875	5.95794010039555	45.831873453919	1.05036211662973e-10	1.59555683149119e-08
Kiz	1.84773687295764	5.94692482726654	43.1132649279518	1.1797465555103e-10	1.76622709818056e-08
Cntnap5a	-3.94090510302813	7.43548896288518	43.0877126591009	1.19413984042098e-10	1.76622709818056e-08
Siah2	-2.72868425319069	6.10448834212786	43.2117178922999	1.21809082156698e-10	1.7782544058746e-08
Vac14	-2.28643031294325	6.00732874200533	43.0684790726486	1.30727105313341e-10	1.82354068922735e-08
Pus3	-2.4369165750364	6.03174869013999	43.0516303658516	1.31352323952942e-10	1.82354068922735e-08
Frat2	-2.42975652180989	6.03155021953653	43.0468933729538	1.31645875368067e-10	1.82354068922735e-08
Wscd1	-2.32028942545576	6.01737025742623	43.041279076729	1.31994647070797e-10	1.82354068922735e-08
Zfp14	2.65508945482859	6.06225693629789	42.8603707518824	1.3302227249946e-10	1.82354068922735e-08
Igfbp3	-2.09883568492683	5.96476383519693	43.3932454378486	1.36380248864121e-10	1.84704864756818e-08
Nnmt	-2.46184184600867	6.04100311299526	42.7607761015622	1.50655487981723e-10	2.01609326238399e-08
Nfib	-3.71259163051923	6.30016411656158	42.4588327549531	1.60976326212047e-10	2.12886456817603e-08
Mrps22	-2.81331611646117	6.07308740499627	44.8310706955305	1.82571591357324e-10	2.3811100765514e-08
Gm10478	-1.98260229015846	5.93334285204604	43.3870271576219	1.84286608540141e-10	2.3811100765514e-08
Vps51	-2.4231334746427	6.03994120231159	42.285004055424	1.88571820744435e-10	2.40879072385022e-08
Lgals1	-3.20724710507702	8.48253392105159	43.4862333760036	1.97320643785267e-10	2.49222624358447e-08
Ptprg	-2.52940818694022	6.06767203141285	42.1334153804373	2.0973712097451e-10	2.61961664097163e-08
Cluap1	-2.57356833127927	6.09073749717938	42.0277367331735	2.12930994620772e-10	2.63028275882648e-08
Ptprd	-4.1568758625376	6.98959805238103	41.4834728198196	2.56023173349537e-10	3.12821357785015e-08
Plppr1	-2.5824177297277	6.09062453806579	41.465918384337	2.77696244938646e-10	3.34436184485931e-08
Slc1a2	-4.07833114381546	6.97820596823505	41.2980564835106	2.79663742920359e-10	3.34436184485931e-08
Alkbh3	-1.93765298041931	5.95902885463031	41.5802006550739	3.0849681302248e-10	3.65032913177442e-08
Klf5	-3.49331974294741	6.34174511968616	40.7220765293165	3.68034000181311e-10	4.30944812087304e-08
Tle3	-2.112338045137	5.99960732328646	40.6240122222595	4.13696612010672e-10	4.79418929444532e-08
Gramd4	-3.15467464849802	6.05985776189888	47.7361960431087	4.21000236440875e-10	4.82904454880804e-08
Vgf	-3.71552943331865	7.54379031207476	40.4113878378825	4.26850865692466e-10	4.84669755681719e-08
Sppl2a	3.2061533673702	6.37958009667544	40.3824685716325	4.32784546875209e-10	4.86493109142423e-08
Gpc4	3.39603506562069	6.58419481140212	40.0745539479901	5.01340520365784e-10	5.57977107864532e-08
Epn2	3.97548111493518	6.10375869070427	44.1443922748185	5.28868654005367e-10	5.82315310282749e-08
Zfp111	-2.15714121409278	5.95841171707037	45.1331952747551	5.33568872512438e-10	5.82315310282749e-08
Gm19035	-1.80244917134318	5.958747898697	40.0524658664224	5.42498661666743e-10	5.86368024595756e-08
Ace	-2.40016374304203	6.04430703052247	41.7139031674261	5.73114552255391e-10	6.13560064943129e-08
Cck	-3.6389292788363	7.91243898235666	40.126266594617	6.86683503586264e-10	7.28208421114452e-08
Mitd1	-2.76394052625794	6.04365699298882	39.3578651834408	7.0622415646978e-10	7.41931377838953e-08
Rasgrf1	-3.85431995655613	6.45647946628632	39.0158475277518	8.31843506006354e-10	8.6581044916828e-08
Mme	-3.69166018721866	6.44540488067988	38.7263714923385	9.55566856426478e-10	9.85461195696333e-08
Ufl1	-3.79071936773667	6.57671822353017	38.463508525304	1.08387298800922e-09	1.10761965983742e-07
Pcdh8	-3.58550876944686	6.40311590841941	38.1148458903039	1.28116806220852e-09	1.29744235921495e-07
Gm4724	-2.7315538144207	6.1176607792393	37.7132142480745	1.55359963008676e-09	1.54774032528345e-07
Zfp697	-3.01837056406991	6.0570536992223	37.7101818942963	1.55586386226341e-09	1.54774032528345e-07
Slc24a3	-3.68991654745594	6.50006878035643	37.6742565777367	1.5829426675343e-09	1.5608647829608e-07
Fstl5	-2.57252586018175	6.05685503702278	42.4832978368033	1.99518065458949e-09	1.95024571636873e-07
2510009E07Rik	-2.8132132696619	6.0243379462865	37.1273305153329	2.05884665163189e-09	1.99512889749949e-07
Carm1	-2.25573876939157	5.99163914355153	43.9221835892261	2.31782900075511e-09	2.2268987861101e-07
Zfp87	-2.87141361089211	5.97405286942403	45.8951660504066	2.45279342535705e-09	2.336597533427e-07
Ercc8	-3.29273588063508	6.27709054467473	36.7083562369844	2.51868274502195e-09	2.37422368665802e-07
Slc26a10	-3.0203210018947	6.18980006748792	36.6953246617921	2.53453289208222e-09	2.37422368665802e-07
Frmd3	-2.13498795575962	6.02252523551918	39.7684351729676	2.68603790246717e-09	2.48484807148475e-07
Sowahb	-3.13092302523555	6.24772138565854	36.5509203712199	2.71702455663351e-09	2.48484807148475e-07
Tmem39b	2.14469480956678	6.01025332061687	36.5494551342535	2.71894237872631e-09	2.48484807148475e-07
Rxra	-2.26710919950196	6.01411478214002	42.73773886376	2.98153701489918e-09	2.70285948261949e-07
Sertm1	-3.62911897126916	6.50588145492938	36.3246801870838	3.02985587730964e-09	2.72468879334702e-07
Sema6d	3.99245753801334	6.19703182007592	49.6898379952742	3.49815971114467e-09	3.12085819944264e-07
Lamb1	-3.61925333264885	6.30059820367386	35.7712484848563	3.95642927568089e-09	3.50190720377393e-07
Zfp507	3.60622169805272	6.26614827558826	41.416591009061	4.03049304651941e-09	3.53959158874411e-07
Mtmr2	3.27654475821531	6.06370770927832	35.2599791164226	5.06397422248746e-09	4.4127235841071e-07
Diaph2	-2.15372622331169	5.89619840717508	39.2782452394645	5.78212128744562e-09	4.99975579939817e-07
Sorbs2	-3.69008373788664	7.18319471446146	34.9492057713453	5.88449581472967e-09	5.04943644682261e-07
Npy	-4.19058417574474	9.38322088253287	38.7491910264483	6.47434760611197e-09	5.51349556365944e-07
Add3	-2.80182293937458	6.12490652587399	34.7127836789551	6.59715227317541e-09	5.55568786753032e-07
Gabra5	2.82121769825443	6.21148748087153	34.7047801888039	6.62273974067309e-09	5.55568786753032e-07
Tmem203	-2.56404696209042	6.06794135801137	41.9960239300451	6.91396816610038e-09	5.69053080585268e-07
Arl13b	-2.62068963973344	6.01710027412349	45.4871768826435	6.93103006292123e-09	5.69053080585268e-07
Rnf32	3.62677574104236	6.57811457962969	34.6022560410156	6.95947305055099e-09	5.69053080585268e-07
Mycn	-3.07517695034528	6.10205002670712	46.1229591547285	6.9859732337663e-09	5.69053080585268e-07
Gucy2e	-1.84314812254557	5.93217027809703	42.0042698489101	7.06875377391107e-09	5.71653677500247e-07
Map2k1	-2.83608367139344	6.16950531512054	34.4291656248093	7.56749188032678e-09	6.07615544476809e-07
Nelfa	-2.9793757290919	6.21787256028219	34.3331552414357	7.92748593832507e-09	6.32006166189448e-07
Vip	-3.00016836355664	6.24677150517535	33.9823076205287	9.39575086302971e-09	7.43786165150119e-07
Klf3	-3.37231696355024	6.32095298099765	33.9433409177377	9.57483943259046e-09	7.52662727704541e-07
E130218I03Rik	2.0470828634124	6.00048311130606	33.8718426212253	9.9124124442351e-09	7.73787696428103e-07
Slc25a38	-2.77410414135662	6.13414701891676	33.848840194181	1.00235398555535e-08	7.77066286319149e-07
Gfra1	-2.81502410345683	6.13283556783162	33.4759663133742	1.20100571032873e-08	9.24692136288027e-07
Sgms1	-2.22173803015637	5.99594094230585	42.4978642889919	1.29887072258907e-08	9.93238489294132e-07
Mpped1	-3.57193783798551	7.02682992433141	33.2984491807001	1.3090430885855e-08	9.94253605323624e-07
Ppfia2	-3.31343125042622	6.41349043925002	33.1232884894055	1.42522137406452e-08	1.07522909166841e-06
Stard4	1.89625789983873	6.03131299441338	32.9852820889809	1.52401391415173e-08	1.1420960272653e-06
Myl1	3.11138464730028	6.47626193350005	32.7597493259585	1.70050158789752e-08	1.26591644699046e-06
Dnajc25	3.23090730903148	6.26583079707175	32.5953504948034	1.84197019442691e-08	1.36220966812848e-06
Zc3hav1	2.33147155184534	5.95779770000464	63.4132140581133	1.86954525134868e-08	1.37356589349088e-06
Exd2	-3.69839191142023	6.62827747028597	32.5385720920347	1.89352992427502e-08	1.38215388823218e-06
Svopl	1.75730526529085	5.93038216348399	32.3895500560368	2.03586251756735e-08	1.47646003612739e-06
Slc18a2	-2.77936628781996	6.17863853492249	32.3512444550954	2.07415506175036e-08	1.49359432538908e-06
Sox9	-2.6122518874992	6.09430345323207	32.339477533602	2.08606270870995e-08	1.49359432538908e-06
Mex3c	2.33990019967299	6.05649647133871	32.1640193038351	2.27199453641055e-08	1.61642345467032e-06
Pde4dip	-3.84013384781375	6.66571952282169	32.1380647703018	2.30087857137774e-08	1.62667773716083e-06
Abcg2	-2.88109303038573	6.09739036744092	38.7588688023821	2.37720169231867e-08	1.67013276395963e-06
Cacng3	-3.41856178993295	6.53204211671764	31.8514193818163	2.6455163003081e-08	1.84709619451946e-06
Oxtr	-1.72858024947254	5.91371331431943	41.3897202760794	2.86915446737001e-08	1.99087440541396e-06
Myo10	1.54672932401011	5.9444280127499	33.0656957844527	3.0011664864732e-08	2.06970015180646e-06
Gm9892	2.23086238345306	6.02866124405021	39.3536393824984	3.09143612978495e-08	2.11313866963751e-06
Dnajc13	-3.81242989969446	6.43267413893268	31.5249294747391	3.10175144996165e-08	2.11313866963751e-06
Pnoc	2.60224511068153	8.17434787396758	32.0666656971763	3.33895271700532e-08	2.26103418625643e-06
Zfp574	-3.17066871299245	6.10911159714122	31.2864007015599	3.48437163994619e-08	2.34537853919971e-06
Ttc28	-3.09741360380728	6.34764611095302	31.2482014222834	3.54991120702391e-08	2.37161701181821e-06
Nfic	-3.81301709341755	6.41896381158332	31.2391922709398	3.56554821632663e-08	2.37161701181821e-06
C1ql1	-2.53490644532267	6.06724272839901	31.1750894939204	3.67882761629264e-08	2.43257066086738e-06
Tmem132d	-2.28788042606717	6.00031507994318	43.4103610661927	3.73033147710397e-08	2.45220211310677e-06
Fam210a	-3.86630570796213	6.37510874572656	31.0734257362945	3.8659496886902e-08	2.52657793317247e-06
Nfatc2	-2.62547531255058	6.05799698206677	42.9419226138786	4.00210411796836e-08	2.59747788491536e-06
Lin7a	-2.19698003919945	6.00398155981826	41.803093118088	4.02525088225594e-08	2.59747788491536e-06
Otud4	-2.48260537691658	6.0826065453158	30.981306572078	4.04375615924018e-08	2.59747788491536e-06
Tox3	-3.44301790522716	6.58411225535222	30.9671444764908	4.07181145943998e-08	2.60063821679346e-06
Ankrd55	1.78359012652749	5.91712893946634	63.6270407169919	4.16142304698406e-08	2.64285629780496e-06
Epha4	-2.81183965057199	6.0168327523753	44.3499707497411	4.27501933173268e-08	2.6997467588768e-06
Ammecr1l	-3.07833735521447	6.33244023314861	30.8534468335258	4.30425768716591e-08	2.70302573527553e-06
