logFC	logCPM	F	PValue	FDR
Npy	-7.97147234402832	9.01902472863031	241.766134276874	7.82893265208373e-34	9.70709359531862e-30
Sst	-7.18381533133834	10.0060587896434	190.914940158158	5.73040892492423e-29	3.55256701300677e-25
Fxyd6	-4.66665787228432	7.1409637019833	88.1887436363412	5.19628859364737e-19	2.14762607575446e-15
Calca	-3.97459029290161	5.93804649512493	82.3880806696932	1.41852237516452e-17	4.37764522701629e-14
Tmsb10	-2.54465133009636	9.01333036218567	79.7080748264104	1.76532189169138e-17	4.37764522701629e-14
Gfm1	4.08807445674438	6.07521645460779	78.3871106211491	3.07595435589035e-17	6.3564596764474e-14
Ldb2	-3.3102794238427	5.74856394371827	79.1791143262078	5.12268731147276e-17	9.07374285356439e-14
Zfp992	-2.23964586347605	5.55375966154072	76.6753663105374	1.40615359729117e-16	2.00830798426751e-13
Syt2	4.27217781725359	8.00699626860593	79.2527294972877	1.4863664754387e-16	2.00830798426751e-13
D430019H16Rik	-3.20313110227471	5.74161157895286	76.3261316791391	1.61973383681548e-16	2.00830798426751e-13
Tmem176a	-2.30554943958354	5.56621225067732	75.8451154265014	1.96845409387288e-16	2.21880566453907e-13
Ercc6l2	-3.1605155364475	5.78711052905863	73.5394647134998	2.3949725633392e-16	2.47460540107023e-13
Slc8a2	-2.399164263179	5.5889469674488	74.8535986573926	2.94467835509843e-16	2.80854360960503e-13
Saal1	-2.8871766407567	5.68516643515043	73.9218235912091	4.30382002380934e-16	3.81164746251514e-13
Penk	-3.25746195223837	5.81886784321263	71.8906882513675	4.83904961509362e-16	3.99995841183639e-13
Clec11a	3.59003013380087	5.85283010060289	69.9577917042783	2.03868973414745e-15	1.57985712585589e-12
Galnt10	3.20981972720717	5.6746663373882	69.6228091835112	2.65070836939981e-15	1.88292822709019e-12
Mybpc1	3.34877178825319	5.77542088577574	69.250363330732	2.73350335411109e-15	1.88292822709019e-12
Myadm	2.87393199956992	5.56408995197555	66.9203520181355	4.10052002904829e-15	2.66284965588309e-12
Zbtb43	2.71500813629413	5.6070921798942	66.8130855327275	4.29526519216565e-15	2.66284965588309e-12
Kcng4	3.72064758790258	5.98032694907065	66.1866759554672	5.6334083848838e-15	3.32612526496068e-12
Rel	2.69602490600922	5.63255979933367	66.724586863187	7.82621070318539e-15	4.41078120494526e-12
Acan	3.47383262144616	5.8078660745173	64.2965947385254	1.28008916995929e-14	6.90079374709791e-12
Ppp4r1	2.90232351161658	5.66842703704565	65.3471026210606	1.39341118159238e-14	7.19871051690163e-12
Drd1	2.62480780325931	5.63437238278056	65.1385894821724	1.52085687959937e-14	7.2939767478819e-12
Rnf169	3.00055454420193	5.73718859642437	65.1250836151827	1.52950556855335e-14	7.2939767478819e-12
Fam184b	2.88557563946585	5.69576616522937	64.9070868766531	1.67615699232591e-14	7.41929614895824e-12
Nfatc2	-2.83476443343043	5.66195950830779	73.5450446263009	1.72994160315477e-14	7.41929614895824e-12
Ankrd55	2.5079955515208	5.60461992401657	67.061167810482	1.73529791370102e-14	7.41929614895824e-12
Adra1b	2.22191948668638	5.55764695506297	65.1694079700238	1.89985918600801e-14	7.85211801577112e-12
Naf1	2.34602803945015	5.59544420790932	63.9047595036793	2.55543518001088e-14	1.02209163861145e-11
Oprd1	2.23675842353404	5.55360683904739	63.9789445229868	4.62493353452993e-14	1.79201721545739e-11
Rasl11a	-2.64046492057303	5.63864220910566	73.2898387499779	7.82372650317663e-14	2.93958742160264e-11
Nkain3	-2.7117356390982	5.69908202506868	67.8055877731474	1.0753545938526e-13	3.92156517917011e-11
Zfp608	-2.49434962208129	5.63637122486721	56.954259312717	3.21988097755802e-13	1.14066583544977e-10
Calb2	-2.3343751663779	5.58706342565849	73.7613966993729	4.11822400085073e-13	1.41838498295967e-10
Fam129a	2.61172549360107	5.58717836460675	64.5777539075587	4.44773684323447e-13	1.49047267889903e-10
Pvalb	2.41662891112435	11.3981667003062	62.1038162845493	4.9899991222794e-13	1.62818418729322e-10
Zadh2	2.61902974745543	5.65836098591333	55.3859990486133	6.46178466845314e-13	2.05435046420899e-10
Scn4b	2.49986824709874	5.60234798311049	65.9583359099208	7.30616111778125e-13	2.26472729248424e-10
Scfd2	3.17785256796048	5.61487604658249	54.9134572093419	7.97520709211757e-13	2.41181933500404e-10
Mcf2	2.37706208168765	5.60014304133932	54.7689986865033	8.5055482579734e-13	2.510959353586e-10
mt-Nd4l	2.74478868192859	5.73106250612533	53.6165058704227	1.4227970408665e-12	3.98662525577447e-10
Nrg2	-2.50610913509697	5.67515276705983	53.9814903229519	1.43143504322523e-12	3.98662525577447e-10
Epha4	-2.94514547915895	5.6222623631004	73.4708628365126	1.4659983441027e-12	3.98662525577447e-10
Cadps2	-2.60305863422634	5.63515334291717	53.5298176938472	1.4790286455813e-12	3.98662525577447e-10
Gm43540	-2.42686192610343	5.64663436664208	51.9510700175537	3.00061878748512e-12	7.91588773319746e-10
Chrna4	2.62421650910566	5.64149487096699	62.2708225722953	3.19781768389406e-12	8.26036280470886e-10
Ccdc134	2.73184833302988	5.60886103718273	51.4327718566704	3.78748598094997e-12	9.58388544444872e-10
Sppl2a	3.65105059646405	5.93771726879356	51.0951443289993	4.4086875778965e-12	1.09326634556677e-09
Hs3st4	-2.51895715207476	5.6224442257842	69.8934956794107	4.52655030007103e-12	1.10048425824668e-09
Frmpd1	2.19281369859953	5.56675138932175	63.0159940924206	5.28615249045895e-12	1.24044701313061e-09
Nnmt	-2.40183475383654	5.65418434252852	50.6852338765043	5.30233822856056e-12	1.24044701313061e-09
Trub2	2.21211870788533	5.60879085908426	50.7939929001671	6.15305520994649e-12	1.41280984348382e-09
Sema6a	2.01289734644604	5.55443364321262	50.8650612811445	7.91253835406419e-12	1.78377387367349e-09
