logFC	logCPM	F	PValue	FDR
Npy	7.75275603820578	8.00063218748185	273.246384179752	5.41338067224183e-47	6.25299601450654e-43
Rbp4	-7.91089356513544	9.41172675093561	201.290809199198	3.41994203485947e-37	1.97518752223309e-33
Pde11a	6.56672187513821	6.78625519734786	131.791226490407	1.11535722083516e-25	4.29449708595563e-22
C1ql1	5.96576813482325	6.43727198387166	113.267953193611	9.08083494018691e-23	2.62231810985248e-19
Trpc5	5.08816315583882	6.031171191886	104.273664542972	7.129228896215e-22	1.64699445960359e-18
Nfib	4.92248563025439	7.69162391095079	100.666762243642	3.02293551576973e-21	4.99210946744985e-18
Snca	5.47230875779589	9.57284453894356	138.601635659801	3.02525896218067e-21	4.99210946744985e-18
Sfrp2	5.57277952735937	6.34178342926676	101.84275647549	6.59813550383795e-21	9.52688290060403e-18
Cbln2	5.49642938717757	6.2012202505853	101.146191016592	8.60234571532728e-21	1.10406328175273e-17
Nkain3	4.65993103213725	5.92866779199926	94.4059546343247	3.80981662642441e-20	4.40071918518283e-17
Col5a2	4.79812668969314	5.73497221780443	94.4503316763499	1.12817376730847e-19	1.18468501692547e-16
Lamp5	4.8234602583501	5.95103877485897	91.2096416336895	3.98355602710529e-19	3.8345046390911e-16
Unc5b	4.71160860191645	5.89255590387763	89.7855859968317	6.95810230620824e-19	6.18254151838549e-16
Krt12	3.67531093825647	5.58696358428044	88.9593255446074	9.62594648286667e-19	7.94209341597092e-16
Tnnt1	4.64505869236897	6.12285471896003	84.9200170765728	1.89198179771039e-18	1.45695211635684e-15
Sntb1	4.14719153803798	5.72039335384442	85.7580995357849	3.4075081307856e-18	2.46000790116903e-15
Satb1	-4.90542454801254	9.0284508187713	83.2376848531124	3.81435067723372e-18	2.59173909839569e-15
Crhbp	-6.97404307281695	8.07854943944494	83.1005399834747	5.25887736830589e-18	3.37473847118341e-15
Slc30a10	4.48937559785443	5.89290339409157	84.1152704456354	6.54605640822736e-18	3.97965776691759e-15
Ramp1	4.62121116546995	5.97342833728214	81.7984240957025	6.9636546505622e-18	4.0218587434322e-15
Inpp4b	4.27147486450778	5.78755097477111	83.2992276775712	9.06326702303106e-18	4.98522844681104e-15
Cryab	4.96540280759101	6.81898220017843	77.443094266609	4.35598919062686e-17	2.28709232458777e-14
Pvalb	-3.60738855895648	11.7117400150044	97.3626122482598	5.54919231465242e-17	2.71875669653025e-14
Ska3	3.66771049578797	5.45882573267242	76.8291567836894	5.64887548409021e-17	2.71875669653025e-14
Gpr83	-6.68274363640721	7.84289387754965	76.5671402380116	7.93526009010704e-17	3.66640757203305e-14
Chrna3	3.44220129439878	5.6168827136764	74.5439242248855	1.4911085139854e-16	6.62453632501743e-14
Fxyd7	3.26409871439751	5.58749753353486	70.691165133057	7.74938153483294e-16	3.3153002262539e-13
Id2	4.04420066216808	7.99709912968336	71.9579287087836	1.28278237127776e-15	5.27860811561879e-13
Gap43	4.26860675893183	8.39569579746657	80.02068023423	1.32525006798498e-15	5.27860811561879e-13
Tmsb4x	1.39880877305383	13.3324166169736	70.0616640246327	2.06269154417679e-15	7.94205000892871e-13
Trib2	4.81901258757782	5.90576629450241	68.3198543058242	2.15286552122609e-15	8.02185472118793e-13
Ephx4	-6.37065042539178	7.67079264600523	68.0691027353666	2.89005953071946e-15	1.04322117622939e-12
Grin2a	5.17797834952745	6.60677601029731	66.622269265559	4.48973140881045e-15	1.57154204555059e-12
Ntm	-3.38150418077772	9.30812981890676	65.5963336738326	7.01062875983377e-15	2.31998378516891e-12
Rgs10	3.82816440560848	7.83154223698329	65.5901050611937	7.02964526715538e-15	2.31998378516891e-12
Slc24a2	-3.4386639604682	9.44588463472179	65.778856537657	7.74556916266375e-15	2.48525192772025e-12
Mtmr12	4.01891523095238	5.73715841158416	64.8013252747517	9.90963194262524e-15	3.09367996133146e-12
Kcnc2	-3.07893727739654	9.70327599970023	64.6697092701777	1.04946485931719e-14	3.19009699736127e-12
Ntf3	4.45211754749966	6.11961246908474	64.2992982974274	1.2334349915889e-14	3.65318143278035e-12
Wnt5a	4.30822550122385	5.90804584723798	62.7333944128607	2.44545915455975e-14	7.06187467357993e-12
Reln	2.46856647702677	5.55674558055981	61.247517097187	4.69309808323012e-14	1.32219453559491e-11
Tead1	5.42576561715855	5.66211922063974	90.7518775244575	7.48335635731209e-14	2.05810117341219e-11
Syt2	-7.660769505784	8.36706891138472	72.440006726492	1.06107074913036e-13	2.85033214493134e-11
Ralyl	4.50166033048966	6.61530562366849	59.2737648858261	1.11971365631517e-13	2.93950282820376e-11
Hdac9	4.94385093363336	6.22490546425774	59.0648249985409	1.22798188526865e-13	3.15209305705294e-11
Thbs1	3.45031534943152	5.71486864578981	56.8912186423191	3.21685986643673e-13	8.07781485156752e-11
Rxfp3	4.30496191678749	6.1144915667708	56.7701436784538	3.39465634039944e-13	8.34290965701148e-11
Clmn	4.6560131977482	5.64742001566514	58.5514591633821	4.72172152512996e-13	1.13626261118284e-10
Zbtb7c	3.36233339955785	5.63722979965356	55.90031186212	4.9986746283707e-13	1.17836103331245e-10
Frem1	3.02048798160379	5.73895263177177	55.5893153437256	5.74157939435141e-13	1.32641967168306e-10
Car4	3.13182482484127	5.60960350951699	57.9626309704935	1.26133674537302e-12	2.85680406780465e-10
Elmo1	3.59219932817969	7.67141294936662	51.069825355085	4.35441593804184e-12	9.67266509621563e-10
Dcdc2a	3.35564711676348	5.65008621161286	51.0174860850126	4.45840848105509e-12	9.71680686125799e-10
Fgf13	3.47470693707096	7.70639033132754	49.5627815307007	8.60249968464835e-12	1.84013840476617e-09
Gng13	-5.07843070739012	7.60572000710562	47.7921703786519	1.9210248518987e-11	4.03450146623307e-09
Col25a1	4.03049605773756	6.55966815794291	47.5531669249397	2.14168435591996e-11	4.4176064277199e-09
Cck	3.60597182495174	9.69218901545052	54.7554716002271	2.81212463745051e-11	5.61870519323453e-09
Sphkap	4.28573741564702	6.08786501828798	46.9480754780373	2.82127003036622e-11	5.61870519323453e-09
Dock4	-4.25255156807662	8.1136185609682	46.8356263682405	2.96967445753535e-11	5.81401858626964e-09
Nrsn1	1.54511024835783	10.9483702228751	46.5783438560974	3.33944559745137e-11	6.42898934936014e-09
Plxna3	4.0220991843892	5.77064853225458	46.0303863696811	4.2888201229864e-11	8.12133790829769e-09
Tmsb10	2.58180987116352	8.45336882266027	45.5617681667489	5.31368011831936e-11	9.89972887850112e-09
Epha5	1.8283230215375	9.87538183458225	44.9011383932564	7.19090356199691e-11	1.31828916769338e-08
Hapln4	-4.65293016455956	7.76461720956963	44.8670419914696	7.30417338173116e-11	1.31828916769338e-08
Slc24a3	3.41550847662868	7.50279732202155	44.8324132766406	7.42104896568040e-11	1.31877748619345e-08
Fxyd6	3.8677453015725	6.04104138474457	44.7635090983595	7.65923427006669e-11	1.34048204626576e-08
Yjefn3	3.21038053817093	5.648453328299	44.5196938162664	8.56552689492051e-11	1.4767224054213e-08
Oxtr	3.5781232046554	5.80086014221295	44.474936036886	8.74326182779013e-11	1.48519731430594e-08
Cacna2d1	3.06456755110892	5.66388849693598	44.3972711128555	9.06052298519643e-11	1.51678407249281e-08
Hs3st4	2.97536517727979	5.56045410573062	71.8636446444486	9.47245751538154e-11	1.5630908108596e-08
Arhgef3	-5.73164644365997	6.80847970173758	43.9285375636061	1.22316215350432e-10	1.98996423029978e-08
Pthlh	3.96891097530116	6.29568669092757	43.6893402828487	1.25431520544819e-10	2.01230485251833e-08
Barx2	3.79570836227169	5.99931549658015	43.006164753207	1.71783842587482e-10	2.71818515853152e-08
Gfra2	-5.4675892921219	6.89460488796741	42.7774142987899	2.0695158838001e-10	3.23040242888851e-08
Egfl6	2.90260480483597	5.60187453941324	42.5506862349391	2.11925011228061e-10	3.25425583856862e-08
Nrep	-5.44605654541787	6.95409679372038	42.7030678538731	2.14114313679522e-10	3.25425583856862e-08
Cnih2	2.86091333485698	7.93675686704887	42.2357583163538	2.45079817066297e-10	3.67651554147117e-08
Pcdh8	3.55992305104599	5.8363672277751	42.0638206974027	2.65335171055298e-10	3.92934174469198e-08
Nkx2-1	3.35991097527645	5.77616163609713	41.6741151570069	3.17704647370947e-10	4.64532453390102e-08
Pdzrn4	3.67958590807749	5.97009185459385	41.4857995821846	3.46622209632871e-10	5.00479142933662e-08
Olfr1150-ps1	2.35415831303847	5.5082630399083	41.3640917803408	3.6670624291832e-10	5.22941211351793e-08
Cplx1	-1.92818708122228	10.0765578857156	40.7066058198058	4.97291779120444e-10	7.00514309831738e-08
Gpr149	3.88908572067999	6.19126886391526	40.3490334694841	5.87032589816108e-10	8.16965475297093e-08
Tspan9	-5.29247086978139	6.82887223235917	39.950672632152	7.58586899302364e-10	1.04314729450495e-07
mt-Atp6	-0.990416708654263	13.5250320264749	39.3425526993131	9.37268841276504e-10	1.27369322183352e-07
Slit2	-5.18670512208319	7.01917502889812	39.2107148117381	9.96609370680329e-10	1.33858544659634e-07
Fstl5	3.63524782744927	6.00415251536883	39.0424886542262	1.07785187389413e-09	1.43106517187943e-07
Amn	-5.35004367248876	6.88196771835555	39.0544694176679	1.1477939215368e-09	1.50660995314449e-07
Lrrc3b	3.01010869741814	5.63486345853012	38.7308338143745	1.24639101734984e-09	1.61764748779865e-07
Tmem132c	-5.21219742198178	6.74796763574627	38.5401708958612	1.45646608618167e-09	1.86929330683161e-07
Ptprg	3.25179990925844	5.78242138868854	37.3718294276266	2.35211805828121e-09	2.98563908694574e-07
Prr36	2.43865743696127	5.55515186617672	37.1423075719308	2.61907870088575e-09	3.28836718194905e-07
Creg2	-5.0201830643386	6.63658363700875	37.1955075609623	2.71967335850098e-09	3.37795128645644e-07
Kcnc3	-3.94838234740996	7.72832365298991	36.9732040192333	2.83509731504503e-09	3.48385203043459e-07
Trps1	3.29829391126417	7.25598203980625	36.6546669839762	3.29192648509173e-09	4.00263608729417e-07
Gpx3	-4.8050614931311	6.54761403332851	36.5689936498131	3.64142733170753e-09	4.38147157380768e-07
Prlr	3.49155417820985	5.86813677609907	36.2519710283466	3.97706498344241e-09	4.73598738389106e-07
Lpin1	-5.14034984227377	6.68876222534426	36.1773992691321	4.37144460223391e-09	5.15250577555142e-07
Iqck	-4.62592448500147	7.4250575307242	35.8860226846218	4.72354565579386e-09	5.51128039091666e-07
Dscam	-5.26365189703941	6.54828736897053	35.968039025369	4.82048095488589e-09	5.56813755098869e-07
Atp1b1	-1.27121828523857	11.725092558374	35.5381000905286	5.56378213826479e-09	6.36309380981154e-07
Pxdc1	3.49429309442809	6.04248100563216	35.4086290310093	5.91354790920574e-09	6.69680312737603e-07
Npas2	2.55689261619532	5.52211260007021	35.321391570984	6.16161885339266e-09	6.90998634713967e-07
Coro6	-4.66179686053645	6.40451421498503	35.3190223272113	6.52999252399332e-09	7.25268688890834e-07
Cidea	3.25369422132746	5.82957621132501	35.0008262123285	7.16663902578727e-09	7.88398546541607e-07
Cntnap5b	2.60929582932859	5.50894163453338	64.7379384335478	7.59011191624907e-09	8.27107384382953e-07
Vgf	-4.93847686583933	6.60243994469948	34.9152112526788	7.88985667251192e-09	8.51735835740048e-07
Etl4	-3.4189817441028	8.17016994865267	34.7161588132408	8.19674824766747e-09	8.76672583414879e-07
Ank1	-3.68893340570424	8.10521050303138	34.3017275965971	9.9714857576553e-09	1.05592663104143e-06
Klhl15	2.92433503511862	5.56832148675644	34.2655579126405	1.01407525139778e-08	1.05592663104143e-06
Lhfpl3	2.89964559682947	5.6476481522059	34.2555374854257	1.01888943701933e-08	1.05592663104143e-06
Limk1	-4.73932623971906	6.94149221508685	34.2452823395868	1.02384021016916e-08	1.05592663104143e-06
Rbak	3.24518643290733	5.61183914936282	34.0159285504241	1.1411168833423e-08	1.16203912548841e-06
Cd72	-4.75297593676818	6.46823601204355	34.1183527150421	1.14684841403929e-08	1.16203912548841e-06
Cdh13	-4.85292704509642	7.05062815353602	33.9747813220642	1.16354524147575e-08	1.16870531167707e-06
Tspan12	-4.80437934906276	6.49956256485083	33.9675458922567	1.23110399605168e-08	1.22590364296491e-06
Thsd7a	3.51713815388942	7.02851423862488	33.6836198166061	1.33545513554769e-08	1.31844805732576e-06
Robo1	-4.73349223291859	6.39797525984581	33.7506051164026	1.36336437129185e-08	1.33459507227052e-06
Scn1b	-2.25399756301311	9.13894754278202	33.5670549400712	1.4112485425188e-08	1.36985982475921e-06
Tox	3.17531349959409	5.95948362773632	32.9850530948794	1.85967065324494e-08	1.79008797630269e-06
Rasal2	-4.87455184413573	6.41291464715005	32.9875648468313	1.95316281097715e-08	1.85423630848731e-06
Stac2	-4.46393815711414	6.31327258748086	32.981869144284	1.95841770959616e-08	1.85423630848731e-06
Kcnma1	-2.8190849008491	8.74737935867276	32.82816613788	2.00343881292215e-08	1.88144079089949e-06
Ptprk	-4.85160468877368	6.0257934958744	32.784057448979	2.19358748908741e-08	2.03686490506921e-06
Trim7	2.1127498032988	5.50026769785739	32.6270699271652	2.20420840735566e-08	2.03686490506921e-06
Creb3l2	-4.65848164350258	6.44245719349365	32.5681960233559	2.38074947416423e-08	2.18254263302151e-06
Smg7	-4.61462769713884	6.42897228187931	32.3551257273353	2.63294298917275e-08	2.39473421007358e-06
Ccnd2	-4.8734527119839	6.22621490101079	32.1809479294651	2.72496396764228e-08	2.45906709298719e-06
Epb41l2	-4.53664882062586	6.40215615672703	32.1592609443942	2.88845537675722e-08	2.58639907418005e-06
Tmem229b	-4.54029924801992	6.52632290393603	32.0098077791642	2.95617239490287e-08	2.61886413327139e-06
Rab3gap2	-4.59478384459509	6.38460977342526	32.1003720273702	2.97005628481129e-08	2.61886413327139e-06
Brinp1	-4.47710107533799	6.14380289333389	32.0334087828064	3.06567077394319e-08	2.68269417498619e-06
Ncald	-2.02010969544053	9.51819828247737	31.7565601691296	3.33505633280906e-08	2.8964838872389e-06
Slc9a3r2	-4.31674572268154	6.30495969189662	31.7022385987092	3.58613013527781e-08	3.09129770093985e-06
Tmem151b	-4.26618431986858	6.24614549033711	31.5724613517138	3.81358733997072e-08	3.26301832325939e-06
Eps8	2.99668630650062	5.6595759082607	31.3542185656783	4.04015479772078e-08	3.43145794621123e-06
Slc30a3	-4.20753820731121	6.20407595851422	31.3995552133384	4.13938056842886e-08	3.4900718938629e-06
Lrp8	-4.23189101118461	6.15935414595881	31.2932302465671	4.35349675266302e-08	3.64400297029062e-06
Ak5	3.23820212966179	5.97116668193308	31.1607264440201	4.43092405259484e-08	3.68212976485777e-06
Pcdh19	3.15223131832205	7.89237648188344	32.8041456351941	4.92576795772479e-08	4.06411040569136e-06
Ass1	-4.08228337683214	6.08594826972896	30.8571523865669	5.35492116195522e-08	4.38685775473367e-06
Tmem25	-4.00534216707177	6.04544521612755	30.6570840631676	5.88911607382367e-08	4.7905056175167e-06
Kcng4	-4.07216501589989	6.12595432324313	30.4687931814201	6.44083385661585e-08	5.20266236907481e-06
Pde8b	-4.27164254714096	6.25760222287653	30.3861933399739	6.69902027109127e-08	5.3736377188455e-06
Igsf3	-4.64101462753604	6.58552287584164	30.2123237815263	6.97256941514394e-08	5.55449305616052e-06
Apol8	-4.28155956938906	5.99998371011445	30.2647740154297	7.09759742998342e-08	5.61536629546154e-06
Tcerg1l	-4.07544791044154	6.00946182312903	29.9486541035817	8.25106522730074e-08	6.48354111840482e-06
Ankrd16	-4.26167902993879	6.26650403698954	29.7864660597343	8.91438398230487e-08	6.95743576889213e-06
Slc25a28	-3.89477094359257	6.07209554923991	29.6630061698199	9.45511240379317e-08	7.32993311249764e-06
Lypd6b	-4.04720587236105	6.13879044928789	29.5848485006432	9.81438719937943e-08	7.55773243600212e-06
Cacna1i	-3.90482409639196	6.10731675179212	29.4265237335455	1.05848868255936e-07	8.09708792863789e-06
Isoc1	2.56516406023303	5.62207584153633	29.1815499331739	1.14312537290974e-07	8.63023520363213e-06
Asap2	-4.00166996321648	5.97498923722858	29.2654667113966	1.14312699000581e-07	8.63023520363213e-06
Tiam1	3.26087605709579	6.83984594418509	29.1549462122521	1.15783054805398e-07	8.68448094842309e-06
Men1	-3.96787002334189	6.08867894599251	29.164885439464	1.19941043781285e-07	8.93831610785566e-06
Setdb1	-3.99263619592327	6.16254737129615	29.1384110115711	1.21468375218584e-07	8.96379041672278e-06
Cdh7	-4.21370087400006	5.77280790121161	29.5695306059569	1.21834914329969e-07	8.96379041672278e-06
Cetn4	-3.99520358479032	5.9211220069565	29.0608414965477	1.26057181713255e-07	9.1949121415354e-06
Aqr	-3.73511965990592	5.83071139250545	29.0523773331443	1.26568351701509e-07	9.1949121415354e-06
Nme7	-1.53434635975956	10.2441057667596	28.8695731533002	1.32807449576035e-07	9.58786781282987e-06
Akap17b	-4.07087117354687	6.13898676540362	28.8850267443263	1.37115102935004e-07	9.67239950793136e-06
Gm9844	2.6814527736346	7.28836596839257	28.8009648675075	1.37263291572185e-07	9.67239950793136e-06
Adcy2	2.66067130757058	5.65619652059425	28.799401556853	1.37366558173476e-07	9.67239950793136e-06
Cabyr	-3.81234695027789	6.00696887693052	28.8785953797651	1.37537636603419e-07	9.67239950793136e-06
Uimc1	-4.05595630094499	6.16539596179962	28.8690803123384	1.38165173474909e-07	9.67239950793136e-06
Slc8a3	-3.81247844994264	5.79808049573751	28.8550313830739	1.39097004980631e-07	9.67897291886304e-06
