logFC	logCPM	F	PValue	FDR
Akr1c18	6.43977069842021	6.94550384019026	172.119347699012	3.36219702242181e-32	4.17315894422995e-28
Epha4	5.9494548997574	6.45571878959784	142.806480436506	8.53536420399462e-28	5.29704702499906e-24
Npy	5.93356901397478	6.7839212135188	127.231586449352	2.41333921560253e-25	9.98478878135285e-22
Grin2a	5.06069823033833	7.13063679547764	103.576419723574	1.85882271795288e-21	5.76792689380779e-18
Rgs8	4.70398231073258	6.79310601732312	92.3780302806064	1.52675206033194e-19	3.79000931456801e-16
Col25a1	4.31230817633336	7.13004032430972	91.7332439402281	1.97494607872268e-19	4.0164079853141e-16
Hs3st2	4.80307452502442	5.85365864478799	94.971907744842	2.26513502233312e-19	4.0164079853141e-16
Cryba2	4.31628805424317	5.6649791259096	88.7806772048397	2.30879026231704e-18	3.58208809198488e-15
Shisa6	3.92365316651221	5.56402846352587	83.2605385526428	1.89687659340322e-17	2.61600358636897e-14
Ercc6l2	3.48754547744702	5.425653484007	79.712301514546	2.58198518552228e-17	3.20476001227025e-14
Pde11a	3.37273407922764	5.4185467436384	81.5068512197279	3.73075905772322e-17	4.20965285676915e-14
Ptprt	4.01697820805721	7.24197181905896	78.3829072954202	4.46558342575162e-17	4.61890179003576e-14
Cfap61	4.3339875991738	5.6207315738812	77.9089263495613	5.43124362246988e-17	5.16252153772397e-14
Zfp992	3.80887024389777	5.55795525087608	80.3576422895832	5.82301817016883e-17	5.16252153772397e-14
Fzd1	3.51030211035457	5.46372653841169	79.2854226868358	8.8339941475305e-17	7.3098356906099e-14
C1ql1	3.34417118258155	5.42245301587988	79.004242439747	9.85651433626466e-17	7.64619099635731e-14
Inpp4b	2.94016952070852	5.35422372631434	78.3942188870592	1.36345679640568e-16	9.71761382415389e-14
Cd36	2.85515350275666	5.34587924829863	78.0060359058583	1.45518373275022e-16	9.71761382415389e-14
Map3k14	2.79798048822524	5.33795623940208	77.9344632774411	1.49647414457619e-16	9.71761382415389e-14
Olfm3	3.45539144532136	5.44927034874081	77.8185878913168	1.56584173769802e-16	9.71761382415389e-14
Ifit3	3.22886956209484	5.41721516660853	77.3087382102897	1.91168796986117e-16	1.12989862294842e-13
Golm1	3.35269677064825	5.43264872716312	77.1709451944706	2.01773333193721e-16	1.13836845981839e-13
Lingo2	4.03746913938437	5.46676387515976	80.7930229983261	2.22956613543885e-16	1.20319021187248e-13
Aox3	2.91867323483751	5.36956228659615	75.6599709551134	3.76212833311422e-16	1.9456473696089e-13
Cacng5	2.91665102959288	5.3653199878327	75.7933945672226	4.11598786232275e-16	2.043505653886e-13
Eya2	2.69566679313714	5.32561035785767	76.7303912195111	1.13091426751665e-15	5.39881072631409e-13
Ednra	3.44510421494474	5.52614504803427	69.5568341297695	1.77813208481169e-15	8.1741390506232e-13
Tunar	2.86681417594129	5.36940238380864	68.7242586993709	2.52803295436174e-15	1.12064089391207e-12
Syn3	4.25342752590508	6.06638384350018	66.6134983345213	6.19018067673498e-15	2.64697070738995e-12
Cartpt	-4.99283282562841	6.27772819187168	67.7298441059342	6.39776999852549e-15	2.64697070738995e-12
Ptprk	-4.91612433865919	5.7693992599075	66.0027220311297	1.55538313615212e-14	6.22755338255488e-12
Kcnip4	-4.49568863201856	6.17590568053024	64.1234833628305	2.84184728649325e-14	1.09781505383738e-11
Ext1	4.03348941375462	5.51049578165216	62.9858287597437	2.91877995299981e-14	1.09781505383738e-11
Reln	2.17883351374699	5.33684242844739	62.8653593844791	3.07382341783893e-14	1.12212636065344e-11
Sgpl1	2.40814836899549	5.36402851837077	60.6751879320073	7.89948916489254e-14	2.80138455756132e-11
Myof	-3.7488419570976	5.49202367913692	59.0197426419702	1.61827835539949e-13	5.57946415200513e-11
Cdh7	-4.16315974249438	5.5408672216992	58.918382506396	1.69109770291503e-13	5.6729472131301e-11
Casc1	2.41748624879229	5.37227327970275	58.1289607401178	2.38356513046239e-13	7.7854764208682e-11
Rspo3	-4.10214324216073	5.87546322841648	57.9363415848226	2.59206732908816e-13	8.2494204329852e-11
Nsg2	1.6837065996612	9.80030237204842	57.7863239751969	2.76709483033632e-13	8.5862952585336e-11
Cbln4	3.92284536972977	6.00396044411949	57.6171976090502	2.97872571256268e-13	9.01754720593366e-11
Col12a1	-3.81401955569938	5.62750977127612	58.1261426951285	3.5192308224121e-13	1.04001649923283e-10
Nwd2	2.87216497844349	5.35881083399154	67.830139765925	3.96316335865651e-13	1.14397171180569e-10
Iqcj	2.90701495256346	5.42340355399601	56.0930691256426	5.7961589854598e-13	1.6350437574438e-10
Pcdh8	3.82104316229263	5.87236977660273	55.9057808656098	6.29145333163961e-13	1.73532263894024e-10
Egfl7	2.52802150159017	5.35077976760512	59.0381921754417	6.55375315406806e-13	1.76837356844115e-10
Ptprg	3.76616060301854	5.84141295600658	55.530979327403	7.41431180407383e-13	1.95800932153541e-10
Ppfibp1	-3.35538545470392	5.49857622592484	55.0951410170005	8.97633191506813e-13	2.3211298277047e-10
Lrrk2	2.81882412330237	5.33708433555614	53.5917760437266	1.73888637697542e-12	4.40470565530998e-10
Rbp4	-3.3020274565922	9.16959877828303	59.8700355665391	1.88831197769004e-12	4.68754565341776e-10
Fibin	-3.40774425038837	5.6123848133426	54.0964851155114	1.96042826288437e-12	4.77114423508252e-10
Mboat1	2.16698844268603	5.27783561823647	81.8048592380101	2.6499679250024e-12	6.3252695932942e-10
Grm4	2.42288109611596	5.28869850178164	73.7670529280753	2.83702864784066e-12	6.64399992018836e-10
Fam129a	-2.71506684316088	5.38564008805587	52.6505941315116	3.65041952596675e-12	8.39055688079616e-10
Rgs10	3.0973633384026	7.45061589288386	51.8272374977372	3.79218459107652e-12	8.55792638989849e-10
Myl1	-5.32218000782817	6.54075153936097	57.4207397415808	5.65606870364709e-12	1.24307269258495e-09
Nppa	-2.94939781549306	5.50030320619449	51.6148360540408	5.70860002234469e-12	1.24307269258495e-09
Ankrd34c	-2.61170632402831	5.41138447654122	51.2475761223892	6.69178829013425e-12	1.3984767736843e-09
Igsf21	-2.70546734328719	5.42936181771927	51.2319255034879	6.73728586532667e-12	1.3984767736843e-09
Drd2	-2.77661367482315	5.4601446771336	51.2240559553924	6.76028089115838e-12	1.3984767736843e-09
Rasgrp1	-3.60887694573338	5.76628891243211	50.1415192798349	8.01634395871647e-12	1.6311288723867e-09
Drd1	-2.73642311214034	5.44636197387871	50.7385838427981	8.34305879662456e-12	1.64454921102412e-09
Prss12	-2.57839842749979	5.41973289336177	50.7374138695524	8.34729296604253e-12	1.64454921102412e-09
Islr	-1.98115383901923	5.2919993405317	50.386912310771	9.71845143423725e-12	1.88477217502739e-09
Kcnj4	-3.74719469861897	5.93225035348821	49.5351980236908	1.0502433378326e-11	2.00548004756588e-09
Ctnnal1	-2.27475320802399	5.35609843634634	49.8342356911856	1.23567157274636e-11	2.32381144862543e-09
Natd1	3.09932922634301	5.5266779840343	49.0619447628554	1.29717972600015e-11	2.40307384464385e-09
H2-Bl	-2.43828943484275	5.30048781249868	52.3453960480695	1.36817749930811e-11	2.49732634138415e-09
Ifit3b	2.17709341292542	5.30691035721324	48.6615928665534	1.55124914521209e-11	2.79044991164818e-09
Masp1	3.5372158841932	5.64669545205866	48.2037815542546	1.90380790097902e-11	3.37572338099309e-09
Ptbp3	3.65305587494548	5.42711560363593	58.9749586490839	2.49334537787726e-11	4.30203525621055e-09
Elfn1	2.8534379966202	5.44562717306868	47.599695618744	2.49554091562326e-11	4.30203525621055e-09
Nr4a1	2.15875078886893	5.29459087942376	54.1626402622574	2.91999478591759e-11	4.96479113463139e-09
Ndnf	-2.2421851090228	5.35584447083245	50.7270365518209	3.35283381657696e-11	5.62369909883152e-09
Zbtb7c	2.58788048884074	5.38378134196536	46.6681521513027	3.79168097073749e-11	6.27497922783917e-09
Dock4	-2.90673971669856	7.86521963070412	46.3538004644867	4.3676587773408e-11	7.13307641373078e-09
Zfp993	2.72345669565074	5.33299689047265	50.0456002797252	7.36664360025559e-11	1.18746468008276e-08
Rab6a	1.49757686196295	9.66101589435188	44.781433553698	8.8780210538857e-11	1.41274355539525e-08
Gja1	-2.19819536034023	5.35260518310587	44.7045156539621	9.19228758496492e-11	1.44423637347575e-08
Tcap	-3.78057939212554	6.46503336214002	44.4933137792889	1.0114017716075e-10	1.56918984864904e-08
Tigd4	2.27611630207611	5.33518769483115	44.6839077069156	1.10227125012782e-10	1.68906058723289e-08
Zdhhc13	2.33505432770636	5.31193874105736	60.9915479332675	1.41828298702669e-10	2.14679615060675e-08
Utp4	1.78697085075126	5.2586798795433	43.2995412843071	1.73777072294599e-10	2.59870002568742e-08
Myo1e	-2.70093353919111	5.53158314327511	42.7502344664244	2.2307179206456e-10	3.29615128941109e-08
Ust	2.1669773864454	5.2868000854861	61.2414620778272	2.93094741026187e-10	4.27987285366711e-08
Pqlc3	2.33155438972732	5.36629400464484	41.4768985337818	3.98610734885012e-10	5.75297260627067e-08
