logFC	logCPM	F	PValue	FDR
Fras1	4.41505437393878	5.92493933674664	103.192807081862	9.69111828511747e-22	1.14054771097548e-17
Il7	4.68420627865503	6.2418635397006	95.7630017486976	5.76776933885652e-20	3.32163276525169e-16
Kcnc1	-2.69756807173299	10.2099025606566	92.4857879992271	8.46707306972136e-20	3.32163276525169e-16
Ubash3b	-6.23347875345622	7.40844804022832	90.1267571033634	3.47631635415338e-19	1.02281917930078e-15
Ldb2	4.13200262068944	6.18553052291932	87.4648008247017	1.50796301550355e-18	3.28232322310088e-15
Cadps2	4.31986877108496	6.39321177068231	85.0004102180959	1.67337406224873e-18	3.28232322310088e-15
Pcdh15	5.34203939757235	6.70148004686317	82.5001366088509	4.76917376821029e-18	8.01834372543813e-15
Pde4b	4.11863297599118	6.2438821616624	79.8680895597786	1.44534383157481e-17	2.1262814442255e-14
Pth2r	3.14751530607657	5.89456980026648	77.5185382923686	8.27262044768403e-17	1.08178300054215e-13
Fxyd6	4.36702065431976	6.85655603539513	72.6608612476828	3.11218169656489e-16	3.66272663868721e-13
Pvalb	-3.40066887834288	11.5066299576895	85.3987049728072	4.94988769201895e-16	5.05002944331952e-13
Tmsb10	2.62085076075476	9.02404381822297	71.4897636648671	5.14915059221975e-16	5.05002944331952e-13
Trpc5	2.98277264727527	5.89081479291028	70.9854021139835	6.39870149064356e-16	5.79279368026031e-13
Sst	4.51376296318707	7.40658010783035	71.3004555292655	7.44553701247977e-16	6.25903750713388e-13
Syt2	-4.51323386926937	8.20683134964568	70.2369644128721	2.18303813584542e-15	1.71281172138432e-12
Snca	3.741074461294	8.74438638275528	71.0180383009985	3.50306804886666e-14	2.57672549169448e-11
Ralyl	4.10375248695535	6.87532728799612	60.4805864317158	6.26199616208023e-14	4.3351431077366e-11
Npy	3.57143881487678	6.00873914340049	58.1733217624272	1.74029361878601e-13	1.13786197774959e-10
Cald1	3.88858244839589	6.01798609812657	57.8507134531335	2.00858256125686e-13	1.24415832439116e-10
Olfr1428	2.44665910953816	5.77181176790215	66.767633993287	2.444384377773e-13	1.43839798710052e-10
Mme	-4.67969620103963	6.77249447847437	55.8864516748405	4.82035242868324e-13	2.70146322538919e-10
Gap43	3.4956648425573	8.41027487595162	60.5758881453248	6.25555100211283e-13	3.34643544290299e-10
Gm9892	2.54599420407479	5.81323488571427	74.8067419670706	9.03128755719654e-13	4.62127057654983e-10
Rasgrf1	-4.65179626238009	6.67281382898457	53.3321750511647	1.51438939561119e-12	7.4261869987284e-10
Ntng1	-4.46847357532325	6.35221638780624	53.5719701820987	1.700092214511e-12	8.00335410903201e-10
Zswim9	2.49566350295163	5.81646683950466	52.5959989126026	2.10918959250012e-12	9.54732781312844e-10
Ptbp3	3.3868586027325	6.05367536131377	52.1924429694825	2.52987941888286e-12	1.09575550793312e-09
Kcna1	-4.16360152090407	7.3698691753238	52.1258962046729	2.60694657338155e-12	1.09575550793312e-09
Gfra1	-4.3013469875322	6.49450054672677	51.7194802516146	3.13163417446497e-12	1.27090353790614e-09
Mis12	-4.79961749784255	6.07114700247452	53.7863261279368	3.46728712171753e-12	1.32612952222573e-09
Sh3bgrl2	-4.16270043539024	5.94104165889486	52.8482569385599	3.49307631820864e-12	1.32612952222573e-09
mt-Atp6	-0.989199416709173	13.4897049834796	51.2513483069199	3.86905815312847e-12	1.42296704388028e-09
Kcng4	-3.922848227111	6.1758782809385	51.5858871948048	4.09858992058207e-12	1.46170620531304e-09
Elmo1	-3.87367640951211	6.02618816204155	51.1437118692906	4.98893862851332e-12	1.7135803948811e-09
Cemip	-3.85895611513535	6.11499403361161	51.0433582344827	5.21673692917728e-12	1.7135803948811e-09
Homer2	-4.23799953977945	6.09902966018268	51.3989945788702	5.31948441626689e-12	1.7135803948811e-09
Etv3	-3.84914385185794	6.04214586476941	50.9710883800016	5.38724399784184e-12	1.7135803948811e-09
Reln	2.09158737851843	5.70407133275422	66.6074089086894	5.9243311036661e-12	1.83482770418543e-09
Ptprd	-4.52226056047435	6.93262046188972	48.810084227816	1.17030155776616e-11	3.53161000855126e-09
Cntnap5a	-3.9917539189312	7.28770151116578	48.6926078777955	1.23454114524206e-11	3.63232868458844e-09
Acan	-3.61182813823579	5.99960632755945	48.317265274637	1.76306943711314e-11	5.06086931838647e-09
Trmt6	-3.83805032679541	5.9901791402075	48.4604335068518	1.93460823821347e-11	5.42104865607961e-09
Ctu2	-3.76232507014181	6.02292418547086	48.1505606585101	2.12596480877213e-11	5.81871624056725e-09
Fam185a	-3.73969399348834	6.13646209870281	47.7632196210185	2.26080102002447e-11	6.04712891015183e-09
Cthrc1	-3.63946506318183	6.11483163518538	47.5852495268913	2.44899821569155e-11	6.40494666677197e-09
Cox15	-3.56579635534105	6.05694408126625	47.2400833215061	2.8601550069766e-11	7.31764440806688e-09
Nog	-3.54774308449623	6.06208763163418	47.0023931544125	3.18304650994261e-11	7.72058654018236e-09
Cntn5	-4.08129853809892	6.00197699514917	47.6840132008512	3.19401390407239e-11	7.72058654018236e-09
Olfr1423	2.39961969269505	5.8066455745116	46.5949286322371	3.21445101936388e-11	7.72058654018236e-09
Map2k1	-3.93045291717434	6.31017617196892	46.2860650808606	3.70248808884522e-11	8.54722442991943e-09
Id4	-3.60336111573098	6.10023635688861	46.6365568218364	3.7532176170946e-11	8.54722442991943e-09
Lrrc38	-3.34750246503935	6.00282931378923	46.6228373065233	3.77649477743063e-11	8.54722442991943e-09
Ephb6	-3.59821492435683	6.00862363740153	46.5062260595237	3.98030209982442e-11	8.83852366279878e-09
Gm10925	4.10327252797084	7.81213507014333	50.7279564878356	4.10515564736325e-11	8.94695866922557e-09
Htr2a	-3.4376647669916	6.04157386382887	46.1949824775183	4.58016813737362e-11	9.80072705613638e-09
Egr1	-3.5488254610679	6.06776957033607	46.0719072547407	4.84177199904112e-11	1.01755026172705e-08
Focad	-3.26943638049953	5.88079877023749	45.643374507644	4.97038299351798e-11	1.01999089949652e-08
Rad50	-3.31976158235175	5.88736469866524	46.2005714959397	5.03608267062187e-11	1.01999089949652e-08
Etv5	-3.40064557492613	5.96805405040008	45.9510104972826	5.11338797436438e-11	1.01999089949652e-08
Slc41a1	-3.32635873741222	6.00224562731024	45.7315663397121	5.64620972027252e-11	1.10750403663146e-08
Cluap1	-3.33863087882829	6.02551582413814	45.523816285861	6.2020726654385e-11	1.19659333114009e-08
Phtf2	-3.42921611305678	6.05660913652591	45.2251093256274	7.09928581006573e-11	1.33977390194345e-08
Gda	3.50703608045748	6.67848703683159	44.8446975726115	7.17187151180536e-11	1.33977390194345e-08
Cdh4	-3.27428675063065	5.90155226602228	45.262994317468	7.66556491431286e-11	1.40962552307106e-08
Wscd1	-3.25852717924548	5.98244035728748	45.0197650135148	7.79080622715999e-11	1.41061536134532e-08
Slc46a1	-3.27399548227606	5.97570436735769	44.9485241652276	8.04624143558557e-11	1.43479114326374e-08
Add3	-3.74557208319665	6.21339301873498	44.534690106342	8.27055025295704e-11	1.44213922204296e-08
Gm2115	-3.15872611138865	5.93959635040951	44.8713367629281	8.33252333239200e-11	1.44213922204296e-08
Nnat	-3.74554112116525	6.2233595732337	44.4123349006325	8.74944120191972e-11	1.45321923213205e-08
Galnt10	-3.09150873237918	5.86512418729554	44.9821760606512	8.75318373453023e-11	1.45321923213205e-08
4930503L19Rik	-2.80272688873815	5.88731684600664	44.4079831436037	8.76697811890354e-11	1.45321923213205e-08
Alkbh3	-3.22637037076074	5.95253729243057	44.4864842533005	9.92047537242816e-11	1.62158437025149e-08
Olfr624	-2.77251152491231	5.86439500498571	44.3803985270139	1.04095046168629e-10	1.67821177857342e-08
Flrt3	-3.09868222828264	5.90768052555528	44.3092901172686	1.0750811169665e-10	1.7098148196728e-08
Mtrf1l	-2.8130339472262	5.80250787573259	44.6423234340988	1.1157987807872e-10	1.75091144681128e-08
Ccdc183	-3.16649866104629	5.95662828436632	44.0678523516713	1.19959924092342e-10	1.84461257759261e-08
Lin7a	-2.95300493396902	5.89822517532293	44.0545660269041	1.20685842870788e-10	1.84461257759261e-08
Mynn	-2.82346201983736	5.84329576129883	43.9423322457787	1.26997061418638e-10	1.91619027671276e-08
Rab30	-4.07022453869108	6.14778256879741	43.5744133061206	1.28709103646805e-10	1.91743979850538e-08
Ankdd1b	-3.11172771126172	5.93348051962774	43.7873213422033	1.36263869368278e-10	2.00461184824408e-08
Mb21d2	-3.11937921684214	5.96483435030641	43.6712308480681	1.43647211979159e-10	2.08714078738608e-08
Dlk2	2.38649158808432	5.82205149666353	43.2831512394644	1.47219799083396e-10	2.11296318952743e-08
Vac14	-2.48386951700162	5.79473966831501	43.4433980916481	1.59329058917934e-10	2.19611575611633e-08
Slc26a10	-3.58413307779242	6.16914144588087	43.1101269401718	1.59461205999059e-10	2.19611575611633e-08
Gramd4	-3.23505488387214	5.8311709952323	44.7228589869972	1.59673905896869e-10	2.19611575611633e-08
Prss23	-3.94553080677496	6.36761587059972	43.0963684672161	1.6047748748917e-10	2.19611575611633e-08
Rnf19a	-2.4459613239324	5.77099285179983	43.594426094854	1.63411618596653e-10	2.21056475777472e-08
Snx13	-2.75208691108276	5.85184673507947	43.3518975188436	1.6610218249453e-10	2.22142793838424e-08
Slc3a1	-2.96855550818429	5.91808906687713	43.2251220098754	1.75968188111448e-10	2.32379782657017e-08
Syt12	-2.57326189346121	5.81588698302401	43.2035389363977	1.77705671162644e-10	2.32379782657017e-08
Gale	-2.82162306784195	5.87016902060972	43.0059752478764	1.94434755284459e-10	2.51461828015692e-08
Paqr8	-3.20291560006748	5.9852389928914	42.9812556478139	1.96636612624137e-10	2.51545249344942e-08
Acadl	-3.01070094891394	5.9256432547048	42.6904708895652	2.24501968302211e-10	2.84103619886959e-08
Gp5	-2.61125556836812	5.82172961626749	42.6625581091478	2.27377589915809e-10	2.84681580395655e-08
Begain	-2.43048641394404	5.79273609796563	42.3640821569974	2.60545377129159e-10	3.18643696119076e-08
C1galt1	-2.80365868475067	5.86148998979159	42.3332320540173	2.64240032194855e-10	3.18643696119076e-08
9330182L06Rik	-2.86029254601083	5.880797526949	42.3226513596872	2.65519301311789e-10	3.18643696119076e-08
Yjefn3	2.67659922631892	5.83136142081521	42.0018737885548	2.66214942490066e-10	3.18643696119076e-08
Mrps22	-2.92642948694184	5.91762913003552	42.3019454590317	2.68040835379289e-10	3.18643696119076e-08
Adpgk	-2.94561053664692	5.92296018274614	42.2756354742709	2.71279632982929e-10	3.19269000057609e-08
Kctd21	-2.45360934886466	5.79882140175684	42.2119234123468	2.7928685067485e-10	3.25438311444783e-08
Ppp4r1	-2.79328167805153	5.85876200985871	42.0039925239654	3.07112556297854e-10	3.5435369363426e-08
Tmem203	-2.65286844195088	5.83750629468192	41.9273351985226	3.18061134553863e-10	3.61761215690686e-08
Mcf2	-2.43372652170534	5.78185798050939	42.153978957267	3.20224147194158e-10	3.61761215690686e-08
Qser1	-2.34857562296482	5.77930388698921	41.8900780700871	3.27424335174728e-10	3.61761215690686e-08
Rtl1	-2.49723855536085	5.81072190814848	41.8594324931061	3.28087134746708e-10	3.61761215690686e-08
Eloa	-2.72444080394826	5.85814672003118	41.8256838291698	3.33187962428612e-10	3.61761215690686e-08
Pld6	-3.00161614982256	5.94463748266472	41.8195941171105	3.34116838104836e-10	3.61761215690686e-08
Cmtm4	-2.68879526667464	5.86473411268022	41.813496880086	3.35049473279673e-10	3.61761215690686e-08
Abca1	-2.35935625921177	5.77810934519017	41.847588259363	3.52508227991531e-10	3.77151757748393e-08
Arhgap18	-2.69323331725813	5.8418268834173	41.636882132718	3.63232503469592e-10	3.83531338007741e-08
Cmpk2	-2.67044805646404	5.83898472492086	41.6258135347672	3.65076233734944e-10	3.83531338007741e-08
Ptpn9	-2.69314645155002	5.88139352443666	41.6069065870481	3.68247439840893e-10	3.83531338007741e-08
Psat1	-2.83311384507841	5.89540227473863	41.494226893967	3.8773044164302e-10	4.00280663833044e-08
Pim2	-2.81004964662337	5.9017124333691	41.4606182809925	3.93740089082892e-10	4.00676976900432e-08
mt-Nd4l	-2.8445738368818	5.91705786380676	41.4540618284564	3.94923352200273e-10	4.00676976900432e-08
Ano4	-2.63016130969693	5.84082980826395	41.3348624652784	4.17070798097983e-10	4.19530446394459e-08
Kcnd1	-2.55280096088038	5.82237873058679	41.2230970769728	4.38971903718306e-10	4.37292261560811e-08
Gm3883	-2.91405564303994	5.93719631380492	41.2072986658957	4.42159734265753e-10	4.37292261560811e-08
Sfxn5	-3.94735015253316	6.19962108882474	40.722194267824	4.8204176113008e-10	4.72762457228326e-08
Vps51	-2.43675872474767	5.81720880449901	40.9685408726142	4.93275010310136e-10	4.79781288953718e-08
Carm1	-2.2686536819121	5.77723352768609	40.9123796067611	5.16052973672117e-10	4.97821921897307e-08
Pramef8	-2.27138609968845	5.77873981409216	40.7830872607768	5.37051828343517e-10	5.13866907949175e-08
Gm4724	-3.01201443347726	5.94839902087866	40.4288990707184	5.52474433162102e-10	5.24360613216515e-08
Klf3	-3.85688543144193	6.31746643113911	40.2880070700822	5.89903460043548e-10	5.55405905700201e-08
Slc24a2	-1.99071175483303	9.40512449083695	40.2332886167794	6.0803305146635e-10	5.67931824024403e-08
Pigg	-2.79846614336708	5.86180938995082	43.0783045055988	6.33874054182718e-10	5.82962194328513e-08
mt-Nd1	-0.851537608962127	13.1703193262137	40.1330197514263	6.3403144595165e-10	5.82962194328513e-08
Asic4	-2.60599049207916	5.85918808678136	40.3800157802275	6.46171244720194e-10	5.89518556520307e-08
Slc25a29	-2.22822972373566	5.77467934478677	40.4626897327048	6.63352629429603e-10	6.00538238135154e-08
Serpine2	3.30552604380791	7.32520320905724	40.0115118690169	6.70938162642905e-10	6.02768796652241e-08
Zfp111	-2.24364242246306	5.78392647637102	40.2684556696719	6.80141116842249e-10	6.06407636675487e-08
Epha6	-2.99529759536505	5.83344567562352	39.9305122232556	6.96734238842148e-10	6.16531222325807e-08
Stmn2	1.42583647628121	10.3221604695506	39.8618848779202	7.19369559105198e-10	6.31810473217095e-08
Frat2	-2.18731181375393	5.75719924454803	41.4105289854704	7.2571358751398e-10	6.32660978626077e-08
Shc3	-2.12974929889777	5.7496990885405	40.757625800645	7.32801829659946e-10	6.34142995093228e-08
Rxra	-2.54981707729219	5.84612504990854	40.0881071603125	7.38902250369267e-10	6.34754787196782e-08
Tmem164	-3.13180117267372	5.84360165173385	39.6968408101359	7.76882407128576e-10	6.62545583296827e-08
Asb2	-2.3616580507128	5.80243335825154	40.9655522327417	7.97827862413069e-10	6.71726868736989e-08
Tnfsf13b	-2.82045609858239	5.93915182985644	39.9178426336779	7.99063315686792e-10	6.71726868736989e-08
Pdzrn4	3.12732148747008	6.18471567121783	39.4969617103245	8.52765451998279e-10	7.11786993231755e-08
Chd7	2.85992504193459	5.96866573931576	39.4245853814963	8.82045533115689e-10	7.31041822481588e-08
Hrh1	2.6710679598525	5.89341684367783	39.2717982702214	9.47220823688165e-10	7.79569361817204e-08
Pde4dip	-4.33196823338165	6.59789292755259	38.9135475350454	1.11969184995857e-09	9.15114818205724e-08
Ppfia2	-3.71447902184192	6.2818000609147	38.7893831928264	1.1865724245411e-09	9.63087645822359e-08
Gys1	-2.49546543881936	5.83710431049988	40.7555069966189	1.19632728202021e-09	9.64354505623002e-08
Cdh7	-3.66902731388778	5.9089908091297	38.5644022972481	1.31816768646234e-09	1.05534119061056e-07
Dact1	-2.21090267851679	5.75997865118377	40.928426059215	1.35037988803398e-09	1.07382573663999e-07
Nefh	-3.07383624612474	7.91416836306159	38.4785409651884	1.37217742498993e-09	1.08383598085279e-07
Gm12258	2.9028215362183	6.05930092682725	38.367223888878	1.44552852871563e-09	1.13416168363028e-07
Gad1	-1.46990526565656	10.2029660806072	38.294353669694	1.49566966558783e-09	1.16573088041742e-07
Otud4	-3.31729782169567	6.15807327112441	38.2411283002103	1.53339606164811e-09	1.18727225325899e-07
Caln1	-3.75566808638127	7.08872216498467	38.0430243459868	1.6824251109174e-09	1.2941477862998e-07
Extl1	-2.7096069443039	5.8609463764928	37.8899057810554	1.80753110155626e-09	1.38135282689712e-07
Oprd1	-2.13869590441572	5.73818221982406	40.7120510581716	1.82487948586062e-09	1.38561333348991e-07
Prss12	-2.36687234137141	5.8018021298818	41.1664902410705	1.92715167790785e-09	1.45388769854471e-07
Cdk5rap1	-2.48069328528894	5.84061011940387	40.4023425879313	2.02938301173043e-09	1.52126169841117e-07
Nek7	-2.76263007178129	8.18807925134377	37.5229739218554	2.14678938178409e-09	1.59908634393778e-07
Atp1b1	-1.04382953142225	11.7198371262938	37.4971812015695	2.17291911412162e-09	1.60837012918851e-07
Gria3	-3.27942859696536	7.59977799676669	37.3747216219353	2.30141331254555e-09	1.69283332970929e-07
Tle3	-2.56376577218576	5.76885562471939	44.5300081938822	2.34291616487776e-09	1.71265716425132e-07
Gabra2	2.99058670608274	7.22464476036971	37.291279325958	2.39332133339102e-09	1.73870362794314e-07
Pus3	-2.60729821357809	5.82849080635614	41.8504045581441	2.74872545003277e-09	1.96202420757995e-07
Spry3	-2.65024604125549	5.85809548993068	40.5351519635786	2.75073486669376e-09	1.96202420757995e-07
