logFC	logCPM	F	PValue	FDR
Rbp4	7.5326561034512	9.37257158582775	829.948091515625	6.7473978990836e-115	9.98952258959327e-111
Crhbp	6.42990175182426	7.99184639162417	553.89485084403	4.76724337378749e-87	3.52895190744619e-83
C1ql1	-5.12001483224718	7.99575339614198	491.711330393008	7.55618314682946e-80	3.72897638296034e-76
Chrna3	-4.21141330137927	6.13035589847709	419.731774775995	5.60566317760658e-71	2.07479608361163e-67
Cdh13	5.94718616215863	7.4866766734698	417.55344003376	1.06374936957787e-70	3.14976188332008e-67
Sntb1	-4.09334497398933	6.00069729716164	383.852422754041	2.56768231221833e-66	6.33575610539873e-63
Cbln2	-4.65449839787017	6.47699581875885	361.739028845684	2.33706743020218e-63	4.94289761487761e-60
Kit	-3.8910720839163	6.01677438709898	356.344032782773	1.26202002716306e-62	2.33552581276864e-59
Unc5b	-4.56960722115603	6.69046200556012	354.068882655239	2.57741218573783e-62	4.23984304553874e-59
Gpx3	4.51100279049408	6.40807853890866	348.84310604469	1.33763548628523e-61	1.98036933744528e-58
Vipr2	-3.6783930730478	5.85324162619772	329.263560670954	6.94696613655443e-59	9.34998487742621e-56
Gfra2	4.57992231294491	6.32572955844055	306.318469579438	1.25565486334593e-55	1.54916418765304e-52
Satb1	4.03610645399846	8.61855249670573	290.405763117873	2.55416364128402e-53	2.90879943917e-50
Slc30a3	3.94751991244248	6.06292477556719	284.552381770282	1.84899067304062e-52	1.95530763674045e-49
Pthlh	-4.15740690625578	8.00000442873412	276.057732844487	3.34881064274394e-51	3.30527610438826e-48
Akr1c18	4.41698460936865	6.17288869600752	273.691852556547	7.54152752025147e-51	6.97826968358269e-48
Syt2	5.40705096699168	7.28022208612643	272.041473329168	1.3303879682021e-50	1.15861140407248e-47
Ptprk	4.78079586370293	6.26342218699396	270.622102205538	2.1695592140142e-50	1.78446245352668e-47
Pde11a	-4.2062913408339	6.89078512137314	270.290508001526	2.43243760969626e-50	1.89538099008174e-47
Snca	-3.62714191264207	10.9387498452779	277.818578215365	1.66573454783237e-49	1.23305999903291e-46
Stac2	4.05721516852767	6.22984600550425	259.875901671999	9.03555750521257e-49	6.37006804117486e-46
Sst	6.15687980318245	8.70400527937033	259.651594804602	5.70162410244246e-47	3.83693385621185e-44
Egfl6	-2.84023603981022	5.73908654365519	246.984657184891	8.43832320698027e-47	5.43171195997143e-44
Etl4	3.92247733535369	7.74634380538721	238.649036788408	1.64674643519781e-45	1.01583670721265e-42
Th	3.3588624703034	5.99113057648734	230.388232831826	3.22403935993207e-44	1.90927610895177e-41
Apoc3	-2.60206151145988	5.66842383264282	226.872165984236	1.15401116756099e-43	6.57120589836172e-41
Mmp17	4.00497030907548	6.27971815786941	220.15106838809	1.34144204521683e-42	7.35557388127231e-40
Nfib	-3.70150700253945	7.78085845952666	212.543975783029	2.20904784258541e-41	1.16803404676703e-38
Dscam	4.28811246182522	6.2311375347556	211.284391640994	3.52192902330253e-41	1.79800548931014e-38
Synpr	4.43302953577159	6.77245959589104	210.356501185999	4.96840420719886e-41	2.45190747625264e-38
Tshz2	2.66033324468902	5.74210550903515	202.242513280425	1.02445679151766e-39	4.89260735432871e-37
Tac1	4.18560713102063	8.83011626806772	207.576880507824	2.40211665348742e-39	1.11135428296504e-36
Cort	4.27872000858288	7.55238209036297	199.732313193474	2.62936190507949e-39	1.17962736377884e-36
Cck	-3.13434084520648	9.89730703806089	205.737403528651	4.63525890641382e-39	2.01838259145461e-36
Plcl1	3.18967465208647	5.74696493285741	197.624486564837	5.81579519105816e-39	2.4600813658176e-36
Dpf3	-2.65147801140335	5.63998410908095	223.85575621546	6.24015000619218e-39	2.56626169004653e-36
Mctp2	-2.98703024891085	5.82380441247247	193.747052204896	2.51917136015671e-38	1.00800897262487e-35
Sstr2	-2.45492875728306	5.64946347944977	217.110120540654	4.72613391535395e-38	1.84132664781093e-35
A730009L09Rik	-2.11262808280657	5.58126121403515	215.7240527398	7.18698956881398e-38	2.72829180939208e-35
Epha5	-1.79374833799054	10.1527890780813	188.097926390712	2.16047705553876e-37	7.83759573828813e-35
Dach1	-2.49780702815431	5.63287723456543	212.086310387255	2.17049257190012e-37	7.83759573828813e-35
Tmem132c	3.70453119646649	6.13971038867267	182.316407427397	1.98092238730955e-36	6.98275141526616e-34
Sncg	-2.45142638311442	5.63509526201551	202.974616793875	3.57598922534941e-36	1.23122140654181e-33
