logFC	logCPM	F	PValue	FDR
Cdh12	11.2032539638087	11.089087463246	41.0506630700367	4.09537880553534e-09	6.83928260524401e-07
Nxph2	10.8442807831331	10.2146151878608	29.2861450951427	5.69741324494422e-07	3.57788242781392e-05
Cntnap4	5.44037886661327	13.643924862108	27.6265890235742	7.59611968954319e-07	3.57788242781392e-05
C1ql1	10.9548980127376	10.260212380676	28.2267393236028	8.56977827021299e-07	3.57788242781392e-05
Cdh8	-4.75892238920216	11.0087352581633	25.2430409035175	2.04149025373124e-06	6.81857744746234e-05
Clstn2	6.37548403153568	12.1475455940915	24.3447644367528	2.97927178608935e-06	8.29230647128202e-05
Cdh9	-3.50273692492346	12.1760118359882	15.0425281613674	0.000182023776009864	0.0043425672276639
Cd200	-3.17999445319233	12.5140930290844	14.2700364243872	0.000260922609334314	0.0054467594698538
Nlgn1	2.62781130477144	11.0681876756323	13.0073723176257	0.000473460175872031	0.00878531659673658
Fstl5	-3.43789381393066	11.5412008862048	12.5317371494644	0.000594058010966319	0.0092728822234432
Cd300a	4.42315153560682	10.1301430617258	12.4737193487028	0.000610788649448355	0.0092728822234432
Ntrk3	2.10937770363461	13.5306111842011	9.50954118661235	0.00260198734250721	0.0362109905165587
Lrrn1	3.88003858889735	11.5869625715566	7.99664269706294	0.00559726595705304	0.0688980015063913
Pcdh18	-3.06861623895261	10.274642465056	7.80327710600506	0.00618231844921756	0.0688980015063913
Adgrl2	-2.75017514240721	11.5551413775943	7.80135472214417	0.00618844324907706	0.0688980015063913
Flt3	2.54012785429156	12.4009091831603	7.31241052879181	0.00797058307848986	0.0831929608817379
Cntnap5a	2.77639595797467	11.6148032506965	7.03592759585345	0.00920718223239242	0.0904470254593844
Bsg	-0.712254077163112	15.2093307061917	6.25351108888721	0.0139141053992989	0.120020075552394
Adgrb1	1.93008306165722	11.496799310693	6.22130400619674	0.014154910416127	0.120020075552394
Ptpre	2.2528470559309	13.435087921506	6.19253930764601	0.0143736617428017	0.120020075552394
Lgr5	3.02154561111133	9.95263555893188	6.03860027735988	0.0156059898125924	0.124104776128711
Cntnap3	-2.32920701923344	11.4201145694914	5.78163348754909	0.0179157401909364	0.130729091972556
Lrfn5	-1.88806527926826	11.8080452292877	5.772453436122	0.0180046054812503	0.130729091972556
Vstm2a	-1.00705299312314	15.464898231911	5.48034254511828	0.0210881233617078	0.142969948563848
Cdh10	-2.1396275675433	10.7459965727987	5.45310217253077	0.0214026869107557	0.142969948563848
Ntm	-1.06197975166358	13.5828360426707	5.22627977761859	0.0242217924231729	0.151595694564078
Lrrc38	3.37265713853297	10.4180910298247	5.20471345487776	0.0245094835522761	0.151595694564078
Cdh13	-1.28832678660169	14.5350542049436	4.71443540188406	0.0321240224984544	0.191013457278279
Car2	2.15573813794437	12.6544610357513	4.65687754263984	0.033170001563294	0.191013457278279
Dag1	2.77115953035712	10.3965995924953	4.1743635275361	0.0435022520466307	0.242162536392911
Ctnnd2	-1.30088506254949	12.4084426809717	4.01774251951055	0.0475550406953493	0.251473559310202
Tenm2	-1.20736792958259	12.4858442800411	3.98931397534411	0.0483330508122138	0.251473559310202
Neo1	-2.08276994478165	9.88599574897358	3.92422422032729	0.050166210997236	0.251473559310202
Adgra1	1.4696846234924	13.6363727135283	3.87713200665475	0.0515389250658458	0.251473559310202
Ctnnd1	2.68384289157804	10.1760622979499	3.79444672901359	0.0540477034278448	0.251473559310202
Ncam1	-0.876307244048235	13.8679109430223	3.78924467408491	0.054209869072858	0.251473559310202
Ntn4	-1.99361796496081	10.1219956575828	3.58838436566166	0.0608901045660956	0.265093981340112
Ptprn	-1.09503670684624	12.5471831963199	3.56609638696454	0.0616843928740058	0.265093981340112
Rtn4rl1	2.07322308974684	12.0146164324938	3.55987293267449	0.0619081752830201	0.265093981340112
Jam2	2.37381083991363	10.5601270216553	3.41255403580666	0.0674703746805381	0.281642609307179
Tenm1	1.82136526141487	10.6829811030818	3.3707475317352	0.0691457903089482	0.281642609307179
Ppfia2	1.91014567736285	11.7174009124251	3.18245358909909	0.0772730709189471	0.303974443918716
Ptpro	-1.73676323224242	11.6510331389637	3.14117299520572	0.0791905854022962	0.303974443918716
Sema6d	-1.73927059645609	10.1742696930043	3.12220421926254	0.0800890750444522	0.303974443918716
Ctnna2	-1.62370143294835	11.4021389905999	3.07959992223305	0.0821480051825606	0.304860374788614
Ptprs	0.89578069004157	13.6098965981398	2.96095254938128	0.0881938268838279	0.320181936730419
Adgrb3	1.2962913065649	12.3799236625147	2.69877829967487	0.103366548979696	0.367281142119346
Tenm4	1.69955606772345	11.0787118028042	2.63656107378727	0.107377595703017	0.367685464434794
Unc5c	-1.27523752854055	12.0012737825779	2.62889374058516	0.107883759025778	0.367685464434794
Ptprg	1.73291340204238	10.9772060775839	2.58680663673529	0.110709913925827	0.369771112512263
Epha7	1.51154620153465	12.463089808212	2.54309594198753	0.11373277564324	0.370363680967085
Vstm2b	-1.07538440065918	12.6192645770764	2.52062147310027	0.115322822816098	0.370363680967085
Ptprt	1.44923952505984	12.3762398929241	2.44050125230226	0.121197093487395	0.376243288321431
Omg	-0.916401985332602	13.788291177803	2.43438004159605	0.121659506403337	0.376243288321431
Opcml	-0.874745758162698	14.4106940780825	2.24889246204806	0.13666065367135	0.409210223432239
Pcdh1	1.5779165927504	10.3527003362538	2.24242533878096	0.137220194683865	0.409210223432239
Lrrtm2	-1.53448580320304	10.6183949204352	2.15888628107525	0.144687222425626	0.423908177983852
Fam19a2	1.32672577612099	13.1719187365267	2.00420217398271	0.159773691313984	0.457419345515083
Mfap3	-1.38435887402584	11.0911513400816	1.96857167514555	0.16350036457741	0.457419345515083
Cadm2	-1.16614501654967	12.5089116712414	1.9528203446125	0.165179785349843	0.457419345515083
Pcdhb3	1.9425021566887	9.64696398422585	1.91395618134724	0.169409699440884	0.457419345515083
Adgrg1	-1.43875750421559	10.935250730182	1.87265851173158	0.174042995166463	0.457419345515083
Jam3	-1.33878216804672	10.290087323801	1.85697055490821	0.175841624509586	0.457419345515083
Igsf8	-0.952100629768662	12.9690009737208	1.8251989663721	0.17955114549437	0.457419345515083
Tenm3	1.37246300890159	11.5105980823982	1.80802566286771	0.181594306313303	0.457419345515083
Rtn4	0.780728563315476	12.2092994169221	1.79296839370338	0.183408160112037	0.457419345515083
Celsr3	-1.22811752373455	10.4289525709368	1.79208243883293	0.183515545805453	0.457419345515083
Pcdh9	1.08113618698286	13.3982147704748	1.75154539738612	0.188508969482063	0.462955851522125
Igsf11	0.949295511864291	10.150499551453	1.63509653602911	0.203771463513569	0.490660079521266
Il1rapl2	1.72883635710788	10.5968194157158	1.6213679436822	0.20566590159574	0.490660079521266
Nfasc	0.899930602618408	12.0490917529505	1.54492636886117	0.21660812557074	0.506636761110776
Lrrn3	1.19328382546221	12.6402332302625	1.53264830244851	0.218430220359137	0.506636761110776
Clstn1	0.534654161112877	14.8704702389505	1.49561429075606	0.224039374206222	0.512528431403275
Amigo1	1.16564506791367	12.1724210811714	1.44619772405774	0.231798645259092	0.520052624140201
Cd47	-0.617510647055101	13.9397964824054	1.4352816099404	0.233556567727635	0.520052624140201
Pcdh15	-1.16547191374305	10.4936258634033	1.3745743922995	0.243636265202703	0.535358635379625
Pcdhb17	-1.30193188768333	9.74582854693963	1.32659660277341	0.251983635959336	0.54212487631667
Slitrk4	-1.016418083416	11.5942604780235	1.3197249517484	0.253208026064073	0.54212487631667
Pcdhb12	1.55039371242125	9.89664862496685	1.29244380226977	0.258142637290606	0.545693929462421
Igdcc4	-0.914531800078451	10.803947598758	1.2644910578809	0.263323920759343	0.549688684585129
Slitrk3	1.10838972179764	11.1382600114943	1.22759223569301	0.270365019990758	0.557419238746377
Ctnnb1	0.9180907776765	13.400203856191	1.203687173909	0.27505372993306	0.560170401205134
Adgrl1	0.757114859798129	11.7861100221869	1.17555444353463	0.280704634728977	0.561089604654181
Lsamp	-0.561389262107214	13.3053577353367	1.16204810244641	0.283470162254713	0.561089604654181
