logFC	logCPM	F	PValue	FDR
C1ql1	12.5686166234137	4.94327520897748	112.12596586977	2.68618949050697e-12	2.30152715546637e-08
Ano3	-10.9230037833092	4.50382868410589	32.4690171994087	4.08264445730524e-07	0.00128805956295785
Ntsr2	-11.4209619208144	5.01955175319178	30.2656443241893	4.51001247534261e-07	0.00128805956295785
Nnmt	-10.5367596008633	4.11641193499653	27.2281143530928	2.45422430497166e-06	0.00467854465876006
Mfge8	-12.6673356728783	6.19443851145056	26.9271639948399	2.73024314820265e-06	0.00467854465876006
Lcp2	-9.61250724282832	4.41748532664704	23.862717273686	5.31137251558536e-06	0.0075846399522559
Vwa5a	-11.2517126938451	4.89761385247752	24.10498824432	7.57134726180535e-06	0.00926732904844975
Sst	-8.82743933580316	8.2851253166108	21.401331230665	1.45543449277721e-05	0.0155877034176439
Cd33	-8.14467982271055	5.43539297275737	20.3692049575955	2.19887759905586e-05	0.0209333147430118
Kif26b	-7.81447516698163	4.39486210348408	18.958834173747	3.96830851312739e-05	0.0340004673404755
Icam1	-6.10971663857866	4.94820414405184	18.201447973244	5.47208430562019e-05	0.0426225621186853
Ncf2	-5.11738252007042	5.29135622994421	17.053197659441	8.95976806680423e-05	0.0639727439969822
Tnr	4.15162612554574	5.68715697060374	16.7118543642254	0.000103890120785423	0.0684715811453463
Cd300a	3.76459351449377	4.69591616162213	15.6889058959507	0.000162541168194542	0.0994751949350597
Slc1a3	-5.27884747646468	6.40557995484795	15.3739399783615	0.000186793255035902	0.106696307276507
Rxfp3	-6.66740187582421	4.39909768705312	14.3608790968536	0.000293382671643692	0.148968454272965
Ncf1	-6.82684547605569	4.10054235761409	14.2681910464633	0.000305854579781377	0.148968454272965
Heatr5a	-4.97250173564965	5.10437778389417	14.2171215807295	0.000312958937548247	0.148968454272965
Cd84	-6.23908651747995	4.51956206555625	13.248089739004	0.000485433552842669	0.218904983197684
Eya1	-6.00799538741029	4.51868940187318	12.8947696154717	0.000570596212047712	0.22343330805129
Atad5	4.64576185889385	5.14577976024738	12.8897148446405	0.000571920848691096	0.22343330805129
Dpy19l3	-3.35954892002104	4.3262564550441	12.8008946988209	0.000595722484450489	0.22343330805129
Grik2	3.06673788488826	5.06108667976564	12.7860983112103	0.000599785957654023	0.22343330805129
Lig3	4.07434506734015	4.38813635441616	12.31694386842	0.000744659806971884	0.265831185164688
Adat1	-5.06054476638149	4.38234782678193	12.2289086157243	0.000775651217217226	0.265831185164688
Wwtr1	-5.76812379719065	4.84250537537673	11.4903805523566	0.0010944862035469	0.360675299691916
Ugt8a	4.31203023369492	4.27016960787868	11.227214785482	0.00123861316198755	0.384481773559813
Synpr	-4.22328539566571	7.8791439169842	11.1558077798985	0.00128101478247545	0.384481773559813
Zfyve26	-4.66575596863283	4.17584255183693	11.1224249215044	0.00130135054076034	0.384481773559813
Adamts8	3.87379954079417	4.56199833509234	10.515519013154	0.0017355217593738	0.491468620392565
