logFC	logCPM	F	PValue	FDR
Sst	14.1607200650756	9.48305245612781	62.0006108919055	2.88016264519161e-09	2.14024886164189e-05
Slc7a4	12.6471886526548	6.00433929209996	22.4810055883896	6.03915674307022e-05	0.166376690189365
Hscb	-11.2157063288005	4.50224459184134	22.7344038148837	6.71686274482703e-05	0.166376690189365
Slc35e3	10.972032784162	5.71859668752822	18.3200305905963	0.000137041954154653	0.240923551597927
Clgn	10.5011225421268	5.56568440864447	17.8345882596236	0.000162107086258866	0.240923551597927
Smpdl3a	11.8143371759075	4.86904109896125	18.5217812987591	0.00019575183777404	0.242438651083149
Nnmt	10.7356879694072	5.29303948611381	16.2758936322292	0.000281352579810062	0.298675860081224
Gins4	11.2653235395931	4.59308762984002	16.8122149321564	0.000336876298507315	0.312915971775983
Ddi2	8.40240420258299	5.57644302825046	12.1853272031622	0.00131836196507054	0.999573246937309
Scpep1	7.00734475116094	5.9149211424655	10.3051750388371	0.00283390047709561	0.999573246937309
Pacrg	7.16225981851714	4.10290379063572	9.8663791716153	0.0034078360534036	0.999573246937309
Osbp2	6.80811600713684	4.98119574260292	8.96874329348106	0.00500710397921483	0.999573246937309
Ralgds	-7.06758930940271	4.9784244050084	8.88940482976647	0.00518294566017404	0.999573246937309
Lars2	-1.2415823608748	14.0617983512957	7.89181822038877	0.00805963697183973	0.999573246937309
Ccl4	-8.12721720628297	8.98384522704172	8.22806050272063	0.00958860813864614	0.999573246937309
Orc2	-5.9393394214208	6.40684117662296	7.39212429544919	0.0101102128508526	0.999573246937309
Gm10800	-3.85943913085449	8.28379928245776	7.25567839835594	0.0107631234739482	0.999573246937309
Ncoa3	-4.81531294090687	5.84177964345119	7.23673198676748	0.0108573168645402	0.999573246937309
Dennd4a	-4.42427977529683	6.0175237611883	7.1493101079202	0.0113035900931666	0.999573246937309
Sphk1	-5.47504632542433	6.02087293745363	6.89885803939349	0.012695189336131	0.999573246937309
Asb3	-5.23623094050998	5.94422506299345	6.6839437981319	0.0140370856736825	0.999573246937309
Stam2	-4.96144505626033	5.3959739107802	6.63413014006021	0.0143694916127565	0.999573246937309
Plek	-4.46789194194522	7.51360793755748	6.57505672473193	0.0147747463090049	0.999573246937309
Tti2	-5.14356233322989	4.55695209201451	6.44348020657146	0.0157224710715172	0.999573246937309
H2-T23	-4.01250221135038	5.58519783017716	6.29507285270479	0.0168709598330145	0.999573246937309
Rptor	-4.72664648017735	5.97767178358752	6.27750252780591	0.0170128299820175	0.999573246937309
Hltf	-4.26616161659329	6.76244785891325	6.24470009686672	0.0172811576803114	0.999573246937309
Naca	-2.41850900766291	7.98079160251253	6.07804818242358	0.0187170545739991	0.999573246937309
Lrrc28	5.37916653258247	5.07331751664624	6.06855564588374	0.0188026452822011	0.999573246937309
Synpr	3.15324173725429	8.77579983856672	6.06829217073486	0.0188050269811343	0.999573246937309
Thoc7	-2.68144607604147	7.30458646742022	5.95464405361313	0.0198635009646113	0.999573246937309
Vmp1	-2.5410665312641	8.4098638554364	5.94087363496599	0.019996078086814	0.999573246937309
Utp14b	5.87545775917559	5.04317884473531	5.87818520770921	0.02061187029417	0.999573246937309
Prkg2	4.35380473998023	4.55068464693203	5.83252612622769	0.0210733226952797	0.999573246937309
Ppp4c	-3.2078198299623	7.13014663541893	5.82940645123159	0.0211052582247047	0.999573246937309
Madd	-2.44926483999753	7.22124549121362	5.73662655211148	0.0220794590232638	0.999573246937309
Tmem135	-3.43637138168246	7.33157216450557	5.66508362854196	0.0228640087620279	0.999573246937309
Tmem8b	-4.95602563005533	4.45561140463727	5.62822705954985	0.0232799608312426	0.999573246937309
Rc3h1	5.51691937973366	5.59190472777747	5.61393722392757	0.0234434378308618	0.999573246937309
Slc30a4	4.89063222273857	6.1940870840071	5.61302569492371	0.0234539080559641	0.999573246937309
Alkal2	3.50140201005921	8.5337688882177	5.59474837700579	0.023664925816781	0.999573246937309
Smn1	-5.32509659657824	5.51993499700054	5.46852686244835	0.0251797905905678	0.999573246937309
Trim8	-2.8319882207233	6.95640873206552	5.40003082578161	0.0260457663720634	0.999573246937309
Plod3	-4.24016125255093	6.79612121244586	5.36099554034567	0.0265537435868726	0.999573246937309
Usp34	3.65483358507662	5.72972247494096	5.32608090138742	0.0270172482137198	0.999573246937309
Usp2	-3.18600689211405	6.68984196956414	5.31360088987354	0.0271850572485929	0.999573246937309
Ntrk3	-2.15716624765723	8.15917553300122	5.27585549215586	0.0276995407718768	0.999573246937309
