logFC	logCPM	F	PValue	FDR
Akr1c18	-13.3522221831558	6.92313519321597	21.9138472399908	0.000100095791848366	0.353663792955384
Zfp467	12.2823616857373	5.74559843981319	22.7260366320211	0.000100572669687298	0.353663792955384
Dkc1	-8.30153587386087	6.63752943107284	18.3615712101077	0.000180590494073235	0.383654957629889
Snx12	-10.1428912829953	4.87013670134644	17.7776390620351	0.000218202734326682	0.383654957629889
Fastkd3	-11.7193860833643	5.27351284212297	15.8609719022868	0.000576309864619467	0.810637455573742
Hnmt	-11.1792195197051	4.46496508466082	14.4127127961454	0.000915943906674217	0.999727065030088
Plod3	-7.72091995445206	7.00123136422933	12.129602915004	0.00158046665652881	0.999727065030088
Sox11	-6.27817257196761	5.07961666444257	9.62799949749712	0.00421928256915654	0.999727065030088
Dis3l2	6.8709094317124	5.60575479944455	9.33950194815677	0.00474924519726015	0.999727065030088
Gabra1	0.9903849893717	11.0105251354804	7.96056837464877	0.00849933779180738	0.999727065030088
Pnpla8	3.11815060530763	7.67006224304887	7.81904103152823	0.00903732137311885	0.999727065030088
Gfra2	-6.71095739170764	5.10360942231063	7.71387747234516	0.00946099730747132	0.999727065030088
Stag2	-5.13557109577953	4.46554249493871	7.66746299798299	0.00965480820805997	0.999727065030088
Wnt5a	5.64788464936924	5.15715860652234	7.41823334813008	0.0107720626384848	0.999727065030088
Adamts1	-5.3620729907732	7.57287212622841	7.36120091208373	0.0110470205160517	0.999727065030088
Gzf1	4.32044586708468	6.92170878275375	7.31787335180384	0.0112610069101447	0.999727065030088
Tmem243	4.38294283964144	5.57125562642469	7.23839779853416	0.0116653359375835	0.999727065030088
Cntn2	4.31049588300055	5.48431160869504	7.04634144045363	0.0127091581535835	0.999727065030088
Ophn1	-5.7849616362815	5.13793942213079	6.81126962912398	0.0141274003489432	0.999727065030088
Lnpep	-4.90173502368056	6.25556841656243	6.13470535851379	0.0192672232481161	0.999727065030088
Rabggtb	-4.26767060260585	7.15927063973306	6.12386619686226	0.0193646610133458	0.999727065030088
Nlgn2	-4.86982101011465	4.30013747373821	6.09261157498	0.0196486534614634	0.999727065030088
Dock10	-1.65455950265819	12.0939651078354	6.34695946690883	0.0200384883076213	0.999727065030088
Tmem185b	-6.31937335817367	4.62361684769684	6.03719203026314	0.0201634906233754	0.999727065030088
Cdh13	-3.57606550939308	7.8833316205032	6.01229694207051	0.0203995522980102	0.999727065030088
Rbm39	-2.18724179672474	9.32577915011591	5.85703826704263	0.0219418229390153	0.999727065030088
Trim12a	-5.77860197588674	5.78206974859271	5.81192457312074	0.0224135905404537	0.999727065030088
mt-Co3	-1.02011940082056	12.2572394117538	5.68446431756644	0.0238076593652131	0.999727065030088
Tram1	-5.44408236919777	6.89731863963887	5.65744375691729	0.0241152503386273	0.999727065030088
Ssbp1	-4.41041671820426	6.8659811504433	5.62133675057352	0.0245331064316616	0.999727065030088
Hsbp1	-1.33139603036537	9.43600609958641	5.59239740702434	0.0248737533387476	0.999727065030088
Uhrf2	-4.51801814041602	5.98004759162234	5.46468731098254	0.0264403616097736	0.999727065030088
Bclaf1	-3.13124891030287	8.03958191353551	5.43431852736052	0.0268286482075258	0.999727065030088
Trim27	3.857962089722	6.14515914071497	5.41754702009653	0.0270457677416888	0.999727065030088
Vmp1	-2.46073468305989	8.58476818704886	5.39431334520193	0.0273497435141098	0.999727065030088
Bend6	2.23208695918945	7.94451082556141	5.01021943770406	0.0329610607632877	0.999727065030088
Selenoi	4.54822839064099	5.8224915275973	4.9276586641341	0.0343262805589788	0.999727065030088
Eif5a	-1.32375183262757	9.0645062146068	4.91869119064463	0.0344782864016169	0.999727065030088
Tpt1	-1.68486884558912	8.85642210865739	4.88008231247481	0.0351412846054737	0.999727065030088
Slitrk4	4.1025311503613	5.64901221508945	4.84148756813178	0.0358181486461142	0.999727065030088
Rps27	-2.98874176429592	7.18584059390999	4.83775570982526	0.0358843572291973	0.999727065030088
Dcx	4.36303652804903	5.36768103628195	4.83295592601804	0.0359697113536068	0.999727065030088
mt-Atp6	-0.924034130326835	11.8114435214096	4.8303249429202	0.0360165931081156	0.999727065030088
Sez6	2.58714720642927	7.29703688812131	4.76899267628916	0.0371288560223748	0.999727065030088
Rptor	-4.90896841524721	6.27132290528206	4.76527138212164	0.0371975541786122	0.999727065030088
Asb3	-5.21785127998436	6.25189483871329	4.75088828444174	0.0374644033575836	0.999727065030088
Ifrd1	-3.26566756332903	8.07980022709172	4.72686976195063	0.037914753470195	0.999727065030088
Ccng1	3.61168830421112	6.26243364923954	4.6997230737638	0.0384309842854616	0.999727065030088
Fam168a	2.51307152127828	7.25111687771686	4.67836034206582	0.0388426984405998	0.999727065030088
Pkib	3.69361974308192	5.08469090497822	4.62928245586729	0.0398071831221307	0.999727065030088
Gm10800	-4.71144640880127	8.4878682113976	4.83219620749358	0.0399781179922621	0.999727065030088
Arpc1a	-2.20087718955227	7.94979299785704	4.61808388226775	0.0400309580306567	0.999727065030088
Cdh2	4.43298211697643	4.66882684932651	4.5708042540754	0.0409912132503059	0.999727065030088
Chd3	-4.23373415192037	5.28599367936612	4.56653878384839	0.0410790936104939	0.999727065030088
Usp20	-4.8583016024248	6.45600610846508	4.51389834000422	0.0421810083085946	0.999727065030088
Cab39	2.21553897924128	8.00934162369426	4.48284435528183	0.0428464135364876	0.999727065030088
Itgb1	-5.05089465226611	6.58229231777434	4.45125838349253	0.0435351930349673	0.999727065030088
Atg7	-4.97921637444148	6.08648005863712	4.44805602982448	0.0436057087926028	0.999727065030088
Glb1	4.63905232302021	5.08830723043793	4.4371456644793	0.0438469087593691	0.999727065030088
Ubb	-0.672494652559967	12.3745368845432	4.40132672962793	0.0446492525172897	0.999727065030088
Cep97	-3.62826501481801	5.92645729991731	4.36893520682183	0.045388888482085	0.999727065030088
Camkk1	3.81824675449017	6.72049681821343	4.34979592933932	0.0458323151382895	0.999727065030088
Wdr13	3.42413653774639	5.86487918716102	4.29435204572721	0.047144292891038	0.999727065030088
Ppia	-0.827132913586228	11.3283529393244	4.29242195876152	0.0471907114577277	0.999727065030088
Fcer1g	-4.7414206455768	6.72933195809203	4.2911970375264	0.047220197179371	0.999727065030088
Ggcx	-4.28421077072803	6.81319968437767	4.26581468791808	0.0478358274601788	0.999727065030088
Orai2	-4.91697306520728	5.70853982743547	4.26230539174514	0.0479216437090484	0.999727065030088
Pcdhgc4	-2.78973812543097	7.18981108212744	4.13560151533008	0.0511379854955828	0.999727065030088
Tmem68	-4.91408296743019	5.70251621089575	4.13366274833634	0.0511890346011911	0.999727065030088
Slitrk5	4.27976024289222	4.81306325401728	4.13117397988581	0.0512546489720186	0.999727065030088
Tmsb4x	-1.03047700165614	11.6588232660487	4.11637181671725	0.0516468398371627	0.999727065030088
Zmym5	-3.34581695982853	7.15297860921211	4.10908772934842	0.0518410637707456	0.999727065030088
Mef2c	-1.05161172294964	9.95873551647504	4.10485412635177	0.0519543235839484	0.999727065030088
Inpp5e	-4.20927021529808	6.45657890321193	4.06227231361268	0.0531089855823035	0.999727065030088
Ppp4c	-2.82362778105939	7.40661148749967	4.05411263702073	0.0533335015133343	0.999727065030088
Orc3	-3.19571032379876	6.83314158867547	4.02111821293064	0.0542522261037305	0.999727065030088
Rpl7	-1.79464430057988	7.96671646551971	4.01209843989731	0.054506448251919	0.999727065030088
Ccnl1	-3.17199458231093	7.10678239326084	3.9695537199654	0.0557236628660078	0.999727065030088
Ube2k	-2.79488422326132	7.33785505875775	3.95943003781365	0.05601776106821	0.999727065030088
Sub1	-1.37652051428257	8.74814611506941	3.9218312810505	0.0571253244014579	0.999727065030088
Lyrm9	3.49130051272669	4.73610100430343	3.92123528125928	0.0571430772190647	0.999727065030088
Thoc7	-2.47641447410316	7.58722700892926	3.9035749451232	0.057671931966413	0.999727065030088
Cask	-3.2379939090374	4.82531428189787	3.89643161252341	0.0578874001528517	0.999727065030088
Pcdh9	2.4883730182118	7.63558986407209	3.89030349781154	0.0580729642750479	0.999727065030088
Snap91	1.34893412928859	9.1754835291272	3.88389271982496	0.0582678009184639	0.999727065030088
Zfand6	-3.4161443313938	7.75478327080592	3.87835699695847	0.0584366320051031	0.999727065030088
Trim8	-2.58219275756623	7.23710388069039	3.87683508656713	0.0584831439215994	0.999727065030088
Harbi1	-3.74724206533813	4.45494294127178	3.83961539209872	0.0596336468416013	0.999727065030088
Hnrnpk	-1.33983591690315	9.54022888017237	3.83342724587058	0.0598273777397887	0.999727065030088
Cdc42	-0.984641136893809	9.93340496927549	3.81736606940472	0.0603335018387216	0.999727065030088
Smg7	-3.48231629898045	6.80549030204329	3.80977584575817	0.0605743561154415	0.999727065030088
Rps14	-2.20001627970093	8.06724233479701	3.78278014937791	0.0614397680660914	0.999727065030088
Xpo1	3.81193129579024	5.73329955748606	3.77146558262236	0.0618066019632634	0.999727065030088
Elob	-1.57783885997738	8.3471580261495	3.75968145896563	0.0621912748406233	0.999727065030088
Mtpn	2.49669442548581	7.52360918243154	3.7419882104897	0.0627738984095163	0.999727065030088
Cd59a	3.37768625412581	5.20537166449771	3.7281601302464	0.0632335132341729	0.999727065030088
Serinc3	-1.52334543502447	9.50752215155058	3.72086929409152	0.0634773654064921	0.999727065030088
Tmem115	3.90848705376961	5.85529837881204	3.70772542090145	0.0639196541795022	0.999727065030088
Rab6a	0.652420996803094	10.9227192020226	3.67670195974071	0.0649773870171306	0.999727065030088
Grin2a	-4.05589742848937	4.286565549974	3.66461898322793	0.0653946641527538	0.999727065030088
Orc2	-4.50214703282713	6.66088923673722	3.61501251887705	0.0671396682747456	0.999727065030088
Slmap	-3.33692219843982	6.99906334491391	3.61185625638218	0.0672524566366011	0.999727065030088
Rps6	-1.62361795793143	8.5375838363338	3.60595806769676	0.0674637993611783	0.999727065030088
Tmem135	-2.631368471317	7.69188666286388	3.59403797045727	0.0678932046378843	0.999727065030088
Rnd3	-2.7846139393764	7.54883492393046	3.58879889225783	0.0680829082968707	0.999727065030088
Lars2	-1.38143092714801	14.1138308372554	3.85999523910623	0.0688267192390773	0.999727065030088
Lpar6	-3.73145566749609	6.7667250769813	3.56725842422877	0.0688691738795049	0.999727065030088
Zswim1	3.80994420869228	5.99399354169144	3.55510684855653	0.0693172390011049	0.999727065030088
Taf12	-4.17509458753354	6.69409198864534	3.54700882065732	0.0696176618190643	0.999727065030088
Fam84a	1.43343801551422	8.4993472639999	3.54608110507316	0.0696521720641128	0.999727065030088
Mblac2	2.03922248695806	7.54659419591456	3.53440834904961	0.0700880408920277	0.999727065030088
Gm19220	-1.68757652876551	8.18604729962552	3.53167549022555	0.0701905315017077	0.999727065030088
Anapc1	2.9591468249363	6.32131404051036	3.53132334371702	0.0702037503659854	0.999727065030088
Lin37	-3.73982707750884	6.44365099676502	3.4989075099586	0.0714326879776318	0.999727065030088
Ftl1	-1.46981690889473	11.0271302488493	3.57428646816259	0.0715158453301285	0.999727065030088
Kif5c	1.54354624803067	8.34935053123874	3.49125718588758	0.0717262526932245	0.999727065030088
Naca	-1.54482094732853	8.34869903928368	3.49125092683256	0.0717264934277637	0.999727065030088
Sgip1	-2.00769399010579	7.46313985135299	3.48918977911649	0.0718058185039994	0.999727065030088
Proser1	3.99715480952757	5.19539877776265	3.48348744596353	0.0720257942212623	0.999727065030088
Rps24	-2.11287979005661	7.51243378194829	3.48062784399137	0.0721363938063559	0.999727065030088
Rusc2	2.70689081343918	6.56237676124945	3.47165316164973	0.072484750809687	0.999727065030088
Srcin1	-3.61517743952898	4.29928177905569	3.4668116443154	0.0726734653367468	0.999727065030088
Eef1a1	-1.42387900871984	9.37722624640032	3.46393722895789	0.0727857678582139	0.999727065030088
Plcb4	3.49796333337881	6.0727064850038	3.46023929640269	0.0729305333104526	0.999727065030088
Gnb1	-2.49277993520364	7.13931014197881	3.44562739863609	0.0735057451929289	0.999727065030088
Tnfrsf21	2.39651958892436	7.67693649265684	3.44223688805564	0.0736399474992303	0.999727065030088
Rnmt	-2.42992940568694	7.94614923061078	3.41550078700367	0.0747079632834958	0.999727065030088
Vmn1r13	-2.37779711246027	7.04482531037563	3.41354878600919	0.0747866223168149	0.999727065030088
Ppt1	-1.62411977436116	8.15504767987954	3.41267089238328	0.074822028981482	0.999727065030088
Zfp706	-1.44710437827195	8.83700555546996	3.41190251896125	0.074853034099142	0.999727065030088
Ide	-4.21286383647572	5.9829579231406	3.4084061003049	0.0749943038599424	0.999727065030088
Ppan	-3.52302130522113	5.21216575849288	3.39379504481832	0.0755879225286691	0.999727065030088
Tigd2	-4.44193626756922	5.99963414019401	3.38393557194944	0.0759914968278013	0.999727065030088
Rpl26	-1.84513884172682	7.43156034356558	3.37883754662805	0.0762011282695249	0.999727065030088
Nrip3	1.62919157174394	8.87801892799701	3.3634118214865	0.0768394327865126	0.999727065030088
Rpgrip1l	3.49443004436186	5.26179495550608	3.35483107012608	0.0771971160316747	0.999727065030088
Sema4d	-3.27193543081466	6.77012513063109	3.29138056907504	0.0799013232761074	0.999727065030088
Ivd	-2.73201972985926	6.89505019539579	3.29111219278997	0.0799129870091377	0.999727065030088
Gabra4	-2.01619241093735	8.45626460953174	3.28862482236882	0.0800211809750303	0.999727065030088
Gm4034	-3.07268031069339	5.12335413466713	3.26911984053319	0.0808753788086962	0.999727065030088
Mxra7	2.18496474168696	7.07040434770766	3.25414644542784	0.0815381430575211	0.999727065030088
Sass6	-3.06040381549566	5.61413006845149	3.25215241802834	0.0816268684906399	0.999727065030088
Plek	-3.47455114661388	7.93425178133162	3.26916690333364	0.081767808232746	0.999727065030088
Tdrd3	-4.26357046074556	6.1993533546716	3.23480028044627	0.0824036061506745	0.999727065030088
Egr1	-1.49709138595323	9.94028953020334	3.23194547549449	0.0825321987243622	0.999727065030088
Dcun1d1	2.33756176331245	7.06752532115571	3.21888187333337	0.083123554333551	0.999727065030088
Ube2j1	1.84195905173272	7.75886563856449	3.21613907026701	0.0832483244831879	0.999727065030088
Skp2	-4.32069725861318	6.04147794095005	3.19227937642285	0.0843427265504266	0.999727065030088
Gabrg2	1.40695966357701	9.05077482607346	3.18602174256483	0.0846324539847592	0.999727065030088
Prmt5	-2.91779114378788	6.22164218779917	3.16804190691653	0.0854712355488153	0.999727065030088
Rpl9	-1.67777715061956	7.88052409371873	3.15879663144529	0.0859062180268766	0.999727065030088
Ppp1r21	-4.56497204956383	5.05659287133349	3.14186502632348	0.0867093837752156	0.999727065030088
Smox	-4.15331118928899	6.29239695892819	3.14105698654704	0.0867479270222521	0.999727065030088
Herc1	2.23477047443119	7.21113059819403	3.13047672692212	0.0872544062996023	0.999727065030088
Prrc2b	3.17908750187386	6.06821175181354	3.12419831410454	0.0875565469709419	0.999727065030088
Pitpnm3	-3.67820485288373	4.97080856691481	3.11347597275209	0.0880753058370117	0.999727065030088
6430548M08Rik	1.70489364270041	7.9752597805345	3.09792527944968	0.0888339006500923	0.999727065030088
Brpf1	-2.40815085772773	6.53238132742034	3.09722792669434	0.0888680930064133	0.999727065030088
Fth1	-0.856799802210362	10.9235113485006	3.08643479193994	0.0893992159640576	0.999727065030088
Hba-a2	-2.32023539865923	7.67044577012909	3.07392260842822	0.0900194679515813	0.999727065030088
Chrm2	2.77692010109147	6.5734459109465	3.07362394741526	0.0900343329880822	0.999727065030088
Rps3	-1.74569530459285	7.90828019705013	3.06995901835455	0.0902169730130711	0.999727065030088
Zyg11b	2.94374113645087	6.12995717652864	3.06591369319408	0.0904190608241566	0.999727065030088
Ints6	-3.35714396358548	6.70841999714149	3.06416069665637	0.0905067936796718	0.999727065030088
Ctsz	-3.41456775974604	7.45366635797748	3.05840153016466	0.0907957092653839	0.999727065030088
Irs2	-3.51586852018306	5.69510215590026	3.05657332099563	0.0908876435661585	0.999727065030088
Trp53	3.51854409005201	4.42008905685298	3.05173262613543	0.091131578816431	0.999727065030088
Ctnnd2	-2.57339728626409	6.42157799316547	3.0504400208514	0.0911968429226077	0.999727065030088
Ctsd	-1.99610907358414	10.4434004299168	3.17202468989119	0.091457142098791	0.999727065030088
Smn1	-4.72772146909664	5.84618360910653	3.04193356181126	0.0916276703878168	0.999727065030088
Nrxn1	-2.44324400742307	7.27057313763662	3.03283254541932	0.092091185620147	0.999727065030088
Mt1	-1.40750511839743	7.95265496022859	3.01310395697165	0.0931051886186504	0.999727065030088
Hsd17b12	2.84058929579867	6.45922456895086	3.01220609497721	0.0931516392054827	0.999727065030088
Wdr1	-2.44594501183789	8.03781002719971	3.00506192324743	0.0935221857363761	0.999727065030088
Dennd4a	-3.19596988051345	6.26127119806728	2.9949855980943	0.0940476817804515	0.999727065030088
Nefh	1.30025419386359	8.80492303459779	2.99327380339956	0.0941372895896781	0.999727065030088
Plk3	-3.24931756426954	6.74146388750106	2.99175310817671	0.0942169757499405	0.999727065030088
Csnk1d	2.90809556916373	6.71065635236854	2.98170049910785	0.0947456884837744	0.999727065030088
Tpm3	-1.48408315923877	8.34425249912321	2.97773598669466	0.0949551327794791	0.999727065030088
Eif4enif1	-3.92437280244995	5.53553968089928	2.96596712500807	0.0955800060389434	0.999727065030088
Ext2	2.71334998613405	6.35070732163949	2.95830316091768	0.0959894576673997	0.999727065030088
Actr8	3.22737385466173	5.2160915293046	2.95670873808135	0.096074892683893	0.999727065030088
Nubp2	3.66002913319515	4.88615042350451	2.9530733720859	0.0962700146128414	0.999727065030088
Chmp2b	2.64692172016044	6.55045077454835	2.94276602099634	0.0968257152755209	0.999727065030088
Hexa	-2.95258155054885	7.78910737375578	2.93572309895487	0.097207533265928	0.999727065030088
Atr	2.63124755785176	5.63973161905014	2.93260635934773	0.0973770513640082	0.999727065030088
Pusl1	-3.87845238899624	5.43121864073525	2.9216176748375	0.0979774290046974	0.999727065030088
Unc5c	-3.18907183989358	5.05212668281777	2.9164860308369	0.0982592536800865	0.999727065030088
Golga3	-3.16480835800671	4.42483700512579	2.90648130931189	0.098811378848405	0.999727065030088
Sgsm1	2.86266015206402	6.5329069481983	2.89307250157269	0.0995569514067496	0.999727065030088
Paqr9	3.45534522187348	5.11747541860306	2.88184291101939	0.100186320419116	0.999727065030088
Pcnx4	-3.77290005068134	6.67840451866811	2.8719544321953	0.100744308504117	0.999727065030088
Rplp0	-1.46282802177222	8.2383471343195	2.87152814878195	0.100768442947049	0.999727065030088
Zfp318	3.41618686364833	4.56081124050384	2.86355601013956	0.101221018239406	0.999727065030088
Gm18517	-3.00812199716309	4.45101088956394	2.86345812644389	0.101226589544173	0.999727065030088
Pgam1	0.661583013592149	10.4910459999269	2.86299417100051	0.101253001563355	0.999727065030088
Arpc2	-1.6802747155336	8.1546784981279	2.8586597890638	0.101500131582254	0.999727065030088
Cyb561d2	3.57451854247825	4.61544973309038	2.85398105584034	0.101767672972067	0.999727065030088
Tsc22d4	-3.0478522966112	5.19273986208018	2.84839725795228	0.102088028995547	0.999727065030088
Myl12a	-4.09465023315624	5.57998647847367	2.8379331730178	0.102691504092113	0.999727065030088
Actr1b	1.68768395851461	8.2274354386417	2.83313440640898	0.102969624498298	0.999727065030088
Agl	-3.04232208182142	4.18474016755866	2.82630901484423	0.103366694091446	0.999727065030088
Becn1	-2.50130280069774	7.38506684222421	2.81872126829358	0.103810181813839	0.999727065030088
Coro1b	-2.18389925807934	7.93185819022759	2.81754160069731	0.103879327229302	0.999727065030088
Raph1	2.88333152748212	5.33767417176746	2.81222340004811	0.10419170834255	0.999727065030088
Ntf3	3.50052059710019	4.88570951713363	2.80736289477497	0.104478150629512	0.999727065030088
Eif2b5	-3.64967812929708	5.76591013137665	2.80643331571113	0.104533036293737	0.999727065030088
Pcp4	-3.5733920961881	4.47644415715652	2.80618479333612	0.104547715560543	0.999727065030088
Tmem134	-3.72999794507434	5.57580924468346	2.79410611045901	0.10526402459523	0.999727065030088
Tmem151a	1.96258642443859	7.73191991057702	2.78988610478144	0.105515616208327	0.999727065030088
Ptcd1	3.68015331805494	5.34346247436146	2.78684969827116	0.105697071323257	0.999727065030088
Dner	1.24401964608963	9.54858279287992	2.77515918020806	0.106399057241778	0.999727065030088
Rhob	-2.98545143856564	5.1744505771048	2.77002987153092	0.106708752908078	0.999727065030088
Armcx2	2.92431506388366	4.53099045200583	2.76843859529444	0.106805041394268	0.999727065030088
Nr3c1	-3.10654124986495	7.283142457108	2.76021395962766	0.107304314590005	0.999727065030088
Ppil3	-3.17504366560856	6.23671576471269	2.75563643178563	0.107583356320134	0.999727065030088
Vstm2a	1.43765694065859	9.34960779620603	2.75543472949797	0.107595671123302	0.999727065030088
Tmem8b	-3.93547366470412	4.9219502603011	2.75053193716527	0.10789550828767	0.999727065030088
Selplg	-2.9304433148438	7.59060296117283	2.74935447842492	0.107967660798559	0.999727065030088
Plcl2	-2.40706564361624	7.30761329216609	2.73722575947267	0.108714133540583	0.999727065030088
Mcrip1	-1.52653268490141	8.31352251480172	2.7367564619298	0.108743136253168	0.999727065030088
