logFC	logCPM	F	PValue	FDR
Zfx	-7.57265780795773	4.60045587817481	19.5005066380646	5.133757197542e-05	0.241678596083286
Zfp467	12.0121836776028	5.51138757992659	19.8297298471744	5.76042417073735e-05	0.241678596083286
Gm10800	-4.03021746480045	7.54961083474289	16.3330769113387	0.000176577612320237	0.336753491579287
Lpl	-3.67705142046218	4.37298945419345	14.8417992282281	0.00032350151657489	0.336753491579287
Sil1	10.8539344252681	4.4416181365269	15.1322778985177	0.000336436978202333	0.336753491579287
Lin7a	9.64038208607425	4.72727599212391	14.7400055230931	0.000337353282391919	0.336753491579287
C1ql1	11.7083961787527	5.38624898811331	14.8951167753846	0.000369384021200342	0.336753491579287
Larp1b	-5.21067316247311	4.47376915748576	14.3621544458077	0.000394434814274698	0.336753491579287
Rif1	10.0397506173003	4.75251961532556	14.0777043144707	0.00044401863942439	0.336753491579287
Fzd1	11.4453390930262	5.39088785504429	14.3527947113556	0.000458146267193474	0.336753491579287
Atg7	-4.29924728633921	5.5874277598596	13.6452651840148	0.000532249583085635	0.336753491579287
Luzp2	10.8643264896929	5.5715906128779	13.5966210216971	0.000543263526289147	0.336753491579287
Smg7	-3.57972162239492	6.02696324086451	13.2565793726993	0.000627228689789345	0.336753491579287
Slc7a4	10.6544451391525	4.46283138728205	13.4312910921577	0.000664311869915356	0.336753491579287
Zmym5	-3.80870908507372	6.18031019894597	12.9534005610713	0.000713551903873693	0.336753491579287
C330018D20Rik	11.2220129134047	4.89896497447421	13.2557452617746	0.000713630787183668	0.336753491579287
Zfp11	-4.57039277473298	4.54627326979236	12.7994177160783	0.000762072138881277	0.336753491579287
Il1rapl2	10.8664354388787	5.66260507929276	12.7768126526495	0.000769480593992565	0.336753491579287
Tcirg1	-4.38882001032352	4.96584536833386	12.6665384131153	0.000806717476536616	0.336753491579287
Hltf	-3.99858618510734	6.20468098744083	12.4292698570244	0.000893377875404919	0.336753491579287
Prps1l3	10.5454562508969	4.18950637105384	12.6171313706737	0.000928168837572885	0.336753491579287
Slc35e3	9.44671004715593	4.72975303422838	12.2930431612678	0.000947488405214052	0.336753491579287
Frmpd4	10.8717817090959	4.49806227471456	12.5482680508909	0.00095506476104585	0.336753491579287
Ncam2	8.58842214326216	4.44829769048479	12.0984130783627	0.00103082482667833	0.336753491579287
Smn1	-5.41718328914176	4.8389600429607	12.0956601031686	0.00103205719726241	0.336753491579287
Gmds	11.2251432952608	4.86409281090228	12.3355691215257	0.00104345021821731	0.336753491579287
Gmfg	9.8695458529462	4.84511330342744	11.652968227252	0.0012517878298905	0.361115896968708
Plcl2	-3.2465876067992	6.33080436482892	11.6274223098524	0.0012658775163345	0.361115896968708
Fras1	10.9732803071832	4.90187011748864	11.856390828927	0.00127570202701365	0.361115896968708
Pcdhb9	10.0083140297998	5.29054515558808	11.5325749297899	0.00131966116856537	0.361115896968708
Nsdhl	10.9552797818642	4.43125934246503	11.7127096778315	0.00135552187849527	0.361115896968708
Zfp763	10.9762908449483	4.84450704253517	11.6753032413365	0.00137715513085433	0.361115896968708
Srfbp1	9.24211609228542	4.84481858951734	11.2578908782867	0.00148936721717247	0.377236028150852
Zfp110	10.7469596514926	4.26636636314505	11.353417818584	0.00157907540712406	0.377236028150852
