logFC	logCPM	F	PValue	FDR
Akr1c18	-15.033991783067	8.43093245187334	47.4504744864605	3.82905167065003e-07	0.00275998044420454
Sst	-13.0216225421685	9.6417080852356	38.4554520005559	7.73669464284569e-07	0.00278830474928159
Pthlh	11.8243723008898	5.64778189173179	32.5707467960464	3.09807835935736e-06	0.00667270684020834
Synpr	-9.64609421498989	8.80583329302099	31.8534805650841	3.70294497236867e-06	0.00667270684020834
Stxbp6	-11.9549287771227	6.37249052608697	21.4349075417321	6.5251828484167e-05	0.0940670359427752
Zcchc12	-12.8170400202424	6.15906256405808	21.0228203000994	0.000117172856656201	0.140763658462983
Mgat1	8.87298415592884	4.0508181126944	18.8835163386041	0.000144971749588145	0.149279481575907
Hpcal4	-10.949782548031	5.14432643260628	15.7664190220484	0.00041022578930996	0.335210704692863
Ift52	-13.6824685162037	6.97670820463007	16.4167219579583	0.000456325033130159	0.335210704692863
Npas3	-8.22778637174219	5.59004959931365	15.4058198514711	0.000465053696854693	0.335210704692863
Smpdl3a	-11.9677598121103	5.02666725078586	15.4448476724598	0.000621295384799637	0.390089316989101
Dock11	-11.6685915655273	5.11330765198303	15.3075321361267	0.000649427275786516	0.390089316989101
Fastkd3	-11.5620043968378	5.04860943617204	14.2364341501454	0.000922966038268286	0.511749169525985
Exosc1	-11.1152829448882	4.45868111775403	13.8526925128833	0.00104967686017919	0.540433629155114
Asic2	-9.75472087850104	5.42033961985191	12.9111079434793	0.001144380071313	0.549912770268274
Pip5kl1	-11.1876245484495	4.64287447594149	13.0886895140862	0.00136218153402722	0.613662781079261
Myc	-10.8719403231839	4.36942267796504	12.6829207344477	0.00156833374016874	0.664973505831545
Nelfe	-11.2099727946776	4.95838857213702	12.4299403963993	0.0017139319164466	0.686334514097062
Mfsd13a	-8.57370128052365	5.23267798459037	11.7011408856788	0.00181121703758627	0.687118547732727
Cdh9	-9.35894139073499	5.36874298340172	11.520556194384	0.00194234236427572	0.700020188084968
Pdik1l	-9.65678544975997	5.45525082380007	10.6243987029767	0.00276304339923511	0.94838175341365
Wnt5a	6.72551416489478	4.95373331191766	10.4885461630583	0.00291712191320134	0.955755215925239
Snx30	5.78099328707828	4.86672247050123	10.1358693642014	0.00336200866100839	0.999812850497513
Mettl2	5.21813043187	4.12596977033675	9.14128665508953	0.00506070710346759	0.999812850497513
