logFC	logCPM	F	PValue	FDR
Pthlh	11.569021694555	6.12073050943041	22.6087225351929	1.53002065308441e-05	0.101457865299079
Wdr3	10.987394473343	5.54976991003991	21.3493564164738	2.43601195662809e-05	0.101457865299079
Smndc1	9.93094229237649	5.28648456179777	20.3005692659971	3.61274297800876e-05	0.101457865299079
Armc6	11.2861394350455	4.69782158873178	18.3942820958737	9.75649513513388e-05	0.122507791082983
C1ql1	11.7466100178984	5.31484827165339	18.3007512878498	0.000100991549542682	0.122507791082983
Ncam2	9.61262246665894	4.37776897623418	17.5280726748618	0.000105700222069986	0.122507791082983
Klhdc4	9.90122138676935	5.01484612235495	17.4115039549499	0.000110698255981834	0.122507791082983
Fzd1	11.4835279088224	5.3209895279272	17.6501905839218	0.000128611533230287	0.122507791082983
Gpc6	10.5869928447992	4.1632420847183	17.5750992733137	0.000132276089413723	0.122507791082983
Luzp2	11.9844066819165	5.50084951642839	17.0406082543538	0.00016174533468355	0.122507791082983
Armcx6	11.0957368293794	4.5516835005537	16.9806688769091	0.000165456175366126	0.122507791082983
Kcnb2	11.8544224818561	5.80774430143929	16.1733926499023	0.000181843714557802	0.122507791082983
Erlin1	10.9220100592584	4.59246996399681	16.6288954031	0.000189115448824736	0.122507791082983
Cemip	7.8210324143663	4.31069510667869	15.5902995251118	0.000230573640587743	0.122507791082983
Thnsl1	10.443492707333	4.81679735170042	15.5870528817346	0.0002308802153229	0.122507791082983
Pnrc2	9.64849185608605	5.2445258987912	15.5683378960226	0.000232655745676882	0.122507791082983
Zfp112	11.8978898735619	5.04875075411363	15.8151033203868	0.000258545034681051	0.125881583603957
Ms4a6b	12.1130113364246	5.27546167027374	15.7133853299503	0.000268945816601926	0.125881583603957
Ppm1d	10.6433817052866	4.16531855344854	15.4691029284764	0.000295761934213871	0.131147068197467
Pde11a	7.90433016919497	5.15300095863207	14.7360946557326	0.000327934782489483	0.134289107234625
Adamts8	11.0604745744322	4.59525656126852	15.152804076844	0.000334726558092239	0.134289107234625
Gpd2	11.6895520855671	5.13286678641045	14.6775878841657	0.000403732704040637	0.154611274161017
Spryd4	9.9186151593592	4.41245030056458	13.9523042396877	0.000455245793048708	0.166758513323277
Aph1a	9.96035760891898	4.03140135313615	13.816137463996	0.000482176101474032	0.167542291442021
Cxcl16	11.2923911185081	5.07109935822554	14.1267214971593	0.00050287456959997	0.167542291442021
Slc46a3	10.9380207362721	4.68000262846404	14.0574606444316	0.000517044460236503	0.167542291442021
