logFC	logCPM	F	PValue	FDR
Klhdc4	10.8008454326312	5.6125691445981	24.0002498273588	1.80607166755088e-05	0.135094160732806
Htatip2	-12.3408790277067	5.67382536284256	20.7287934955664	8.13902313917037e-05	0.304399465404972
Ighm	-12.5471502058581	5.81312914559834	19.0416860673232	0.000138340808344564	0.344929748805779
Bcl2l13	-7.85749510891432	5.71446473065037	11.7726537553131	0.00145947891932015	0.999932412567342
Cep63	7.41006625914397	5.26625877833489	11.4843475536965	0.00164302292676843	0.999932412567342
Tex9	-8.39755003034995	4.81361870536043	11.2820880158872	0.00178632793064795	0.999932412567342
Ptgds	-6.25454546411679	6.08469869697425	9.50674709580746	0.00379511579841289	0.999932412567342
Ralgds	6.32523679282572	5.82777115663153	9.04764271920349	0.00463990207478293	0.999932412567342
Sox4	4.90864427938022	4.95758962859011	7.98731268270719	0.0074594621258807	0.999932412567342
Cst3	-2.06879926483366	11.0878930348736	6.88760389691607	0.0124177046854432	0.999932412567342
Dhx32	-6.34632486933178	4.79842180388164	6.79380709769214	0.0129809037581248	0.999932412567342
Snx30	4.80032841200374	5.18327998018613	6.77946134977487	0.01306943562407	0.999932412567342
Ppp3cb	2.93000419924761	7.37432839020127	6.06159911941103	0.0184483564820522	0.999932412567342
Mbp	-7.24469356629606	11.8002766659143	6.54473156606503	0.019527408821987	0.999932412567342
Vmn1r13	2.38218635642518	8.39345537310103	5.91561941831044	0.0198106452786377	0.999932412567342
Trmt2a	5.0593181498821	5.75914157576975	5.90817396588805	0.0198829786229471	0.999932412567342
Car10	-5.3482156907402	4.83359684500618	5.88658490585315	0.0200943365742002	0.999932412567342
Thrb	-4.84388997683567	6.99178056164043	5.84165638104131	0.0205420136081491	0.999932412567342
Fth1	-1.48450158178675	10.9192140693303	5.76393851442916	0.0213420704394546	0.999932412567342
Sass6	2.91319721399737	7.34530242647007	5.63767211537767	0.0227146686994873	0.999932412567342
Clcn2	5.13197952293449	5.55119167635668	5.59625298712976	0.0231854976565858	0.999932412567342
