logFC	logCPM	F	PValue	FDR
Hpcal4	11.5844908811102	6.51717695977268	20.6367556581467	3.59398314073565e-05	0.29991789309439
Seh1l	11.6095494354088	5.23228528954276	14.5125014283297	0.000434140924096717	0.624365870034959
Akr1c18	12.7011896873857	6.33140829924178	14.1625153378565	0.00049909993657131	0.624365870034959
Pip5kl1	12.0590854592672	5.83054786811983	13.8722438983673	0.000560727349572527	0.624365870034959
Mal2	12.7286648215101	6.42510715051944	13.5270875474152	0.000644592521817473	0.624365870034959
Mcm3ap	11.8724150320578	4.85578866713348	13.5168276026591	0.000647279021700026	0.624365870034959
Spire2	11.0456872570789	4.78136920155553	12.4280860185851	0.00101179020439417	0.624365870034959
Ift52	11.5623360055329	5.35031731699417	11.9453752175347	0.00123773536669256	0.624365870034959
Klhl5	11.3778550309349	5.2917775609298	11.7513391285305	0.00134304252234631	0.624365870034959
Plxnc1	10.9660636229696	4.54654914444772	11.6896599463942	0.00137846503612486	0.624365870034959
Ece1	10.3972959829973	5.30604954632685	11.1613756982884	0.00159700971850907	0.624365870034959
Snx12	9.83551841647071	4.66031793744538	11.1060102477314	0.0016363000399528	0.624365870034959
Per2	11.1412324109657	5.02001758937304	11.2085600106483	0.00169101646179265	0.624365870034959
Exosc1	10.5164752756003	4.07839006196785	11.1493559985706	0.00173436243792934	0.624365870034959
Unc93b1	12.5548039428419	6.16494246584438	10.8803253793396	0.0019466451697599	0.624365870034959
Pigf	10.7545324067127	4.41178821440951	10.8667147656389	0.00195808926692038	0.624365870034959
Npas3	8.2385141031918	5.01420033268487	10.6395219954808	0.00201057469080779	0.624365870034959
C330018D20Rik	11.2966096288099	4.9729263261555	10.7396516093163	0.00206842046084012	0.624365870034959
Stk11ip	10.4426531236505	5.34480325365638	10.4697700021595	0.00216824679372286	0.624365870034959
Hyi	10.7648092505843	4.1202060602615	10.5929499784016	0.00220402732888225	0.624365870034959
Klf5	8.94462153696203	4.2985721749471	10.4326576430724	0.00220441931780431	0.624365870034959
Hnmt	11.1102187987476	4.66709436833498	10.5599491915548	0.0022358078649551	0.624365870034959
Hs3st2	10.8508753422755	4.46018552811252	10.4282245724676	0.00236756960160515	0.624365870034959
Fastkd3	10.7642923121525	4.11611941211388	10.3563587143559	0.00244289461087181	0.624365870034959
Hbp1	11.6410582075058	4.7550194693146	10.3083982016966	0.00249457050915915	0.624365870034959
Itgav	10.1486290461252	5.19402009741892	10.1112795611647	0.00254552404104386	0.624365870034959
Cntnap3	11.4591884574062	5.03446778701428	10.2535648408364	0.00255507129413097	0.624365870034959
Cd37	11.1011840876983	4.83442459746075	10.1952436614542	0.0026211267450243	0.624365870034959
Rab8b	8.4401198694815	5.14712785073171	10.0148369338502	0.00265839610426762	0.624365870034959
Gem	10.9916468046169	5.04306669437381	9.94869302142358	0.00292099631438992	0.624365870034959
Ptk2b	10.7201324745959	4.86029131849858	9.867140137848	0.00302800798197565	0.624365870034959
Naglu	10.4415050330079	4.10421190638704	9.8564571839632	0.00304233029082302	0.624365870034959
Rhog	11.1746585796336	4.88911884194195	9.80861460624424	0.00310735657097228	0.624365870034959
Trhde	10.4706222591166	4.62214340345283	9.79703517259227	0.00312331507358282	0.624365870034959
Myc	10.8878777101692	4.47147163485628	9.78244090463192	0.00314355222084834	0.624365870034959
Lgals9	11.1203359929066	6.35658359167043	9.56871999381328	0.00325346182151208	0.624365870034959
Vcl	10.540651827065	4.48094060098125	9.69521982300786	0.00326742713338992	0.624365870034959
Parvg	11.3104139285104	4.87275507173881	9.65277046055533	0.00332957540791346	0.624365870034959
Gpr61	10.4462941253633	4.19002560557489	9.65091070859998	0.00333232664709192	0.624365870034959
Adgrl2	11.2101089391671	5.16245737287717	9.64688989506748	0.0033382831012769	0.624365870034959
Gpr135	9.87834201387729	4.83970563815435	9.51219156111262	0.00333833007973047	0.624365870034959
Gpd2	11.7330707531828	5.28140488338848	9.62859428432394	0.00336552901879106	0.624365870034959
Stxbp6	10.6323174299615	5.2633673883067	9.39789512724302	0.00351713436586819	0.624365870034959
Snip1	10.4864488358097	4.1466898111128	9.52916645481188	0.003517772542644	0.624365870034959
Hacd2	11.0005189238497	4.14143624581001	9.46134486260798	0.00362579400609367	0.624365870034959
Glce	10.8058902743442	4.73824161654518	9.43095998854998	0.0036753234514415	0.624365870034959
Ccne2	10.0126202289719	4.33816650024393	9.39340293226645	0.00373753648413561	0.624365870034959
Mafk	10.8634737489537	4.42330046705889	9.34574819960885	0.00381808649068386	0.624365870034959
Lcmt2	10.9410321211975	4.57345746292569	9.30066428616114	0.00389598563592808	0.624365870034959
Ccl2	10.5053085155508	4.21406865823579	9.29302473205157	0.00390935180821993	0.624365870034959
Itgb2	11.240966661838	5.27757639949658	9.27821256752047	0.00393540582002452	0.624365870034959
Slco2b1	12.2333911318155	5.33192666867739	9.23667560720708	0.00400945396444256	0.624365870034959
Zfp94	10.5644861911137	4.90255069859935	9.1765820487476	0.00411920759470093	0.624365870034959
Plcd1	10.0681914821459	4.10957132481993	9.06069286477051	0.00433995791271925	0.624365870034959
Clec5a	11.5319496049577	4.8142278900542	9.03709518726521	0.00438642546729358	0.624365870034959
Phgdh	11.6756957249596	5.58669261602645	9.0170959440375	0.00442622013212272	0.624365870034959
Marcksl1	8.82145314532074	6.33857177493457	8.86937353286253	0.00448551334823352	0.624365870034959
Olfm3	10.8099779346593	4.37562443253724	8.97424396706872	0.00451278194715657	0.624365870034959
Grm7	11.4434845368629	4.96028045207029	8.89512315311337	0.0046773596924086	0.624365870034959
Ugt8a	11.4951664190561	5.04102816641824	8.89439101397361	0.00467891199596468	0.624365870034959
Ankrd28	8.28596042446531	4.07872178824126	8.75378893475302	0.00473260643126633	0.624365870034959
3110001I22Rik	10.5137959279954	4.39535214457825	8.83143682627677	0.0048144547578241	0.624365870034959
Vsir	11.749758704208	5.46379935890306	8.81400733981185	0.00485271290546169	0.624365870034959
Mchr1	10.4699607183932	4.29126118557859	8.71345523955555	0.00507981840957897	0.624365870034959
Nhlrc1	10.8058838566504	4.28979111992782	8.71269259703456	0.00508158338251622	0.624365870034959
Pcdhb9	9.78524807766865	5.36484110094439	8.59178629655978	0.00510338514053711	0.624365870034959
Adck2	8.25430823513231	4.93482957394788	8.54770756788908	0.00520949113297205	0.624365870034959
Shc4	9.57865904152852	4.47158209600889	8.51801153447153	0.00528228705371731	0.624365870034959
Ccdc51	10.5137589784817	4.35296069904181	8.60152861077541	0.00534594281288143	0.624365870034959
Sh3gl3	10.5605644383345	4.24935764140055	8.59588030060156	0.00535975894098638	0.624365870034959
Bok	10.6392613536962	4.61713854079898	8.59014461608309	0.00537382758531609	0.624365870034959
Ifit3	11.2115308926267	4.87775564589119	8.54840501153544	0.00547739576568595	0.624365870034959
Rrad	11.2208823201629	5.00505812906801	8.54329388419201	0.00549022285097565	0.624365870034959
Xpc	8.77181367578839	4.12442135648824	8.41755362526057	0.00553661766118477	0.624365870034959
Nab1	9.24315510257326	4.93875655250637	8.30154460934644	0.00584650501148026	0.641026451164804
Rad17	7.64336720135996	4.84965077805606	8.26106789155065	0.00595889781733659	0.641026451164804
Syngr2	10.5415641533678	4.18261260223491	8.3603338828778	0.00597105259580798	0.641026451164804
Ctdp1	8.71925315984262	5.62555957318087	8.24943524900899	0.00599161931586036	0.641026451164804
Rps6ka5	7.35180210037219	5.18013571583076	8.16595451745174	0.00623208817693394	0.658313618183718
Trmt13	8.65124235100827	5.1734089376449	8.0147396960005	0.00669402866008567	0.693490053340818
Aox3	8.76383212885698	5.32032513316269	8.00302393900733	0.0067312994991739	0.693490053340818
