logFC	logCPM	F	PValue	FDR
Akr1c18	15.1387662892118	8.34695327577594	58.7763575856077	3.38083959155433e-08	0.000240986246085993
Kcng4	-13.7344953737754	6.67354052431196	36.0581690507491	3.06720758389708e-06	0.0109315278290092
Pcdh17	-11.4369236688756	6.06245535387194	26.2329335684605	1.33396004599203e-05	0.0316948906927706
Synpr	9.07876233381139	8.05817619586374	23.9335668863667	2.61312213866223e-05	0.0428820463396023
Pthlh	-12.926639767405	5.81806019705863	26.0344676900194	3.00799988352991e-05	0.0428820463396023
Zcchc12	13.518779803735	6.66810954938965	23.6950463459137	4.5249197727873e-05	0.0475002456865585
Stxbp6	11.7671647021338	6.42847986717532	22.0296895083169	4.66472670883711e-05	0.0475002456865585
Mal2	13.2774824232721	6.62186323606412	20.2830496120472	0.000119436966761814	0.106418337384776
Eya1	12.607352066759	6.0753112504061	18.856329616358	0.000183393285558842	0.145247482162603
Ece1	11.4233070712937	5.54872175411664	16.675610390002	0.000270250642042772	0.192634657648088
Hpcal4	10.8662624333759	4.83006822230394	15.8914403658488	0.000355858400439963	0.230596243485096
Nelfe	11.4119737159955	4.83988121226354	16.4742266830682	0.000388311733896434	0.230657169934482
Seh1l	11.7983673347482	4.98225207883014	16.1139174282789	0.000436719974612628	0.237918332847792
Grin3a	10.4996593771528	5.23625905052898	15.0633067276126	0.000478537081777629	0.237918332847792
Zfp804a	-8.71994025330429	4.7048462719071	14.9383376950615	0.000500669892356465	0.237918332847792
Pip5kl1	11.7696265782324	5.05873167460763	14.719588291344	0.000695549570314896	0.309867333575286
Mcm3ap	12.7418084555208	4.3596944600796	14.2628988763257	0.000813246492144108	0.34098947035313
Clba1	10.7644654308507	4.06495888299465	13.6117577979623	0.00101987492916373	0.403870471948838
Asic2	9.71532849821954	5.42777057944437	12.6270048867333	0.00118583346315087	0.444874785544178
Cops7b	-6.95106037139276	5.31788810149942	12.2869356643661	0.00135219738347871	0.481923147471811
Npy	6.66733846002824	8.53787677689571	11.854499993458	0.00160068010405315	0.543316561032898
Ldhd	-7.45022462524025	4.78604148586841	10.9564936144228	0.00228709872992581	0.71586870656897
Npas3	7.57534224801967	4.17582253920076	10.8140054988299	0.00242237472554153	0.71586870656897
Cdh13	4.32569890671127	8.93099823443328	10.7512919675832	0.00248460912540857	0.71586870656897
Mfsd13a	8.36461930258778	4.87111786629687	10.725437627602	0.00251076285973965	0.71586870656897
Snx8	8.74083588169275	4.40803387312918	10.5027665286991	0.00274861943007185	0.75354458836739
Hey1	-7.4059811831837	5.38225573071087	9.84883183646489	0.00359806584808948	0.949889383895622
Nacc2	-3.31155552680701	8.16253016719297	8.15211220877859	0.00742853964913569	0.999976791599677
Dhx32	-6.37305559935301	4.59308313045366	7.79710783882328	0.00869053916137918	0.999976791599677
Cdkn1a	5.85104010651498	4.84293440927611	7.45816848487723	0.0101135849827055	0.999976791599677
Dkc1	6.13817081409036	4.90149202129525	7.31371253225843	0.0107949136811199	0.999976791599677
Pdcd11	6.76688596691043	5.30554908808544	7.27764114095697	0.0109726795279791	0.999976791599677
Lemd3	5.95501590384834	5.96447254388127	7.04471113068473	0.0121996585236805	0.999976791599677
Sass6	4.02703080075931	7.56849908872872	7.0015078983901	0.0124431480691375	0.999976791599677
Vmn1r13	3.0529559390361	8.59376747798628	6.96690832070628	0.01264194198538	0.999976791599677
Iqgap2	6.56968242889627	5.56351070017524	6.91580258999513	0.0129418903149149	0.999976791599677
Tmem68	5.76244748734042	7.28670562575714	6.44471302623427	0.0160999707284753	0.999976791599677
Cant1	6.2048045943934	5.43204575210532	6.08091045248055	0.0191110272603157	0.999976791599677
Lingo1	4.96702392582697	6.41334497396777	6.05563753272084	0.0193418543052829	0.999976791599677
Lamb1	3.09886430357036	9.36015630646543	6.02169119726374	0.019656685020532	0.999976791599677
Nnat	-4.82680869149447	5.66289037347838	5.9868468726933	0.0199856529657555	0.999976791599677
Dcp2	-4.71542276682819	4.43691831268528	5.94197668827388	0.0204181323971512	0.999976791599677
Gm2a	-4.25191124419305	6.04898099523895	5.91037095349335	0.0207288754394045	0.999976791599677
Mbp	-4.58442074198492	9.34265129678608	6.15644676022867	0.0209767721951798	0.999976791599677
Serpine2	-4.45880419121459	6.83824124292157	5.64555458749373	0.0235444997273756	0.999976791599677
Mdn1	4.4478370635615	6.87574844734333	5.40415310728227	0.0264774997795388	0.999976791599677
Brinp2	-4.4786387863059	6.2656328028719	5.32597867018085	0.0275111095263931	0.999976791599677
Eif2b5	4.50756365161407	7.01012121500468	5.23733480991077	0.0287368488495853	0.999976791599677
Usp37	-4.08874891938389	5.23577782773059	5.20821193601502	0.0291524971035579	0.999976791599677
Camkv	4.66202458391484	7.39679365788229	5.18957088586065	0.0294219991588587	0.999976791599677
Hook1	4.98766215341287	7.10027485297044	5.1633306596457	0.029806000598428	0.999976791599677
AW822252	2.29013211292959	8.88292186777762	5.12849867799565	0.0303242401446654	0.999976791599677
Crhbp	1.97216765450299	10.0564304967188	5.03071112686569	0.0318326819939956	0.999976791599677
