logFC	logCPM	F	PValue	FDR
Kcng4	-13.7784681181819	7.28108090524991	26.6714045870109	5.45273172554302e-06	0.0379530340097506
Npy	6.77595446694201	7.22441040849185	24.1850082101042	9.0214010006538e-06	0.0379530340097506
Cemip	-10.8270657203388	4.37826320049778	20.0442307893215	5.21691062556627e-05	0.146316953345049
Pthlh	-12.6983904530239	6.19170236981619	18.9432970786461	7.78356021670119e-05	0.16372718915831
Timm21	-11.1305885613832	4.7163123826822	16.9450572720877	0.00016426728955957	0.236935371335502
Pik3r3	-10.6897691307054	5.27538377661249	16.3848528512444	0.000170826838581655	0.236935371335502
Crybb1	-12.1976847470535	5.64710996224685	16.3035617270332	0.000210031179026012	0.236935371335502
Ucp2	-11.3198967308885	6.70869433410188	15.2684860869023	0.000268602872069664	0.236935371335502
Slc25a40	-10.1208493717243	4.71377102549932	15.0388589651957	0.000295139727366545	0.236935371335502
C1ql1	-11.7650450150089	5.38510676172862	15.2651365847087	0.000314701293278284	0.236935371335502
Pcdh17	-10.0971291848387	5.45834193150189	14.6783621134234	0.000342459794129465	0.236935371335502
Sgpp2	-11.1386226748306	4.66764164972148	14.9319836199445	0.00035893034478269	0.236935371335502
Klhl5	-11.3569447477005	5.21562681133353	14.8485763410356	0.000370995427187754	0.236935371335502
Zfp956	-11.5206055516322	5.94995111263936	14.218618574821	0.000414567197201216	0.236935371335502
Gpc6	-10.6059675630975	4.23326885655948	14.4937078087408	0.000427298189735867	0.236935371335502
Adamts20	-11.3312153180052	4.93231952323544	14.361262231418	0.000450554544968865	0.236935371335502
Fabp7	-10.0832731578662	4.86817050146693	13.7077887655039	0.000513619729287851	0.253758034695378
Lgals9	-12.722993221935	6.27987872554758	13.7191052187008	0.000583769337207218	0.253758034695378
Plekhb1	-12.3667590233017	6.37616535584792	13.5677530070509	0.000620835616022496	0.253758034695378
Trib2	-10.5092309491704	4.7226190455396	13.4575384720279	0.000649380640367955	0.253758034695378
Zfp37	-9.72047752098202	4.86719679281407	13.0781399222168	0.000670788444667856	0.253758034695378
Wnk3	-11.3981884570415	4.83872628371185	13.3403311360726	0.000681257160089971	0.253758034695378
Ighm	-12.1753917266817	5.59091408775615	13.2142133156635	0.000717403354614133	0.253758034695378
Itgav	-11.0107382103199	5.11930006046522	12.9799048147101	0.000790021390261118	0.253758034695378
Cd37	-11.0807992671552	4.7612239731945	12.8774624480294	0.00082416509558109	0.253758034695378
Flrt3	-11.4630475247529	4.94821854359626	12.6892923075834	0.000890992609697344	0.253758034695378
Olig1	-11.5730631952257	5.32661478760757	12.6167627685676	0.000918253654187341	0.253758034695378
Adamts8	-11.078936774768	4.664836180295	12.5793247607955	0.000932667536049974	0.253758034695378
Gem	-10.973643914085	4.96763185729842	12.5731133283653	0.00093508193195337	0.253758034695378
Rhog	-11.1561222845148	4.81721205346535	12.4049649784606	0.00100300625741348	0.253758034695378
Arvcf	-11.0520841308568	4.87725976401066	12.3960638673924	0.00100674371527324	0.253758034695378
Zcchc12	5.20607910079696	5.46091740931361	12.1094257697571	0.00101809225403906	0.253758034695378
Parvg	-11.2923552835284	4.79795607884754	12.2197332188089	0.00108388670685398	0.253758034695378
Fras1	-11.0257477760289	4.89995052415096	12.1462412123366	0.00111785517477552	0.253758034695378
Tmem119	-10.3566334889636	4.08246938201484	12.0877801229669	0.00114567667360457	0.253758034695378
Ddx31	-10.4992067292302	4.14059868962298	12.0463113244021	0.00116585330029171	0.253758034695378
Zfp804a	-8.2599757169419	4.82289587153211	11.7403138409699	0.00119610490639259	0.253758034695378
Evi2a	-11.4706448491289	4.88421929269156	11.8945415514974	0.00124294852590697	0.253758034695378
Ubox5	-10.7178766176688	4.41004099525552	11.7890755841275	0.00129967463858534	0.253758034695378
Ramp1	-9.91945657985634	4.56224157455209	11.5416362960367	0.00130514746058567	0.253758034695378
Cxcl16	-11.3108828564027	5.14091072928188	11.7781696596204	0.00130569425975167	0.253758034695378
Slco2b1	-12.2156178467711	5.25790379388269	11.767003638972	0.00131188789928669	0.253758034695378
Ccl2	-10.4874322952327	4.13992705408809	11.7433002971996	0.00132513869503622	0.253758034695378
Sertad1	-10.597867855271	4.62956756987832	11.7399959426648	0.00132699709134735	0.253758034695378
Msn	-9.11527780080567	6.30729045133555	11.2883493442926	0.0014594664108381	0.26274673570695
Hpgds	-8.62792225576091	5.15203289860967	11.2314465555255	0.00149669589007557	0.26274673570695
Topors	-9.78610468323001	4.52962574873659	11.2188904184927	0.00150504416900888	0.26274673570695
Nos1	-9.07011235068098	4.35561245425369	11.1477859034668	0.0015532496963055	0.26274673570695
Gpr12	-9.56929993474165	4.59893922074488	11.071456526438	0.00160680291467975	0.26274673570695
Ugt8a	-11.4765334449395	4.96581260176648	11.2877313996036	0.00160921270759682	0.26274673570695
Smg8	-10.3669983003762	4.14794059145426	11.2725365961316	0.0016197289322557	0.26274673570695
Gpx3	4.89200154434156	4.92502238337482	11.0477579444812	0.00162382104311402	0.26274673570695
Kif16b	-9.55557667911073	5.01311877616412	10.9659569261322	0.00168402939853056	0.263938443619003
Nptx1	-9.60042173538256	4.58040195197743	10.9528077645446	0.00169392393099907	0.263938443619003
Aox3	-8.9727890496658	5.24668486024431	10.8233235474665	0.00179467814442113	0.273175493294066
Dennd4b	-8.30137324523458	5.67096161460149	10.7942663525073	0.00181813972242307	0.273175493294066
Sepsecs	-10.1666744759795	4.19336348017542	10.9439868176359	0.0018657726977565	0.275414236472337
Bok	-10.619768035634	4.53912705511226	10.8861523013024	0.00191302024135157	0.277063002997321
Trim13	-11.09982319759	4.73889422161214	10.8432989766026	0.00194884259014669	0.277063002997321
Zfp292	-9.17324821707609	4.8128422274396	10.5784993172888	0.00200274221598829	0.277063002997321
Cx3cr1	-7.10181747067361	6.55562810104585	10.5719350986586	0.00200865737851635	0.277063002997321
D930048N14Rik	-9.65724002164794	4.43616029206702	10.5265265057148	0.00205008132611668	0.278215875450737
Syngr2	-10.5236352285177	4.10926880913027	10.5924422772556	0.00217324954769949	0.28950270260428
Arhgef26	-8.86923876431379	4.89300336716682	10.3677990700947	0.0022020647690366	0.28950270260428
Pde11a	-7.13541168073943	5.22423963462446	10.3033588039331	0.00226710094416404	0.293467497603019
Zfp40	-9.25619371791104	4.98420668485287	10.0336536564743	0.00256198446102179	0.3266142008339
Plekhm2	-7.91257524036669	4.6189461013489	9.87217936102842	0.00275757636340926	0.346302201816798
Cyth4	-7.81879517105175	4.91573077009725	9.60618808706424	0.00311472712276188	0.385401676631154
Fam208b	-6.06062055612719	5.49356280442545	9.38284503536963	0.00345213034009778	0.416669565573726
Ms4a6b	-9.03131835225474	5.34603933655788	9.37386884395464	0.00346646893156178	0.416669565573726
Col11a1	-7.62008665419933	5.02191973348949	9.30349827461105	0.00358107259862779	0.42438232175851
Atg2b	3.26612425938176	5.50648320895117	9.1848366302675	0.00378343852101995	0.442136829386971
Tac1	3.19893262905731	8.96044878948132	8.92986809234325	0.00426006964123551	0.484627806084774
Tmem206	4.71556047793124	5.40602563463567	8.92149546431202	0.00427675422185647	0.484627806084774
Zfp866	-7.26885880056478	4.67384670951359	8.90003514355894	0.00431983425913454	0.484627806084774
Bcl2l13	-6.35972281700319	5.01328058388344	8.74076774035507	0.00465418489917736	0.499314951140576
Tbl1xr1	-6.16807748924076	4.7942379227507	8.72624187544364	0.00468600666717823	0.499314951140576
Itgb2	-8.64436289018155	5.20299897276654	8.72452381079781	0.00468978555352838	0.499314951140576
Rfwd3	-6.13873067187624	5.44699004978938	8.70158398777669	0.00474055043924713	0.499314951140576
Zbtb49	-7.49297724015276	4.3920267727959	8.69847808356974	0.00474746804031924	0.499314951140576
Plp1	-5.26533582349554	6.02709998826055	8.58493248662411	0.00500780477842698	0.520193449452896
Fam53c	-6.50866024979448	5.34835220214836	8.48349007399841	0.00525312462901577	0.539021836933399
Gpr37l1	-8.68341419450162	4.33819986756054	8.45711033933819	0.00531897245087167	0.539202821706437
Cst3	-2.29053767366376	11.5638945498427	8.42405046667024	0.00540272563409133	0.541173017681481
Frat2	-5.34760768868542	5.20886122669086	8.32693973658018	0.00565688241214621	0.559964807244685
Gdpgp1	-6.85147897044823	4.30400035325915	8.29316396271187	0.00574820936823416	0.562388763073514
Fth1	-1.6232347199616	11.5128610988915	8.16701091167038	0.00610330746057991	0.590266999693326
Mdn1	3.03108098211442	6.21518628236376	8.06358681794257	0.00641168021594698	0.611080925606403
Pcdhgc3	-7.69921532907262	4.03713601954421	8.04663436326411	0.00646377494401829	0.611080925606403
Dhx32	-6.50165544990804	5.85835508970684	7.99998395233385	0.00660945069806667	0.61758427001248
Anxa3	-8.21386750287213	5.67141074420537	7.9779793078057	0.00667936398515994	0.61758427001248
Rac2	-7.07121159426664	4.90616908932946	7.85648527432276	0.00707969303187936	0.647484099676445
Zfp874a	-5.37517567734776	4.63590498998796	7.80693858708366	0.0072501560563673	0.655944226433059
Swap70	-7.4457274324384	4.29497950571342	7.78172496880293	0.00733856180601231	0.656879351444549
Cops7b	-5.14461946245949	4.17734829690041	7.733053796974	0.00751245288304784	0.665366090083837
Eya1	4.1448418108223	4.92848130152057	7.65710211750944	0.00779256398226019	0.682985764028513
Csmd3	-5.62794736018877	4.46430932509716	7.62818582396633	0.00790209049946535	0.685445252190737
Fcer1g	-6.02127959105473	6.64944179254346	7.58086692535785	0.00808484541363301	0.692650457819629
Gm10719	3.54455174763375	4.90703164768571	7.54477416844254	0.00822724465778631	0.692650457819629
Zdhhc2	3.00713816992996	6.98837911840297	7.54355053218339	0.00823211858592381	0.692650457819629
Paqr8	4.03747580956652	4.79912920619588	7.49372842251866	0.00843318352378084	0.702542635337545
Clec5a	-8.16390450145042	4.74276950920293	7.43628230256488	0.00867148105215216	0.715312172282434
Zfp169	-6.07213014455924	5.06661793198938	7.36828911822796	0.00896276741296169	0.732162378763686
Phldb1	4.30268012403854	4.02080118008999	7.33469458638958	0.00911049293965118	0.737073919175241
Tmem131	3.01874651689702	5.1287829966233	7.27888670087221	0.00936162185151948	0.750177964368427
Syt16	4.26710829489141	4.07446799338107	7.2475715830236	0.00950573622789782	0.754540232278606
Sarm1	2.93315244267015	6.14968557531798	7.22387940157858	0.0096163291871843	0.756184988607184
Runx1t1	2.67321325938691	4.77744362205203	7.10815500450313	0.010176447945624	0.792820676059999
Zfp322a	-4.68435534319877	5.23368182591336	7.01447988439001	0.0106551386334166	0.817552153681506
Gab2	3.98182656660091	6.36583072339207	6.99406265956505	0.0107626061126778	0.817552153681506
Cc2d2a	-7.04378952459225	3.99091448261572	6.98976142840133	0.0107853920915911	0.817552153681506
Rhobtb3	-6.6710387677562	4.04827600195954	6.926714483124	0.011125318948023	0.835789585970225
Tnpo1	-5.34887541576899	6.13058464098047	6.86720296362028	0.011456617908933	0.847880221951362
Gm2a	-4.05882253771843	6.59073311627302	6.84851763605268	0.0115627842629705	0.847880221951362
Cpne3	-7.32357434497223	4.25136957145843	6.82696622666008	0.0116865323528949	0.847880221951362
Zfp329	2.73163619671566	5.17038492701005	6.82648009279177	0.0116893398795291	0.847880221951362
Tnr	-5.94542201767681	5.67604475593421	6.78487161828758	0.0119323092905206	0.848830012454891
Tpm4	-6.81129535185853	5.02753967199685	6.77268163092347	0.0120045022662125	0.848830012454891
Tshz3	3.98163861059332	4.221576734143	6.7725838256144	0.0120050833708262	0.848830012454891
Alkbh5	-4.30730971938608	4.66223003370293	6.7517059207154	0.0121298140783599	0.850502130461001
Scarb1	3.51868905586693	5.67205256378531	6.72123721284967	0.0123143168542388	0.856302991831121
Sfmbt1	-6.75495663003724	5.20359105243915	6.66085687636051	0.0126888065870548	0.875111628061304
Mlip	-6.68635362544478	4.14680902682773	6.62655514057449	0.0129069208835056	0.882917335884683
Ttc27	3.82721141340383	5.35416967017229	6.49712819237837	0.0137664496333517	0.93412021947598
Ldhd	-5.88815480043898	4.14811352893654	6.48063248620684	0.0138802923386847	0.934310237901542
Cyp51	3.23845351940364	6.08007878895372	6.46313580033382	0.0140021372618184	0.935031610483649
Zfp52	3.8143722373233	4.8983467213485	6.37336116667449	0.0146454549905366	0.970290222758856
Cdh13	2.27740645897063	8.32864732908438	6.32920275390846	0.0149733546232944	0.984264107815615
Afg1l	-6.10405377047048	4.73672918756262	6.30082510127966	0.0151881884097748	0.990646645580194
Dis3	-5.05237087784809	5.17701801005112	6.26010986671992	0.0155021702459843	0.9999727732091
Hnrnpul2	-5.38485683455719	4.48934276274329	6.09371363831432	0.0168590183477533	0.9999727732091
Man2a1	-6.09759821264436	4.29525735278088	6.02914526151221	0.0174191119522947	0.9999727732091
Mettl16	3.27461461983184	5.46833741527004	5.98757260501031	0.0177901999853504	0.9999727732091
Cd33	-6.57306627950869	4.85711620171967	5.94582484114678	0.0181713431476181	0.9999727732091
Nfia	2.10598318691029	5.13820524408336	5.93683742505036	0.0182545285240608	0.9999727732091
Tmem241	-5.65014956188397	4.6139960037177	5.93517707512307	0.0182699407130294	0.9999727732091
Zfp951	-4.78305184876953	4.43563724188953	5.8936133446507	0.0186603124766517	0.9999727732091
Mbp	-5.85997279833693	11.3072169954954	6.01991934963779	0.0187105581730223	0.9999727732091
Arhgap31	2.81846397089782	5.1775127675851	5.83863491549535	0.0191903993413018	0.9999727732091
Vgf	2.44618125658775	6.86328436013577	5.82466692201581	0.0193276188461851	0.9999727732091
Ube2z	3.02393068436455	5.76411710575275	5.77732308286601	0.0198005615769773	0.9999727732091
Tmlhe	-4.76419392790037	4.4962563163759	5.75805112548476	0.019996603670987	0.9999727732091
Sik3	2.75616999300846	6.02985677033221	5.7087389835028	0.0205077241174617	0.9999727732091
Ganc	-5.61578065571834	5.96634162063234	5.69398321769219	0.0206633662512968	0.9999727732091
Zbed3	3.66676559535215	4.35286151897122	5.68826184133629	0.0207240537137624	0.9999727732091
Cd300a	-5.03178210117525	5.30715934264929	5.59998197005479	0.0216849872559737	0.9999727732091
Ly86	-4.71241971164139	6.16789712237541	5.57689785721906	0.0219440384528235	0.9999727732091
Atad2b	2.70853882917187	4.66855731075141	5.55962837953676	0.0221400002906005	0.9999727732091
Zfp617	-5.03811850017077	4.59082950643577	5.47539548449806	0.023123015824185	0.9999727732091
Hmgcll1	3.75040096602366	4.90814379442301	5.45564358856721	0.0233602180764076	0.9999727732091
Pik3ca	-3.56922848006874	6.33723331470802	5.44793161632713	0.0234535375236406	0.9999727732091
Hey1	-5.86270058393363	4.55838309248884	5.44602745817383	0.0234766403357111	0.9999727732091
Sass6	2.10551322596868	6.93181289935753	5.44004225835261	0.0235494164457199	0.9999727732091
Ptprt	2.70007782540778	6.47308440803973	5.43658776696401	0.0235915306753513	0.9999727732091
Tanc1	-4.49071878880368	4.38506049197665	5.35341176427643	0.0246302761787616	0.9999727732091
Mex3c	-5.8837754093433	5.58398668345579	5.33487471766397	0.0248683863726868	0.9999727732091
Mtrr	-4.84322799238507	4.29271428864988	5.33294381636703	0.0248933304367221	0.9999727732091
Isoc1	-5.1240791990763	4.3678843760153	5.32747066350841	0.0249641803445822	0.9999727732091
Bora	-5.06478627236115	4.707641235162	5.31032459000586	0.0251875382654861	0.9999727732091
Mfsd13a	2.87021915417789	4.0164036678633	5.30814110720586	0.0252161353432711	0.9999727732091
Creg2	3.15690229594225	5.1768901678555	5.3030646094555	0.025282756813845	0.9999727732091
