logFC	logCPM	F	PValue	FDR
Heatr5a	5.60196568631234	5.10437801271912	39.1956390151123	1.8620531699372e-08	0.00015954071560022
Luzp2	-11.0130595175283	5.05735047498166	32.1970868872961	2.20985701999131e-07	0.000946702747364276
Ncam2	-9.0773307909416	4.37248678590188	28.6834437190881	8.16308619889714e-07	0.00233137741840502
Fzd1	-11.0601254268769	4.84244668444247	28.6730593058559	1.42440907594848e-06	0.00305108424068165
C1ql1	-11.4066929457984	4.94327525884131	27.8150615752177	1.92485600745202e-06	0.00329843325436978
Erlin1	-9.29194295564879	4.61850407941474	24.0534559350219	4.92016233979648e-06	0.00702599182122937
Ms4a6b	-10.0414277441269	4.788411772672	22.8015145597361	8.1243199641912e-06	0.00984630267357447
Pon3	-10.3390143992218	4.02422021585393	23.5038996749885	9.19355991930389e-06	0.00984630267357447
Zfx	6.10424920739366	4.14989594136466	21.2235116830116	1.5445321170438e-05	0.0135000396971183
Klhdc4	-7.3338850210555	5.25894686305246	21.1750018175574	1.57563488528458e-05	0.0135000396971183
Lefty1	-10.708100172916	4.44567326608468	21.6159471809141	1.87637734973701e-05	0.0146152737568606
Mctp2	-7.20682715607555	4.330894849061	18.8795703444507	4.10188388343573e-05	0.0292874509277311
Dkk3	-8.37420826788494	4.06248218007748	17.9995069969238	5.96257269816436e-05	0.0391731466262944
Gpd2	-8.25094621951115	4.52906200018163	17.7067134721307	6.75900969021143e-05	0.0391731466262944
Kcnb2	-8.35526558337321	5.28129783648502	17.6728147009312	6.85804387715237e-05	0.0391731466262944
Fstl5	-7.35696252747234	4.1514489465466	17.353927105301	7.86614076239237e-05	0.0421231837826111
Swap70	-6.9904064755782	4.30314438230916	16.5709846770289	0.000110421356434955	0.0556523636432173
Thnsl1	-7.01504431806938	4.82767467380918	16.1505193031633	0.00013267389657967	0.0631527747719229
Naaa	-6.46798590839037	4.06276947509214	15.9999695100577	0.000141724091615955	0.0634099010828453
Armcx6	-6.84542263718665	4.24780968565531	15.9010388392038	0.000148015642116819	0.0634099010828453
Vars2	-5.92936095438263	4.21556412919497	15.3966330915426	0.000184877276020588	0.0754299286164
Rgs14	-5.73827159534492	4.32929100152358	15.0431931538862	0.00021625003918748	0.0842195607162876
C5ar1	-6.69973269929843	4.38749875435672	14.4596695665487	0.000280597913108435	0.104528822587525
Smn1	4.30158402401633	4.44614973616691	13.8343714167546	0.0003718475436878	0.132749573096545
Pde11a	-5.16675535034054	4.66475081697137	13.5365742100767	0.000425593069552157	0.145859256796915
Qtrt2	-6.35666590466793	3.97187264337933	12.9684734513604	0.000551526022503767	0.181749036954318
Trim12a	3.39989433729224	4.40330921350955	12.1084412509962	0.000820088119625606	0.253072403128975
Cd46	3.83664971541748	4.56961385227592	12.0503866136244	0.000842509719848285	0.253072403128975
Gfap	4.32637785298962	5.44016080276549	12.0147886469981	0.000856570925623282	0.253072403128975
Smg7	2.59543676019637	5.93192680835485	11.6485531286981	0.0010161503621761	0.289396341502897
Inpp5d	4.59705958087251	4.83096481758803	11.5845217001379	0.00104706892934055	0.289396341502897
Lcp2	4.21478380760783	4.41748528998015	11.4986632397628	0.00109006237734845	0.291864201535048
Gm29216	1.28930051723547	10.5123120160983	11.3509035973902	0.00116838255893572	0.296931826904254
Nhs	3.45702303984568	4.89237774206761	11.3329269459563	0.00117830090041371	0.296931826904254
Zfp984	4.29288794245642	4.21336397587521	11.1943234292353	0.00125776178537548	0.307900085059919
Pcdh15	-5.18054276574892	4.34873993369942	10.8369014317462	0.00148933107087541	0.354460794868347
B3gnt2	4.09968049412223	4.92128560746795	10.7790560746157	0.00153077453112482	0.354477734666958
Atg7	3.03141546519618	5.36774633345628	10.5547156940945	0.00170315013924997	0.384015536660363
Nrp1	-4.91709596898732	4.75459673959296	10.4384330034999	0.00180029886145093	0.391238974257256
Zfp930	3.80073859269638	5.91951599370544	10.4081698869442	0.00182651248486114	0.391238974257256
Zmym5	2.54038253208661	5.94382023927041	10.2770976424493	0.00194469796162041	0.406394442321064
Plp1	2.73794816775904	7.08536670404138	10.0174904063808	0.00220278618802598	0.4493683823573
Tcirg1	3.05790260915519	4.77037552985652	9.91009652628308	0.00231971664289458	0.462217027821413
Enpp2	3.7433549001095	7.02326192599978	9.76006339206043	0.00249396240518088	0.485642497445222
mt-Nd2	1.26374297655961	9.60631181870581	9.70017420959056	0.00256726188088843	0.4881172477274
Rel	-5.08109382521881	4.1811823738614	9.65769148904694	0.00262061080712656	0.4881172477274
mt-Atp6	1.0962962178315	11.7373767967156	9.47946995845228	0.00285727763686303	0.520875633886009
Itgam	3.52053039710609	4.19453570540503	9.4070810469789	0.00295964915279547	0.528297373773991
Hs3st2	-5.14931004451032	4.12166861001513	9.35577160876965	0.0030345128008104	0.530606238313132
Kif26b	3.58043045392944	4.39486157570968	9.00883866260826	0.00359521587997931	0.616076193193255
Col4a1	3.10632991366798	5.72310694911811	8.72141074535375	0.00414105880077406	0.695697878530042
Gm10800	2.38524722798332	7.50210405106547	8.46360662574777	0.00470407031935502	0.754298017599786
mt-Nd4	1.14558801808975	10.3733200995686	8.44734179447297	0.0047421623674791	0.754298017599786
Cacna2d2	2.1052971040433	4.88734911591586	8.43296181604334	0.00477610772227219	0.754298017599786
Adat1	3.06627419862868	4.38234756784485	8.4053433150491	0.00484201575256632	0.754298017599786
Bmpr1a	-4.47602620269315	5.14554545665683	8.25137128823894	0.00522723052730161	0.797121227644344
Grik2	-3.23774877546439	5.06108656966376	8.22248935477166	0.0053029773547768	0.797121227644344
Ssbp1	2.52792717487405	6.21056231080097	8.12712242600012	0.00556132085344041	0.82154132883237
Sema4d	2.37143041462458	5.31509671961848	8.00047623874482	0.00592484343340087	0.860407771819977
mt-Co3	1.07723398016694	12.3411663595008	7.87164514639724	0.00632015244234358	0.890008754782404
Mri1	2.51530979296265	4.16898667447088	7.86564805991101	0.00633921138025419	0.890008754782404
Plod3	2.85287121178025	5.53972381670664	7.81187744117059	0.00651280014531749	0.890008754782404
Nrf1	1.96734292375538	4.39639465147626	7.78741690256707	0.00659340171207466	0.890008754782404
Dusp3	1.65081906866795	5.81297116986201	7.77100708041423	0.0066480579255455	0.890008754782404
Dennd4a	2.2492135217982	5.21844377453682	7.6034755600504	0.007233901396119	0.943310677754587
Plcl2	1.96743510699093	6.21985628680247	7.59460153775384	0.00726639877822161	0.943310677754587
Ivd	2.02762680709694	6.33477123866168	7.56381667199677	0.00738032279593694	0.943800085307279
Hltf	2.38934187985426	6.0077087633689	7.44893920479726	0.00782219229653132	0.973159540531912
Entpd7	1.81584320142629	4.8033016595802	7.44519047679113	0.00783706912893346	0.973159540531912
Bclaf1	1.73918020583586	7.54187003525056	7.38571261094932	0.00807710623513104	0.988637803180039
Tubgcp4	-3.7423882739812	5.44012335617528	7.29759730352292	0.00844694306258928	0.996145684154675
Trps1	-3.43429552408046	5.64671640229867	7.29563470806077	0.00845537928652242	0.996145684154675
Gtf3c4	-4.62089799956165	5.50918137587121	7.28824210190913	0.00848723563763904	0.996145684154675
Cd84	3.20210059351577	4.51956217864116	7.21930956696984	0.00879039554806739	0.999484664879343
Pcgf3	-3.48902152693537	4.12790970317725	7.20019317020599	0.00887645936036805	0.999484664879343
Pum2	2.70610362193189	4.79603412529728	7.14689774094037	0.00912108856607703	0.999484664879343
Vsir	-4.78412342971142	4.87919345334557	7.06504250875616	0.00951064362116852	0.999484664879343
Gm20594	1.30953609842442	7.89664327560175	7.04181400493581	0.00962433432406923	0.999484664879343
mt-Cytb	0.898033694980016	11.6054911551665	7.00032494352653	0.00983095594861864	0.999484664879343
Rab37	2.73265318116017	4.5930431038204	6.97706464718558	0.00994882334082067	0.999484664879343
Chn2	2.82901901759995	4.77343455089469	6.96293408583504	0.0100211494200009	0.999484664879343
Slc25a42	-2.62589303471464	4.08039667667138	6.95779554689991	0.010047586987217	0.999484664879343
Brf1	2.89069798917353	5.24337990863695	6.94219518752228	0.0101282987894585	0.999484664879343
Nup210	-3.89323649115775	5.58257574885894	6.93427038509843	0.0101695593608311	0.999484664879343
Eed	-3.44623511203611	4.19934776899825	6.89575999736012	0.0103725865620347	0.999484664879343
Zfp202	-3.94336538503439	4.05370214026366	6.7260968093982	0.0113189714273372	0.999484664879343
