logFC	logCPM	F	PValue	FDR
Hpcal4	11.5039131608226	6.42163049879048	17.8190404320593	8.53607931810227e-05	0.562893844170228
Pip5kl1	12.0781920573193	5.97802504128706	14.951218370658	0.000304389522180118	0.562893844170228
Akr1c18	12.8959853631829	6.71658535377973	14.8990342642143	0.000311013644810174	0.562893844170228
Seh1l	11.5246651499307	5.31022419481394	14.5301906966026	0.000362342045575221	0.562893844170228
Spire2	11.298936421315	5.15426379252729	13.2164118423206	0.000629719194699124	0.562893844170228
Snx12	9.90071354537598	4.90833042329977	12.652717656039	0.000748688080004129	0.562893844170228
Mal2	12.4670471336824	6.2857257356935	12.7303073043396	0.000775352997535702	0.562893844170228
Mcm3ap	11.5141064308668	4.5967151027559	12.5536901966199	0.000836646209236553	0.562893844170228
Ift52	11.7245258160668	5.61844840696743	12.5062181988072	0.000853970601768415	0.562893844170228
Plxnc1	10.8816046921488	4.63489318461927	11.9049872130063	0.00110895290802398	0.562893844170228
Exosc1	10.9751227714741	4.59421859233726	11.8396666636667	0.0011411028485728	0.562893844170228
Pigf	11.8109368449863	5.08039632307658	11.707869407962	0.00120897892351433	0.562893844170228
Zfp553	11.8197775887098	5.01072093139024	11.6049701790627	0.00126490577483709	0.562893844170228
Klf5	9.09803290453774	4.53616912180471	11.2029265646112	0.00142831794199562	0.562893844170228
Fastkd3	11.0794713872313	4.73555019807924	11.298673811879	0.00144800007686259	0.562893844170228
Ece1	10.3007497094155	5.26688614456315	11.1514100002576	0.00146197252686471	0.562893844170228
Hnmt	11.124535040012	4.79677809660769	11.2544155339389	0.00147666940524851	0.562893844170228
Npas3	8.01301057858385	4.96159948572443	10.9214674569004	0.00162260082810226	0.562893844170228
Hbp1	12.3507705983869	5.4963284297638	10.9145548215604	0.0017176553594741	0.562893844170228
Unc93b1	12.8623278412373	6.31949882060708	10.817924083628	0.00179345469544056	0.562893844170228
Per2	10.9042499412102	4.92557049919898	10.7325381675424	0.00186335288025675	0.562893844170228
Trhde	10.6344823671736	4.83868492955075	10.7073927880386	0.00188447738505259	0.562893844170228
Cntnap3	11.2568625933687	4.99113647386722	10.6174981344451	0.00196207451360467	0.562893844170228
Klhl5	10.9544883933838	5.00502091409445	10.5779415347382	0.00199727483509135	0.562893844170228
Itgav	10.0619747251522	5.09776606840307	10.3765006585701	0.00208141264008895	0.562893844170228
Mpzl1	10.306768170265	4.18882031207657	10.3002482561264	0.00226381120904695	0.562893844170228
Stk11ip	10.2007527476809	5.23834711403701	10.1189101282757	0.00234370946376585	0.562893844170228
Serinc5	10.4317807864936	4.44094325583431	10.2196904623714	0.00234793027383357	0.562893844170228
Hacd2	10.9174959685907	4.27201927845228	10.1473133002799	0.00242630617858949	0.562893844170228
Mitd1	11.3421525867451	4.61661801125329	10.0362886883283	0.00255191405738649	0.562893844170228
Ptk2b	12.4472701302921	5.65451699126496	9.9665052850467	0.0026343424215233	0.562893844170228
Cd37	10.8421378352689	4.65140829921992	9.92246409842673	0.00268779907885694	0.562893844170228
Vxn	10.2683774953826	4.03192325657723	9.90199420494044	0.00271303182188307	0.562893844170228
Gpr135	10.1085182729379	5.07937678674675	9.79857722660554	0.0027189407161361	0.562893844170228
Myc	10.7835491093073	4.56199767661478	9.85351596655686	0.00277378717782594	0.562893844170228
Naglu	10.57068309451	4.40940352756096	9.78712836916314	0.00285931547949586	0.562893844170228
Ankrd28	8.95052760243333	4.41318967991572	9.67252009453521	0.0028833857030515	0.562893844170228
Snip1	10.8996199783146	4.6535123882853	9.75554450820481	0.00290097376768257	0.562893844170228
Stxbp6	10.8106392571257	5.70844810169532	9.64667377438777	0.00291837075010541	0.562893844170228
Rhog	11.307849853292	4.90324365363514	9.71915681870198	0.00294975983518933	0.562893844170228
Gem	10.8817752403806	4.9675237095835	9.70336021463409	0.00297120642369073	0.562893844170228
Hs3st2	10.4256625385851	4.17154687360267	9.64801987332184	0.00304764185495706	0.562893844170228
Mafk	10.7980116724448	4.5101346017469	9.6309351310342	0.00307165431868151	0.562893844170228
Phgdh	12.4430265619343	5.91367127428824	9.59159751967824	0.00312770202408578	0.562893844170228
Rad18	10.0600997217745	4.1886201417739	9.57679119312619	0.00314907536238149	0.562893844170228
C330018D20Rik	10.8476029535599	4.66710522633313	9.55841238947691	0.00317581938415692	0.562893844170228
Vcl	10.1732569958532	4.22534866629034	9.55034546365637	0.00318763329722022	0.562893844170228
Adgrl2	10.9019775625728	4.96444815140736	9.35597613926442	0.00348670443926406	0.562893844170228
Slco2b1	11.8702288441274	5.10356340407195	9.31680964424817	0.00355046195528321	0.562893844170228
Myt1	10.8987717975117	4.80952273596596	9.29732284160225	0.00358263930985958	0.562893844170228
