logFC	logCPM	F	PValue	FDR
Pthlh	-12.2200957546161	5.04330673936379	63.5987312577112	6.73485694750131e-10	5.43031515677031e-06
Akr1c18	15.0742514047832	8.69400370895156	52.068974293098	1.89430319422597e-08	7.636883327522e-05
Synpr	9.41792430901455	8.80433147579963	30.3336414150156	2.10873160425414e-06	0.00566756764170037
Stxbp6	11.87422437992	6.69956140424867	23.0956629600946	2.05317167840256e-05	0.0360033321514934
Zcchc12	13.1587541537729	6.72449248376232	23.8398450642535	2.2326263271421e-05	0.0360033321514934
Hpcal4	10.9179972229323	5.30596281850553	16.293438008509	0.0002288919296468	0.275775924042155
Klf5	9.59143677783516	4.9685516876706	15.5829905874333	0.000299967641665129	0.275775924042155
Sst	12.6239276551815	9.49245849367679	16.3649135034982	0.000310367234241771	0.275775924042155
Ano3	11.5013412030733	5.43436231378684	15.5332088329683	0.000365220462317307	0.275775924042155
Npas3	7.96548747568884	5.38485825730384	14.6929763620244	0.000423312781752937	0.275775924042155
Eya1	11.7947987377112	5.47170482596316	15.0278941256471	0.00044004684752595	0.275775924042155
Mal2	12.5244590741936	6.23162027768556	14.8430062298544	0.000471358779086198	0.275775924042155
Ift52	13.1414358611127	6.72571643801877	14.7993292728641	0.0004790960604139	0.275775924042155
Nelfe	11.3036816010535	5.19785575240046	14.7328154214348	0.000491139183571245	0.275775924042155
Dock11	11.6985082925338	5.35168339664136	14.6161857462097	0.000513039670176401	0.275775924042155
Grin3a	10.4962169443213	5.81693112401234	14.0113687033085	0.000553539194764381	0.278949157961575
Fastkd3	11.6181757544582	5.42670650491052	14.0464319340394	0.000636004375816464	0.29208873744096
Pip5kl1	11.4732493448816	5.14997237405504	13.9560910159903	0.000658221375972064	0.29208873744096
Exosc1	10.6544193244918	4.25023995160209	13.8388539808553	0.000688290464018137	0.29208873744096
Asic2	9.73690613251118	5.71398008362678	13.3259941833795	0.000727845135194561	0.293430766253687
Zfp553	11.3845619446461	5.25568538929623	13.2910926453395	0.000849469249572108	0.321210940622409
Slc12a2	10.7993538380437	4.45405443696018	13.1774211340927	0.000887695995424314	0.321210940622409
Seh1l	10.922734712216	4.51176207947905	13.0314821928348	0.000939477714373793	0.321210940622409
Vcl	12.3540016592612	5.85181682529465	12.9864339700647	0.00095610350675156	0.321210940622409
Zkscan17	10.8787445266235	4.74585078059405	12.8002588703459	0.00102820926656094	0.331618052651233
Hbp1	11.3959101809947	5.09394212693467	12.6508787612327	0.00109024602210943	0.33810206447186
Mfsd13a	8.48171527773213	5.37035092415095	12.1862214836058	0.00115841779090128	0.345937875853224
Plxnc1	11.2480577190246	5.05925444922584	12.36086171554	0.00122235515560425	0.351994629272752
Nhlrc1	11.5179239313529	5.29329028808046	12.2181372684312	0.00129353515549294	0.357447728839285
Sh3gl3	11.3728429849185	5.06687050033434	12.0941948090737	0.001358932277344	0.357447728839285
Gas1	12.5316049273369	6.47415161119563	11.9343825298474	0.00144849904374752	0.357447728839285
Mcm3ap	12.2163290099969	4.72790952947187	11.9026099220293	0.00146704398614441	0.357447728839285
Nell1	11.0333865421155	4.38078180031746	11.8863219226994	0.00147664883579032	0.357447728839285
Myc	10.9152762719528	4.9178758985179	11.6910261215347	0.00159717670417451	0.357447728839285
Smpdl3a	11.1723127072174	4.48571923799006	11.6843599393749	0.00160147143301966	0.357447728839285
Plod2	10.5843005391404	4.54255576317246	11.6562117192627	0.00161974224961892	0.357447728839285
Ece1	10.5171127776353	4.96782477694003	11.3526395252374	0.00164027855228247	0.357447728839285
Qsox2	11.259426999284	4.76883498704806	11.4149104229217	0.00178579516124337	0.374355754627404
Cntnap3	10.7122496006032	4.47514884649134	11.2791101414959	0.00188714828213692	0.374355754627404
Gramd4	11.3091232769318	5.16137702461687	11.2480676364505	0.0019111669168855	0.374355754627404
Khnyn	10.6385700690538	4.23278039143457	11.2346801434676	0.00192162567192396	0.374355754627404
Hhipl1	11.7397343940867	5.45761259794351	11.1987336118758	0.0019500113722375	0.374355754627404
Cdc14b	9.08600375815403	6.75474715526613	10.8665001004931	0.00201573292837661	0.375946729571177
Cd36	11.6050558098063	5.19504035595392	11.074567810293	0.00205155104813739	0.375946729571177
Zfp566	10.9270212208717	4.67448737581491	10.8719779467047	0.0022295226942393	0.397067584070783
Ifit3	10.8402872295679	4.58742555269995	10.7567554513414	0.00233803121554516	0.397067584070783
Stk32a	10.603035190234	4.23436440476375	10.7335351613048	0.00236057296330961	0.397067584070783
Aldh3a1	11.2292318089273	4.78034432776687	10.7302399205654	0.00236379065303207	0.397067584070783
Grik2	-4.49141973401488	5.20467293752789	10.3858019288908	0.00247756135991331	0.40200444121911
Rab8b	9.14914586300356	5.75036329493201	10.3715119163256	0.00249289847537177	0.40200444121911
Iqschfp	10.9374548756396	4.56462787865576	10.5016450297296	0.00259884497061079	0.40200444121911
Tmtc4	10.7293148679547	4.78684340407826	10.499143151909	0.00260155152725343	0.40200444121911
Zfp94	11.2782050776171	5.08395298943692	10.4616540316772	0.00264246997204674	0.40200444121911
Map2k6	10.7574542435648	4.62102388899119	10.3407453836262	0.00277918725303469	0.414973830022568
Mettl4	10.5578725261586	4.37262786258613	10.2757614552048	0.00285577091121652	0.418656015584341
Arhgap18	10.6287577390971	4.55152890680204	10.2053172711529	0.00294134183128804	0.423500699744205
Rad50	10.5611340385935	4.23831218394627	10.1221162968452	0.00304595017845877	0.423830636022288
Mafk	10.6767716979961	4.04847941233688	10.1012102629864	0.00307285520605247	0.423830636022288
Per2	10.3922649976909	4.30166204483015	10.0792979127801	0.00310132798279982	0.423830636022288
Olfm3	10.6329872592941	4.16569541909298	10.020972956993	0.00317849734530575	0.427137068253338
Snx12	9.34418713788012	4.30446939213075	9.62424835408851	0.00345350167551515	0.456484983765224
Pcdha4	8.2197684091837	6.17888837316502	9.10586316559448	0.00434645763975481	0.565249805634566
Cdh13	4.03326867844594	8.9018410427078	9.05588260522057	0.00444468139353418	0.568848667874065
Cep135	9.25198111992793	4.71803307749597	8.90292657814315	0.00476020880026528	0.599711930570921
Ankrd28	8.48455033094038	4.50384892353053	8.8086981560696	0.00496637231878583	0.616059384713387
Cdh9	8.65897748288978	4.90710785232931	8.74818189485307	0.00510376681372185	0.623510179076353
Nacc2	-2.77439023400619	7.686075899569	8.69233069095144	0.00523415935847799	0.629532993624982
Trmt13	8.67991609221951	5.15711071204949	8.66084677488908	0.00530922033566896	0.629532993624982
Tmem91	7.39033196588238	4.04082127144382	8.55665081660893	0.00556590832742414	0.650404620927838
Pdik1l	9.04599191498681	5.22855783735228	8.51572736483677	0.00567030614510074	0.653138263542104
Syt12	-4.39575135984744	4.77390103981524	8.47639388235729	0.00577261315107263	0.655557462494347
Adck2	8.4532216196196	5.23223993062531	8.16336883463866	0.00666033598105954	0.737236634385529
Bex1	7.64421631012978	4.35745356841828	8.15235747314523	0.00669409670626108	0.737236634385529
Reln	7.97713251523313	4.51396080384724	8.12905144280495	0.00676615539433575	0.737236634385529
Hes6	8.62291460368427	5.1706221512811	8.0768339698904	0.00693062049774353	0.739676687732184
Pde5a	-4.44815712265858	4.28083519063164	8.06389636248317	0.00697202384567109	0.739676687732184
Ctdp1	8.3785736220986	5.40614196049877	7.98384572888538	0.00723413565319588	0.757517347684654
Kcng4	-4.87311874005373	6.01028228659186	7.78456659710798	0.00793334406483541	0.811060422743356
Tapt1	8.30537361729496	4.51382554051514	7.7809604715978	0.00794664186986545	0.811060422743356
Scarb1	7.57148466165985	6.12934959958589	7.71762310702922	0.00818411894269832	0.824856887937207
Sox11	6.09071293919173	5.32378177260677	7.26575624921473	0.0101145948583893	0.999998129141559
Dkc1	5.79846217130818	4.86113416931779	6.92343080446333	0.0118994175785386	0.999998129141559
Rps6ka5	6.38374251470098	4.83254285664207	6.91935115357583	0.0119226182265488	0.999998129141559
Bud13	6.7105948915918	4.1469950233806	6.8350910207631	0.0124127861816412	0.999998129141559
Stag2	5.00152001630533	4.54282096496687	6.65706638512853	0.0135208218950177	0.999998129141559
Npy	5.70203691604603	7.97209286323272	6.62512222284648	0.0137306241232308	0.999998129141559
Rcc1	7.90498631785537	4.46969059068116	6.5616912956666	0.0141576395257509	0.999998129141559
Syt16	7.83649462181961	4.8627655936758	6.48800702421495	0.0146716301600813	0.999998129141559
Jmy	7.69934688774713	4.55818235405368	6.37545242065149	0.0154957864151254	0.999998129141559
Gfra2	6.15873138106828	5.20565638371583	6.219776028181	0.0167185943429729	0.999998129141559
Pcdh17	-3.94545132505559	5.63191428159912	6.06794885728241	0.0180115173489808	0.999998129141559
Marcksl1	7.31608951287397	4.59593527952876	5.96376041544455	0.0189607451868248	0.999998129141559
Ephx2	6.97696932358513	4.44105318751211	5.94594200412527	0.0191284044398101	0.999998129141559
Usp37	-3.29670581233407	4.84397724331438	5.94125671324243	0.0191727542707158	0.999998129141559
Ckb	-0.789770885635665	11.894285461048	5.92792520982669	0.0192995535355494	0.999998129141559
