logFC	logCPM	F	PValue	FDR
Cd36	11.0730029410431	4.04967006117993	88.2066218080915	3.8554902070954e-14	3.29605857804585e-10
Pthlh	-11.7190917590881	5.77370641786271	44.4814287338811	4.44652238216857e-09	1.90066599225796e-05
Gpc6	-10.9123242137024	4.39622081879397	31.4320669795844	7.55718559757477e-07	0.00215354598912222
Kif16b	-9.72300023692094	4.54619998147032	28.3893635712902	1.08185208653759e-06	0.00231218837195247
C1ql1	-11.3057148868983	4.80298353211509	28.5564006876611	1.94811486520648e-06	0.00333088679653004
Npy	6.14675831516836	6.84685769878393	26.3228273838801	2.34637825908092e-06	0.00334319795614714
Adamts8	-10.7052766497214	4.17261195431352	27.0253670244489	3.27349966348368e-06	0.00399787837473171
Cxcl16	-11.2233163574538	4.83063218313332	24.7346684542232	7.26418985334354e-06	0.0064399922051477
Aox3	-8.74685554972383	4.74264177494016	23.3804698470997	7.29513485872827e-06	0.0064399922051477
Gpr37l1	-9.75755154638199	4.45863124084637	23.2986938209649	7.53303568270873e-06	0.0064399922051477
Pde11a	-7.14415299879317	4.65622468859376	22.9015265146737	8.80749574177123e-06	0.00684502555421838
Ms4a6b	-9.56920495254745	4.76429427597443	22.3639630676377	1.08956142912608e-05	0.0077622172146657
Itgb2	-9.38693069564693	4.88080040392048	21.7072351644738	1.41566537438029e-05	0.00930963329659775
Sst	4.75936639184648	8.44456516432632	14.3083734858183	0.000317602643061328	0.193941785395092
Icam1	-5.20919445138172	4.64373757563559	13.2848025082691	0.00050147078865024	0.285804918144727
Blnk	-5.4475066277453	4.69322296549661	13.0773262205229	0.000550609306537048	0.289415998676586
Tnpo1	-4.95969500613112	5.65843267595598	12.8777568332222	0.000602590047296994	0.289415998676586
Bora	-5.28023909465237	4.32603837448409	12.8171655039299	0.000619358266686057	0.289415998676586
Paqr8	4.25678601437312	5.43749251420318	12.7240968798904	0.00064606165088223	0.289415998676586
Rgs14	-5.21259156275826	4.482395926344	12.6208813714063	0.000677075678270174	0.289415998676586
Clp1	-5.43096929444511	4.25032028904809	12.1780150974365	0.000828712308729103	0.337364834634529
Cflar	-3.32602850616952	4.3045219911371	11.2250475752418	0.00128677790295322	0.468165488978134
Ccl4	-5.62735775713769	8.37868824041583	11.2047585805863	0.00129899231018829	0.468165488978134
Adamts20	-5.55930912017699	4.4319227218684	11.1260007485327	0.00134755810135684	0.468165488978134
Cd46	3.99078731130839	4.58908695148448	11.0275567337858	0.00141092630788892	0.468165488978134
Itgav	-5.575977134173	4.74855457971125	11.0080771774762	0.00142382766562539	0.468165488978134
Cd33	-5.73336480960191	4.94451283155107	10.8387444939858	0.00154127180835603	0.488012321838359
Kcng4	-4.5439575863615	6.83289383533101	10.6940471468177	0.00164959221916568	0.50365585291598
Enpp2	4.03702111673842	7.17574145008118	10.3679341467628	0.00192372637949264	0.567101269595951
