logFC	logCPM	F	PValue	FDR
Cntn2	-4.42723476305232	10.5737685001816	4.99874878706579	0.0300886796946687	0.979802304914428
Ntrk3	2.15715509689305	13.9265767942996	4.51012904095429	0.0389164377289087	0.979802304914428
Pcdh8	-4.13533511826612	12.3192831825031	4.32638919955846	0.0429314435385613	0.979802304914428
Vstm2a	-1.73931868763646	15.4270590723536	4.27477853754617	0.0441386375506671	0.979802304914428
Negr1	-3.77142120547068	11.0650877249783	4.16330377638089	0.0468741147677492	0.979802304914428
Cdh9	-4.01880803854982	10.8950341249487	3.68372443263095	0.0609484550431039	0.979802304914428
Epha6	3.67852127624209	10.5426054353498	3.61046146355119	0.0634804473435426	0.979802304914428
Slitrk4	-3.782265353481	10.9657451294948	3.54444253607603	0.0658615436791919	0.979802304914428
Cd14	4.81285881482437	12.9249432994691	3.64752182486576	0.0684362206180332	0.979802304914428
Clstn3	-1.94658228121604	14.1707674186107	3.18667982124844	0.0806099160971546	0.979802304914428
Cbln4	-2.7029168358755	12.8162614313947	2.82799403309782	0.0991809285562746	0.979802304914428
Tenm4	2.66333364653186	11.5645065320259	2.67580760836381	0.108476320960446	0.979802304914428
Cxadr	3.24421091417413	10.8855405114492	2.59589594554233	0.113749281523783	0.979802304914428
Pcdh10	-2.66447240377718	12.0203844741921	2.52403966218546	0.118740372219123	0.979802304914428
Pcdh17	2.53426580342519	12.0746323885864	2.32943963050811	0.133561767171909	0.979802304914428
Sema4g	2.43078398433469	11.2827394633487	1.95543203591398	0.168480631128988	0.979802304914428
Ptprr	-2.60679929454962	10.4987798567433	1.8957930630377	0.174988000792471	0.979802304914428
Fgfr2	2.48542198899768	10.8301056178631	1.88655830771565	0.176021988863013	0.979802304914428
Nrxn3	-1.3231948627499	13.7015322010745	1.74519777251245	0.192793790522088	0.979802304914428
Ctnnd2	1.82769525514624	12.5435919076193	1.55440041315269	0.218583975969762	0.979802304914428
Sema4d	1.9115457410728	12.3703599309817	1.55421294587055	0.218611309216569	0.979802304914428
Nrxn1	1.51931352259588	13.1412622997096	1.55265833238536	0.218838137364459	0.979802304914428
Ppfia1	-2.08275427409902	11.1911141640238	1.51074066558452	0.225064405438208	0.979802304914428
Adgrl3	1.98332312461899	11.0895241070671	1.5017954593443	0.226421135868499	0.979802304914428
Csf1r	2.75947554124318	14.6430988367543	1.32488461150448	0.264236256431599	0.979802304914428
Rtn4	1.59165470320905	12.2535335159607	1.23050288572187	0.272879226928779	0.979802304914428
Ctnna1	-2.16670476359895	11.3474939780618	1.22466144321776	0.274006194373941	0.979802304914428
Pcdh7	1.99685399986242	10.7282441045294	1.20013001552663	0.278804767709019	0.979802304914428
Lrfn5	-2.03284994280596	10.394634677643	1.11615646568682	0.29607727649333	0.979802304914428
Ppfia2	1.92669319697352	10.4524285782495	1.11196905836606	0.296974644890088	0.979802304914428
Lrrc24	-1.94056091225346	11.6785279381792	1.08890408629819	0.301982083131565	0.979802304914428
Ctnna2	-1.85148446035317	11.3387175862355	1.06896424243634	0.306401114229677	0.979802304914428
Lrrtm1	-1.82628138222725	11.8624241245661	1.02912000722766	0.315491559248772	0.979802304914428
Cdh11	1.71182762122327	11.8324426521387	0.994522770415255	0.323679494649538	0.979802304914428
Fam19a2	-1.26201405353354	13.3260306496258	0.989012769798621	0.325009810096166	0.979802304914428
