logFC	logCPM	F	PValue	FDR
Cdh9	-9.35684246017632	10.9408642597011	11.1876881208848	0.00161229129420095	0.201536411775119
Cdh13	-3.7403274422005	13.8342366960287	5.84642105587779	0.019485556874768	0.990104413251248
Adgrl3	-3.50494621841767	10.733115696886	3.44169128236116	0.0697667060438689	0.990104413251248
Ppfia2	3.33097678198304	11.5932628881239	3.27488392358546	0.0766617265692022	0.990104413251248
Pcdh17	3.08682091137179	12.0677597861201	3.26843834670556	0.0769429094263629	0.990104413251248
Clstn2	2.25855111420081	12.9510270765344	2.22840409077051	0.142090048306874	0.990104413251248
Tenm4	2.42865289394009	11.2949780767581	2.00299294808888	0.163495765279597	0.990104413251248
Pcdh10	-2.80768222634813	11.9902929723518	1.93673709812855	0.170490146139425	0.990104413251248
Chl1	-2.12882865350116	13.2899560064096	1.74827921080517	0.192409228421653	0.990104413251248
Ctnna1	-2.81025583465188	11.3425055619446	1.59827533902665	0.212300947444551	0.990104413251248
Pcdh7	2.39409563639609	10.4269964604371	1.59339532632362	0.212988884069755	0.990104413251248
Pcdh9	1.42356584715657	13.7454672388674	1.48975491424632	0.228264100723421	0.990104413251248
Emb	-2.33043421932585	11.4609023789044	1.45779737851561	0.233243906821423	0.990104413251248
Cntnap5c	2.2757220435399	10.9476074408859	1.36699721291041	0.248147821793498	0.990104413251248
Tenm1	1.92941882680054	11.8471099646106	1.27502904927593	0.264481628168819	0.990104413251248
Cadm1	-0.961198434487769	14.7471685041796	1.17159260758228	0.284524938372282	0.990104413251248
Ntrk3	1.26069808656355	13.4503157454251	1.13187282366727	0.292741472030189	0.990104413251248
Lrrn2	1.97557682686528	11.7473730296802	1.11847865386402	0.295581888038641	0.990104413251248
Flt3	-1.46217403133868	13.4773537356139	1.0802960273204	0.303880103847275	0.990104413251248
Ptprt	-1.51599100833677	13.3294815877248	1.03250430460698	0.314706283598165	0.990104413251248
Vstm2b	-1.93129660774561	11.7536360579044	1.03249188982461	0.31470916204843	0.990104413251248
Cd164	1.58203658426502	12.9128570028694	1.01279313812578	0.31932117190279	0.990104413251248
Negr1	-1.89353745297461	11.3993052392496	1.00198869203314	0.321889323284612	0.990104413251248
Epha7	-1.70902398854033	12.0877602992717	0.95409957592697	0.333614237569882	0.990104413251248
Dscaml1	-2.02421201096598	11.6296318027713	0.949888705840709	0.334672768313986	0.990104413251248
Unc5c	-1.75479528257616	10.2470664811312	0.947348974767668	0.335313422973755	0.990104413251248
Ptprr	-1.96470538253942	10.8315359838578	0.932998943438126	0.338964934544856	0.990104413251248
Lrrn3	-1.46703837894213	13.3081048920295	0.909654056253599	0.345022777106639	0.990104413251248
Ctnnb1	-1.46338336963713	13.2832223449984	0.892322543351511	0.349617159801235	0.990104413251248
Lrrc38	-2.02865908356306	11.633356690662	0.80788345234966	0.373269304051501	0.990104413251248
Ppfia4	1.59453858149018	11.5387589698585	0.784857028824535	0.380111856770953	0.990104413251248
Amigo1	1.52585369872428	12.4080303207946	0.777486790029186	0.382340057360309	0.990104413251248
Sdc3	1.65505565179608	10.7680615744469	0.758795778871125	0.388076105022028	0.990104413251248
Cd47	-0.972791849732611	13.9571570068424	0.722483934800733	0.399583810139757	0.990104413251248
Clstn3	-0.84370952649621	14.4203930374652	0.690244257886537	0.410227625067024	0.990104413251248
Fgfr1	-1.36427358119918	10.6881657885765	0.586204512676501	0.447669002245953	0.990104413251248
Ptprd	-1.14846097599357	12.5070699850966	0.564278107084473	0.456238024426062	0.990104413251248
Sema4d	-1.36271012191269	10.7036298843073	0.555489320866784	0.459746423169892	0.990104413251248
Cntnap5a	1.24064436909518	11.7255400282267	0.510422578180092	0.478443708058136	0.990104413251248
Cntnap4	0.827344807268862	14.0784371349586	0.486523491884503	0.488873951310491	0.990104413251248
Ppfia1	-1.2845997862056	11.2855350409737	0.482242916372883	0.490782444331733	0.990104413251248
Efna3	-1.35666620995651	9.83396581778437	0.471472967659147	0.495640494812357	0.990104413251248
Ptpre	0.891390851846264	13.3684104937652	0.456622676073195	0.502475178607358	0.990104413251248
Ptprm	1.16520704762699	11.4907624094364	0.411326751186572	0.524371883941327	0.990104413251248
Lrrtm3	-1.13837112216072	12.0821197152893	0.391853724467998	0.534315683630448	0.990104413251248
Igsf8	-0.98802453316648	12.8780335437601	0.389522057376376	0.535529400740365	0.990104413251248
Nxph1	-0.490308832549199	15.3549783547086	0.372652277925581	0.544464693195021	0.990104413251248
Ntm	0.699390983507028	13.4794958869412	0.368570682366452	0.546668399586045	0.990104413251248
Mdga2	-1.04282806065829	11.8622537932847	0.364894083917504	0.548667836984891	0.990104413251248
Pcdh8	-1.12193613909006	12.7183412913167	0.356118808632322	0.553496411684659	0.990104413251248
Nrxn1	-0.924116089217551	12.1478657390988	0.34533470065003	0.559542475432396	0.990104413251248
Ppfia3	-1.00683856446409	10.231461504519	0.339305198019646	0.562978669124853	0.990104413251248
Ptpn5	0.660512615428419	13.5057514210101	0.311097336287698	0.579620394829285	0.990104413251248
Unc5a	-1.10770324163348	11.5668424241747	0.307487360383887	0.58182130139442	0.990104413251248
Cbln4	-0.835695034412687	13.2770167433939	0.302185322606118	0.585084742109624	0.990104413251248
Ephb6	-1.02502137147007	13.1547395502689	0.286708622561943	0.595307557653476	0.990104413251248
Cntnap1	-0.930410189680719	11.1450983024021	0.27595652870967	0.601801342904691	0.990104413251248
Nlgn3	0.795206874416867	11.9611855612905	0.268007190770046	0.607068502097948	0.990104413251248
Cadm2	-0.869268760786874	12.638526588715	0.262761435868954	0.610598973483147	0.990104413251248
