logFC	logCPM	F	PValue	FDR
Ncam2	9.61048557407552	10.1046628958396	17.7357828130213	8.80374421681171e-05	0.00897826399885865
C1ql1	11.7466003173722	11.090366926698	17.6929981079676	0.000110162748452253	0.00897826399885865
Lrrtm4	6.77429210085469	9.6767992945357	12.0342206252068	0.00098265320670046	0.043818310146748
Fstl5	8.28543946693583	9.88323998132843	11.509646921442	0.00124233943389944	0.043818310146748
Nptx1	8.5363035239041	10.1507070729797	11.3346892148568	0.00134411994315178	0.043818310146748
Lrrtm2	-3.58499698457815	10.0553299377963	6.27375981272761	0.0150386477235926	0.408549929824264
Il1rapl1	4.93943174202736	10.7387589249566	5.57696427136036	0.0215217994574053	0.430841048756392
Pcdh10	-2.84313414183577	11.2968504662366	5.39113111210842	0.0237139331702802	0.430841048756392
Ptprt	-2.47274411898352	12.4209478225382	5.38511451982265	0.0237887695632364	0.430841048756392
Pcdh7	3.59952502671499	12.1034276633578	4.82419328385794	0.0320084728948738	0.521738108186442
Cdh12	4.12617675529663	11.4153980256453	4.380756594942	0.0406595315841647	0.582137824101113
Lrrc8c	4.27883462460318	11.4047153008149	4.2842969297506	0.0428567723264623	0.582137824101113
Epha6	3.5787787650045	10.7287245786835	3.96203857573848	0.0511802378670803	0.641721444025699
Ppfia2	2.9481303061178	12.068235704335	3.62485174312716	0.0618073249930929	0.681663521242844
Lrrn1	3.32588270855487	12.258049671681	3.59861986152674	0.0627297718935132	0.681663521242844
Cdh13	-1.69178652894278	13.6610034505365	3.15282053776308	0.0809575312363357	0.82475484947017
Ntrk3	1.27465098961231	13.6845643541067	2.97020780337875	0.0900527782764422	0.863447227003534
Flt3	-1.70646535610531	12.8375410237466	2.78910534505425	0.100209351799756	0.892560948405757
Lrfn1	-2.20194027574246	9.96859354411581	2.71912893275483	0.104471814508273	0.892560948405757
Cd300a	2.78325928983	11.1873058502397	2.61060927551212	0.111490904192991	0.892560948405757
Vstm2a	-1.13385509419182	15.1528742975118	2.48467279040769	0.120312137139258	0.892560948405757
Cntnap1	-1.88313264828766	10.3761471696614	2.48253775905416	0.120468348864581	0.892560948405757
Flrt3	3.03528870363639	10.5307182914458	2.19601627494123	0.143694027574341	0.961500719761554
Ctnna2	-2.10738064188484	10.8348552221411	2.09171725198568	0.153395766382984	0.961500719761554
Lrrc4	-1.79351777529553	10.3610314721078	1.97530866298077	0.165134040487785	0.961500719761554
Unc5c	1.81377813691068	12.0341932213568	1.72876671995493	0.193660675875234	0.961500719761554
Cntn2	-1.66420444707142	10.8711132161369	1.60322574558664	0.210427474319664	0.961500719761554
Jam2	2.44827804640118	11.1773089224228	1.59685324019371	0.211324254431285	0.961500719761554
Lrrc38	-1.96569363398457	11.0974364869237	1.54237063883838	0.219183710938393	0.961500719761554
Adgra1	1.10927155237258	14.0445386427929	1.49688504140554	0.226019352191993	0.961500719761554
Ppfia4	1.68711393991803	12.3862458366822	1.39956316183225	0.241545987704926	0.961500719761554
Pcdh9	1.27385129292559	13.7940024019305	1.37654198173667	0.245409932251853	0.961500719761554
Nlgn3	1.50957062421977	12.1560053846424	1.36762847332393	0.246926639160785	0.961500719761554
Tenm2	1.29443851537462	12.2831218634497	1.32449928006196	0.254433050427472	0.961500719761554
Cd47	-0.947933100157595	13.7155810099414	1.32039942813501	0.25516139562114	0.961500719761554
Bsg	-0.521761276427843	15.0549549745391	1.26775380858183	0.264751529242523	0.961500719761554
Adgra3	-1.52530805143734	10.1259084498963	1.26500785089879	0.265264137672099	0.961500719761554
Lrrc24	-1.56789659916505	11.2033767364763	1.26129123717725	0.265959951116026	0.961500719761554
Ptprn2	-1.23104294847676	11.6519939443721	1.18709827962975	0.280349611708357	0.961500719761554
Il1rapl2	2.03354299248948	11.5078021546754	1.165561929239	0.28471249920308	0.961500719761554
Lrrn3	-1.19823249585897	12.9140249433489	1.1616952189306	0.285505075968302	0.961500719761554
Lgr4	1.84413662339911	10.8469444101753	1.15447865139303	0.28699192871486	0.961500719761554
Ctnna1	-1.63427973668199	10.8282969295221	1.15117965085833	0.287674967875028	0.961500719761554
Tenm4	1.57987044373222	11.303002782035	1.12907292398177	0.292306837493563	0.961500719761554
Sema4d	-1.20686537895649	10.0152899326769	1.12840789936394	0.29244767057742	0.961500719761554
Pcdh17	1.73749657421447	11.2923362247233	1.12444923284392	0.293287831339746	0.961500719761554
Cdh9	-1.46085425405441	10.8133611214742	1.06702974467825	0.305836629928904	0.961500719761554
Negr1	-1.34630041270698	11.0411909035621	1.05251872053437	0.309119192487098	0.961500719761554
