logFC	logCPM	F	PValue	FDR
Epha6	3.87845402462487	10.7143290097712	4.01787490259705	0.0473698078823494	0.997897831645119
Lrrn2	2.68340594985817	12.5515065229291	2.92947166931151	0.0896713760349104	0.997897831645119
Unc5c	2.46035838448961	12.0906545248451	2.52766679967944	0.114610662831372	0.997897831645119
Flt3	-2.23260735782996	13.2623914422136	2.43320952675191	0.121536964392921	0.997897831645119
Ppfia2	2.74968835960468	10.8482476718614	2.16910441577633	0.143539640533415	0.997897831645119
Cdh9	-2.79409727685281	10.9304965547978	1.9508280210357	0.165187050820182	0.997897831645119
Ncam1	1.39219143512405	14.077606746109	1.8560256572098	0.175746193311165	0.997897831645119
Fgfr2	2.41513323285535	11.1698073238984	1.6789659618698	0.197656351480333	0.997897831645119
Pcdh7	2.43898746910821	10.3582510641053	1.56908144822576	0.212881446213682	0.997897831645119
Ctnnb1	-1.81593295159452	13.2737756512407	1.56369176430621	0.213663617312945	0.997897831645119
Csf1r	-2.49436926453874	13.3114957885455	1.60390236070847	0.213772461676047	0.997897831645119
Pcdh10	-2.00235898412184	12.0801633686905	1.45960340745047	0.229471518001696	0.997897831645119
Omg	-1.49794867545953	13.6965081790292	1.45867715107142	0.22961842955792	0.997897831645119
Ptprn2	-1.99407260825545	11.8929325086735	1.38714744727303	0.241318749264616	0.997897831645119
Adgrb2	-2.19205553699139	10.1828038700205	1.23423476535027	0.268902188074607	0.997897831645119
Ptprm	1.68845547965109	12.0553695229769	1.13714918677854	0.288488928564567	0.997897831645119
Tenm4	1.94488631796613	11.0461323986297	1.12805907045026	0.29041481925518	0.997897831645119
Cd164	1.46153504706924	12.8597481639269	1.00407383650566	0.318430311160002	0.997897831645119
Cntnap1	-1.8191722932853	10.8231360682652	0.949678341313895	0.331846391368631	0.997897831645119
Lrrc4c	-1.4200306400483	12.8190498941026	0.940100170621001	0.334286686364246	0.997897831645119
Cdh10	1.79930982184598	10.7497087935821	0.933974777616383	0.335859980670125	0.997897831645119
Tenm2	1.46968598517886	11.8849676735773	0.888405386201541	0.347885466716902	0.997897831645119
Ctnna1	-1.77779856005945	11.3678866376301	0.784225397476923	0.377699740947649	0.997897831645119
Ptpre	0.98400274462436	13.7643753155468	0.725526937335819	0.39610704071879	0.997897831645119
Ephb6	-1.42867834144321	13.1106931026339	0.687676020777781	0.410777574911326	0.997897831645119
Slitrk3	1.38099977876277	11.6928525898696	0.64762031146433	0.422625204337436	0.997897831645119
Cntn2	-1.52896315746745	11.2828810594672	0.642500821729098	0.424459619220583	0.997897831645119
Car2	-1.12411527376428	12.9514256315238	0.635066426660786	0.427145017213651	0.997897831645119
Ctnnd2	1.20371165772737	12.2245133341452	0.631999066046633	0.428260496812153	0.997897831645119
Ctnna2	-1.47298203188721	11.5643209273316	0.624973990655879	0.430831992147164	0.997897831645119
Lrrn3	-1.11638557508565	13.289563957071	0.623672583814389	0.431310947981225	0.997897831645119
Celsr2	1.45937678868679	11.2869563864324	0.615893121973182	0.434191059504621	0.997897831645119
Cntnap5c	1.49918163131599	10.3870076962278	0.614831115176993	0.434586518380746	0.997897831645119
Ptprr	-1.46936218457329	10.6622650980324	0.6068759166001	0.437566459455742	0.997897831645119
Cntn1	-0.828681283158617	14.1332443896132	0.600590446395304	0.439943248106131	0.997897831645119
Nlgn2	1.3624584628533	10.4924533841289	0.582385661411101	0.446941238855824	0.997897831645119
Bsg	-0.636870319732692	15.1292295434115	0.577525160466985	0.448838992073978	0.997897831645119
Ntrk3	0.950182342685461	13.308060093478	0.562671057916513	0.454717786852007	0.997897831645119
Pkd1	1.08440462460606	12.0317746951005	0.505662047313181	0.478462444028509	0.997897831645119
Ptprd	0.928084993176977	13.0120854412417	0.494608040226553	0.483300176561725	0.997897831645119
Ptprn	1.00793612772863	12.293344621725	0.481207707263403	0.489274437128	0.997897831645119
Rtn4	0.975199046768347	12.4954094964027	0.47446071988339	0.492329325806449	0.997897831645119
Sdc2	-1.33611088457522	10.9788878814334	0.47356561758005	0.492737017030095	0.997897831645119
Cdh2	-1.3204327570081	10.3978074632939	0.471653147622489	0.493609996044872	0.997897831645119
Adgrb1	-1.2097361561707	11.4356849609336	0.467927500944957	0.495318145296139	0.997897831645119
Emb	-1.22905345570876	11.441858209186	0.448265204807472	0.504501817817319	0.997897831645119
Cdh13	0.585663187578843	15.0181522585565	0.446704045284906	0.505243469138981	0.997897831645119
Pcdh1	1.17900318940184	10.4706593647606	0.419810988428514	0.518322743393882	0.997897831645119
Lrrtm3	-1.02075575227198	12.1322885742636	0.413868701675734	0.521293049249196	0.997897831645119
Opcml	-0.731835132089844	13.8473230809391	0.395215037594228	0.530817354549831	0.997897831645119
Lrfn1	-1.11987994580827	10.8020063656544	0.370518481773015	0.543922154372328	0.997897831645119
Sema4d	-1.09030386362117	10.4014202002541	0.350018296558441	0.555263880176314	0.997897831645119
Ptpra	0.787185784389741	13.0790239330012	0.348239377270007	0.556269130440773	0.997897831645119
Lrrtm2	-1.14106797470551	11.2921473832622	0.343629940279003	0.558890098965005	0.997897831645119
Ptprf	1.13401411973006	9.99223140448364	0.343433530978993	0.559002303721326	0.997897831645119
Cntnap5a	0.997039840006605	11.6752689807518	0.337184179215522	0.562595166463943	0.997897831645119
