logFC	logCPM	F	PValue	FDR
Nlgn2	4.8689691814377	10.0837638395205	6.62931323008498	0.0143419564821533	0.729959043137804
Cntn2	-4.3099854551612	11.2655832732068	6.46496273247095	0.0155008766647238	0.729959043137804
Cdh13	3.57620004819611	13.6168971620911	6.15751922137206	0.0179498125361755	0.729959043137804
Cdh2	-4.43253193906227	10.5039666470508	4.88247528114894	0.0336545697153461	0.861830946016296
Slitrk4	-4.1025002937374	11.3875729262523	4.78738232343191	0.0353209404105039	0.861830946016296
Slitrk5	-4.27944816445515	10.6735220758363	4.34199346647116	0.0444276649536807	0.90336252072484
Pcdh9	-2.48813486719995	13.4676769562527	4.00530314613426	0.0530287537362117	0.92421542225969
Sema4d	3.27215740399782	12.6854436486567	3.30133845346515	0.0776537116834093	0.99428987747383
Nrxn1	2.44326422433637	13.1608631157951	3.07683011174279	0.0880249385842568	0.99428987747383
Unc5c	3.18906258008016	11.0480201358623	2.81701540407552	0.102032348199967	0.99428987747383
Ctnnd2	2.57339280827135	12.3765494272448	2.73360193813446	0.10705452402484	0.99428987747383
Vstm2a	-1.43765102557209	15.2123026269403	2.49776039335004	0.12285756857352	0.99428987747383
Clstn2	-1.77833484092606	13.192570166501	2.06763396456217	0.159191762172334	0.99428987747383
Amigo1	-2.24986767386956	12.4386610749199	2.03049726928871	0.162882679124423	0.99428987747383
Lrrn1	-2.81538640866288	11.5212650158426	1.90165937579056	0.1764996636851	0.99428987747383
Vstm2b	2.60996043178728	12.0298603969785	1.66332730149468	0.205474321321884	0.99428987747383
Fam19a2	-1.37110766626848	13.4763930981311	1.56912174166831	0.218504598664871	0.99428987747383
Ppfia4	-2.08816063708459	11.7695264073328	1.46237767675891	0.234525787910556	0.99428987747383
Epha7	2.15574957635287	12.4137003585112	1.39410513141074	0.245545362977499	0.99428987747383
Lrrtm4	2.26163005804369	10.3802231413608	1.35976895469894	0.251333962155992	0.99428987747383
Tenm1	-1.85237214750373	11.9498175971126	1.32155708358376	0.257980927071839	0.99428987747383
Sema4g	2.15293340997973	11.586152242153	1.2200115414666	0.27677143500308	0.99428987747383
Ppfia3	2.19870862187476	11.2748567475361	1.20260516513107	0.280167871399309	0.99428987747383
Cdh11	2.12129699098373	12.094352455916	1.19809435204666	0.281056875314785	0.99428987747383
Clstn1	-0.892236420233492	15.2020971279355	1.18278426621186	0.284101768207872	0.99428987747383
Car2	-1.54693104213939	13.0993708702247	1.17162173058658	0.286348973244105	0.99428987747383
Lrrc8d	-1.85905607151527	11.839051791032	1.13663560907358	0.293544907785623	0.99428987747383
Cbln4	-1.86727442881303	12.1667616861428	1.11075539199772	0.299021791528656	0.99428987747383
Ctnnb1	1.59272334475685	13.5368771723363	1.10901916983585	0.299394036624829	0.99428987747383
Clstn3	-1.10285471962067	13.3335276444868	1.10875565946256	0.299450586742978	0.99428987747383
Pcdhb3	2.3528328535963	11.3530002362486	1.06477030862883	0.309092408708144	0.99428987747383
Cdh12	-1.92145428784657	11.4625160194499	1.04867121509401	0.312724942751635	0.99428987747383
Rtn4	1.31769689887018	12.7841708229412	0.972419620051759	0.330735516358199	0.99428987747383
Lrrtm1	-1.68261425771938	11.6148076777159	0.936785243891182	0.33963875509023	0.99428987747383
Chl1	1.50993091521558	12.7236823548969	0.888615870100705	0.352209104109782	0.99428987747383
Cadm1	0.826121247653907	14.8262936218058	0.860919665858268	0.359732754628256	0.99428987747383
Fam19a5	-1.4341455728349	12.4770790041091	0.833416718481956	0.367430543651922	0.99428987747383
Celsr2	-1.38359873868549	11.6201304518461	0.812003506812981	0.373587349638451	0.99428987747383
Dscaml1	1.70075229606916	10.4777309521136	0.77811913478305	0.383637173672062	0.99428987747383
Flrt2	-1.65952885963183	11.1461437239727	0.770572294257699	0.385928784768687	0.99428987747383
Ntrk3	0.896495494564248	14.3865133759026	0.745890741657245	0.39356465984733	0.99428987747383
Ptprd	1.13519645470174	12.7071095775221	0.729728305005495	0.398685882497754	0.99428987747383
Nrxn3	-0.941350560337127	13.2421302484659	0.684807668907828	0.413451619088013	0.99428987747383
Cntnap4	-0.708966261133075	14.4020417520507	0.671434459177121	0.418006573373786	0.99428987747383
Epha6	1.70112616628722	10.9291401618007	0.643482411478682	0.427777596644609	0.99428987747383
Igsf8	1.46634098188314	12.3929325761882	0.607850565900627	0.44075323882155	0.99428987747383
Cntnap5c	-1.52073563712962	11.4367228679473	0.60546028895092	0.44164560417172	0.99428987747383
Ppfia2	-1.40432441990205	12.1499489664328	0.602933451517585	0.44259204466987	0.99428987747383
Adgrb3	-1.22168814773464	12.2548971481107	0.596537182957264	0.445002136551697	0.99428987747383
Ctnna2	-1.35804931092896	11.5179163759194	0.579914394908933	0.451363643251557	0.99428987747383
Csf1r	2.28041124594376	14.9480191692051	0.579736771478127	0.458637013743235	0.99428987747383
Pkd1	1.1092146128793	12.5549511363855	0.536370672655119	0.46873754291082	0.99428987747383
Lrfn1	-1.33337500672954	10.9164563914103	0.487650344382242	0.489516109791326	0.99428987747383
Cd47	0.744183325936218	14.1315480114223	0.464132611762918	0.500108862807377	0.99428987747383
Opcml	0.733587265943517	14.5741439475162	0.46353026211845	0.500385331994561	0.99428987747383
Nxph2	1.37548622697806	11.7437138742368	0.450169447825929	0.506586580313841	0.99428987747383
Ptprt	1.20220905148562	12.3630951968865	0.444364443162163	0.50932280479248	0.99428987747383
Lsamp	0.706213377888431	13.3901244309978	0.44341315754472	0.509773671506287	0.99428987747383
Lrrc24	-1.32408643328313	11.1339190988132	0.397636033574304	0.532341910995564	0.99428987747383
Cntn1	0.670877179714524	14.3533636272941	0.391518434579447	0.535495275436319	0.99428987747383
Slitrk3	1.18283323815691	11.3279242818824	0.371600038965462	0.546006459830587	0.99428987747383
