logFC	logCPM	F	PValue	FDR
C1ql1	-11.7083879500787	11.1648748888854	14.7129918842257	0.000351785179786938	0.0491581739470996
Il1rapl2	-10.8561042600607	11.472131282477	12.718507476108	0.000733323845540117	0.0491581739470996
Ncam2	-8.58608007649152	10.1812206000623	11.8598208648302	0.0010713051263052	0.0491581739470996
Pcdhb9	-10.0079726962709	11.3297649998745	11.5661972071848	0.00122132109185341	0.0491581739470996
Cd14	4.36065779547888	12.3098862175291	7.69492368604786	0.00743634100924829	0.188897248376636
Icam1	3.67150023111189	11.1022424885888	7.5912712449503	0.00782275602997169	0.188897248376636
Mfap3	-6.26022234561179	11.0213247594708	7.44124665237893	0.00841994511760561	0.188897248376636
Sema4d	3.11853824832788	11.3372824882326	7.22079654582548	0.00938619867709993	0.188897248376636
Fstl5	-6.71332355965407	9.96313189598184	6.76139811104291	0.0117960238045825	0.211017759170864
Dag1	-5.54642150747372	11.0869999140815	5.26628823907498	0.0253776605377908	0.408580334658431
Ptpro	3.28319363117432	11.4566908681243	4.87254631706165	0.0312553300543769	0.457464376250426
Slitrk5	-4.39823862588949	10.5904968097396	4.24976717505995	0.0437450574689185	0.534981439629227
Pcdh8	-4.08352678918269	12.2820765217587	4.13938067746263	0.0464747669317655	0.534981439629227
Pcdhb3	3.26769297818576	10.1937556780132	4.13760623897329	0.0465201251851501	0.534981439629227
Nrxn1	1.63973965647642	12.998301880241	3.92755880138804	0.05224433737538	0.560755887829079
Cd300a	-3.76868133408683	11.1923555199951	3.63436733235095	0.0615541600450736	0.607045496899569
Nrxn3	-1.76025663688145	13.8695504001169	3.49130295280849	0.0667428124025963	0.607045496899569
Cdh2	-3.93903387165846	10.7199249263966	3.46187620613009	0.0678684406471568	0.607045496899569
Pcdh9	-2.33819236905145	13.7024064569452	3.33762936803829	0.0728564998279241	0.617362972226094
Ptprt	2.15897705757398	11.6897198654301	3.02148456237254	0.0874722560645867	0.704151661319923
Rtn4	1.50501314773664	12.2820206716803	2.73561085172437	0.10353412134494	0.727409963926658
Lrrn1	-2.92146267033018	12.3582986414448	2.68379919781471	0.106785299000509	0.727409963926658
Ctnnd1	-3.66743356194783	10.336365096076	2.64932918465942	0.109011852047835	0.727409963926658
Cntn2	-2.76631510457544	10.3593531479755	2.60299272433296	0.112087769555478	0.727409963926658
Cdh13	1.52780061411268	13.561261229227	2.47716038287185	0.120947567365105	0.727409963926658
Cxadr	2.20127300267216	10.9941816842698	2.38594826073962	0.127867151706696	0.727409963926658
Lrfn5	-2.5980837073317	11.4124858784034	2.36930481566836	0.12917782803507	0.727409963926658
Sema4g	1.98862684844036	10.8635476632433	2.35506388268286	0.130311485879294	0.727409963926658
Slitrk4	-2.61636319771956	10.9052086082945	2.24738304599429	0.139261608783467	0.727409963926658
Ppfia1	-2.10683153557068	12.2759644803524	2.14154365734905	0.148753588624399	0.727409963926658
Adgrl3	1.79640606357806	10.7507324331195	2.05316914839162	0.157255463374331	0.727409963926658
Ppfia4	-2.1806048973628	12.4471493892151	1.99383722553216	0.163280573012966	0.727409963926658
Ntm	1.05345651263167	13.2614578030335	1.98886220256102	0.163797908097982	0.727409963926658
Lrrc4	1.83933110549512	10.4569468113596	1.97612808925482	0.165130834267852	0.727409963926658
Lrrtm1	-2.14803891183498	12.4216803417656	1.93755440440788	0.169246633533658	0.727409963926658
