logFC	logCPM	F	PValue	FDR
Cntnap3	-11.4592582031994	10.7569786520007	10.2086608409979	0.00244071076749778	0.256044739551503
Adgrl2	-11.2101180458636	10.7804756763973	9.6489505064716	0.00314165324603071	0.256044739551503
Pcdhb9	-9.78808709516943	11.4047314533574	8.63100329975824	0.00481399900336003	0.261560612515895
Cdh9	-7.92480488126397	10.0872861730039	7.15985923508106	0.00979283336510234	0.399057959627921
Cd300a	-6.061434358573	11.2405660555031	5.83840785290942	0.0190130523269488	0.61982550585853
Jam2	-6.08097254833237	11.2271249381664	4.43872222245395	0.039689570707061	0.99199392527151
Adgrl3	-3.68741273090734	10.5384054531369	3.59190478436628	0.0633011347904408	0.99199392527151
Unc5c	-3.56871676998494	12.0815291154725	3.17859884170572	0.0801058491523797	0.99199392527151
Fgfr2	-3.94767752060128	10.3455323860998	2.34428931361133	0.13145229503788	0.99199392527151
Lrfn1	2.28622087905355	9.82712959878782	2.27418730015962	0.137244634820673	0.99199392527151
Ctnnd1	-3.96589615855933	10.3699624436658	2.24157344591548	0.140038923862879	0.99199392527151
Cdh10	-3.2348146474059	9.73730368135504	2.21809921125302	0.142090685368347	0.99199392527151
Emb	-2.1627900841438	12.0050551334915	2.19010858896764	0.144582641963137	0.99199392527151
Epha7	-2.40307954063158	12.9221353091293	2.06135313742215	0.156716900114679	0.99199392527151
Nptx1	-3.65220480862145	10.3124197568776	2.04938094955001	0.157904109212208	0.99199392527151
Icam1	1.97699627695221	10.7746782304526	1.81508096896234	0.183402650461272	0.99199392527151
Cdh13	-2.04865687942881	13.0019957490596	1.75639717437027	0.190532152840728	0.99199392527151
Ptprd	-1.61238495828712	12.9726564903502	1.74131101930316	0.192418011263115	0.99199392527151
Ctnnd2	-1.99554378893201	11.4529674382638	1.452710781512	0.23323336270618	0.99199392527151
Celsr3	-2.65361038733442	10.3791210450794	1.3714315934938	0.246594917179335	0.99199392527151
Il1rapl1	-2.59190989282575	10.8683627663652	1.35151788023681	0.250012783224217	0.99199392527151
Ntm	0.952457855500743	13.2534889611375	1.33849158725729	0.252280644253035	0.99199392527151
Tenm2	-1.56809474744015	12.3007416430596	1.26433645437318	0.2656961447994	0.99199392527151
Igsf10	-2.68809383068256	10.1239045543098	1.18488138507739	0.281092645556139	0.99199392527151
Cntn2	1.54574252043842	11.1218757068696	1.17164737173413	0.283767301246774	0.99199392527151
Chl1	-1.57266832431257	13.0678623086877	1.16389904900491	0.285348530162852	0.99199392527151
Slitrk4	1.48657597699984	11.4557825654469	1.1305810288428	0.292279413941966	0.99199392527151
Epha3	-1.99133930479828	9.77215637603314	1.0718289208755	0.305045507210255	0.99199392527151
Cd14	1.86762683085706	11.4967439388105	1.05150904742008	0.309631096310608	0.99199392527151
Sema6d	1.69687685149283	10.2908975403754	1.04361742551449	0.311436590441669	0.99199392527151
Vstm2b	-1.6167329262042	11.9710401958184	1.02797392184106	0.315057145004458	0.99199392527151
Clstn2	1.16508357685684	13.0184558318998	1.02178106862923	0.316505907292191	0.99199392527151
Il1rapl2	-2.19825459859107	11.6346110735795	0.94583294304631	0.335023397251179	0.99199392527151
Ctnna2	1.6138874007527	10.8626884410643	0.944373014271683	0.335393532905645	0.99199392527151
Vstm2a	0.832182557713662	15.0031085895007	0.914520135523401	0.343086133340092	0.99199392527151
Lrrc4	1.40302434633984	9.9842059986485	0.883242349409296	0.351408280139438	0.99199392527151
Lrrtm4	-1.82055590569535	9.88574054601874	0.859287714532801	0.357972181429267	0.99199392527151
Pcdh17	1.3494989470345	11.9338065992824	0.843714963951472	0.3623314322618	0.99199392527151
Pcdhb12	1.61953197834715	10.19765742822	0.771235418942112	0.383640494806532	0.99199392527151
Cxadr	-1.70430164905054	10.7645264426752	0.769833529264832	0.38407012010575	0.99199392527151
Ppfia1	-1.30872905239774	12.3320212051252	0.725127056200987	0.398145253826959	0.99199392527151
Pcdh1	-1.56020248124687	10.6979297917668	0.723669329591024	0.398616798709314	0.99199392527151
Bsg	0.452226624362247	14.9701948287997	0.682008974121345	0.412449735076897	0.99199392527151
Epha6	-1.59726011693773	10.8845268598958	0.669178399536081	0.416854283313388	0.99199392527151
Nrxn3	-0.818882354134546	13.9912775571441	0.627567896358581	0.431639091430271	0.99199392527151
Cntnap5c	1.31812700142685	10.8656886215415	0.610627909686078	0.437889158159724	0.99199392527151
Cdh4	-1.60675844579448	10.3848005084192	0.608190789909146	0.438799860680175	0.99199392527151
Pcdh7	-1.20554669581048	12.3095355579357	0.588219710147418	0.446375226844714	0.99199392527151
Ncam2	1.23633803564962	10.9256086799173	0.583285064920187	0.448278619227018	0.99199392527151
Cdh11	-1.31291502228468	11.9134009297252	0.575096637038803	0.451465436902514	0.99199392527151
Ptprr	-1.35971618371085	10.8486023590187	0.545721624344868	0.463199656385579	0.99199392527151
Adgrb1	-0.848673331509913	12.0596067220797	0.513501999364895	0.476646803205933	0.99199392527151
Lrrc4c	0.911135167025247	12.6831981233556	0.503557507240624	0.480927009363294	0.99199392527151
Nrxn1	-0.803634300454542	12.5781400427867	0.499211271067325	0.482817730933257	0.99199392527151
Lrig2	1.1682304323259	11.1857076470982	0.488406631238669	0.487572156511828	0.99199392527151
Cntnap1	0.952649655235275	10.2172437266471	0.484847193267551	0.489155649878122	0.99199392527151
Clstn1	0.508696113356561	15.1474871110867	0.462847049167231	0.499139088537506	0.99199392527151
