logFC	logCPM	F	PValue	FDR
Pcdh17	10.8681148735694	11.9494992564912	19.904557348109	2.26984390324619e-05	0.00295079707422004
Negr1	-4.2693512557512	12.1577317120204	5.71272594467947	0.0188508194523428	0.992741779339114
Pcdh8	-4.40907027333993	12.1436209411395	5.21824214613961	0.0246169240337056	0.992741779339114
Slitrk5	-4.51532529536505	10.7011226033279	4.82379995726378	0.030545900902742	0.992741779339114
Slitrk4	-3.66598209024475	10.936691525182	3.4384454953607	0.06685235691284	0.996075545840698
Clstn3	-1.86130403317308	14.3112625144124	3.25729061805344	0.0743303293918207	0.996075545840698
Vstm2a	-1.4357211681465	15.1605586581238	3.2565896786636	0.0743609770591646	0.996075545840698
Sema4d	3.00042845627431	12.4654891728102	3.21896873315446	0.0760263205706386	0.996075545840698
Cbln4	-2.64277229669356	12.9519972671194	3.19170654847319	0.0772585694764208	0.996075545840698
Sema4g	3.30560842507386	11.3416632048531	2.96541836018836	0.0883738709585107	0.996075545840698
Csf1r	5.25375987524095	14.4759722163177	3.11476651464281	0.0958368858849132	0.996075545840698
Nrxn2	-2.77356359594548	9.78078373596853	2.24760023650396	0.137195633613184	0.996075545840698
Nrxn1	1.83335281332127	13.1152668752235	1.75472646423735	0.188516911526187	0.996075545840698
Ctnnb1	1.94519494357601	13.4767825153395	1.68167512167122	0.200122154145751	0.996075545840698
Ppfia1	-2.30251309864319	11.6745637428891	1.66424649021559	0.20021708632727	0.996075545840698
Cdh11	2.26519497700218	11.8968509372269	1.57965547387009	0.211945626077947	0.996075545840698
Lrrtm1	-2.0672347206316	12.0835291704293	1.46988563170522	0.228422761483969	0.996075545840698
Celsr2	-2.1430689220682	11.4573940383526	1.38867026568415	0.241624511174816	0.996075545840698
Cdh12	-2.23058637292879	11.5320881738624	1.34640434052987	0.2488662055816	0.996075545840698
Ntrk3	1.20700082848674	14.2265586337176	1.32669958212478	0.252334176056333	0.996075545840698
Lrrc38	2.26018951380711	10.280688954606	1.31943959245557	0.253627040474751	0.996075545840698
Opcml	1.12086543107384	14.3869464252437	1.19251268405209	0.277633244288671	0.996075545840698
Lrrn2	-1.62991943195769	13.0006348976472	1.17292387596106	0.281590358045509	0.996075545840698
Lrrc8d	-1.76194321004466	11.8097024031956	1.05712663849672	0.306527797943453	0.996075545840698
