logFC	logCPM	F	PValue	FDR
Pcdh17	11.4359444730344	11.9163021956098	24.1796464584647	1.36505349009952e-05	0.0017063168626244
Cdh13	-4.32588044927648	14.7106138923003	10.3908458519815	0.00249835858575396	0.156147411609623
Unc5c	-4.21536694547219	12.2304577137512	4.47097441342787	0.0406561467877495	0.993299268739011
Fgfr2	-4.69134128894266	11.2169010329209	4.14518258585128	0.0483072529974498	0.993299268739011
Tenm1	2.99142817606174	11.7985879722364	3.02760831164203	0.0891131287004862	0.993299268739011
Jam3	-3.86926251493343	10.7057467417249	2.75928528815091	0.104388506841921	0.993299268739011
Clstn2	2.44000203577984	13.1104950415909	2.2973225756878	0.137337758338945	0.993299268739011
Slitrk1	-2.92502132545742	10.411786299975	2.28039437880932	0.138755567548338	0.993299268739011
Ptprd	-2.07651594817022	12.7469282920448	1.83851484167053	0.182302786994265	0.993299268739011
Negr1	-2.3906839173235	12.4273008028849	1.83211192299257	0.183359343814525	0.993299268739011
Adgrb2	2.24943947440665	10.3969715513609	1.80455671352924	0.186616533664015	0.993299268739011
Pcdh9	1.83218494102452	13.755555951249	1.76475846581455	0.191444330736986	0.993299268739011
Vstm2b	-2.26011685212668	12.1630090162504	1.44386817125562	0.236470448180786	0.993299268739011
Ncam1	-1.26275063630053	14.2874497737733	1.37694429094173	0.247454129582673	0.993299268739011
Chl1	-2.00480518670248	12.98408982645	1.33941805573203	0.253894016946452	0.993299268739011
Car2	1.65498564434001	13.0019114600039	1.33876063483867	0.254008712332928	0.993299268739011
Ctnnd2	-1.94931542001337	11.899968925585	1.30253984875085	0.260154636700368	0.993299268739011
Cdh2	2.06973828123904	10.7342878618559	1.18018944435031	0.283719506298407	0.993299268739011
Ppfia4	1.84183922880704	11.7790360222631	1.16290112479972	0.287224176613819	0.993299268739011
Nrxn2	-1.62997791982979	10.0135259115609	1.12248939723066	0.295424834908075	0.993299268739011
Tenm2	-1.74330033882156	11.8515363730596	1.10046721883138	0.300106311331423	0.993299268739011
Ptprt	-1.74328154607642	13.0374849673069	1.05175412896863	0.311169513621856	0.993299268739011
Dscaml1	-2.19191986660051	11.3981428431552	0.914490558113232	0.344580295980578	0.993299268739011
Lrrc8b	-1.59801533105009	12.1765482431893	0.89259950346529	0.350357495968091	0.993299268739011
Epha6	-1.89892211678642	11.1002821860095	0.867216864544669	0.357226530820243	0.993299268739011
Lrrc4c	1.37851909652441	12.8263201924755	0.848699619975619	0.362357423257976	0.993299268739011
Pcdh1	-1.62290597197884	10.5510433525375	0.752983503280854	0.39062871437156	0.993299268739011
Sdc3	1.65987364690661	10.9684415528003	0.686115953773282	0.41232706738443	0.993299268739011
