logFC	logCPM	F	PValue	FDR
C1ql1	11.7650332030764	11.1599288177103	14.8113107108209	0.000321186277512413	0.0406886064937164
Pcdh17	10.0887026242597	11.1334008666648	13.4449381629449	0.000516856303270352	0.0406886064937164
Flrt3	11.4630460134358	10.5499922950026	12.8037104772774	0.000748870058166559	0.0406886064937164
Nptx1	9.59907622456927	10.2161472137578	10.9542443704647	0.00157035751020351	0.0639920685407929
Cdh13	-2.27745116794826	14.1125349044927	6.31140302818171	0.0146551031154003	0.477756361562051
Cd300a	5.03129359885816	11.1733280300351	5.25955266008292	0.0252835388947095	0.59401003398357
Ptprt	-2.70010114652103	12.1193092060903	5.1983801243592	0.0261138076542889	0.59401003398357
Ncam2	4.66706000145427	10.1951291357003	4.81045635575721	0.0321061973557384	0.59401003398357
Unc5d	4.25304943180392	10.9192327543875	4.77073996699085	0.0327981000359026	0.59401003398357
Jam3	-2.97051670694721	9.84671214099896	4.04714094023358	0.0486654006047376	0.745336585783337
Nxph2	4.97518832198172	10.1096055512544	3.94556731928349	0.0514890500276729	0.745336585783337
Jam2	4.67687619605149	11.1888156543675	3.83157232144779	0.0548714050883438	0.745336585783337
Ptpro	3.34853625625	10.7396431487203	2.6556652702715	0.108330942722464	0.983758855246349
Il1rapl2	3.20038034183499	11.5049678432174	2.08416278241597	0.153945856332663	0.983758855246349
Negr1	-1.84346639590323	11.6211375624037	2.00426386248655	0.161938852656036	0.983758855246349
Csf1r	2.99143376699007	14.1275054512385	1.94345217597428	0.170852626721274	0.983758855246349
Pcdh9	1.68246186832394	13.79581288217	1.74558416398124	0.191363227571924	0.983758855246349
Ppfia4	1.93421882009107	12.4422718449789	1.68638027402122	0.198962580246382	0.983758855246349
Tenm1	2.16689487432471	10.6833450899087	1.64888878432971	0.203961984124196	0.983758855246349
Lrrc4	-1.7237474710297	10.1537676729439	1.56474776595763	0.215744024171326	0.983758855246349
Adgrb1	1.33458068148316	11.9875109198883	1.3927626280234	0.242517005027573	0.983758855246349
Cxadr	2.1084237320686	10.5984713744977	1.33612462414913	0.252222078168283	0.983758855246349
Vstm2a	-0.830256096700071	15.0059582839621	1.2206100203844	0.273576117067152	0.983758855246349
Adgrb2	1.9347828258416	10.5146938099862	1.21760281121379	0.274162072026845	0.983758855246349
Lrrc8c	2.17944621000049	11.5073499717961	1.21266993674335	0.275126718903579	0.983758855246349
Mfap3	2.07828956436127	11.0679442986262	1.12500612103573	0.29302113226931	0.983758855246349
Lrrn2	-1.35631638200025	12.4880668711609	1.11900406825731	0.294300666615435	0.983758855246349
Il1rapl1	1.95491177507233	10.9011284398896	1.06345290852764	0.306497039174508	0.983758855246349
Ncam1	-0.846367262020808	13.7746658035152	1.05360803733675	0.308727388217354	0.983758855246349
Cd14	2.13642681670203	10.9380129723987	1.00030339671732	0.321184796412279	0.983758855246349
Cbln4	-1.14879795288404	12.7885072088536	0.934238202329879	0.337577401485937	0.983758855246349
Rtn4	-0.888539541013471	12.408970876395	0.929368644097831	0.338830140873268	0.983758855246349
Lrrc38	1.95993917636119	10.16993266637	0.905825044078215	0.344977451995094	0.983758855246349
Pcdh15	-1.51231331211717	10.7762376341236	0.904109970165186	0.345431220205416	0.983758855246349
Lrrn1	1.5142371116569	12.4318436905344	0.899960707720215	0.346532417158301	0.983758855246349
Cdh10	-1.40760282672432	10.4975290747973	0.866536240721215	0.355582469721246	0.983758855246349
Epha4	-1.36736703441868	9.96082186199228	0.852315811260955	0.359532413412216	0.983758855246349
Cdh11	1.45686630392063	11.8425105828213	0.807845792792604	0.372289187159387	0.983758855246349
Celsr2	-1.06659100810198	11.9398238190291	0.80751704054662	0.372385856944306	0.983758855246349
Pcdhb9	1.78742247553405	11.3968092838466	0.797112018906528	0.375463978875336	0.983758855246349
Adgra1	0.892591931417919	14.1511407379787	0.784906935512582	0.379121018149901	0.983758855246349
Clstn2	1.2749695453392	12.5115447265066	0.774633092818671	0.38223902376048	0.983758855246349
Ctnnb1	1.09969269010883	13.7163499460144	0.744898436771813	0.391474127755776	0.983758855246349
Lgr4	1.55881005030874	11.005679212354	0.735523546746284	0.394452909876163	0.983758855246349
Cdh2	1.57451174995904	10.791610337742	0.728816039027668	0.396604489476696	0.983758855246349
Cadm3	1.37406878423447	10.5566037019746	0.72000785632683	0.399456092668479	0.983758855246349
Igsf11	-0.977768179334676	10.2174536651998	0.713484423348598	0.401587467148034	0.983758855246349
Sema4g	1.31684333493136	9.85537890615696	0.711180449958284	0.402344236542125	0.983758855246349
Emb	1.06140203307738	11.9742270407533	0.706232398538133	0.403976613312262	0.983758855246349
Epha7	1.08676232872176	12.9467632971984	0.669772633393413	0.416313820963352	0.983758855246349
Epha5	0.760283016110451	13.5910826575434	0.666325812562315	0.41750920241311	0.983758855246349
Pcdh7	1.16105519151415	12.2676234009147	0.624721571535296	0.432357631435528	0.983758855246349
Lrig2	-1.22519680136518	11.0850466072972	0.601174745361086	0.44112315012079	0.983758855246349
Car2	1.01022309996335	12.766636262408	0.579002748706885	0.449632519603746	0.983758855246349
Slitrk4	-1.05006994746278	11.2799803518652	0.563989208970396	0.455542384206461	0.983758855246349
Nlgn3	1.08323314218525	12.1570977609025	0.533837824354191	0.467792533498192	0.983758855246349
Cdh9	1.33370771846628	10.1487630228347	0.530790939640353	0.469059979972168	0.983758855246349
Omg	0.807975718694207	13.2590971086374	0.527932428887118	0.470254153024273	0.983758855246349
Cntnap2	0.999576642669599	11.5376422948975	0.52562379931179	0.471222228457065	0.983758855246349
Lsamp	0.711726692246543	13.3060489796272	0.518602296577534	0.474186654380488	0.983758855246349
Ptprm	-0.953270740061967	12.0603482117583	0.517359264226376	0.474714636583481	0.983758855246349
Rtn4rl1	1.01725436037192	12.521868378046	0.510229785886782	0.477761665095787	0.983758855246349
Adgrl2	1.45037393620701	10.8751431252766	0.510159262218108	0.477791966633692	0.983758855246349
Slitrk3	-0.987033356354395	11.4542570060085	0.508331428065256	0.478578430779137	0.983758855246349
Dag1	1.34814811265197	11.1885869124545	0.499699700943098	0.48232153197651	0.983758855246349
Ptprg	-0.986702232971634	11.4307563408232	0.480502213607582	0.490823655644557	0.983758855246349
Epha10	-0.96298309866918	11.2809107882661	0.479300283072434	0.491364326910276	0.983758855246349
Nrxn3	0.61959028890462	14.077425344961	0.47304522248649	0.49419440728354	0.983758855246349
Sdc3	1.09168120726574	11.7059183034864	0.46759018800594	0.496685173204872	0.983758855246349
Nlgn2	-0.866702176855966	10.1635572928207	0.46002117240149	0.5001768274832	0.983758855246349
Cdh18	1.34222521889023	9.88294837970332	0.454085022437181	0.502944780511876	0.983758855246349
Clstn3	-0.672779091039966	14.2807731491942	0.452490875077725	0.503692606343105	0.983758855246349
Lrfn5	0.97753455867909	11.5366167608308	0.44031443265507	0.509468753139175	0.983758855246349
Cntnap3	1.28514719740851	10.847708699674	0.439494038731434	0.509862062850483	0.983758855246349
Opcml	0.683295307130606	14.1362563323909	0.398556799391191	0.53019216853288	0.983758855246349
App	-0.432320110445825	15.4391305249867	0.376666888638364	0.541672569150335	0.983758855246349
Dscaml1	-0.897655786276863	11.7353691651177	0.361299904329279	0.550010465721971	0.983758855246349
Pcdh10	-0.839566449861843	10.7184413339853	0.352012875511442	0.555167605576416	0.983758855246349
Vstm2b	-0.643471625541978	12.3317980706574	0.322340808451445	0.572286370294385	0.983758855246349
Amigo1	0.741472537852742	12.6394566508268	0.294438270292385	0.58936575361204	0.983758855246349
Ptprr	0.864495796261886	10.7681220760697	0.292615695365376	0.590517525386232	0.983758855246349
Lrrc8b	-0.661910166102431	12.1011055903216	0.277488478432909	0.600260905179967	0.983758855246349
Lrrc24	-0.810053688184515	10.8195768529125	0.271065915816187	0.604500806651578	0.983758855246349
Ptprn2	0.763262340250016	11.0949235646374	0.26489698688618	0.608633971045447	0.983758855246349
Ptpra	-0.469257694977912	13.2092653758919	0.260430013437663	0.61166509323422	0.983758855246349
Cd47	-0.455912612952659	13.5840102142446	0.259932081478478	0.612005002500266	0.983758855246349
Pkd1	-0.635060260220077	11.8873590881583	0.257136478716182	0.613921070756311	0.983758855246349
Ptprd	-0.464167919062364	13.1625697061459	0.253849197507579	0.616190994689706	0.983758855246349
Unc5c	-0.646904202823548	12.4776183646937	0.250638488689494	0.618425948125287	0.983758855246349
Lrtm1	-0.510541245885948	10.4011682342266	0.242353777226433	0.624276935343189	0.983758855246349
Fgfr2	-0.746478454105981	11.0250733912773	0.216408961845918	0.643444931709178	0.983758855246349
Igsf8	-0.544632600809397	12.5497067532218	0.202957518342976	0.653939988712892	0.983758855246349
Ptprn	-0.480214072549358	12.5086082960826	0.201153347325606	0.655379299660927	0.983758855246349
Lrfn4	0.767282828626777	10.0975213229963	0.193358365694865	0.661688745770825	0.983758855246349
Cdh12	-0.663453118249429	11.8603168888697	0.190087619269534	0.664381509921453	0.983758855246349
Nfasc	-0.45136236305031	12.1792724383625	0.187668528945895	0.666390944224145	0.983758855246349
Epha3	0.685496774551337	9.9067973944089	0.171791267912806	0.67997746977582	0.983758855246349
Flt3	0.526146480440808	12.1563427061841	0.166673849744822	0.684513292043331	0.983758855246349
Adgrb3	0.451760959167873	12.8253485525496	0.166417858425794	0.684742317009847	0.983758855246349
Pcdhb12	-0.726290922934909	9.78283757346748	0.166254872492554	0.684888241139214	0.983758855246349
Flrt2	-0.70088212296864	10.7861785067026	0.165725027692816	0.685363198648488	0.983758855246349
Ctnna2	-0.634063302341167	10.4460312644796	0.159167501269763	0.691316210808935	0.983758855246349
Ntrk3	0.324477180719124	13.828698246514	0.158804635990295	0.691649755831846	0.983758855246349
Nlgn1	-0.416678747477296	11.5314315586839	0.155670205682479	0.694549502902446	0.983758855246349
Chl1	-0.432182120353101	13.2349873105251	0.153912052627514	0.696190839174429	0.983758855246349
Adgrl3	-0.527916509185184	11.0323382947655	0.151403359837463	0.698551718745005	0.983758855246349
Nrcam	-0.343299770400271	13.7908553338683	0.124211633901544	0.725724554201922	0.983758855246349
Lrrc4c	0.467439347312831	12.3587025915107	0.120910721165027	0.729244835967882	0.983758855246349
Celsr3	-0.561664786167294	10.5050304066686	0.118607675748262	0.731733004700083	0.983758855246349
Cd164	-0.385465299631517	13.2273024343692	0.113321646782713	0.73754813470879	0.983758855246349
Ctnnal1	0.597904288238965	10.7772269383506	0.112451017609025	0.73852033043228	0.983758855246349
Cadm1	-0.244100244618391	14.6471267711434	0.110849870394191	0.740319270170726	0.983758855246349
Cntnap5c	-0.541444030729761	10.647404895566	0.106845494719669	0.744882528453788	0.983758855246349
Cd200	-0.529061025689949	10.7993293569681	0.106617038816821	0.745145708480591	0.983758855246349
Cdh4	-0.511767713530489	10.6113484310984	0.101984250732498	0.750551503107645	0.983758855246349
Cntnap5a	-0.393584830299955	11.9895399805471	0.0937107203622145	0.760553197900837	0.983758855246349
Igdcc4	0.417335068614702	10.6157212141171	0.0856267396619214	0.770804480137674	0.983758855246349
Mdga2	-0.364359993602991	11.6270954351805	0.0813198580464572	0.776481871938054	0.983758855246349
Fgfr1	-0.346484876621902	9.80936391623104	0.0723224446981867	0.788891576273577	0.983758855246349
Ptpre	-0.246858376204473	13.9332577843337	0.0719361834195214	0.789442444355529	0.983758855246349
Cntn1	0.259514855179202	13.8650525792357	0.0713230867416533	0.790320082957798	0.983758855246349
Lrrc3b	0.452816723444175	9.85318683531311	0.0628437812709372	0.802898161516464	0.983758855246349
Adgrg1	0.455263035766677	11.0332173763808	0.0623131871239487	0.803714515403589	0.983758855246349
Tenm4	-0.365243359612206	11.3028328011973	0.0603017041391544	0.806843350969428	0.983758855246349
Pcdh8	-0.325971027839071	12.7161870462865	0.0561041599444476	0.813555917369866	0.983758855246349
Ntm	-0.218966362812474	13.1329383434865	0.0553838167914775	0.814734275274076	0.983758855246349
Tspan5	-0.21050368838309	13.3254824763418	0.0508044995816122	0.822422054057032	0.983758855246349
Fam19a5	0.297410543804527	11.9598892323649	0.0482252272180637	0.826913390355463	0.983758855246349
Epha6	-0.302471517775648	11.2440779715192	0.0448048143399304	0.833068380060629	0.983758855246349
Lrrc8d	-0.26909677851433	12.1657710201967	0.0411633468266057	0.839897603572557	0.983758855246349
Cadm2	-0.283024884105083	11.9108421911263	0.039230861909768	0.843650045601565	0.983758855246349
Cntnap4	0.177730646925268	14.0664781818166	0.0383702976341368	0.845351977186048	0.983758855246349
Clstn1	0.144947439618141	14.9746928128947	0.0367563352947566	0.848598220560423	0.983758855246349
Nrxn1	0.193210521604992	12.5903033747413	0.0367150784492276	0.848682162367973	0.983758855246349
Bsg	0.115113176727038	14.8343841365521	0.0331071111553403	0.856221937503171	0.983758855246349
Nptn	-0.142972415914878	14.8777137942954	0.0328666168878434	0.856739292138639	0.983758855246349
Ptpn5	-0.144100346759542	13.3612798549194	0.0311647646800512	0.860457616136792	0.983758855246349
Unc5a	-0.242211170588509	11.4982946051368	0.024052652871381	0.877262624681921	0.983758855246349
Ppfia1	-0.195735573257466	12.4259820919115	0.0237889684408978	0.877931817994169	0.983758855246349
Tenm2	-0.17530049829642	12.3659491923263	0.0235991988436444	0.878415779653937	0.983758855246349
Lrrtm3	0.225011717709968	11.7187975433762	0.0233163069626789	0.87914094128939	0.983758855246349
Fstl5	-0.265102546217886	10.4205039589454	0.0229327897530212	0.880131273866686	0.983758855246349
Ppfia2	0.198419420924267	12.3220621100544	0.0212797843057415	0.884499922874451	0.983758855246349
Fam19a2	0.164319337167571	13.3226344198865	0.0175263443657104	0.895113476910675	0.983758855246349
Adgrl1	-0.0934859281792158	12.182297447194	0.00807738189712884	0.928681339756069	0.983758855246349
Cntn2	-0.134754195876605	10.7765004198673	0.00796512419618592	0.929177314156956	0.983758855246349
Tenm3	0.120171115044128	11.8984198660183	0.00671942199558663	0.934937069396721	0.983758855246349
Ctnna1	0.143388531989975	10.0990635862894	0.00622358474729618	0.937378363898163	0.983758855246349
Slitrk5	-0.118727451813255	11.086365910205	0.00575822439047167	0.939760327171138	0.983758855246349
Ntrk2	0.0590351816914803	13.5841083432102	0.00522900187703369	0.942590123352851	0.983758855246349
Lrrtm1	0.080712759651463	12.6635962721274	0.00420054054418992	0.948535777579952	0.983758855246349
Lrrn3	-0.0818041578036126	12.5490928033571	0.00377458603008105	0.951211349295619	0.983758855246349
Ptpn2	-0.0932560460490233	11.7619544399288	0.00354613854518642	0.952708968109818	0.983758855246349
Ptprs	0.0455168496868626	13.9695686419811	0.00342520464813728	0.953521393844435	0.983758855246349
Ctnnd1	0.100733574750903	11.0221183687675	0.00319185687560536	0.955130761759481	0.983758855246349
Ppfia3	-0.0841390680740752	10.8475035463422	0.00285573975516251	0.957556516374401	0.983758855246349
Ephb6	0.0746468552123401	12.1474854362782	0.00230432771219152	0.961870212851971	0.983758855246349
Cntnap1	-0.063922987933334	9.9932546989153	0.00215711062408244	0.963107397259877	0.983758855246349
Pcdh1	-0.0628486766953012	10.9192978792531	0.00179201917711792	0.9663719825354	0.983758855246349
Pcdh19	0.0559102158781335	11.8969927364369	0.00167413561933754	0.967496215763039	0.983758855246349
Ctnnd2	0.0461937611034295	11.7805170064556	0.00126998463058286	0.971688194445781	0.983758855246349
Nxph1	0.00513755404881269	15.3359130995419	3.48995380207942e-05	0.995305719599297	0.997802054546571
Lrrtm4	-0.00423678051789226	10.1097416235037	7.65088077687347e-06	0.997802054546571	0.997802054546571
