logFC	logCPM	F	PValue	FDR
Npy	-12.2806027612959	5.55654948413839	89.6222036478002	1.40994251013348e-12	1.13725962867366e-08
Sst	-8.13087673626731	6.78655998806386	23.0142544688429	1.58900636466823e-05	0.0640846266870698
Plk3	12.8709346796824	6.65279244373865	22.3582764544933	2.90760561246111e-05	0.0781758229003709
Brinp3	-6.40391397756435	5.3319293837673	19.013385151679	6.79403977114131e-05	0.137001811985065
Gpr34	13.4115261122308	6.64212785664703	16.2840024842185	0.000244704093683818	0.307882020935346
Prr3	10.3605377006088	4.70114847102176	15.0376318373456	0.000318735453734929	0.307882020935346
Ctdp1	11.7774398303108	5.91762947165246	15.4981364916598	0.000328630349174631	0.307882020935346
Tent4a	10.6254397042886	4.73648035991513	15.0810023842893	0.000385089518482036	0.307882020935346
Rab3il1	11.8679812260858	4.90018270149875	14.8560355018061	0.000419715270609475	0.307882020935346
Lrrc57	11.4722891984688	5.27452391808238	14.7391305794957	0.000438994326757417	0.307882020935346
Plod3	9.01341055275797	5.89568531690077	13.3895151086547	0.000626164075604959	0.307882020935346
1810055G02Rik	10.4091898339799	4.3250926936942	13.743225114439	0.000646667469206083	0.307882020935346
Nol12	9.66864794376598	4.87242620795837	13.2487206796032	0.000664033749583057	0.307882020935346
Synpr	-5.44572209462892	6.80048446806238	13.209395402493	0.000675034887828098	0.307882020935346
Pik3c2b	-5.30391650095651	4.26654566122828	13.1976015293201	0.00067837133040002	0.307882020935346
Luzp2	10.4783558473408	5.17602425472385	13.1710764528589	0.000685938536922134	0.307882020935346
Dcbld1	8.96932668152196	5.77900368144348	13.1567950486435	0.000690049430944947	0.307882020935346
Desi2	8.39437167914408	5.09381656440039	13.0533566478856	0.000720606531280227	0.307882020935346
Tmem176a	10.4345126819042	5.14475414561762	13.0380859108888	0.000725236597789682	0.307882020935346
Ctxn1	10.0335939289266	4.79159450309875	12.8080423655261	0.000798891652683668	0.322193003527323
Rrad	11.4574875441631	5.25178399583672	12.9470058302441	0.000887029902699274	0.340703961674874
Osgin2	8.92011184191376	5.06263202593067	11.9613082950043	0.00114517024136877	0.419861053040022
Zfp51	9.70372818822351	5.17491522944116	11.3217097695586	0.0015097445048802	0.529460833754944
Fdxr	8.51196941121638	5.28399421327413	10.8729993967539	0.00183712058487924	0.617425609901499
Paqr8	-5.31911125020669	4.89217315668443	10.1814224951258	0.00249594965113957	0.80529319544367
Stk19	7.0343080158324	4.98968544205009	9.97885866018853	0.00273295416820078	0.808491449356788
Cln3	9.14641402688994	4.96226161495807	9.85736817732304	0.00288637697942494	0.808491449356788
Gpc1	-4.50690802012186	4.60407946389442	9.80208755060101	0.00295916757536246	0.808491449356788
Robo2	9.20641841868768	5.3769235938197	9.63445836578323	0.00319196448977647	0.808491449356788
4930453N24Rik	-4.24836000659668	5.21692720604911	9.62919675836292	0.00319957691845231	0.808491449356788
Stk11ip	8.25993387784857	5.40618200708735	9.60778890561018	0.00323074746761358	0.808491449356788
Ncam2	7.57449636922234	4.68234578540619	9.5722100256582	0.003283261811471	0.808491449356788
Mdm2	6.69274309766552	5.51411448635586	9.44082941518467	0.00348511265419994	0.808491449356788
Col11a1	7.55312651049724	4.94370183289813	9.3960831616312	0.00355681399312478	0.808491449356788
Ncf2	5.98830832333466	5.72835152164687	9.37421883099315	0.00359241374015483	0.808491449356788
Triqk	8.55027845616424	4.71064639943132	9.31578283205017	0.00368941718259909	0.808491449356788
Cacna2d3	-3.09796109795246	5.99096950308815	9.30437384885271	0.00370867637319628	0.808491449356788
Arrdc3	7.89644273678093	4.70390360598263	9.15514623206461	0.00397058654632732	0.829518526571472
Lrrk2	-4.77418820959796	4.1621407925255	9.1167480345224	0.00404108945815425	0.829518526571472
Zfp322a	6.34650783486651	5.51782132679376	9.07795797323874	0.00411365497927831	0.829518526571472
Cldn12	-5.03441128825892	6.59082112951483	8.90410110013489	0.00445620884151893	0.874570304396351
Mlip	7.8141057484236	4.49388084388664	8.8570881234929	0.00455392422323912	0.874570304396351
Nupl2	7.49356239963342	4.80679619764952	8.71399660698722	0.00486551594129498	0.912680269360123
Zmym1	7.37401781666675	5.4972726168044	8.56409396018744	0.00521622329052509	0.95413826367235
Zfp955b	-4.7913092966177	4.8708221389946	8.41069794594642	0.00560289755213108	0.95413826367235
Xlr	7.52516469330654	4.60490132884345	8.40785164450442	0.00561035249827435	0.95413826367235
Gga2	5.81049970845764	5.6612589621463	8.36861888950848	0.00571418545513307	0.95413826367235
Fam102b	7.28689184552147	5.27103354088503	8.35048366994476	0.00576286701142027	0.95413826367235
Supt7l	-3.34181896501911	4.58720672382855	8.3381308347789	0.0057962775749994	0.95413826367235
Chrd	7.151455932681	4.16919993056218	8.2640307362687	0.00600104450036198	0.968088498798394
Adprm	7.44363358928442	4.56042492466225	8.22122985940574	0.00612279462191235	0.968361988634216
Dicer1	-3.74534194051253	4.9247265580426	8.12876324357885	0.0063948348008455	0.984948656926737
Cxadr	7.75549329721241	4.53304761510457	8.10332709175543	0.00647189174524139	0.984948656926737
Smyd3	7.11252284336516	4.13762410325727	8.03207465847298	0.00669302515074021	0.999447065713068
Nat10	6.61154131194035	5.14608355994084	7.99383925816571	0.00681497503275709	0.999447065713068
Map3k9	7.04463375393394	4.48282660927056	7.92501745751393	0.00704044664160157	0.999605234307618
Tmem206	-4.88492248845677	5.90413341650503	7.88999506973528	0.00715820681271377	0.999605234307618
Nhs	5.60006485359445	5.68800964467982	7.50968865419185	0.00858016471468538	0.999605234307618
Ercc6l2	6.97545278743698	5.79906883624825	7.44710237373352	0.00884155380706178	0.999605234307618
Csmd3	5.56095974652497	4.95658947023337	7.43814636736707	0.0088796438155624	0.999605234307618
Lair1	6.94708546110604	4.89088072812766	7.37004674259498	0.00917503102052275	0.999605234307618
Klf11	-4.46246388778792	4.3109127637061	7.2831331364115	0.00956725817871407	0.999605234307618
Tor2a	-4.09978286417144	4.07286326158228	7.28057894362407	0.00957905069037475	0.999605234307618
Negr1	-3.66972854255518	5.27013103316508	6.90410885169947	0.011498131644741	0.999605234307618
Grin3a	-4.06147472119208	4.58711494157153	6.87860875322754	0.0116421209112455	0.999605234307618
Dennd4c	6.29507896109922	4.29211557608431	6.87461906551476	0.0116648221150369	0.999605234307618
Hipk2	6.08167763862287	4.11654440096164	6.81814423550099	0.0119912629876221	0.999605234307618
Kcnd3	-4.14176635522609	4.80259570391088	6.43679182165	0.0144667727064614	0.999605234307618
Setd4	-3.27986393555349	4.94861601861404	6.32638973823042	0.0152811727472179	0.999605234307618
Il15ra	5.68960254777975	5.94953162642158	6.25354390612337	0.0158452236545735	0.999605234307618
Ddx6	4.71633587086422	4.26108599309151	6.24273179285186	0.015930818838012	0.999605234307618
Prmt9	4.34086415255193	4.65041376835743	6.20562487801771	0.0162283533125069	0.999605234307618
Sike1	4.53467451158452	5.28175004121411	6.1681904784258	0.0165345333024297	0.999605234307618
Eml1	-3.7601384426751	4.51756900554739	6.11858323357107	0.0169498149231665	0.999605234307618
Gmfg	6.04985615922285	4.96875520794704	6.0021773088145	0.0179686891624264	0.999605234307618
Ints8	4.88266097338779	6.6097561328867	5.99058585222466	0.0180736730715739	0.999605234307618
Cd46	6.05940524342577	5.26069419292227	5.92691365976703	0.0186621709043704	0.999605234307618
Zfp729a	4.67357386734529	5.04272118349451	5.87609243346434	0.0191465968474244	0.999605234307618
Mgat4a	-2.72109389981046	4.27796181409162	5.85022049942749	0.0193983594853223	0.999605234307618
Rnf20	-3.58846490257998	6.86114073499957	5.84381188260906	0.019461268348681	0.999605234307618
Fam208b	4.71938932904223	5.62860881704866	5.82031607360991	0.019693784447843	0.999605234307618
Kdm6a	4.94655705824003	5.85648304259427	5.8057176175877	0.0198397481629241	0.999605234307618
Wdr44	5.05802231351789	4.23004077376638	5.76719459195919	0.0202305127997835	0.999605234307618
Phka2	5.90184661111366	4.86099795651597	5.72894738387055	0.0206266439223249	0.999605234307618
Map3k3	6.16502621090183	4.85288811949272	5.72391903894815	0.0206793379048686	0.999605234307618
Mpp5	5.55314737414041	4.80880331543244	5.69465133119062	0.020988922008236	0.999605234307618
Pou6f1	-3.37147248246849	5.66755433764719	5.64898988837	0.0214818731100306	0.999605234307618
D3Ertd254e	4.40849382042343	4.7026589117731	5.64508812272766	0.02152456743088	0.999605234307618
Nxpe3	-3.7921617204782	4.21749251194266	5.59974315662612	0.0220274719919612	0.999605234307618
Rpa3	5.22661892926415	4.08040947808777	5.52612261780301	0.0228709990084438	0.999605234307618
Narf	-3.92167744596396	5.50178164346769	5.51588641201313	0.0229910003519651	0.999605234307618
Prep	-3.4838173295513	5.20915723846252	5.51452292306536	0.0230070357550425	0.999605234307618
Ispd	5.14904437531182	5.77611581530525	5.43819372118903	0.0239241379301068	0.999605234307618
Pcsk7	5.44793059583118	5.84348444720216	5.42247930055104	0.0241177753196489	0.999605234307618
Gm7072	5.06804462921558	5.42976516952555	5.31156702884219	0.025533274928018	0.999605234307618
Grik2	4.27047772869058	5.47668411411723	5.30368368644954	0.0256372280000665	0.999605234307618
Gmcl1	-2.59186576860145	6.52166820836001	5.27028953997984	0.0260826497823464	0.999605234307618
Nras	3.99837240964056	4.32644199561509	5.26124705019588	0.0262046878435361	0.999605234307618
Mbip	5.37511020181674	5.34582031156267	5.2254041177283	0.0266945018534792	0.999605234307618
Ap5z1	-3.35580027405221	6.58974862858331	5.22210248574217	0.0267401133304659	0.999605234307618
Ssr1	-2.47445135867817	6.4426390891692	5.2066201029425	0.0269551209578588	0.999605234307618
Mri1	4.20194285195959	4.53484402596095	5.20363122686118	0.0269968419853309	0.999605234307618
Traf7	4.82718059612379	6.65753355412233	5.20286816315483	0.0270075045434717	0.999605234307618
4931406P16Rik	5.60515970918629	4.70164732783859	5.16489721596124	0.027543851615647	0.999605234307618
Fbxl4	5.41400236370411	4.11834504410642	5.10585207408763	0.028400781603594	0.999605234307618
Parp2	4.72159428897163	6.22221746537745	5.09572495329012	0.0285506203737662	0.999605234307618
Col4a1	5.15704217411801	5.74693840724205	5.08726202800798	0.0286764891200392	0.999605234307618
Mtg2	3.87927370643256	4.97234402907285	5.07594561917462	0.0288457324077112	0.999605234307618
Fth1	1.20855726305588	11.7416282455704	5.03843817924623	0.0294144151307825	0.999605234307618
Ppm1f	-3.57189948256438	5.23601951726921	5.01160851298405	0.0298286099071091	0.999605234307618
Ankfy1	4.46865664154193	5.13789723755767	5.00043011297958	0.0300030327936448	0.999605234307618
Ahcy	-3.85680690367367	4.28033836994868	4.99375915546764	0.030107647135389	0.999605234307618
Nfatc3	3.84151409950578	5.57620956867149	4.95950595247853	0.0306510383892148	0.999605234307618
Ttc27	-3.74494625656764	5.54705117593112	4.95484461550117	0.0307257994335264	0.999605234307618
Ints7	3.82947488342164	4.99370657847302	4.92319541147764	0.0312386374039106	0.999605234307618
Zfp704	-3.33684510111568	5.2364246829274	4.89579143543145	0.0316901497371422	0.999605234307618
Zmym5	3.73494956054028	6.3656820403906	4.88932813747573	0.0317976632535011	0.999605234307618
Mgat5	-2.66769183594736	4.37459346428754	4.86188203179307	0.032258620154564	0.999605234307618
Wiz	-3.25449666767647	4.58867182961284	4.85299880362586	0.0324093550377281	0.999605234307618
Lgals9	5.27835835267001	6.31620165515307	4.84155345519306	0.0326046873527365	0.999605234307618
Bcl2	-2.48674936222308	4.56676305329911	4.81960469721417	0.0329828424279288	0.999605234307618
Cyp51	-3.41420421073094	6.20237161258364	4.80435601166746	0.0332483495528	0.999605234307618
Hps5	4.73188149074893	5.11655642846581	4.78946764895507	0.0335098118157561	0.999605234307618
Adcy8	-3.20886660049269	5.07828025895044	4.78015110492789	0.0336745539472061	0.999605234307618
Vma21	4.44058361778777	6.24718126810208	4.7749896314421	0.0337661995673331	0.999605234307618
Ttc3	-1.01726164486419	10.1750212734036	4.77050287173374	0.0338460841694232	0.999605234307618
Faah	4.01589532297636	6.98713298087571	4.7418484495567	0.0343611051300423	0.999605234307618
Atg7	4.41435709873995	5.1561110265756	4.73105091211939	0.034557367205397	0.999605234307618
Kcnj11	5.40559295964255	4.33912741931088	4.69303691043527	0.0352580355530754	0.999605234307618
Glb1	-3.52788405708763	4.55539666460654	4.67317944080168	0.0356301425753996	0.999605234307618
Nup35	-3.49957154346724	5.01627512839822	4.65841255381248	0.0359096118896407	0.999605234307618
Htatip2	-3.5620544897376	4.24001801944073	4.65551318891895	0.0359647616282462	0.999605234307618
Fam160b1	4.57365639940605	5.29401175298043	4.65524596715675	0.0359698491493681	0.999605234307618
Dennd4a	3.51851259949489	5.63785547327718	4.59278936404097	0.037180579169157	0.999605234307618
Ccne2	-3.79112295011522	4.49973147107576	4.58947156909597	0.0372461176918931	0.999605234307618
Sfrp4	4.87183083657677	4.78996068916972	4.58498008056612	0.037335040357685	0.999605234307618
Ss18	4.83091022727894	5.07989352838157	4.56611294486847	0.0377110924799339	0.999605234307618
Klhl12	-2.71361492391137	5.48484366702794	4.55932867545778	0.0378473151591569	0.999605234307618
Smurf2	4.52037787932933	4.70953700776909	4.53912189964278	0.0382562197933589	0.999605234307618
Lins1	-3.48439476938538	6.73748392018033	4.5224685372379	0.038596817013265	0.999605234307618
Zfp930	5.45928169874504	6.59179919807861	4.49010212501409	0.0392682209598267	0.999605234307618
Pde5a	3.61942230057587	5.33037009820199	4.4640382669103	0.0398180931307824	0.999605234307618
Cdkn1a	4.08017002093749	5.63452780782225	4.46029210151202	0.0398978105310763	0.999605234307618
Nalcn	-3.16419437317761	5.25273669000155	4.44730955472197	0.0401754182911232	0.999605234307618
Ppil3	3.62926636954457	6.26735143003975	4.44620148051782	0.0401992092995291	0.999605234307618
Siglech	4.67686626466741	6.3191657892938	4.44488535801368	0.0402274870920391	0.999605234307618
Nfkb1	4.38985271321595	4.25431197146668	4.43658261078998	0.0404063756561397	0.999605234307618
Vstm2a	-1.77405864518018	9.12272837003308	4.4192740337377	0.0407820833662582	0.999605234307618
Kmt5b	-2.62524095387487	5.44963763746559	4.41130237035696	0.0409563937385815	0.999605234307618
Eaf1	-3.44397251379778	4.89968296865357	4.36325521496224	0.0420242875404015	0.999605234307618
Map3k1	3.67607599460918	4.27850319368031	4.35293142898413	0.042257668262877	0.999605234307618
Rprd1a	4.0269150341079	6.0082295599694	4.34526055401371	0.0424319887581284	0.999605234307618
Ube2z	-3.23653145711492	5.78941695167285	4.32890616926992	0.0428062564949987	0.999605234307618
Ubtf	3.40148581224205	6.54876329003466	4.31789139762285	0.0430603491856775	0.999605234307618
Msh3	3.78973103580452	5.90978059400554	4.30852787374554	0.0432776397820143	0.999605234307618
Elp1	4.2286742668449	6.32260777854861	4.29961347986618	0.0434856158958985	0.999605234307618
Tdp1	-3.0512455903973	4.16163253193098	4.29526419801278	0.0435874804768012	0.999605234307618
Stt3b	-2.97944519421592	6.97505929261899	4.28366099071922	0.0438605110591805	0.999605234307618
Trim12a	4.1295384764556	5.18568740484642	4.28308015631191	0.0438742272444428	0.999605234307618
Ecd	3.20251917436741	7.26170127804767	4.28119233411673	0.04391883968405	0.999605234307618
Tbc1d32	3.11466560013154	4.13016588619258	4.26715899841302	0.044252021936441	0.999605234307618
Runx1t1	-2.18159835865495	5.14092406417684	4.26674786226239	0.0442618245766409	0.999605234307618
Erlec1	-3.15254016044265	5.23696211368269	4.25657912274863	0.0445050292153457	0.999605234307618
Clcn3	-2.05592038046737	8.20847690514169	4.23384524921822	0.0450540284768519	0.999605234307618
Nomo1	-2.44852385170483	5.66991063114103	4.21655649160783	0.0454764674929541	0.999605234307618
Tut4	4.58938452702893	4.90502588412543	4.19158875820565	0.0460941664229648	0.999605234307618
Pygl	-3.21487057874641	4.87602179571207	4.18933985806626	0.0461502508650702	0.999605234307618
Samd4b	-2.62142483409731	4.78096878097634	4.1769547364459	0.0464604533588108	0.999605234307618
Lman1	-3.13872538626084	7.00082538235078	4.16109184804481	0.0468610833503405	0.999605234307618
Slc27a1	-2.70700166603713	5.73639269733991	4.12465012810865	0.0477957801707785	0.999605234307618
Slc7a1	-2.90639030861816	4.46501751366985	4.11521622609869	0.0480410494470889	0.999605234307618
Sec14l1	2.3551884355928	7.68210127187573	4.11099231128074	0.0481513102731264	0.999605234307618
Atg2b	-2.50523288106405	6.15461296379186	4.10846365397561	0.0482174502238131	0.999605234307618
Tac1	-2.73825108926233	8.72827474972126	4.08618412458377	0.0488044980699754	0.999605234307618
Smg7	3.29934525341807	5.83896304198948	4.07488184197067	0.0491052812452985	0.999605234307618
Zfp30	-3.02308386323054	5.12822465150265	4.06886576320557	0.0492662091086827	0.999605234307618
Phf20	3.74275764243312	6.40083584668525	4.0674836294331	0.049303261907266	0.999605234307618
Zfp277	3.43444202383888	5.1281485909085	4.04861534872331	0.0498121435111554	0.999605234307618
Nxt2	4.11349813859626	6.38557785255951	4.04769211761086	0.0498371899411573	0.999605234307618
Cnp	4.59270249737299	5.52739181558409	4.04752254377462	0.0498417918210827	0.999605234307618
Calcoco1	-2.92213557127312	5.11250942678723	4.0184886300727	0.0506365940275623	0.999605234307618
Abca7	4.56792588682794	5.11991294219207	4.01198787577441	0.050816441807125	0.999605234307618
Wdr59	2.90193720482145	4.40255243566336	4.01066954568033	0.0508529993257349	0.999605234307618
Ophn1	3.77553798625206	6.61757624247449	4.00760171908578	0.0509381819336299	0.999605234307618
Sfmbt1	4.67205662455242	5.43290449734663	3.98689699295523	0.0515171705339801	0.999605234307618
Nfib	3.1470078540597	5.51509511623426	3.98574699081974	0.0515495393950254	0.999605234307618
Simc1	-3.10937981712204	5.19648612105208	3.96683414920212	0.0520850759715002	0.999605234307618
P3h3	3.70710488380921	4.53248724132856	3.9587396588512	0.0523161355069999	0.999605234307618
Slc20a1	3.80624520004929	6.52667019603618	3.95799703246042	0.052337390041246	0.999605234307618
Scai	3.58275457074999	6.50814849983927	3.9546086684221	0.0524344874834159	0.999605234307618
Ybx3	3.81929138343536	5.12804878338518	3.95247972081997	0.0524955956454303	0.999605234307618
Wdr24	4.71234725885262	6.03546057047829	3.9407122468813	0.0528347706907194	0.999605234307618
Acvr2a	4.44251300237666	4.59798257517781	3.92922547473326	0.0531681677322701	0.999605234307618
Olfml3	3.93697833837657	6.73008660204881	3.91824253198192	0.0534890944116983	0.999605234307618
Cox10	3.16492890224366	5.85376544876212	3.91817486928674	0.0534910781030815	0.999605234307618
Dhdds	-2.57277809084154	5.33478894819783	3.89216811696561	0.0542595225134364	0.999605234307618
Racgap1	3.80650173849609	5.6351605044758	3.88942186189653	0.0543413711501569	0.999605234307618
Zfp777	4.16143700576946	5.20932948124792	3.87004108978042	0.0549228475081142	0.999605234307618
Gtpbp4	1.88622378972227	7.70256625545187	3.8591377554808	0.0552529694232482	0.999605234307618
Myt1	4.49688806322279	5.40214949302313	3.84836608682719	0.0555812399786221	0.999605234307618
Atl1	-2.37266025997088	6.92168146417454	3.8455631433049	0.0556670105776497	0.999605234307618
Sh3yl1	4.56180308111648	5.62955799410611	3.84124407718444	0.0557994587996737	0.999605234307618
Fzd1	4.7123365839873	5.31872867054735	3.83663548724139	0.0559411663929642	0.999605234307618
Nrg3	-2.797390096892	5.27987216367055	3.8334289450439	0.0560399956087354	0.999605234307618
0610010F05Rik	3.62132178418595	7.3518935540566	3.82035948918637	0.0564447945700508	0.999605234307618
D1Ertd622e	-2.64338399071719	6.77110545296324	3.79561527151118	0.0572200014825874	0.999605234307618
Sh2b1	-2.92804093706819	4.22141557579147	3.7922572107121	0.0573261020324196	0.999605234307618
Smg8	5.05581227557836	4.24213696731078	3.79183940515492	0.0573393180083165	0.999605234307618
Carmil1	3.77632644052201	4.9675927797807	3.78366770754732	0.0575984770989666	0.999605234307618
Cers6	-3.05137923613495	5.53245913667183	3.78325429311253	0.0576116223146692	0.999605234307618
Nr6a1	2.89879320908733	4.4847175895388	3.78114303751524	0.0576788046091709	0.999605234307618
Pde4b	-2.81247591207581	5.04490481192512	3.77847391897378	0.0577638616827129	0.999605234307618
Tbck	2.81105805043313	4.58547057812259	3.7629163687531	0.0582623821910921	0.999605234307618
Zdhhc2	-2.69943982501658	6.92265790950257	3.74576632530442	0.0588174087004262	0.999605234307618
Pnck	-3.03262376342248	5.27517298711115	3.74247613501135	0.0589245510575812	0.999605234307618
Ubr2	-2.85066922191995	5.66949148710478	3.73484276081411	0.059173951674455	0.999605234307618
Mto1	-2.48095064185074	5.00817338745237	3.72088529829435	0.059632977640593	0.999605234307618
