logFC	logCPM	F	PValue	FDR
Plk3	12.3419347248807	5.68138280602771	24.9620966196214	2.02357364799257e-05	0.0909613660717885
Prr3	10.5726388025617	4.56226451924295	21.2252881477424	3.94601020555513e-05	0.0909613660717885
1810055G02Rik	11.5702433100302	4.9869460416989	22.5516768341777	4.14328847419475e-05	0.0909613660717885
Asic2	8.0461355112347	5.85152985745006	20.3944032047262	5.25816482257803e-05	0.0909613660717885
Ctdp1	11.8419233601076	5.50800342106946	21.6131185764855	5.52822207802288e-05	0.0909613660717885
Abcb6	11.9218081296019	4.96773964295154	20.181513504283	8.67582778719225e-05	0.0999560118558012
Mafk	11.6011641438911	4.77797582761525	19.9714950545027	9.27940144858906e-05	0.0999560118558012
Slc35e4	11.2509100206051	4.58098125083689	19.8272462728452	9.71980180924286e-05	0.0999560118558012
Zscan18	9.79805907111974	5.14769348125001	17.7110655177643	0.000137031011743095	0.110317535238645
Med12l	11.2833403286506	4.46824968261779	18.6011561728955	0.000145000595417209	0.110317535238645
Jmy	11.5094469670306	4.6667163330429	17.8772082020859	0.000184566849832164	0.110317535238645
Pxylp1	10.3850587320041	4.91444694266575	16.8568224355335	0.000187850420228773	0.110317535238645
Tom1l1	11.767301358562	4.19840201879466	17.6997922324908	0.000195926301123516	0.110317535238645
Mettl4	10.8404903250039	4.48075437071843	17.3900902698155	0.000217581987806269	0.110317535238645
Tent4a	11.4701484380272	4.95031369004707	17.3743707814587	0.000218747184119448	0.110317535238645
Mtf1	10.0224685890032	4.06394006158396	16.4085137668509	0.000222149374838051	0.110317535238645
Aldh3a1	11.5759148987994	4.84904290656049	17.2531875450835	0.000227956496785822	0.110317535238645
Rem2	10.7274573329424	4.03352856637741	17.0204807315179	0.000246821634844203	0.112811199436848
Triqk	8.71886758277604	4.95273268238691	15.9480042402643	0.000264333864613273	0.114456563377547
Cd36	11.880537682966	5.18956956155323	16.6536276319902	0.000280026192389838	0.11518877423956
Ctxn1	10.0357686123503	4.30428608014186	15.6586179003371	0.000295099692709745	0.115608817710623
Oxnad1	8.81033706746223	4.29784896939866	15.3574743667825	0.00033115652333779	0.119331622531458
Nol12	8.9260686142494	4.1788986428038	15.2128360928195	0.000350099540846927	0.119331622531458
Pik3cb	9.7627986028751	4.19456078412583	15.0631057933309	0.000370918003530493	0.119331622531458
Ldb2	10.8276904765621	4.36415007113626	15.8140138166439	0.000375355220487397	0.119331622531458
Crym	10.0613081560675	4.52626021941023	15.0029911256589	0.000379640132494454	0.119331622531458
Itpka	11.6504261752367	5.02908921897731	15.6937466896511	0.000391631677203036	0.119331622531458
Coil	10.8209295151752	4.10376626691954	15.2184568365713	0.000463723889281599	0.136252015611419
Eri2	8.16149402229549	4.4124558621967	13.9880977327366	0.000564635255367719	0.160181180893456
Iqschfp	11.0333298073734	4.39390795447613	14.5225008391472	0.00059602421923669	0.163449708388675
Grm1	8.38145677232864	4.29013469736743	13.5599715371304	0.000669338125710086	0.17763370194248
Stk19	7.07983645954859	4.72806635950247	12.6478732911227	0.000967007261592045	0.24861152315993
Phldb2	8.07355070484368	4.43647641572688	12.560295668399	0.00100218608576968	0.249848028109913
Smyd3	6.77936679040397	5.15070591954442	12.2749386381943	0.00112650684315946	0.272581523490379
Zmym1	7.9597455672878	5.55937169299595	12.17932419717	0.00117172796671586	0.274314460787656
Plod3	7.35678626067093	4.87265434085505	12.1207917656445	0.00120035500040788	0.274314460787656
Gas8	6.56983258868201	4.35592752892891	11.8193587132572	0.00135996283932794	0.302389575112187
Zfp61	7.97000983258131	4.13901852673166	11.4673995898025	0.00157518703231864	0.341027992496985
Rtn4ip1	6.76673722908087	4.10538829050492	11.1904816093527	0.00176978452957079	0.373333777558433
Pcp4	6.44648246702418	4.70592224833274	10.5321199455926	0.00234209884572068	0.471413382863722
