logFC	logCPM	F	PValue	FDR
Snca	11.1337283839115	6.9556676806046	71.4153398594602	2.50851292657152e-11	2.08081147259107e-07
Hs3st2	11.0160439768028	4.29455505444914	59.1202265862019	3.98751363597046e-10	1.65382128051875e-06
Prelid3a	8.11353524197908	4.15872423361588	33.5119973431196	4.15375039272354e-07	0.00114851198358806
Slc15a3	-11.8461961957408	4.80155409360795	26.3185837880652	4.37151331903851e-06	0.00906542574535611
Tmem176a	-12.0383729025957	4.90216626835186	23.809518828846	2.05307885083814e-05	0.0340605781354047
Mid2	6.11441135620861	4.45994645946066	18.1003267949145	8.77273732869271e-05	0.121283093569177
Gpr12	6.52776812904025	4.71075919555817	17.3539521542071	0.000117485381315934	0.139220176859381
Lin7a	5.78353702180629	4.68661644623904	16.9534477678976	0.0001376306843785	0.140673933418327
Ift88	-7.57712039322251	4.54304117332607	16.6931496993593	0.000152629945842669	0.140673933418327
Zfp825	5.57201389822686	5.31468158693363	16.0273896962059	0.000199283966070846	0.165306049855766
Lcp1	-6.03262146861159	6.75707091769421	14.2915112376665	0.00040556482873407	0.305832750395373
Gm19220	-1.98564677349869	8.27696284075442	13.8299752587248	0.000491798222565774	0.326342077976323
Tcirg1	-5.89798443983432	4.91766247868098	13.7366845072326	0.000511446294598216	0.326342077976323
Cep192	-6.06430339592287	4.97838708813361	12.8241624146072	0.000753083216380812	0.442470546244275
Cenpt	5.07287221172011	4.18409366310061	12.6827282602171	0.000800127570061981	0.442470546244275
Rbak	4.75386952208603	4.68328449628869	12.4283473725904	0.000892645787014833	0.44783660660754
Tbc1d5	-5.5147507040932	4.33035388915073	12.1629135888257	0.00100120983300866	0.44783660660754
Gm10800	-4.46218502498838	7.51765977462923	12.0245086189407	0.00106322119343239	0.44783660660754
Lrrk2	5.40647376352344	4.24513054724243	11.9749106760079	0.00108641117275509	0.44783660660754
Mbp	-5.43932763101601	11.5140251302929	12.3187716296823	0.0011321954148086	0.44783660660754
Fth1	-1.47414020505231	11.5508956219321	11.8769911270758	0.00113376356103175	0.44783660660754
Map2k3	-5.82660711485159	6.68375703314648	11.3686865974062	0.00141681990794431	0.534205506199912
Dock10	-1.32411991354039	12.0302860200883	11.2381698278719	0.00150084594715874	0.541283353551381
Slc6a1	1.14838684947379	10.7767048647694	11.0580447722116	0.00162548587132599	0.561808554277044
Trim12a	-5.44650986240535	4.87463056741008	10.9529993865514	0.00170314253654361	0.565102693625171
Lars2	-1.20920717059096	14.1685439495615	10.6089631334829	0.00198589815805511	0.633577893117967
Cpne3	5.1304729206373	4.25022320232027	9.85284915370313	0.0027949687348518	0.858676505762804
Zfp937	-5.54788083009874	4.30041841942195	9.67357260880445	0.00303351999341207	0.867995697943182
Toe1	4.82508491857013	4.18290661959115	9.65359629623941	0.00306139644045309	0.867995697943182
Igsf10	4.96493038045258	4.37207825292734	9.59882073630141	0.00313922494735328	0.867995697943182
Neurl3	-4.6990473634074	5.39566234810701	9.40105980398434	0.00343798448042784	0.909041000934079
Kdm3b	-3.28308593290771	5.03953098938145	9.24995077630819	0.00368635983276655	0.909041000934079
Plp1	-3.69009206958261	6.35995643974744	9.211539988011	0.00375245768474973	0.909041000934079
Tor2a	3.94964923143481	4.14593926728792	9.19870890364931	0.00377481455600643	0.909041000934079
Itpr1	2.19499111687759	6.29694535017687	9.16421413331011	0.00383561603769653	0.909041000934079
Patj	3.8762759872899	4.41644091461721	9.01442686404252	0.00411184289056956	0.912876338161703
Bhlhe41	-1.64114741028575	8.07396055889813	9.00302878113995	0.00413370267399721	0.912876338161703
Tbl2	3.97539900369754	4.20231654841005	8.97809320670927	0.00418195308621395	0.912876338161703
Plekhb1	-5.39283722367863	6.59446197359294	8.86139227199982	0.00441578408890334	0.939203308139827
Zkscan1	4.23457596275927	4.42789416704736	8.66211498610283	0.00484747137918965	0.973961300615181
Inpp5d	-6.75219318850762	5.36437025347279	8.63696619507095	0.00490503082274296	0.973961300615181
Atf7	-3.57015166096379	4.32125224421955	8.62552728161897	0.00493144962336801	0.973961300615181
Nr2c2	-3.98951349922678	6.03845119748633	8.45200538663587	0.00535113919288598	0.999578747773473
Plek	-4.87506122799877	7.35402253497928	8.4469797995557	0.00536384150590031	0.999578747773473
Tmbim1	-2.47239389703147	5.40427353868831	8.38787778020508	0.00551563237834362	0.999578747773473
Zbtb20	-2.1719305763805	6.42898003304096	8.36406429224587	0.00557806670143951	0.999578747773473
Clock	3.4530423387474	5.47461931316491	8.27085831018692	0.00582969649081642	0.999578747773473
Icam1	-4.61642643616881	5.18109573947488	8.20478826953422	0.00601530360131998	0.999578747773473
Cry1	4.16509006634797	4.50100187483641	8.20420379366214	0.0060169730927944	0.999578747773473
Phgdh	-5.76565102129553	6.08851526755717	7.76790710171833	0.00741082071081331	0.999578747773473
Ino80d	-2.48530706100701	4.59114264998114	7.70199781705265	0.0076494267307036	0.999578747773473
