logFC	logCPM	F	PValue	FDR
Npy	13.9566199171256	7.01394461904575	87.5363422492632	7.21862371022965e-13	6.10045889751508e-09
Zcchc12	11.8993367276152	5.97424557876628	78.7757387618938	4.10755030853417e-12	1.73564538287111e-08
Enpp2	13.991612366874	7.61918160996924	75.2895586610702	8.47880545449861e-12	2.38847949653226e-08
Cd36	10.9799388578699	4.59383068099623	46.1348978016149	9.1883112876696e-09	1.94126046730239e-05
Snca	9.23417289277234	5.33705869788073	40.449590578821	4.58743521156463e-08	7.75368299458654e-05
Sst	9.47757792859892	8.71615579642274	37.1098989632216	1.23802079217256e-07	0.000174375228577505
Prelid3a	8.42523354627745	4.56195364477066	36.0657113143224	1.70206091256613e-07	0.00020548738245852
Ano3	8.77332519156641	4.6872239072812	34.8859407940111	2.45040558897085e-07	0.000258854720404908
Synpr	6.40295918523661	7.998648576484	32.9353200179787	4.52781731579121e-07	0.000425162045952795
Pthlh	-12.176644691987	5.57080824161284	34.0637102408517	9.81319826076436e-07	0.000829313385017196
Anxa3	-10.7844459930183	5.24879419869233	26.5992771302022	3.7043790966929e-06	0.00284597343146833
Pxylp1	7.41656709842676	4.32136574829709	20.6858214069545	3.12510943546841e-05	0.0220085831992863
Gabra5	6.84622270979066	4.70000985947423	19.9986391859378	4.05351207948977e-05	0.0263509466028985
Slc44a5	6.53306618967284	4.22115744006726	18.2567509695907	7.93777239829399e-05	0.0479157960985589
Paqr8	5.75878183391148	5.27235447904299	14.2431820023667	0.000402957983840734	0.225529373175598
Cacna2d3	2.8356886799569	6.31871236985452	14.1051987897738	0.000426987335322397	0.225529373175598
Lrrc14	5.16593403439145	4.1085462857546	13.1710119166784	0.000634511268403358	0.315426748780987
Cd84	-6.83017689376768	4.84523795375367	12.5947435311183	0.000813009653440301	0.347510275079417
Icam1	-5.83651403775049	5.10851762521775	12.5127600173606	0.000842384169694666	0.347510275079417
Asic2	4.52127492131347	5.3098257964275	12.4983722666538	0.000847652689105435	0.347510275079417
Ap4m1	3.56159394659908	4.21226868757467	12.3847877245286	0.000890474333530992	0.347510275079417
Gm19220	-1.79231004994209	8.32023630626936	12.3484325606473	0.000904653419920384	0.347510275079417
Pkn2	4.77062483508152	4.39629294686979	12.0069083242855	0.0010499710411908	0.385795881265369
Tmem131	3.81823601872395	4.83863389194232	11.3065028072468	0.00142977683812805	0.503460169125841
Trim12a	-4.96056596798267	4.88155783601491	10.3220719054485	0.00222385567287169	0.746742944187979
Slc35a3	3.65917514498897	4.20127581296382	10.2503896919331	0.00229739871599662	0.746742944187979
Eya1	4.74882096989703	4.67796001510371	9.90274335567863	0.00269206258114711	0.826218120209827
Cers6	3.724634304027	6.49205545457305	9.81199082865476	0.00280638422390575	0.826218120209827
Polr3f	3.78655724002353	4.3246647438969	9.78972337834005	0.00283520595031179	0.826218120209827
Grm4	4.59299325243669	4.05431577437983	9.23321958635938	0.00366632792005713	0.99953531134538
Grin3a	4.12315468252652	4.70791334682857	9.09042240335106	0.00391846550807971	0.99953531134538
Ccl4	-5.31700928226426	8.45873353481262	8.86973371174608	0.0043446235588776	0.99953531134538
Gm10800	-3.6042617937071	7.55196956588311	8.54800597206227	0.00505535231123339	0.99953531134538
Tnr	-4.96801586719377	5.87567862968433	8.43561517782513	0.00533165456471934	0.99953531134538
Zkscan1	4.05720402155242	4.4265934127912	8.43511065445158	0.00533293014799444	0.99953531134538
Tor2a	3.98991621165514	4.40892888347814	8.40006394986216	0.00542233006419016	0.99953531134538
Ccl3	-5.11862429970702	8.15894258197141	8.1548875134686	0.00609363319888585	0.99953531134538
Mmp17	3.5890909608462	5.58561618350958	7.81219981649259	0.0071824158643978	0.99953531134538
Wdr55	4.14798595019093	4.16493784977402	7.72261488589908	0.00749966006092371	0.99953531134538
Ids	3.19714210604304	5.9573619833515	7.69075451479957	0.00761602405291032	0.99953531134538
Prkg2	2.78666672739804	4.16026299031987	7.58177648388941	0.00802867555648772	0.99953531134538
Lcp1	-3.84417555012252	6.78162294051057	7.52895405672523	0.00823712789749381	0.99953531134538
Nol4	3.857652332297	4.13652686715535	7.46483827864333	0.00849785729551719	0.99953531134538
Nfatc3	-3.5404462193051	5.36691656838631	7.44463610699968	0.0085818060929603	0.99953531134538
Tmem263	2.68456983346185	4.91439001671226	7.42063533772833	0.0086826804140191	0.99953531134538
Pde5a	-3.65591212228618	5.04759751836842	7.40579026749029	0.00874570042655947	0.99953531134538
Tll1	-3.75058789095096	6.27122003357092	7.36795923648758	0.0089084963581867	0.99953531134538
Mcur1	-3.26427798752595	5.20169087571747	7.2676314503336	0.00935594236572993	0.99953531134538
Smg6	3.44502264720426	4.08453901724	7.25670157288383	0.00940610431633808	0.99953531134538
H2-T23	-2.88318915866414	5.44165617849691	7.12130721129474	0.0100516338331234	0.99953531134538
Hba-a2	-2.2998120594468	8.53818399038737	7.07081085068152	0.0103042520850574	0.99953531134538
Mme	3.64633520409346	5.42044338703906	6.94748413354503	0.0109499010902692	0.99953531134538
Sdr39u1	3.18143749891524	5.84118899654499	6.94554172288498	0.0109604064422686	0.99953531134538
Tnpo1	-3.84473577484714	5.82869982756288	6.88900796264737	0.0112708895288153	0.99953531134538
Tmeff1	3.52732403478138	5.85711915624765	6.85904150168664	0.0114392317883807	0.99953531134538
Cyp51	3.32084192555963	6.1349873857924	6.83875709302762	0.0115546941488125	0.99953531134538
Tac1	3.18443216054633	9.17068039746665	6.81506319300732	0.0116911298725207	0.99953531134538
Heatr5a	-3.72467108041093	5.77434621387005	6.81192420696247	0.0117093326767413	0.99953531134538
Medag	3.28321627681078	4.75573153513328	6.7964658016158	0.0117994144029391	0.99953531134538
Ncam2	-4.38042179071985	4.44576974275996	6.79015801438486	0.0118363829408721	0.99953531134538
Zfp715	3.78304845042395	4.27642703283043	6.68581284566591	0.0124660771468024	0.99953531134538
Vgf	2.25175532289603	7.25903254686292	6.67772683852625	0.0125163352297539	0.99953531134538
Klhl12	2.66298269782186	5.60930475278263	6.52875663012999	0.0134817536932366	0.99953531134538
Reln	3.50438806764429	4.06260225221879	6.51419417570316	0.013580280350503	0.99953531134538
Flot2	3.5110957507636	5.71527962693524	6.44869041342183	0.0140330146380764	0.99953531134538
Vrk1	3.73352321054252	4.91307155209634	6.37889867416892	0.0145330741728875	0.99953531134538
Csnk1g3	3.5502662356285	4.59429272159585	6.35372266674657	0.0147180780685662	0.99953531134538
Cflar	-2.84996303138283	4.48540469968273	6.3392400148999	0.0148256351421171	0.99953531134538
Actn4	3.3261606407782	5.4163294867912	6.32678301074175	0.0149188167780067	0.99953531134538
Grik2	-3.26699340071292	5.32305256583305	6.32271885253119	0.014949352239809	0.99953531134538
B3galt6	3.60037743758256	4.87818441891325	6.32000127356756	0.0149698074274792	0.99953531134538
Aldh3a1	3.89351275451772	4.40382874909468	6.26856938006644	0.0153625966998244	0.99953531134538
Insig1	2.73436402449507	5.55584186288389	6.21549950987976	0.01577940422222	0.99953531134538
Ms4a6b	-4.89799556278904	5.17529655755272	6.19776401731629	0.0159213652766521	0.99953531134538
Inpp5d	-5.20551455025015	5.36169028184483	6.15453286250851	0.0162731250560141	0.99953531134538
Mex3c	-4.38454331212094	5.59171002358424	6.11854930966325	0.0165722184802527	0.99953531134538
Cyth4	-3.98625326745992	4.81074403199226	6.09437455515748	0.0167764394109152	0.99953531134538
Plxnc1	3.52135209348574	4.83742633735355	6.06117656529583	0.0170612617210367	0.99953531134538
Grk4	-2.84948081878636	4.12368023150883	6.05063167406396	0.0171528053645861	0.99953531134538
Rgp1	-4.28955826680003	4.57357170610245	6.05038831501276	0.0171549242072958	0.99953531134538
Neurl3	-3.51829861294996	5.45471134876212	6.03477343290699	0.0172914618498162	0.99953531134538
Cux2	1.96193842899709	5.64501499804496	5.96964547574001	0.0178735500611511	0.99953531134538
Slc25a53	3.32604160645549	4.7441712952579	5.84793404967046	0.0190180622732055	0.99953531134538
Rab9b	3.28932164503666	4.73525917523824	5.76874551034669	0.0198044899752418	0.99953531134538
Crhbp	1.75584278982447	9.51386064822484	5.75983464506939	0.0198951318974402	0.99953531134538
Sez6	-1.95559251688102	7.56489816574795	5.7249905184029	0.0202538406086353	0.99953531134538
Dhdds	2.62827645778127	5.16157568810062	5.71416434727112	0.0203666927670901	0.99953531134538
Cry1	3.61944247470602	4.33040491734552	5.7052768480993	0.0204598377349282	0.99953531134538
Aplp1	1.733820583329	8.69464395082536	5.6798023942503	0.0207293496352798	0.99953531134538
Rab37	-3.59788639534776	5.16029288971743	5.67403847231894	0.0207908543267358	0.99953531134538
Gm48132	-2.93960875242607	4.93138879404847	5.67251763305406	0.0208071151042234	0.99953531134538
Mettl3	-1.70362267682551	7.29367028725132	5.64946596705263	0.0210552525756904	0.99953531134538
Nipal2	-2.23429343742143	5.3882952373068	5.60900001738111	0.0214985185845142	0.99953531134538
Stx17	3.18741023716735	4.48097117984659	5.57503941194986	0.0218782181172744	0.99953531134538
Zfp930	-4.29215612824362	6.38989002799105	5.57331889611486	0.021897644184483	0.99953531134538
Ptpro	-4.08242562377627	5.51437632464344	5.57215235631564	0.0219108258799529	0.99953531134538
Atad5	-4.58808862114448	5.79168206123465	5.55249041253224	0.022134282772182	0.99953531134538
Pcdh17	-3.24920128497416	6.39946340509392	5.52154051757948	0.0224909746006007	0.99953531134538
Slc4a2	2.67029618093477	5.13242564914347	5.51996511817451	0.0225092943286188	0.99953531134538
Trps1	-3.62118737952167	4.87463048395789	5.51587967850985	0.0225568767232883	0.99953531134538
Smn1	-4.13121084016807	4.98619589830996	5.48218067457898	0.0229534888235329	0.99953531134538
Fus	-2.64922580659812	5.11591237145346	5.42889558746016	0.0235959082059333	0.99953531134538
Ncbp3	-2.43935089920863	5.47244901129952	5.41495801364737	0.0237670976493843	0.99953531134538
Prep	2.96474682772541	4.97281467587386	5.39692524175746	0.0239905609195634	0.99953531134538
Elovl5	3.38049812099288	4.76450803352251	5.3860308454061	0.0241266534467683	0.99953531134538
Shmt1	-3.39286625689779	4.58990213690257	5.33597258084798	0.0247626867587406	0.99953531134538
Msi2	-2.9074640481516	4.24259733357454	5.32156084035805	0.0249491103216855	0.99953531134538
Mdn1	2.23992130434089	6.17593949264302	5.30121851364345	0.0252148110023332	0.99953531134538
Idh1	3.58267675251836	4.76936769884765	5.29791900170636	0.0252581923128747	0.99953531134538
Tprn	3.38522264646157	4.13788997872991	5.28171306291024	0.0254724282210565	0.99953531134538
Atf6	3.34828549669108	4.13210594333032	5.27922067869436	0.0255055488261166	0.99953531134538
Nhs	-3.47847516610235	5.45142901037666	5.26844141580018	0.02564932353544	0.99953531134538
Dock10	-0.877584569083546	12.1752017884766	5.22907593087599	0.026181803779817	0.99953531134538
Gin1	-2.94084334250876	5.41260485568068	5.19218760422225	0.026691537868553	0.99953531134538
Dusp23	-1.71614789667986	6.06149662681966	5.17194173409945	0.026975813958973	0.99953531134538
Kcnn1	-4.24688095340518	4.92067852021324	5.16949998191636	0.0270103177940763	0.99953531134538
Mfsd13a	2.78141006147943	4.41831333264043	5.16454449997568	0.0270804881114183	0.99953531134538
Prdm11	-2.68318070212362	4.24305527531882	5.15659048190975	0.0271935271000147	0.99953531134538
Ccl9	-3.50353696789423	5.23134273400714	5.12112935696491	0.0277036775390105	0.99953531134538
Ube2g1	-2.56154412699374	7.42456679584516	5.11711976250911	0.0277620030705217	0.99953531134538
Lars2	-0.822377409980988	14.2662427852987	5.0934396130345	0.0281091635725338	0.99953531134538
Larp1b	-3.63643042609226	4.55690058795257	5.08608442814223	0.0282179393273359	0.99953531134538
Gm10801	-2.95283486437075	4.3573155200038	5.07818364971688	0.0283352872427262	0.99953531134538
Syt12	-3.16393019355562	5.08063964509971	5.06000095146011	0.0286073437025091	0.99953531134538
Cep85	-2.20806245341601	5.96088302922772	5.05844219529472	0.0286307965315171	0.99953531134538
Palm	2.68133716901226	5.31710555422347	5.0554993663218	0.0286751302068771	0.99953531134538
Sfmbt1	-3.76438747400644	5.22254372862862	5.03827477829822	0.0289361007015316	0.99953531134538
Akr1c18	2.5741787975644	8.14639488575017	5.01900890952023	0.0292310229892236	0.99953531134538
Vti1a	3.00450446361704	5.14586738127616	4.99952069294227	0.0295326353646389	0.99953531134538
Tcf7l2	-1.97745596133513	4.17749222214277	4.98866480947167	0.0297020961557398	0.99953531134538
Bhlhe41	-1.21942119778715	8.20501194745447	4.9774918752036	0.0298775973074203	0.99953531134538
Hapln1	2.53430559457384	7.13012310371889	4.95614731040191	0.0302159760914309	0.99953531134538
Letm1	2.07367012929339	6.36503486399561	4.95106136273059	0.0302972103882211	0.99953531134538
Zfp956	-3.86570934475789	5.83112997891985	4.9378562084345	0.0305092248239073	0.99953531134538
Vstm2a	1.60790940825884	9.16160082721868	4.93737295570092	0.030517013833886	0.99953531134538
Cd200	3.17980418640281	5.04088390359608	4.92910845899575	0.030650551335079	0.99953531134538
Eif2a	-1.07070388502844	9.01210688785737	4.92562381807571	0.0307070441699327	0.99953531134538
Zfp454	3.36201606710093	4.41805361917838	4.92459987303502	0.0307236655854965	0.99953531134538
Rbm43	3.03585475714994	4.40723848434823	4.92146857889692	0.0307745550463867	0.99953531134538
Washc5	2.89081880948676	5.5625661301118	4.92113282011458	0.0307800171385427	0.99953531134538
Ercc6l2	-3.84858639771289	5.57101443941888	4.90667530032855	0.0310162020683461	0.99953531134538
4930453N24Rik	2.47632196062862	4.47803188175392	4.8984302930732	0.0311517682101406	0.99953531134538
Rgmb	2.61029969617143	6.00383387997855	4.89786166133324	0.031161141226333	0.99953531134538
Stx3	2.6650772468762	5.53004455357059	4.89073670016693	0.0312788425833587	0.99953531134538
Optn	2.97953507202368	5.18618961053541	4.85816476058725	0.0318230390175162	0.99953531134538
Gpc1	2.65100504677933	4.45259826677063	4.8327544774365	0.0322546521223089	0.99953531134538
