logFC	logCPM	F	PValue	FDR
Sst	12.4619342249419	9.02410123955279	42.6665819660966	1.29221257260203e-07	0.000574401698978328
Pthlh	-13.3671303080217	5.97662644641094	52.8301002032404	1.37861922231688e-07	0.000574401698978328
C1ql1	-12.8099695123674	5.51780357950695	39.4635468981487	1.49603872831568e-06	0.00374133138817462
Pde11a	-8.17601188744185	5.34295898660162	30.7862086271336	1.9315370338639e-06	0.00374133138817462
Anxa3	-10.5235627975648	4.37687462556122	30.2752463937698	2.24488862844991e-06	0.00374133138817462
Nell1	10.3266867939154	4.04088764875741	29.552118311228	2.78264497265802e-06	0.00386463009285989
Rxfp3	9.24312987154197	4.15448726080569	24.547740423029	1.31676233042223e-05	0.015675114999155
Cd36	12.1007618940665	4.89827773390505	26.4373310223013	2.3832737719079e-05	0.0248247754266356
Cryab	12.0767414451828	4.52137532036587	25.7124142327442	2.87061986143372e-05	0.0265787503392524
Tmem132b	8.05484919031982	4.4247265596916	21.6055184573412	3.49265586264105e-05	0.0287404832441424
Rad50	11.3230555661578	4.26351956355634	24.6458546581882	3.79389554404856e-05	0.0287404832441424
Mctp2	-7.57048197326001	4.6463787731381	20.665767928888	4.82093292873341e-05	0.0334773617459463
Reln	7.33197801234489	4.21969235170652	19.1602628122542	8.17398986133985e-05	0.0523952750111885
Ap4m1	5.18014762367203	4.29270395521864	16.8304980134496	0.000190743814751952	0.113533443452001
Ckb	-0.709412462341983	12.1990308850777	16.3168564244866	0.000231147288875665	0.128410023880061
Plp1	5.50932284534333	7.42693260188675	14.4611184827534	0.00047080302872766	0.245200102399225
Chn2	5.16300043084189	4.36845200402687	13.4475300681723	0.000702842142917959	0.329659130030714
Aox3	-6.39111286329192	5.31995603941061	13.414837106532	0.000712092204554523	0.329659130030714
Atp1a2	4.45772166380136	4.1180902849739	13.1142168287044	0.000803430242523523	0.352367590049922
Trps1	-4.80878971569614	5.75248297662994	12.842884348511	0.00089652679755936	0.359450016804998
Timp3	5.32534067986485	5.04207395690687	12.8173675005902	0.000905850276359649	0.359450016804998
Zfp804a	-5.00775689588638	4.66048846105747	12.4674967859226	0.00104455769931824	0.395649968564494
Npy	6.0220559375813	7.34650883430535	12.3368078807406	0.00110198399494346	0.399253592602775
Gpx3	5.38558623887906	5.64003617163441	11.8223157994608	0.00136263541673886	0.464754145444331
Kcng4	-4.45426352592598	7.40638243335258	11.7669942423037	0.00139431820906135	0.464754145444331
Grin3a	5.72524761875396	4.90943004928925	11.6475006592184	0.00146544321122711	0.469674549198288
Tsc22d1	-0.85133540237675	9.14184788556429	11.529098574823	0.00153971635768949	0.469967185551072
Gm29216	1.87139025743836	10.5927586973765	11.4686643414544	0.00157915290956798	0.469967185551072
Clu	1.44606627623017	8.56100729678714	11.2779481360597	0.00171077366153276	0.491581962812154
Cygb	-1.55794496566294	7.93113569930135	11.0046436167001	0.00192001464178295	0.520360463978418
Itih5	-5.37544024995154	4.14497169780786	10.9852983025314	0.00193581835873406	0.520360463978418
Zfp780b	3.28531879208035	4.12472041274767	9.98371038685126	0.00297584735977971	0.763189086603479
Itpr1	-2.48077636732111	6.35096229204304	9.9035474382354	0.00308154886213792	0.763189086603479
Zfp52	5.04414792151598	5.16014064680088	9.87956831018274	0.00311393603078343	0.763189086603479
Parm1	-3.26165289464194	7.28190094476275	9.66886315617041	0.00341455509841325	0.806740295591548
Mbp	5.6194772060356	10.9831726891041	9.98065511068757	0.00348525748725498	0.806740295591548
