Gene	Base_Score	Split_Score	Gini_Score	Cutoff_Age	Count	P_Value	P_Adj	Up_Down
Gh	0.2304	0.1008	0.1296	25.5	18	4.999999999588667e-07	0.0029097499997606247	Up
Hbb-bs	0.2244	0.09916666666666667	0.1252333333333333	24.5	33	4.999999999588667e-07	0.0029097499997606247	Up
Hbb-bt	0.24639999999999998	0.10533333333333332	0.14106666666666667	22.5	28	1.4999999999876223e-06	0.0058194999999519785	Up
Dpysl5	0.2356	0.12	0.11560000000000001	19.5	19	3.5000000000451337e-06	0.010184125000131328	Down
Hba-a1	0.2304	0.128	0.10239999999999999	25.5	32	1.3499999999999623e-05	0.03142529999999912	Up
Rfxank	0.24840000000000004	0.14493055555555556	0.10346944444444447	19.5	23	2.049999999997887e-05	0.03976658333329234	Down
Tbc1d9	0.2436	0.14318555008210185	0.10041444991789816	23.5	29	2.650000000004038e-05	0.04406192857149571	Down
Fam181b	0.2016	0.11666666666666665	0.08493333333333335	24.5	14	3.7500000000023626e-05	0.049789055555623296	Down
Timmdc1	0.25	0.15449915110356535	0.09550084889643465	21.0	25	3.850000000005238e-05	0.049789055555623296	Down
Zfp629	0.2304	0.13950738916256156	0.09089261083743844	23.5	18	4.950000000003563e-05	0.057613050000041466	Down
Snx7	0.2356	0.1555993431855501	0.0800006568144499	23.5	31	0.00024049999999997684	0.1185723124999907	Down
Nr4a3	0.2496	0.15993589743589745	0.08966410256410254	24.5	24	0.0001375000000000126	0.1185723124999907	Down
Unc79	0.2356	0.15435897435897436	0.08124102564102564	24.5	31	0.0001955000000000151	0.1185723124999907	Down
Bet1	0.2436	0.1599320882852292	0.08366791171477081	21.0	21	0.00023050000000002235	0.1185723124999907	Down
Snta1	0.2356	0.15467980295566502	0.08092019704433498	23.5	19	0.0002054999999999696	0.1185723124999907	Down
Trim26	0.2436	0.1599320882852292	0.08366791171477081	21.0	21	0.00023050000000002235	0.1185723124999907	Down
Adam19	0.2356	0.15755517826825127	0.07804482173174873	21.0	19	0.00024449999999998084	0.1185723124999907	Down
Mn1	0.2496	0.15974025974025977	0.08985974025974022	28.0	26	0.00011649999999996385	0.1185723124999907	Down
Slc39a6	0.25	0.16	0.09	25.5	25	0.00012250000000002537	0.1185723124999907	Down
Aacs	0.2356	0.1555993431855501	0.0800006568144499	23.5	31	0.00024049999999997684	0.1185723124999907	Down
Mapk1ip1l	0.2484	0.163015873015873	0.085384126984127	33.0	27	0.0001814999999999456	0.1185723124999907	Down
Cnst	0.24	0.15570175438596492	0.08429824561403507	18.5	20	0.00017350000000004862	0.1185723124999907	Down
Gm6477	0.19240000000000002	0.11657894736842105	0.07582105263157897	18.5	13	0.0001495000000000246	0.1185723124999907	Down
Scamp4	0.24840000000000004	0.15993431855500823	0.08846568144499181	23.5	23	0.0001554999999999751	0.1185723124999907	Down
Gapvd1	0.2176	0.14344827586206896	0.07415172413793103	23.5	34	0.0002995000000000081	0.13943522000000377	Down
Pelo	0.2176	0.1443809523809524	0.0732190476190476	31.5	16	0.00031250000000004885	0.1398918269230988	Up
Grpr	0.1476	0.09	0.05760000000000001	19.5	9	0.00034250000000002334	0.14236991071429542	Down
Usp35	0.2356	0.15974358974358976	0.07585641025641024	24.5	19	0.0003374999999999906	0.14236991071429542	Down
Msi2	0.2016	0.13230273752012886	0.06929726247987114	26.5	36	0.0003914999999999891	0.15148334848483844	Down
Zfp955b	0.2356	0.16121212121212122	0.07438787878787878	30.5	19	0.00040549999999994757	0.15148334848483844	Down
Pds5b	0.2176	0.1465582655826558	0.07104173441734418	37.5	34	0.00042850000000005384	0.15148334848483844	Down
Mlxip	0.24639999999999998	0.16933333333333334	0.07706666666666664	22.5	28	0.00042949999999997157	0.15148334848483844	Down
Chml	0.1716	0.10859649122807018	0.06300350877192983	18.5	11	0.00038450000000000983	0.15148334848483844	Down
Sh3rf3	0.2484	0.17127334465195246	0.07712665534804755	21.0	27	0.0004444999999999588	0.15216280882351532	Down
Mpg	0.2244	0.14942307692307694	0.07497692307692305	24.5	17	0.0004615000000000036	0.15346852857142976	Down
Gspt1	0.2244	0.15354838709677418	0.07085161290322581	21.0	33	0.0005604999999999638	0.15811705319148597	Down
Hba-a2	0.1824	0.12479999999999998	0.057600000000000026	25.5	38	0.0005855000000000166	0.15811705319148597	Up
Slc9a9	0.1824	0.12491228070175438	0.05748771929824563	18.5	12	0.0006384999999999863	0.15811705319148597	Down
Shq1	0.19240000000000002	0.1300509337860781	0.062349066213921917	21.0	13	0.0005635000000000501	0.15811705319148597	Down
Gpsm1	0.24	0.16604414261460104	0.07395585738539895	21.0	30	0.0006095000000000406	0.15811705319148597	Down
AC170998.1	0.1824	0.12491228070175438	0.05748771929824563	18.5	12	0.0006384999999999863	0.15811705319148597	Down
Champ1	0.24	0.16847290640394086	0.07152709359605913	23.5	20	0.0005775000000000086	0.15811705319148597	Down
Nanos1	0.17159999999999997	0.11409168081494057	0.0575083191850594	21.0	39	0.0006085000000000118	0.15811705319148597	Up
Gsta4	0.1056	0.06395663956639566	0.04164336043360434	37.5	6	0.0006085000000000118	0.15811705319148597	Up
Gm44389	0.19240000000000002	0.13005093378607813	0.06234906621392189	21.0	37	0.0005644999999999678	0.15811705319148597	Up
Capn1	0.1056	0.06395663956639566	0.04164336043360434	37.5	6	0.0006085000000000118	0.15811705319148597	Up
Hmgb3	0.24640000000000004	0.17136288998357965	0.07503711001642038	23.5	22	0.0006184999999999663	0.15811705319148597	Down
Zfp811	0.2244	0.1568	0.0676	25.5	17	0.0007975000000000065	0.16601303378378174	Down
Dnah17	0.2244	0.15623376623376622	0.06816623376623376	28.0	17	0.0007215000000000416	0.16601303378378174	Down
Rev1	0.25	0.17826825127334467	0.07173174872665533	21.0	25	0.0009175000000000155	0.16601303378378174	Down
