Cell	ERS989712	ERS989713	ERS989714	ERS989716	ERS989718	ERS989719	ERS989720	ERS989721	ERS989722	ERS989724	ERS989726	ERS989727	ERS989728	ERS989730	ERS989732	ERS989733	ERS989734	ERS989735	ERS989736	ERS989737	ERS989738	ERS989739	ERS989740	ERS989742	ERS989743	ERS989744	ERS989745	ERS989746	ERS989747	ERS989748	ERS989749	ERS989750	ERS989751	ERS989752	ERS989753	ERS989755	ERS989757	ERS989758	ERS989759	ERS989760	ERS989761	ERS989762	ERS989763	ERS989764	ERS989765	ERS989766	ERS989767	ERS989768	ERS989769
CellType	Layer I Interneuron (>P25)	Layer I Interneuron (<P25)	Layer I Interneuron (<P25)	Layer I Interneuron (<P25)	Layer I Interneuron (<P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (<P25)	Layer I Interneuron (>P25)	Layer I Interneuron (<P25)	Layer I Interneuron (>P25)	Layer I Interneuron (<P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (<P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (<P25)	Layer I Interneuron (>P25)	Layer I Interneuron (<P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (<P25)	Layer I Interneuron (>P25)	Layer I Interneuron (<P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (<P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (>P25)	Layer I Interneuron (<P25)	Layer I Interneuron (>P25)
Gene																																																	
Cygb	7.9721699269571396	4.479127064306052	4.619360185158214	6.128860451518605	0.4891709107534418	5.122246141444607	6.376075018908607	4.719878877510983	6.0119137701610805	0.0	7.1471133223490435	6.836075609892442	6.810687302757796	6.267994526124042	6.501464622992021	6.19416980923747	6.483114408657755	4.592163983435684	6.930749162883609	5.468580058884267	5.849984252158075	0.0	0.9807704088047818	0.0	6.952018991006105	5.5006809737459985	3.1789950273201315	6.719169747411484	3.3096389633517718	6.82371115283622	5.692474625016859	0.5702725021435796	7.837508097786798	6.4212283494906535	3.7994500070756527	6.541218997174186	0.599619632964303	6.63569200468476	6.1931803537426156	1.140438388257038	1.9335990748389258	7.0512415745522565	0.48607589390957606	4.667432341907946	0.0	5.461535107638122	6.821697461309269	7.435253537929352	5.532055080804966
Gh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.991875532268203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0042299063171787	0.0	0.0	0.0	0.0	0.0	1.6699020978425339	0.0	0.0	0.0	0.0	1.4541653625266324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.372485513939121	0.0	2.3945909665767457	0.0	0.0	4.166506576445156	0.0	0.0	2.6318818938173867	0.5312651668106512
Hba-a1	7.425601979666747	8.310281037259152	9.420105493095377	8.892855455236466	0.0	6.745250780007424	8.13011747770146	7.6363273512426115	8.354152390783089	5.5501745182817075	8.183575836511007	9.308550640232742	0.0	0.0	6.8911518162929575	8.541483864054275	9.278547957707708	10.194178183205485	12.884878501811322	7.467369156953168	5.523508638081141	9.404098430475829	4.593341818196392	6.695687653206567	8.047805554007589	9.279385396272579	9.361615731612753	9.936908786931442	9.697094408290742	8.403327378863933	7.967024469194307	4.69608843120963	3.991072811773459	10.076027242736176	8.322559135937585	9.04636281930081	10.145167939018386	11.049698828045544	8.207150527594038	9.904365173020551	10.31076045154688	9.786098062544683	6.8142299598693645	8.185470146066942	8.834723855003643	8.940997705547387	8.320444061031504	7.7683629961259655	6.879999763846235
Hba-a2	7.87407150227918	9.708407983483596	9.900758149032301	9.88483751593943	0.0	6.912578015745522	8.484802758810524	9.119867110222765	8.782297160663912	5.848763134784065	8.563463236683079	10.301004543176903	2.098170238089383	2.644029302793058	6.704387850203052	9.05856543859186	10.317616114386135	10.789028205636635	14.544813540628063	8.015610186344809	7.429431849838623	9.591131466321382	6.54678798969396	6.35400424624092	9.266416451320273	9.440858788472521	10.404832889163867	9.791089612115318	9.88900497995189	9.217897130050302	8.594783655050028	6.81932330546757	5.8960804779753655	11.231209178206676	9.004492965253315	9.792692701707756	10.961702903502516	11.965665257411272	9.033475312050484	10.496454360153793	10.985415040997596	10.563901713947134	7.792178605077756	9.02843101991007	9.081281033821131	9.356698450835115	8.554964824263145	8.71612666423817	8.127622962933831
Hbb-bs	8.678397320122818	8.501839174825118	9.969544813360832	9.97435865919196	0.0	6.394333896709569	8.80595147634366	7.683396095475523	8.686868157473322	6.263896383984161	7.86428768699777	9.141445564053855	0.0	0.0	7.731278295531171	8.795059086944676	9.8589024399083	10.61648534542153	14.020207247103134	5.799139126085894	3.421301408020691	7.767536952144412	5.6928037807248755	6.967360000988096	9.348611539044718	9.782646253207059	10.285691191330093	8.557953770881369	10.243556984827709	8.619447125999798	7.838649283453426	2.8121552236060086	2.8674576598710058	9.935170944157704	10.767999012595409	9.988972061176646	10.040084605355354	11.479401815086336	8.52530609190719	11.09438255972747	9.953001811356547	10.798583988352767	0.0	8.577780130599828	8.85909367978207	8.970065615412778	8.541985583774473	8.79558514511806	8.336091432375902
Hbb-bt	5.107466092300427	4.011030409182898	7.834736494091832	6.215298072494612	0.0	2.656999681494036	4.289863967841918	4.137528114933094	6.511871226569185	6.794818724928937	0.0	6.933655250958542	0.0	0.0	7.188440488975161	8.443909114993687	7.550754479736276	8.122972903982378	11.926629570175166	6.617686378345738	0.0	5.4474105857634925	4.483170853229874	4.310238313942657	6.652840671792961	8.064149939121346	8.85950683292483	7.395225642072246	7.347470780106312	4.989942804259977	4.047991995131156	0.0	1.5436789926163876	7.727689060387744	7.8413127386451755	7.9270430965768	8.171517098408094	9.282013457509237	5.764794644948671	7.081233091807639	8.631362611102526	8.862519581727806	0.0	6.051763612385974	6.519983715743406	7.3814910391846915	6.76394266044725	8.17141701828257	6.4805446494556
Hp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34583803023063997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
