Cell	GSM1820357	GSM1820358	GSM1820359	GSM1820360	GSM1820361	GSM1820362	GSM1820363	GSM1820364	GSM1820365	GSM1820366	GSM1820367	GSM1820368	GSM1820369	GSM1820370	GSM1820371	GSM1820372	GSM1820373	GSM1820374	GSM1820375	GSM1820376	GSM1820377	GSM1820378	GSM1820379	GSM1820380	GSM1820381	GSM1820382	GSM1820383	GSM1820384	GSM1820385	GSM1820386	GSM1820387	GSM1820388	GSM1820390	GSM1820391	GSM1820392	GSM1820393	GSM1820394	GSM1820395	GSM1820396	GSM1820397	GSM1820398	GSM1820400	GSM1820401	GSM1820402	GSM1820403	GSM1820404	GSM1820405	GSM1820406	GSM1820407	GSM1820408	GSM1820409	GSM1820410	GSM1820411	GSM1820412	GSM1820413	GSM1820414	GSM1820415	GSM1820416	GSM1820417	GSM1820418	GSM1820419	GSM1820420	GSM1820421	GSM1820422	GSM1820423	GSM1820424	GSM1820426	GSM1820427	GSM1820428	GSM1820429	GSM1820430	GSM1820431	GSM1820432	GSM1820433	GSM1820434	GSM1820435	GSM1820436	GSM1820437	GSM1820438	GSM1820439
CellType	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)	Cortical CCK+ cell (<P25)
Gene																																																																																
Cygb	0.0	5.004281150948174	0.0	0.0	0.0	0.0	0.0	6.393352700172633	5.210595372021157	0.0	4.204500719450385	0.38122688199506743	0.0	0.0	0.0	0.0	7.572707804642259	5.8180964043534065	2.613607085980656	0.0	0.0	0.0	0.0	6.301574843725276	0.0	0.0	6.234545388612519	0.5291812723904998	6.90126515412251	0.0	4.463897055407598	0.0	0.0	0.0	0.6946983683452455	0.0	0.0	7.2504973966034125	6.135091552155384	5.562697297606905	0.0	0.0	0.0	0.0	7.5489297694764	0.0	3.608324321051535	2.1411155724237934	0.9553857175969713	0.7976048803197983	1.1972615216427809	2.644188548425899	0.0	5.04667439758726	0.0	5.880408810776249	4.5710335813418945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.660901527873039	8.305893023277006	0.0	0.0	0.0	1.5985367176562444
Gh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hba-a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.541983261399965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.968079228875907	0.0	0.0	0.0	0.0	9.611227719678233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.649785008875742	0.0	0.0	0.0	0.0	10.319954310686944	3.187660079219497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.088389263140007	0.0	3.5531269988708543	3.058247216854663
Hba-a2	10.487709421813841	0.0	7.635333592222363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.539827647699038	0.7289836283938541	0.0	9.999422242758882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.541983261399965	0.0	0.0	1.2206890359930804	0.0	3.3095240108759585	0.0	0.0	0.0	6.968079228875907	1.1486413069389274	0.0	9.255866553471456	0.0	9.611227719678233	0.0	0.0	7.381101639633739	0.0	0.0	0.0	0.0	0.0	2.1421650703508774	0.9440240645304233	0.0	0.0	0.0	0.0	0.0	0.0	8.112064122653788	0.0	0.0	0.0	0.0	5.649785008875742	4.395535849130228	0.0	0.0	0.0	13.68760532401279	3.187660079219497	0.0	2.760923490308823	0.0	0.0	0.0	9.511250587594109	0.0	0.0	0.0	2.088389263140007	0.0	15.554792675507702	3.058247216854663
Hbb-bs	9.24165907279323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.604774666236205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.545304304836935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.814813150500434	0.0	0.0	0.0	0.0	8.984754526298893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.909426606952193	0.0	0.0	0.0	0.0	0.0	7.308894156115671	0.0	3.5046076813780336	0.0	0.0	0.0	0.0	0.0	0.0	10.002463438892535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.329417959486822	3.4699250378857496
Hbb-bt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.382739178221627	0.0
Hp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
