Cell	GSM2026617	GSM2026619	GSM2026620	GSM2026621	GSM2026623	GSM2026624	GSM2026625	GSM2026626	GSM2026627	GSM2026628	GSM2026629	GSM2026630	GSM2026631	GSM2026635	GSM2026636	GSM2026638	GSM2026639	GSM2026641	GSM2026643	GSM2026644	GSM2026645	GSM2026646	GSM2026647	GSM2026649	GSM2026651	GSM2026655	GSM2026656	GSM2026657	GSM2026658	GSM2026659	GSM2026660	GSM2026661	GSM2026662	GSM2026663	GSM2026664	GSM2026665	GSM2026666	GSM2026667	GSM2026668	GSM2026669	GSM2026670	GSM2026671	GSM2026672	GSM2026674	GSM2026675	GSM2026676	GSM2026677	GSM2026678	GSM2026679	GSM2026680	GSM2026681	GSM2026682	GSM2026683	GSM2026684	GSM2026685	GSM2026686	GSM2026687	GSM2026688	GSM2026689	GSM2026694	GSM2026695	GSM2026696	GSM2026697	GSM2026698	GSM2026699	GSM2026700	GSM2026701	GSM2026702	GSM2026703	GSM2026704	GSM2026705	GSM2026707	GSM2026708	GSM2026709	GSM2026706
CellType	CA1 RS INT	CA1 RS INT	CA1 PYR	CA1 RS INT	CA1 RS INT	CA1 PYR	CA1 RS INT	CA1 PYR	CA1 RS INT	CA1 PYR	CA1 RS INT	CA1 PYR	CA1 RS INT	CA1 RS INT	CA1 FS INT	CA1 FS INT	CA1 RS INT	CA1 FS INT	CA1 RS INT	CA1 PYR	CA1 FS INT	CA1 FS INT	CA1 RS INT	CA1 FS INT	CA1 RS INT	Subiculum BS PYR	Subiculum BS PYR	Subiculum RS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum RS PYR	Subiculum RS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum RS PYR	Subiculum BS PYR	Subiculum RS PYR	Subiculum RS PYR	Subiculum RS PYR	Subiculum RS PYR	Subiculum RS PYR	Subiculum RS PYR	Subiculum RS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum RS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum BS PYR	Subiculum RS PYR	CA1 RS INT	CA1 PYR	CA1 RS INT	CA1 PYR	CA1 FS INT	CA1 PYR	CA1 FS INT	CA1 PYR	CA1 FS INT	CA1 PYR	CA1 RS INT	CA1 PYR	CA1 PYR	CA1 RS INT	CA1 RS INT	CA1 RS INT
Gene																																																																											
Cygb	6.9740818424400555	8.419425123108418	0.0	0.30877091839509946	0.0	0.0	1.549679026850233	0.0	7.153014879310648	0.0	5.967989344996086	0.0	6.3093744861977745	7.389084915196977	7.9576244522126665	7.389695863872321	6.864607127272596	6.8312185572976185	0.0	0.0	7.078876643711905	5.38067404440435	7.034171687107471	1.1761440205885814	5.767427042056565	1.9871935101784604	0.6787254782390593	4.535150933945817	2.4521684139008686	3.2201472845012242	1.2925344088767718	4.740905979079562	3.0736660177411923	3.386958518627474	3.5842650295489453	3.8060146542989712	3.259912705686135	3.0050603844343713	3.423328064236033	3.1795524515218965	2.626383063249757	3.8365200226307454	3.4705108351772753	3.2347603447600646	3.3901187297578534	4.211409425224933	3.5631825412798888	5.135231129798175	2.2286771070753946	0.0	4.234608614333594	3.3810549046238947	0.0	6.513918626915862	1.9031887037310673	2.3780482217769547	2.34316048194674	5.334907886832833	4.778481947515805	3.6549968361611556	0.29442960210932806	3.8439537038649485	0.0	6.364682731219648	0.0	7.1492898549565425	0.0	7.921370869128419	7.259366654658847	4.917126188675687	0.0	0.1452744223919271	6.950048422383543	0.0	6.2014280272215085
Gh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hba-a1	0.41363740593407716	8.079586115594417	6.883437535457007	6.168491613282093	7.646630708110491	10.467717619497376	7.988309764545127	7.826764557591738	5.4712590079611125	7.560095868812008	0.0	0.0	2.4266646277661454	2.0789991458822605	0.0	0.0	7.644361044694578	7.379465012820118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.384792382498587	0.0	0.0	6.910636734841413	7.3603642765434705	5.484592527911855	5.811684233593733	6.903387811289745	8.101030192478925	10.458304072631572	8.787944990974525	4.503145165950165	7.382649962432408	9.240920095890285	6.876430996215081	8.339697799434932	0.0	0.0	0.0	0.0	6.259349704940628	6.152840515162693	4.771753554260788	3.512694643424366	4.791814071161826	5.8856866130016625	6.164144660637177	7.370452023460597	6.478423412008987	3.772519126812551	7.7404081721557985	7.80061521451634	7.097020789006466	0.0	0.0	0.0	0.0	5.881806532815847	0.0	0.0	0.0	0.0	5.459461128006789	7.35036464034284	9.763794971784552	8.968007206982156	5.392015112146068	4.996885830145818	7.371149343946107	8.21185520706278
Hba-a2	0.7004104200366186	5.9194211304486	0.0	4.2216683158867765	5.738227400367242	8.451046222976684	5.828111089998498	4.960229037266706	4.330795005559952	5.577241492119363	0.0	0.0	0.0	0.0	1.0051412496160765	0.0	6.697648734607413	7.1572054381924834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.398572695725964	0.0	5.038146419499432	8.518491863776397	9.527817113579262	8.96432931463272	7.444476580890763	9.033626726528631	10.153514032216258	12.243153152329809	10.604997922013402	5.56204394458426	9.00029301767158	10.489135466395323	9.199628180026464	10.846932025118281	0.0	0.0	5.971191746372079	0.0	7.347949065601733	8.609090067860198	7.329643877542326	4.741628774903743	6.975125723397613	7.795630597932006	8.12955092114794	8.79630897330697	4.853222211222105	5.389157209944197	9.935106102738954	9.721895527995184	7.366829254300793	0.0	0.0	0.4879709393982442	0.0	4.68624277999781	0.0	0.0	0.0	0.0	3.2573395634625544	8.331669392279755	7.898335344722248	7.800472850745342	5.386862667403643	4.231194294962402	6.323885225303446	5.9172001990536565
Hbb-bs	6.328709031068902	8.028994516559612	1.762442369842551	8.357626776508752	7.109977919161159	11.926944691004952	8.494323598851121	5.926326835208769	5.051124090002488	4.824386002585445	0.0	0.0	3.525905998353022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.395953923273444	0.0	0.0	0.0	5.025725160985456	7.7135721028380235	0.0	0.0	8.398106628157935	9.50722775578733	9.133899974247393	7.001678410498091	9.289343433829231	9.536833617607854	10.755838966325305	10.524688621511297	5.1664165929933725	9.424636610529875	9.741271467750352	7.811432496493832	10.069959890459774	0.0	5.952724942165533	3.730639955916791	0.0	7.881860358421234	7.400170719699108	0.0	6.261194172199815	6.300147525179201	7.7775183467186	7.5142643128637205	6.152319324587913	0.0	5.568433473355383	8.748545092583155	8.888807164351322	6.663700409903016	5.452147323178568	1.3244822881523373	0.857543145369082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.6799924291726	10.132023863826808	8.731546449729565	0.0	4.874988722433857	8.850221224333366	0.0
Hbb-bt	0.0	0.0	0.0	0.0	3.7457643951032535	0.0	0.0	0.0	0.0	5.1148833707185775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.232567132052956	6.407029774300133	0.0	6.909197062991687	7.155718879427743	7.162351043516176	5.604471687170575	0.0	5.558555409541401	7.522487375412917	0.0	7.816830068826702	0.0	0.0	0.0	0.0	4.220902584960641	5.373818707909509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.83644932976076	4.19799902626991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.784294578031763	0.0	0.0	0.0	0.0
Hp	0.0	0.0	0.2970058943090641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4240123931391566	0.0	3.5900642168146955	0.0	0.0	1.70331779646615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.815306435428823	0.0
Mb	0.0	0.0	0.0	5.896574598906254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.455317355689359	0.0	0.0	0.0	5.018719177419862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
