Cell	Som5	Som6	Som7	Som9	Som11	Som14	Som17	Som43	Som45	Som47	Som48	Som105	Som109	Som115	Som116	Som124	Som126	Som127	Som128	Som131	Som134	Som137	Som138
CellType	SST-OLM (>P25)	SST-OLM (>P25)	SST-OLM (>P25)	SST-OLM (>P25)	SST-OLM (>P25)	SST-OLM (>P25)	SST-OLM (>P25)	SST-OLM (>P25)	SST-OLM (>P25)	SST-OLM (>P25)	SST-OLM (>P25)	SST-OLM (<P25)	SST-OLM (<P25)	SST-OLM (<P25)	SST-OLM (<P25)	SST-OLM (<P25)	SST-OLM (<P25)	SST-OLM (<P25)	SST-OLM (<P25)	SST-OLM (<P25)	SST-OLM (<P25)	SST-OLM (<P25)	SST-OLM (<P25)
Gene																							
Cygb	7.69469218457395	6.454777987402713	6.597251069930177	6.389504862649457	6.755808929681578	6.002698020388274	6.108923756229577	2.3291523063549673	7.042020464539949	6.758036618544057	7.19233227225708	7.31758446061919	4.717106085988069	4.4055976060874045	7.98940585401582	7.154544730407666	7.561478891501007	6.338741730005085	4.4057473529224485	4.881429697338516	5.813324586137439	6.048900959312896	3.0381516884217685
Gh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hba-a1	0.0	7.078556466971575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.249255699936582	0.0	0.0	0.0	0.0	0.0	0.0	8.557949942860219	9.309995957893904
Hba-a2	0.0	8.33583247520538	6.754353071692127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.530995390461264	0.0	0.2879970309763844	0.0	0.0	0.0	0.3070892333734244	10.261260472642247	6.164335767788543
Hbb-bs	0.0	9.238841781055514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.368550112739625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.864981574744697	0.0
Hbb-bt	0.0	5.029519143988687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73359838492209	0.0	0.0	0.0	1.1112316727863842	0.0
Hp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7979882835889365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ngb	0.0	0.0	0.0	3.1065094661748205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
