Cell	CellType	Plot_X	Plot_Y
606098116	Pvalb Tpbg	-0.54736423	-9.772477
606308411	Pvalb Vipr2	0.76135653	-10.362809
606271263	Pvalb Vipr2	1.2861702	-9.796635
614728680	Pvalb Reln Itm2a	0.24199855	-12.425056
874892226	Pvalb Tpbg	0.0004417655	-8.365125
874375335	Pvalb Tpbg	-0.12038377	-9.964381
872026690	Pvalb Akr1c18 Ntf3	2.690232	-8.03815
874321805	Pvalb Tpbg	0.64296186	-8.962134
872211286	Pvalb Gabrg1	4.0430193	-7.9234357
875020601	Pvalb Sema3e Kank4	1.4870147	-9.949153
874325086	Pvalb Tpbg	0.1394314	-8.015733
873587758	Pvalb Tpbg	-0.4904589	-8.76859
871867923	Pvalb Reln Itm2a	0.24249715	-11.005842
872555611	Pvalb Vipr2	1.0867664	-9.120101
874417550	Pvalb Tpbg	-0.71398914	-8.994845
872054508	Pvalb Reln Itm2a	2.1913176	-12.037092
871888742	Sst Tac1 Tacr3	-0.01891003	-8.567235
875328808	Pvalb Tpbg	-0.35309482	-9.199822
837084094	Pvalb Reln Itm2a	0.87525225	-10.510679
837064282	Pvalb Reln Tac1	0.8989996	-9.312347
837560603	Pvalb Tpbg	-0.25465715	-10.5979
837121769	Pvalb Akr1c18 Ntf3	2.2673526	-7.834336
837095993	Pvalb Akr1c18 Ntf3	3.5606267	-9.468132
837072861	Pvalb Tpbg	-0.31227782	-7.8111873
837141835	Pvalb Tpbg	1.458457	-10.2177925
837115961	Pvalb Reln Itm2a	2.6639876	-11.615959
837578188	Pvalb Reln Itm2a	2.923326	-11.683007
837594867	Pvalb Reln Itm2a	-0.113508776	-11.242097
837127659	Pvalb Reln Itm2a	1.8236774	-12.197969
837080471	Pvalb Reln Itm2a	0.029602796	-12.017408
843407967	Pvalb Tpbg	0.09886748	-10.057586
844299535	Pvalb Reln Itm2a	-0.57443625	-11.24013
842904923	Pvalb Reln Itm2a	2.0807078	-11.998433
843406814	Pvalb Reln Itm2a	1.9728646	-12.526933
843390051	Pvalb Reln Itm2a	-0.040403575	-12.296416
843400687	Pvalb Sema3e Kank4	2.66241	-10.732612
832378612	Pvalb Sema3e Kank4	2.4808776	-9.866859
834464214	Pvalb Tpbg	-0.5767007	-8.088637
828847827	Pvalb Reln Itm2a	1.5071783	-12.569416
828832398	Pvalb Sema3e Kank4	2.2268631	-8.270166
829170676	Pvalb Vipr2	1.4765666	-10.473516
828839040	Pvalb Reln Tac1	0.26953194	-11.237597
829268810	Pvalb Reln Tac1	2.4339144	-10.207609
828677984	Pvalb Reln Itm2a	0.69866985	-11.233259
829283610	Pvalb Tpbg	0.5793999	-9.348856
829264801	Pvalb Reln Itm2a	1.6263299	-10.513134
828684036	Pvalb Reln Itm2a	1.9187659	-12.436794
830850371	Pvalb Gabrg1	3.8996794	-7.482566
831008218	Pvalb Akr1c18 Ntf3	2.2408164	-8.027872
830358028	Pvalb Akr1c18 Ntf3	2.2704792	-9.131098
830467557	Pvalb Akr1c18 Ntf3	3.1055846	-8.6263895
830445742	Pvalb Reln Tac1	2.9986434	-10.7641325
830396905	Pvalb Gabrg1	4.125157	-9.486135
830348538	Pvalb Gabrg1	3.785455	-9.247626
832365760	Pvalb Reln Itm2a	-0.21530576	-11.462505
830334248	Pvalb Akr1c18 Ntf3	3.33926	-9.482653
