Cell	CellType	X	Y
GSM2656741	Pvalb.C1ql1.Pvalb	-1.3767188787460327	6.280652046203613
GSM2656837	Pvalb.C1ql1.Pvalb	-0.9498059153556824	4.694521903991699
GSM2656850	Pvalb.Tac1.Sst	3.2064671516418457	6.7020955085754395
GSM2656855	Pvalb.C1ql1.Cpne5	-1.959942102432251	4.602817535400391
GSM2656896	Pvalb.Tac1.Syt2	2.8131330013275146	6.652436256408691
GSM2656942	Pvalb.Tac1.Syt2	1.7176389694213867	6.062990188598633
GSM2656944	Pvalb.Tac1.Sst	3.7436769008636475	5.195684432983398
GSM2656983	Pvalb.C1ql1.Npy	-0.3652208149433136	5.123581886291504
GSM2657075	Pvalb.Tac1.Sst	1.9740139245986938	4.92238187789917
GSM2657118	Pvalb.Tac1.Syt2	2.865776300430298	4.996338844299316
GSM2657129	Pvalb.Tac1.Syt2	1.6350975036621094	6.704447269439697
GSM2657182	Pvalb.Tac1.Sst	4.305810928344727	5.051390647888184
GSM2657185	Pvalb.Tac1.Syt2	2.065948009490967	4.409331798553467
GSM2657191	Pvalb.Tac1.Akr1c18	1.1293559074401855	5.225497722625732
GSM2657198	Pvalb.C1ql1.Pvalb	-0.8543519973754883	5.308970928192139
GSM2657200	Pvalb.Tac1.Sst	0.5903272032737732	6.906413555145264
GSM2657235	Pvalb.Tac1.Nr4a2	2.103351354598999	5.2269439697265625
GSM2657264	Pvalb.Tac1.Syt2	1.4601231813430786	5.227073669433594
GSM2657345	Pvalb.Tac1.Syt2	2.537722110748291	6.6780171394348145
GSM2657396	Pvalb.Tac1.Syt2	1.948453426361084	4.511066913604736
GSM2657444	Pvalb.C1ql1.Cpne5	-0.3874865472316742	5.0111212730407715
GSM2657494	Pvalb.Tac1.Akr1c18	1.1536872386932373	5.8589277267456055
GSM2657523	Pvalb.C1ql1.Npy	-1.0762672424316406	4.183523654937744
GSM2657567	Pvalb.C1ql1.Cpne5	-0.6275011301040649	4.530666351318359
GSM2657586	Pvalb.Tac1.Sst	1.3654248714447021	6.8476433753967285
GSM2657590	Pvalb.Tac1.Sst	0.7580076456069946	6.954848766326904
GSM2657611	Pvalb.C1ql1.Pvalb	0.14095766842365265	3.7219395637512207
GSM2657616	Pvalb.Tac1.Nr4a2	2.7944443225860596	5.562703609466553
GSM2657627	Pvalb.Tac1.Syt2	1.4165372848510742	6.768679618835449
GSM2657648	Pvalb.Tac1.Akr1c18	1.4962903261184692	3.2733428478240967
GSM2657673	Pvalb.C1ql1.Pvalb	-1.042593240737915	5.20643949508667
GSM2657729	Pvalb.C1ql1.Cpne5	0.5194322466850281	5.320451736450195
GSM2657754	Pvalb.Tac1.Sst	3.467851400375366	4.969220161437988
GSM2657796	Pvalb.Tac1.Sst	2.5881004333496094	6.830803394317627
GSM2657811	Pvalb.Tac1.Sst	2.0711491107940674	5.745084762573242
GSM2657815	Pvalb.Tac1.Syt2	2.9901037216186523	4.526585102081299
GSM2657826	Pvalb.Tac1.Akr1c18	2.503673791885376	6.401584148406982
GSM2657860	Pvalb.C1ql1.Pvalb	-1.599308967590332	4.2563605308532715
GSM2657961	Pvalb.C1ql1.Cpne5	-1.084499478340149	4.028476238250732
GSM2657989	Pvalb.Tac1.Syt2	2.9680333137512207	4.967329025268555
GSM2658045	Pvalb.C1ql1.Npy	0.07222926616668701	5.454211711883545
GSM2658048	Pvalb.C1ql1.Pvalb	-0.6507350206375122	3.679069995880127
GSM2658096	Pvalb.C1ql1.Pvalb	-0.8679035902023315	3.83559513092041
GSM2658124	Pvalb.Tac1.Syt2	0.46121835708618164	3.19450044631958
GSM2658245	Pvalb.Tac1.Syt2	2.1113529205322266	5.599863529205322
GSM2658363	Pvalb.Tac1.Syt2	2.8957202434539795	4.418768882751465
GSM2658514	Pvalb.C1ql1.Pvalb	-0.8121737241744995	5.69581413269043
GSM2658630	Pvalb.Tac1.Akr1c18	0.49844890832901	2.9469857215881348
GSM2658682	Pvalb.Tac1.Akr1c18	1.34412682056427	6.643841743469238
GSM2658706	Pvalb.C1ql1.Pvalb	-0.6147691607475281	3.2053017616271973
GSM2658737	Pvalb.C1ql1.Cpne5	-0.5681325793266296	6.77665901184082
GSM2658818	Pvalb.Tac1.Akr1c18	2.353734016418457	3.762256145477295
GSM2658840	Pvalb.C1ql1.Cpne5	-0.6283434629440308	3.6869983673095703
GSM2658875	Pvalb.Tac1.Sst	3.499018907546997	6.037193775177002
GSM2658882	Pvalb.C1ql1.Cpne5	-0.55216383934021	5.328802108764648
GSM2658894	Pvalb.Tac1.Syt2	2.608194589614868	7.1542181968688965
GSM2658900	Pvalb.Tac1.Sst	3.638814926147461	5.877109050750732
GSM2659032	Pvalb.C1ql1.Npy	-1.2925443649291992	4.336106777191162
GSM2659152	Pvalb.Tac1.Akr1c18	0.4857371747493744	2.9173529148101807
GSM2659159	Pvalb.Tac1.Nr4a2	3.3460404872894287	6.108026027679443
GSM2659163	Pvalb.Tac1.Syt2	2.1305973529815674	5.291518688201904
GSM2659168	Pvalb.C1ql1.Pvalb	-1.135058879852295	4.8678297996521
GSM2659175	Pvalb.Tac1.Nr4a2	1.8710094690322876	5.669227123260498
GSM2659187	Pvalb.Tac1.Akr1c18	1.7017605304718018	3.0919852256774902
GSM2659196	Pvalb.C1ql1.Pvalb	-0.6493398547172546	5.757297039031982
GSM2659197	Pvalb.Tac1.Syt2	2.8777916431427	5.9092254638671875
GSM2659202	Pvalb.C1ql1.Cpne5	0.7719911932945251	6.643973350524902
GSM2659218	Pvalb.C1ql1.Pvalb	-0.19363412261009216	6.951097011566162
GSM2659258	Pvalb.Tac1.Sst	4.062808036804199	6.385664939880371
GSM2659263	Pvalb.C1ql1.Pvalb	-1.3039910793304443	5.281576633453369
GSM2659264	Pvalb.Tac1.Sst	2.0028090476989746	5.786739349365234
GSM2659272	Pvalb.C1ql1.Pvalb	-1.7563077211380005	5.000345706939697
GSM2659277	Pvalb.Tac1.Syt2	2.036896228790283	5.125631809234619
GSM2659278	Pvalb.Tac1.Syt2	2.2984230518341064	4.975897789001465
GSM2659289	Pvalb.Tac1.Syt2	2.017430067062378	3.5771167278289795
GSM2659297	Pvalb.C1ql1.Npy	0.40734392404556274	5.003582954406738
GSM2659314	Pvalb.C1ql1.Pvalb	-1.4881964921951294	5.0202836990356445
GSM2659330	Pvalb.C1ql1.Cpne5	-0.856979250907898	6.450591564178467
GSM2659331	Pvalb.C1ql1.Pvalb	-2.315584659576416	4.104032516479492
GSM2659336	Pvalb.Tac1.Akr1c18	0.9923734068870544	3.228754997253418
GSM2659354	Pvalb.Tac1.Nr4a2	2.720576047897339	6.569419860839844
GSM2659367	Pvalb.Tac1.Syt2	2.3648087978363037	3.6854021549224854
GSM2659374	Pvalb.C1ql1.Npy	0.22533018887043	6.505311489105225
GSM2659379	Pvalb.Tac1.Akr1c18	0.9151303172111511	2.690565586090088
GSM2659380	Pvalb.C1ql1.Cpne5	-0.6484555006027222	6.194247245788574
GSM2659395	Pvalb.Tac1.Sst	3.341259241104126	5.025090217590332
GSM2659396	Pvalb.C1ql1.Npy	-1.6573095321655273	4.194100856781006
GSM2659405	Pvalb.Tac1.Sst	3.3510000705718994	5.555845737457275
GSM2659423	Pvalb.Tac1.Akr1c18	2.265622854232788	4.032023906707764
GSM2659428	Pvalb.C1ql1.Pvalb	-2.0583488941192627	5.028768539428711
GSM2659434	Pvalb.C1ql1.Pvalb	-1.6019673347473145	5.965744972229004
GSM2659436	Pvalb.Tac1.Nr4a2	3.855912208557129	6.336013317108154
